Балкон / лоджия,Состояние квартиры,Санузел,Высота потолков,Планировка,Автор объявления,id,link,Тип здания,Этаж,Количество этажей,Общая площадь,Количество комнат,Парковочное место,Жилой фонд,Застройщик,Площадь кухни,Жилая площадь,price,Ливинг,Тип,title,Адрес
,Eвроремонт,1,280 см,Индивидуальная,Частное лицо,104603494,https://999.md/ru/104603494?location=subcategory&index=801&cardCategoryId=270&cardSubcategoryId=1404,Бетон,1,8,31 м²,1-комнатная квартира,Oткрытое,Новострой,A-casa,,,68 900 €,,Продам,"1-комнатная квартира,  Старая Почта,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Старая Почта, str. Poștei, 53/1"
Нет,Eвроремонт,1,,,Частное лицо,80783257,https://999.md/ru/80783257?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3ODE0NjU2MTksIkMiOnsiciI6MSwiYiI6MTAwLCJjIjoyNzAsInoiOjE0MDQsImEiOiI4MDc4MzI1NyIsImkiOiI4OS4xNDkuOTEuMTYyIiwicyI6ImRlc2t0b3BfcmVkZXNpZ24iLCJwIjoiYWRzX2xpc3RfaW5saW5lIiwieCI6IiIsImwiOiJlNDhjZmZiOC0zMjg4LTQyNWQtYTRiOC05NTZhZGY0YmI1MzkiLCJlIjoiODkuMTQ5LjkxLjE2MiIsInQiOiIyMDI2LTA2LTE0VDE4OjMzOjM5LjY4MzU5OTI0NFoifX0.tczIroFVsk3wQscU-F3Cdh6dxeU4klUnmxuqD5vXB4w&placement=ADS_LIST_INLINE_REDESIGN&adType=booster&location=subcategory&index=802&cardCategoryId=270&cardSubcategoryId=1404,Kотельцовый,8,15,40 м²,1-комнатная квартира,Oткрытое,Новострой,,,,40 €,,Сдаю посуточно,"1-комнатная квартира, 40 м², Центр, Кишинёв","Кишинёв мун., Кишинёв, Центр, str. Nicolae Testemițanu, 3/6"
2,Индивидуальный дизайн,1,,143,Частное лицо,104603870,https://999.md/ru/104603870?location=subcategory&index=803&cardCategoryId=270&cardSubcategoryId=1404,,6,9,72 м²,3-х комнатная квартира,Oткрытое,Вторичный,,,,117 000 €,,Продам,"3-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Чокана, str. Petru Zadnipru, 19/3"
,,,,Варц (Варницкая),Агентство,104599472,https://999.md/ru/104599472?location=subcategory&index=804&cardCategoryId=270&cardSubcategoryId=1404,,9,9,50 м²,2-х комнатная квартира,,Вторичный,,,,115 000 €,,Продам,"2-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Чокана, str. Igor Vieru, 5"
1,Белый вариант,1,,,Частное лицо,104541077,https://999.md/ru/104541077?location=subcategory&index=805&cardCategoryId=270&cardSubcategoryId=1404,Kирпичный,7,10,42 м²,1-комнатная квартира,Oткрытое,Новострой,Lagmar Impex,,,60 900 €,Квартира с ливингом,Продам,"1-комнатная квартира,  Старая Почта,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Старая Почта, str. Ceucari, 84"
1,Eвроремонт,1,,,Частное лицо,104458509,https://999.md/ru/104458509?location=subcategory&index=806&cardCategoryId=270&cardSubcategoryId=1404,Kотельцовый,5,6,120 м²,3-х комнатная квартира,Oткрытое,Новострой,,30 м²,,115 000 €,Квартира с ливингом,Продам,"3-х комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.","Кишинёв мун., Дурлешты, Центр, str. Cartuşa, 93/1"
Нет,Eвроремонт,2,,Индивидуальная,Застройщик,104453797,https://999.md/ru/104453797?location=subcategory&index=807&cardCategoryId=270&cardSubcategoryId=1404,Kомбинированный,9,10,71 м²,2-х комнатная квартира,Oткрытое,Новострой,Carpeni,,,167 900 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Ботаника, str. Burebista, 25"
Нет,Сдан в эксплуатацию,2,27 см,,Частное лицо,103541220,https://999.md/ru/103541220?location=subcategory&index=808&cardCategoryId=270&cardSubcategoryId=1404,Блочный,4,7,72 м²,2-х комнатная квартира,,Новострой,Solomon Construct Imobil,,72 м²,190 000 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Чокана, str. Nicolae Milescu Spatarul, 63"
2,Нуждается в ремонте,2,,Варц (Варницкая),Частное лицо,104545814,https://999.md/ru/104545814?location=subcategory&index=809&cardCategoryId=270&cardSubcategoryId=1404,Панельный,7,9,90 м²,3-х комнатная квартира,,Вторичный,,,65 м²,105 000 €,,Продам,"3-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Ботаника, bd. Traian, 4"
1,Белый вариант,1,,Индивидуальная,Частное лицо,103716002,https://999.md/ru/103716002?location=subcategory&index=810&cardCategoryId=270&cardSubcategoryId=1404,,1,12,41 м²,1-комнатная квартира,Подземная,Новострой,Estate Invest Company,,,41 000 €,Квартира с ливингом,Продам,"1-комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Телецентр, str. Alexandru Lăpușneanu, 5"
1,Eвроремонт,1,,,Застройщик,102496333,https://999.md/ru/102496333?location=subcategory&index=811&cardCategoryId=270&cardSubcategoryId=1404,Kирпичный,6,8,45 м²,1-комнатная квартира,Подземная,Новострой,Poliprim Grup,,,87 900 €,Квартира с ливингом,Продам,"1-комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.","Кишинёв мун., Дурлешты, Центр, str. Nicolae Dimo, 88/1"
1,Eвроремонт,,,135,Частное лицо,104195498,https://999.md/ru/104195498?location=subcategory&index=812&cardCategoryId=270&cardSubcategoryId=1404,Kотельцовый,1,5,36 м²,1-комнатная квартира,Oткрытое,Вторичный,,,36 м²,67 900 €,,Продам,"1-комнатная квартира,  Старая Почта,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Старая Почта, str. Doina, 150/4"
1,Eвроремонт,2,,135,Агентство,104233235,https://999.md/ru/104233235?location=subcategory&index=813&cardCategoryId=270&cardSubcategoryId=1404,Панельный,2,9,52 м²,2-х комнатная квартира,Oткрытое,Вторичный,,,,118 500 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Чокана, bd. Mircea cel Bătrân, 15/1"
1,Незавершенное cтроительство,2,290 см,,Застройщик,101794768,https://999.md/ru/101794768?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3ODE0NjU2MTksIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDE3OTQ3NjgiLCJpIjoiODkuMTQ5LjkxLjE2MiIsInMiOiJkZXNrdG9wX3JlZGVzaWduIiwicCI6ImFkc19saXN0X2lubGluZSIsIngiOiJwcmVtaXVtIiwibCI6ImNkMjVlNDlkLTBiNDgtNDEzZi05YWIwLWFjZTRhY2Q1ZmQ3OSIsImUiOiI4OS4xNDkuOTEuMTYyIiwiZyI6InR1cmJvIiwidCI6IjIwMjYtMDYtMTRUMTg6MzM6MzkuNjgzNjY1Mzk4WiJ9fQ.DFAwjNkK08z6klgsNLtTx13J6Z4piXt-NLB2yC5Wmfg&placement=ADS_LIST_INLINE_REDESIGN&adType=booster&location=subcategory&index=814&cardCategoryId=270&cardSubcategoryId=1404,,1,10,72 м²,2-х комнатная квартира,,Новострой,Solomon Construct Imobil,,,74 870 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.","Кишинёв мун., Дурлешты, Центр, str. Nicolae Dimo, 24a"
1,,,,,Частное лицо,104340627,https://999.md/ru/104340627?location=subcategory&index=815&cardCategoryId=270&cardSubcategoryId=1404,,8,10,42 м²,1-комнатная квартира,,Новострой,Solomon Construct Imobil,,,51 800 €,,Продам,"1-комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.","Кишинёв мун., Дурлешты, Центр, str. Nicolae Dimo, 24a"
1,Сдан в эксплуатацию,1,2700 см,Индивидуальная,Частное лицо,104378265,https://999.md/ru/104378265?location=subcategory&index=816&cardCategoryId=270&cardSubcategoryId=1404,Kомбинированный,2,8,70 м²,2-х комнатная квартира,Oткрытое,Новострой,A-casa,15 м²,55 м²,112 000 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Центр,  Криуляны,  Криуляны","Криуляны, Криуляны, Центр, bd. Biruinței , 20B"
2,Белый вариант,2,,,Застройщик,101760490,https://999.md/ru/101760490?location=subcategory&index=817&cardCategoryId=270&cardSubcategoryId=1404,,3,12,105 м²,3-х комнатная квартира,,Новострой,Exfactor-grup,,,210 000 €,Квартира с ливингом,Продам,"3-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Буюканы, str. Vasile Lupu, 28"
1,Eвроремонт,1,,,Агентство,104575865,https://999.md/ru/104575865?location=subcategory&index=818&cardCategoryId=270&cardSubcategoryId=1404,,1,12,70 м²,2-х комнатная квартира,,Новострой,Exfactor-grup,,,218 000 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",Расположение
1,Eвроремонт,2,,,Частное лицо,103663571,https://999.md/ru/103663571?location=subcategory&index=819&cardCategoryId=270&cardSubcategoryId=1404,,7,10,75 м²,2-х комнатная квартира,Oткрытое,Вторичный,,,67 м²,153 000 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Центр, bd. Stefan cel Mare si Sfint, 6"
2,Индивидуальный дизайн,3,,Индивидуальная,Агентство,102774741,https://999.md/ru/102774741?location=subcategory&index=820&cardCategoryId=270&cardSubcategoryId=1404,,5,9,166 м²,4-x комнатная квартира,,Новострой,,33 м²,99 м²,581 000 €,,Продам,"4-x комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Центр, ул. Сфатул Цэрий, 59"
,Сдан в эксплуатацию,1,,,Застройщик,104572394,https://999.md/ru/104572394?location=subcategory&index=821&cardCategoryId=270&cardSubcategoryId=1404,Бетон,2,10,72 м²,2-х комнатная квартира,,Новострой,,,,140 000 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Буюканы, str. Liviu Deleanu, 14/C"
1,Белый вариант,1,,Индивидуальная,Застройщик,100810417,https://999.md/ru/100810417?location=subcategory&index=822&cardCategoryId=270&cardSubcategoryId=1404,Mонолитный,2,4,45 м²,2-х комнатная квартира,Oткрытое,Новострой,,,45 м²,67 500 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Центр,  Яловены,  Яловены","Яловены, Яловены, Центр, str. Grigore Vieru, 8"
1,Сдан в эксплуатацию,1,,,Застройщик,104573041,https://999.md/ru/104573041?location=subcategory&index=823&cardCategoryId=270&cardSubcategoryId=1404,Бетон,11,13,82 м²,3-х комнатная квартира,,Новострой,Inamstro,,,285 000 €,Квартира с ливингом,Продам,"3-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Центр, str. Ghenadie Iablocikin, 2/2"
1,Сдан в эксплуатацию,1,,,Застройщик,104572590,https://999.md/ru/104572590?location=subcategory&index=824&cardCategoryId=270&cardSubcategoryId=1404,Ячеистый Бетон,5,13,82 м²,3-х комнатная квартира,,Новострой,,,,185 000 €,Квартира с ливингом,Продам,"3-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Центр, str. Ghenadie Iablocikin, 2/1"
1,Белый вариант,2,,,Агентство,104083487,https://999.md/ru/104083487?location=subcategory&index=825&cardCategoryId=270&cardSubcategoryId=1404,,6,6,67 м²,2-х комнатная квартира,,Новострой,,,,93 800 €,,Продам,"2-х комнатная квартира,  Центр,  Яловены,  Яловены","Яловены, Яловены, Центр, str. Moldova, 2/3"
1,,2,,,Агентство,104391977,https://999.md/ru/104391977?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3ODE0NjU2MTksIkMiOnsiciI6MSwiYiI6MTQwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDQzOTE5NzciLCJpIjoiODkuMTQ5LjkxLjE2MiIsInMiOiJkZXNrdG9wX3JlZGVzaWduIiwicCI6ImFkc19saXN0X2lubGluZSIsIngiOiIiLCJsIjoiNmY2ZGMwNzItMTQ3OS00NGE4LTg3NDAtMzAyMTg2MjQzODBhIiwiZSI6Ijg5LjE0OS45MS4xNjIiLCJnIjoibGl0ZSIsInQiOiIyMDI2LTA2LTE0VDE4OjMzOjM5LjY4MzczNDAzMVoifX0.InevJyhdb14byu9pHMH4wDPglS40RnSsp5iELGPk6UM&placement=ADS_LIST_INLINE_REDESIGN&adType=booster&location=subcategory&index=826&cardCategoryId=270&cardSubcategoryId=1404,,9,10,91 м²,4-x комнатная квартира,,Вторичный,,,,126 000 €,,Продам,"4-x комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Ботаника, str. Valea Crucii, 22"
2,,2,,,Агентство,103795722,https://999.md/ru/103795722?location=subcategory&index=827&cardCategoryId=270&cardSubcategoryId=1404,,9,10,72 м²,3-х комнатная квартира,,Вторичный,,,,95 900 €,,Продам,"3-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Чокана, str. Nicolae Milescu Spatarul, 5"
2,Белый вариант,2,,Индивидуальная,Агентство,104189724,https://999.md/ru/104189724?location=subcategory&index=828&cardCategoryId=270&cardSubcategoryId=1404,,5,12,97 м²,3-х комнатная квартира,Подземная,Новострой,,,,146 385 €,,Продам,"3-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Ботаника,  str. Grenoble , 134/2"
,Белый вариант,1,,,Агентство,104125533,https://999.md/ru/104125533?location=subcategory&index=829&cardCategoryId=270&cardSubcategoryId=1404,,17,18,53 м²,2-х комнатная квартира,,Новострой,,,,98 050 €,,Продам,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Ботаника, str. Dimineții, 96"
1,Белый вариант,2,,Индивидуальная,Агентство,104371389,https://999.md/ru/104371389?location=subcategory&index=830&cardCategoryId=270&cardSubcategoryId=1404,Kомбинированный,8,10,71 м²,2-х комнатная квартира,Подземная,Новострой,,,,135 900 €,,Продам,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Ботаника, Burebista, 25"
,,,,,Застройщик,85457911,https://999.md/ru/85457911?location=subcategory&index=831&cardCategoryId=270&cardSubcategoryId=1404,,5,12,116 м²,3-х комнатная квартира,,Новострой,Solomon Construct Imobil,,,174 000 €,,Продам,"3-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Ботаника, str. Grenoble, 134/2"
1,Белый вариант,2,3 см,,Застройщик,100818861,https://999.md/ru/100818861?location=subcategory&index=832&cardCategoryId=270&cardSubcategoryId=1404,Бетон,3,8,81 м²,3-х комнатная квартира,Подземная,Новострой,,,,74 010 €,Квартира с ливингом,Продам,"3-х комнатная квартира,  Центр,  Комрат,  Комрат","Комрат, Комрат, Центр, str. Fedico, 29"
2,Eвроремонт,2,,102,Агентство,104505608,https://999.md/ru/104505608?location=subcategory&index=833&cardCategoryId=270&cardSubcategoryId=1404,Kотельцовый,2,5,54 м²,2-х комнатная квартира,Oткрытое,Вторичный,,,,127 500 €,,Продам,"2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Буюканы, Str. Ion Pelivan , 30/6"
1,Eвроремонт,1,,,Частное лицо,104255958,https://999.md/ru/104255958?location=subcategory&index=834&cardCategoryId=270&cardSubcategoryId=1404,,9,13,57 м²,2-х комнатная квартира,Oткрытое,Новострой,Ecovzor,,,146 900 €,,Продам,"2-х комнатная квартира,  Старая Почта,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Старая Почта, str. Iazului, 38"
,Белый вариант,,2600 см,,Частное лицо,104478809,https://999.md/ru/104478809?location=subcategory&index=835&cardCategoryId=270&cardSubcategoryId=1404,Kомбинированный,11,14,44 м²,1-комнатная квартира,,Новострой,Sky House,12 м²,12 м²,79 000 €,Квартира с ливингом,Продам,"1-комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Ботаника, str. Grădina Botanică, 18/1"
1,Eвроремонт,2,,,Частное лицо,104413922,https://999.md/ru/104413922?location=subcategory&index=836&cardCategoryId=270&cardSubcategoryId=1404,,3,9,50 м²,2-х комнатная квартира,,Вторичный,,,,110 000 €,,Продам,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Ботаника, пр-т Дачия, 38"
,Eвроремонт,1,,,Частное лицо,104587485,https://999.md/ru/104587485?location=subcategory&index=837&cardCategoryId=270&cardSubcategoryId=1404,,5,5,57 м²,1-комнатная квартира,Oткрытое,Новострой,Inamstro,,,74 000 €,Квартира с ливингом,Продам,"1-комнатная квартира,  Центр,  Оргеев,  Оргеев","Оргеев, Оргеев, Центр, Costantin Stamate 27 , Bl.G"
1,Индивидуальный дизайн,2,330 см,Индивидуальная,Частное лицо,102908521,https://999.md/ru/102908521?location=subcategory&index=838&cardCategoryId=270&cardSubcategoryId=1404,Mонолитный,10,11,197 м²,3-х комнатная квартира,Гараж,Новострой,,,,395 000 €,Квартира с ливингом,Продам,"3-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Ботаника, str. Tudor Strișcă, 8/7"
1,Eвроремонт,2,310 см,,Агентство,104615914,https://999.md/ru/104615914?location=subcategory&index=839&cardCategoryId=270&cardSubcategoryId=1404,,Пентхаус,13,130 м²,2-х комнатная квартира,Подземная,Новострой,Estate Invest Company,,,590 000 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Рышкановка, bd. Moscova, 9/5"
