Автор объявления,Застройщик,Балкон / лоджия,Планировка,Жилая площадь,link,price,Площадь кухни,Этаж,Жилой фонд,Санузел,Количество комнат,Адрес,Высота потолков,id,Общая площадь,Ливинг,Тип,Состояние квартиры,Количество этажей,Тип здания,title,Парковочное место
Агентство,,,Индивидуальная,,https://999.md/ru/103543077,54 200 €,,1,Вторичный,1,2-х комнатная квартира,"Кишинёв мун., Криково, Центр, str. Libertatii, .",,103543077,42 м²,,Продам,Косметический pемонт,2,,"2-х комнатная квартира,  Центр,  Криково,  Кишинёв мун.",Oткрытое
Агентство,,,,,https://999.md/ru/103885110,120 000 €,,5,Новострой,1,1-комнатная квартира,"Кишинёв мун., Кишинёв, Буюканы, str. Ion Buzdugan, --",,103885110,51 м²,,Продам,Eвроремонт,9,,"1-комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",
Агентство,Inamstro,,,,https://999.md/ru/103867236?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzUzODkxNzEsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDM4NjcyMzYiLCJpIjoiODkuMTQ5LjkxLjE3MCIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2lubGluZSIsIngiOiJwcmVtaXVtIiwibCI6IjAyYTFhOGVkLWM0NjktNDUzYy1iODhkLWUyNzFlYjA1ZTI1ZSIsImUiOiI4OS4xNDkuOTEuMTcwIiwiZyI6InBsdXMiLCJ0IjoiMjAyNi0wNC0wNVQxMDozOTozMS4xNjY4ODk4ODlaIn19.EIlrwGphtN4-cM0CQYibkRod97lLEFGxVBPum6Cd5dk&adType=booster,199 900 €209 900 €,,4,Новострой,,2-х комнатная квартира,"Кишинёв мун., Кишинёв, Буюканы, str. Ioana Radu, 27/6",,103867236,72 м²,Квартира с ливингом,Продам,Индивидуальный дизайн,10,Kирпичный,"2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",
Агентство,Inamstro,,,,https://999.md/ru/103443254,139 699 €,,8,Новострой,1,2-х комнатная квартира,"Кишинёв мун., Кишинёв, Центр, str. Avram Iancu, 32",,103443254,64 м²,,Продам,Белый вариант,9,,"2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",
Агентство,,,,,https://999.md/ru/101818341,168 000 €,,8,Новострой,2,3-х комнатная квартира,Расположение,,101818341,90 м²,Квартира с ливингом,Продам,Eвроремонт,11,,"3-х комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.",Подземная
Застройщик,Sky House,1,Индивидуальная,18 м²,https://999.md/ru/103902390,45 000 €,15 м²,9,Новострой,1,1-комнатная квартира,"Кишинёв мун., Кишинёв, Центр, şos. Munceşti, 105",300 см,103902390,42 м²,Квартира с ливингом,Продам,Белый вариант,16,Kомбинированный,"1-комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",Подземная
Застройщик,,,,80 м²,https://999.md/ru/103315338,269 000 €,12 м²,2,Новострой,1,1-комнатная квартира,"Кишинёв мун., Кишинёв, Центр, str. Alessandro Bernardazzi, 68a",3 см,103315338,92 м²,Квартира с ливингом,Продам,Сдан в эксплуатацию,5,Бетон,"1-комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",
Застройщик,,,,80 м²,https://999.md/ru/103315481,269 000 €,12 м²,2,Новострой,1,2-х комнатная квартира,"Кишинёв мун., Кишинёв, Центр, str. Alessandro Bernardazzi, 68a",3 см,103315481,92 м²,Квартира с ливингом,Продам,Сдан в эксплуатацию,5,,"2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",
Агентство,,2,Мс (Молд. Серия),,https://999.md/ru/103290308,109 900 €,,8,Вторичный,2,3-х комнатная квартира,"Кишинёв мун., Кишинёв, Ботаника, şos. Munceşti, 788",,103290308,73 м²,,Продам,Eвроремонт,9,Mонолитный,"3-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",
,,2,,,https://999.md/ru/103273759,880 000 €,,Пентхаус,Новострой,4 и более,3-х комнатная квартира,"Кишинёв мун., Кишинёв, Центр, str. Bogdan Petriceicu Hașdeu, 20",,103273759,188 м²,Квартира с ливингом,Продам,,20,,"3-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",Гараж
Агентство,,,Индивидуальная,,https://999.md/ru/103744944,289 900 €,,14,Новострой,2,2-х комнатная квартира,"Кишинёв мун., Кишинёв, Рышкановка, str. Nicolae Dimo, .",,103744944,94 м²,,Продам,Eвроремонт,15,,"2-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",Oткрытое
Агентство,,,,,https://999.md/ru/103863990,350 000 €,,10,Новострой,,3-х комнатная квартира,"Кишинёв мун., Кишинёв, Центр, bd. Stefan cel Mare si Sfint, 141/1",,103863990,97 м²,Квартира с ливингом,Продам,,13,,"3-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",
Агентство,,1,135,,https://999.md/ru/103963739?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzUzODkxNzEsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDM5NjM3MzkiLCJpIjoiODkuMTQ5LjkxLjE3MCIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2lubGluZSIsIngiOiJwcmVtaXVtIiwibCI6IjAyYTFhOGVkLWM0NjktNDUzYy1iODhkLWUyNzFlYjA1ZTI1ZSIsImUiOiI4OS4xNDkuOTEuMTcwIiwiZyI6InBsdXMiLCJ0IjoiMjAyNi0wNC0wNVQxMDozOTozMS4xNjcwMzMzMloifX0.ws742SCbALro9N1Dgcj1HSjbzBQh_riQkMHkjvNomqc&adType=booster,114 500 €,,8,Вторичный,1,2-х комнатная квартира,"Кишинёв мун., Кишинёв, Буюканы, str. Nicolae Costin, 65/3",,103963739,54 м²,,Продам,Eвроремонт,9,,"2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",
Частное лицо,,1,143,30 м²,https://999.md/ru/103883328,99 000 €,8 м²,9,Вторичный,1,2-х комнатная квартира,"Кишинёв мун., Кишинёв, Чокана, str. Petru Zadnipru, 4/1",280 см,103883328,53 м²,,Продам,Косметический pемонт,9,Бетон,"2-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",Oткрытое
Застройщик,Exfactor-grup,1,Индивидуальная,53 м²,https://999.md/ru/103627585,134 200 €,,3,Новострой,1,2-х комнатная квартира,"Кишинёв мун., Кишинёв, Центр, str. Tudor Strișcă, 19/2",300 см,103627585,53 м²,Квартира с ливингом,Продам,Eвроремонт,15,Kомбинированный,"2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",Под навесом
Агентство,Inamstro,,,,https://999.md/ru/103443229,139 900 €,,5,Новострой,1,2-х комнатная квартира,"Кишинёв мун., Кишинёв, Центр, str. Avram Iancu, 32",,103443229,64 м²,,Продам,Белый вариант,8,,"2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",
Агентство,,1,,,https://999.md/ru/103824384,149 500 €,,6,Новострой,1,3-х комнатная квартира,"Кишинёв мун., Кишинёв, Буюканы, str. Ștefan Neaga, 67",,103824384,54 м²,,Продам,,12,,"3-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",
Агентство,,,,,https://999.md/ru/103964525,83 006 €,,7,Новострой,,1-комнатная квартира,"Кишинёв мун., Кишинёв, Рышкановка, str. Postei, --",,103964525,44 м²,Квартира с ливингом,Продам,,8,,"1-комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",
Частное лицо,Casa de Piatra,,143,50 м²,https://999.md/ru/103520541,127 500 €,15 м²,2,Вторичный,2,3-х комнатная квартира,"Кишинёв мун., Кишинёв, Ботаника, str. Valea Crucii, 24",270 см,103520541,80 м²,Квартира с ливингом,Продам,Eвроремонт,9,Mонолитный,"3-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",Oткрытое
Застройщик,Basconslux,,,,https://999.md/ru/102975414,56 500 €,,6,Новострой,,2-х комнатная квартира,"Страшены, Страшены, Центр, str. Ştefan cel Mare și Sfînt, 3A",,102975414,56 м²,,Продам,,9,,"2-х комнатная квартира,  Центр,  Страшены,  Страшены",
Агентство,,,,,https://999.md/ru/103964383,94 088 €,,7,Новострой,,2-х комнатная квартира,"Кишинёв мун., Кишинёв, Рышкановка, str. Postei, --",,103964383,50 м²,Квартира с ливингом,Продам,Белый вариант,8,,"2-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",
Агентство,,1,Индивидуальная,,https://999.md/ru/103467625,89 000 €,,6,Новострой,1,1-комнатная квартира,"Кишинёв мун., Кишинёв, Центр, str. Pavel Boțu, .",,103467625,43 м²,Квартира с ливингом,Продам,Eвроремонт,9,,"1-комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",Oткрытое
Частное лицо,Astercon,1,Индивидуальная,,https://999.md/ru/103986440,159 000 €,,5,Новострой,2,3-х комнатная квартира,"Кишинёв мун., Кишинёв, Буюканы, str. Durleşti, 10/B",,103986440,77 м²,Квартира с ливингом,Продам,Eвроремонт,7,Kотельцовый,"3-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",Подземная
Агентство,,1,Индивидуальная,,https://999.md/ru/103860130,87 500 €,,8,Вторичный,2,3-х комнатная квартира,"Кишинёв мун., Кишинёв, Ботаника, Bulevardul Dacia, 24",,103860130,65 м²,,Продам,Косметический pемонт,13,Kомбинированный,"3-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",Oткрытое
Агентство,,Нет,Индивидуальная,45 м²,https://999.md/ru/103844002,60 000 €,,1,Вторичный,1,2-х комнатная квартира,"Оргеев, Оргеев, Центр, Maxim Gorkii, 9",3 см,103844002,55 м²,,Продам,Без ремонта,1,Kотельцовый,"2-х комнатная квартира,  Центр,  Оргеев,  Оргеев",Oткрытое
Агентство,,1,Мс (Молд. Серия),,https://999.md/ru/103844446,62 000 €,,3,Вторичный,1,1-комнатная квартира,"Кишинёв мун., Кишинёв, Ботаника, Grenoble, 209",,103844446,33 м²,,Продам,Без ремонта,9,Панельный,"1-комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",Oткрытое
Агентство,,Нет,143,,https://999.md/ru/103873746,79 900 €,,8,Вторичный,2,1-комнатная квартира,"Кишинёв мун., Кишинёв, Ботаника, Valea crucii, 4",,103873746,35 м²,,Продам,Eвроремонт,9,Панельный,"1-комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",Oткрытое
Агентство,Kirsan,1,Индивидуальная,,https://999.md/ru/103873894,92 500 €,,11,Новострой,1,1-комнатная квартира,"Кишинёв мун., Кишинёв, Ботаника, Burebista, 40/2",,103873894,52 м²,,Продам,Eвроремонт,11,Ячеистый Бетон,"1-комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",Oткрытое
Агентство,,Нет,Индивидуальная,45 м²,https://999.md/ru/103874837,59 900 €,10 м²,1,Вторичный,1,2-х комнатная квартира,"Оргеев, Оргеев, Центр, Maxim Gorkii, 9",3 см,103874837,55 м²,,Продам,Без ремонта,1,Kотельцовый,"2-х комнатная квартира,  Центр,  Оргеев,  Оргеев",Oткрытое
Агентство,Lagmar Impex,1,Индивидуальная,,https://999.md/ru/103929176,116 900 €,,2,Новострой,1,1-комнатная квартира,"Кишинёв мун., Кишинёв, Рышкановка, Carierei, 5C",,103929176,45 м²,,Продам,Eвроремонт,12,Kомбинированный,"1-комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",Oткрытое
Застройщик,,1,,18 м²,https://999.md/ru/103977846,52 000 €,6 м²,2,Вторичный,1,1-комнатная квартира,"Кишинёв мун., Кишинёв, Ботаника, str. Nikolai Zelinski, 4",2600 см,103977846,31 м²,,Продам,Нуждается в ремонте,4,Kотельцовый,"1-комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",
Застройщик,,2,Чш (Чешка),,https://999.md/ru/103916421,225 000 €,,4,Вторичный,,3-х комнатная квартира,"Кишинёв мун., Кишинёв, Телецентр, str. Academiei, 6/2",2600 см,103916421,148 м²,Квартира с ливингом,Продам,Eвроремонт,5,Kотельцовый,"3-х комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.",Oткрытое
Застройщик,,1,Брж (Брежневка),,https://999.md/ru/103210802,120 000 €,,4,Вторичный,,4-x комнатная квартира,"Кишинёв мун., Кишинёв, Рышкановка, bd. Moscova, 3",2600 см,103210802,98 м²,Квартира с ливингом,Продам,Косметический pемонт,5,Kотельцовый,"4-x комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",Oткрытое
Застройщик,,2,,,https://999.md/ru/102262321,95 000 €,,12,Вторичный,,3-х комнатная квартира,"Кишинёв мун., Кишинёв, Ботаника, str. Independenței, 4/1q",,102262321,67 м²,Квартира с ливингом,Продам,Нуждается в ремонте,16,,"3-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",Oткрытое
Агентство,,,,,https://999.md/ru/103891461,57 000 €,,3,Вторичный,1,1-комнатная квартира,"Кишинёв мун., Кишинёв, Рышкановка, str. Gheorghe Madan, --",,103891461,27 м²,,Продам,Eвроремонт,5,,"1-комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",
Агентство,,,,,https://999.md/ru/103865183,77 000 €,,1,Вторичный,,2-х комнатная квартира,"Кишинёв мун., Кишинёв, Телецентр, șos. Hâncești, 22a",,103865183,42 м²,,Продам,,6,,"2-х комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.",
Агентство,,Нет,,,https://999.md/ru/101328842,139 900 €,,7,Вторичный,1,2-х комнатная квартира,"Кишинёв мун., Кишинёв, Рышкановка, bd. Moscova, 2",,101328842,75 м²,Квартира с ливингом,Продам,Eвроремонт,9,,"2-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",Oткрытое
Банк,,1,,,https://999.md/ru/89282336?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzUzODkxNzEsIkMiOnsiciI6MSwiYiI6MTQwLCJjIjoyNzAsInoiOjE0MDQsImEiOiI4OTI4MjMzNiIsImkiOiI4OS4xNDkuOTEuMTcwIiwicyI6ImRlc2t0b3AiLCJwIjoiYWRzX2xpc3RfaW5saW5lIiwieCI6InByZW1pdW0iLCJsIjoiZjVkODE5ODItZmQwMy00OGQ1LWIxZDUtNzg2NDRkMzg1ZDMxIiwiZSI6Ijg5LjE0OS45MS4xNzAiLCJnIjoibGl0ZSIsInQiOiIyMDI2LTA0LTA1VDEwOjM5OjMxLjE2NzM3MjAxNFoifX0.xuIjumOHlKDu2OT-GM46M-DRSDCL9-KQJqRsUC8sse8&adType=booster,138 000 €,,1,Новострой,1,3-х комнатная квартира,"Кишинёв мун., Кишинёв, Центр, str. Ion Inculeț, 105/2",,89282336,172 м²,Квартира с ливингом,Продам,Eвроремонт,10,Бетон,"3-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",
Агентство,,,,,https://999.md/ru/100926770,139 000 €,,3,Новострой,1,2-х комнатная квартира,"Кишинёв мун., Дурлешты, Центр, ул. Николай Димо, 88",,100926770,63 м²,Квартира с ливингом,Продам,Eвроремонт,8,,"2-х комнатная квартира,  Дурлешты,  Кишинёв,  Кишинёв мун.",Oткрытое
Агентство,,Нет,Индивидуальная,,https://999.md/ru/101061591,128 000 €,,1,Новострой,1,2-х комнатная квартира,"Кишинёв мун., Кишинёв, Центр, bd. Renașterii Naționale, 0",,101061591,80 м²,Квартира с ливингом,Продам,Белый вариант,14,,"2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",Oткрытое
Застройщик,Braus Imobiliare,1,,,https://999.md/ru/100967747,144 450 €,,1,Новострой,1,1-комнатная квартира,"Кишинёв мун., Кишинёв, Рышкановка, ул. Чиркулуй, 61",300 см,100967747,54 м²,Квартира с ливингом,Продам,Белый вариант,4,Kирпичный,"1-комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",Подземная
Агентство,,,,,https://999.md/ru/101665229,109 990 €,,7,Новострой,1,1-комнатная квартира,"Кишинёв мун., Кишинёв, Буюканы, ул. Иоана Раду, -",,101665229,45 м²,,Продам,Eвроремонт,10,,"1-комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",
Агентство,,,,,https://999.md/ru/103421770,199 000 €,,13,Новострой,,2-х комнатная квартира,"Кишинёв мун., Кишинёв, Буюканы, str. Vasile Lupu, 28/C",,103421770,70 м²,,Продам,,14,,"2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",
Агентство,,,,,https://999.md/ru/103720639,146 900 €,,3,Новострой,,2-х комнатная квартира,"Кишинёв мун., Кишинёв, Буюканы, пр-т Алба-Юлия, 17/A",,103720639,68 м²,,Продам,,5,,"2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",
Агентство,,,,,https://999.md/ru/103884010,109 999 €,,3,Вторичный,,2-х комнатная квартира,"Кишинёв мун., Кишинёв, Ботаника, bd. Cuza Vodă, 19/2",,103884010,52 м²,Квартира с ливингом,Продам,,5,,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",
Агентство,,,,,https://999.md/ru/103813387,125 900 €,,5,Новострой,,2-х комнатная квартира,"Кишинёв мун., Кодру, Центр, str. Livădarilor, 103",,103813387,70 м²,Квартира с ливингом,Продам,,7,,"2-х комнатная квартира,  Центр,  Кодру,  Кишинёв мун.",
Агентство,,,,,https://999.md/ru/103694517,113 900 €,,7,Вторичный,,2-х комнатная квартира,"Кишинёв мун., Кишинёв, Чокана, bd. Mircea cel Bătrân, 28/1",,103694517,54 м²,,Продам,,9,,"2-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",
Агентство,,,,,https://999.md/ru/103347742,113 900 €,,5,Вторичный,,2-х комнатная квартира,"Кишинёв мун., Кишинёв, Чокана, bd. Mircea cel Bătrân, 28/1",,103347742,50 м²,,Продам,,9,,"2-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",
