Балкон / лоджия,Санузел,Состояние квартиры,Планировка,Высота потолков,Автор объявления,id,link,Тип здания,Этаж,Количество этажей,Общая площадь,Парковочное место,Количество комнат,Жилой фонд,Застройщик,Площадь кухни,Жилая площадь,price,Ливинг,Тип,title,Адрес
1,1,Белый вариант,Индивидуальная,,Агентство,104490838,https://999.md/ru/104490838?location=subcategory&index=3521&cardCategoryId=270&cardSubcategoryId=1404,Ячеистый Бетон,7,8,47 м²,Oткрытое,1-комнатная квартира,Новострой,Golban Trade,,,73 500 €,,Продам,"1-комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.","Кишинёв мун., Дурлешты, Центр, str. Regina Elisabeta, 4/B"
1,1,Eвроремонт,Индивидуальная,,Агентство,103057056,https://999.md/ru/103057056?location=subcategory&index=3522&cardCategoryId=270&cardSubcategoryId=1404,Kомбинированный,1,13,70 м²,Подземная,2-х комнатная квартира,Новострой,Basconslux,,,146 900 €,,Продам,"2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Буюканы, Alba Iulia, 113"
Нет,2,Eвроремонт,Индивидуальная,,Агентство,103813925,https://999.md/ru/103813925?location=subcategory&index=3523&cardCategoryId=270&cardSubcategoryId=1404,Kомбинированный,4,9,59 м²,Oткрытое,2-х комнатная квартира,Новострой,,,,130 000 €,,Продам,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Ботаника, Costiujeni 14/5, 14/5"
1,2,Косметический pемонт,Мс (Молд. Серия),,Агентство,104218502,https://999.md/ru/104218502?location=subcategory&index=3524&cardCategoryId=270&cardSubcategoryId=1404,Панельный,4,5,52 м²,Oткрытое,2-х комнатная квартира,Вторичный,,,,75 900 €,,Продам,"2-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Рышкановка, Nicolae Dimo, 31/2"
,2,Индивидуальный дизайн,,,Частное лицо,104048123,https://999.md/ru/104048123?location=subcategory&index=3525&cardCategoryId=270&cardSubcategoryId=1404,Kотельцовый,1,2,70 м²,,3-х комнатная квартира,Вторичный,,,,65 000 €,,Продам,"3-х комнатная квартира,  Центр,  Тирасполь,  Тирасполь мун.","Тирасполь мун., Тирасполь, Центр, Ленина , 1"
,1,Eвроремонт,Индивидуальная,250 см,Частное лицо,104305357,https://999.md/ru/104305357?location=subcategory&index=3526&cardCategoryId=270&cardSubcategoryId=1404,Kотельцовый,4,6,30 м²,Oткрытое,1-комнатная квартира,Вторичный,,7 м²,20 м²,53 700 €,Квартира без ливинга,Продам,"1-комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Буюканы, ул. Алба-Юлия, 4"
1,2,Eвроремонт,Индивидуальная,,Агентство,103374900,https://999.md/ru/103374900?location=subcategory&index=3527&cardCategoryId=270&cardSubcategoryId=1404,Kирпичный,5,9,68 м²,Oткрытое,2-х комнатная квартира,Новострой,Reconscivil,,,159 900 €,,Продам,"2-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Чокана, Bulevardul Mircea cel Bătrân, 50"
Нет,1,Косметический pемонт,Брж (Брежневка),,Агентство,103359944,https://999.md/ru/103359944?location=subcategory&index=3528&cardCategoryId=270&cardSubcategoryId=1404,Kотельцовый,1,5,65 м²,Oткрытое,3-х комнатная квартира,Вторичный,,,,116 990 €,,Продам,"3-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Буюканы, Ioana Radu, 24"
1,1,Незавершенное cтроительство,Индивидуальная,,Агентство,102681721,https://999.md/ru/102681721?location=subcategory&index=3529&cardCategoryId=270&cardSubcategoryId=1404,,1,12,70 м²,Oткрытое,2-х комнатная квартира,Новострой,Golban Trade,,,80 060 €,,Продам,"2-х комнатная квартира,  Окраина,  Дурлешты,  Кишинёв мун.","Кишинёв мун., Дурлешты, Окраина, Regina Elizabeta, 2"
1,1,Eвроремонт,Индивидуальная,,Агентство,104201057,https://999.md/ru/104201057?location=subcategory&index=3530&cardCategoryId=270&cardSubcategoryId=1404,Kомбинированный,11,13,56 м²,Oткрытое,1-комнатная квартира,Новострой,,,,105 000 €,,Продам,"1-комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Чокана, Nicolae Sulac, 8A"
2,2,Eвроремонт,Индивидуальная,,Агентство,101239081,https://999.md/ru/101239081?location=subcategory&index=3531&cardCategoryId=270&cardSubcategoryId=1404,Kомбинированный,7,13,100 м²,Oткрытое,3-х комнатная квартира,Новострой,Exfactor-grup,,,184 900 €,,Продам,"3-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Чокана, Nicolae Sulac, 4"
1,1,Eвроремонт,Индивидуальная,,Агентство,104205355,https://999.md/ru/104205355?location=subcategory&index=3532&cardCategoryId=270&cardSubcategoryId=1404,Kирпичный,4,6,66 м²,Подземная,2-х комнатная квартира,Новострой,Estate Invest Company,,,155 000 €,,Продам,"2-х комнатная квартира,  Центр,  Кодру,  Кишинёв мун.","Кишинёв мун., Кодру, Центр, Livădarilor, 107/A"
Нет,1,Eвроремонт,Хрущевка,,Агентство,103172316,https://999.md/ru/103172316?location=subcategory&index=3533&cardCategoryId=270&cardSubcategoryId=1404,Kотельцовый,2,5,55 м²,Oткрытое,2-х комнатная квартира,Вторичный,,,,107 900 €,,Продам,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Ботаника, Nicolae Titulescu, 10"
,1,Eвроремонт,Индивидуальная,,Агентство,88742653,https://999.md/ru/88742653?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3ODE0NzAyMDgsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiI4ODc0MjY1MyIsImkiOiI4OS4xNDkuOTEuMTYyIiwicyI6ImRlc2t0b3BfcmVkZXNpZ24iLCJwIjoiYWRzX2xpc3RfaW5saW5lIiwieCI6InByZW1pdW0iLCJsIjoiYWUyMDEyMTItMWI2Ni00YTU1LWFmNTAtYjVhNDZjMWFmNGYwIiwiZSI6Ijg5LjE0OS45MS4xNjIiLCJnIjoidHVyYm8iLCJ0IjoiMjAyNi0wNi0xNFQxOTo1MDowOC4xNTEzNzczNDlaIn19.ZsjY8_ChpH2ApcwoWQ6c0KwOHWV71G2z_uZNxf7fdUE&placement=ADS_LIST_INLINE_REDESIGN&adType=booster&location=subcategory&index=3534&cardCategoryId=270&cardSubcategoryId=1404,Kирпичный,2,14,75 м²,Подземная,2-х комнатная квартира,Новострой,Inamstro,,,236 900 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Центр, str. Calea Ieșilor, 6"
2,2,Индивидуальный дизайн,Индивидуальная,,Агентство,103094614,https://999.md/ru/103094614?location=subcategory&index=3535&cardCategoryId=270&cardSubcategoryId=1404,Ячеистый Бетон,7,8,135 м²,Oткрытое,3-х комнатная квартира,Новострой,Reconscivil,,,295 000 €,,Продам,"3-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Чокана, bd. Mircea cel Bătrân, 42/2"
1,1,Незавершенное cтроительство,,,Агентство,102411873,https://999.md/ru/102411873?location=subcategory&index=3536&cardCategoryId=270&cardSubcategoryId=1404,Kирпичный,8,10,41 м²,Подземная,1-комнатная квартира,Новострой,,,,56 700 €,,Продам,"1-комнатная квартира,  Дурлешты,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Дурлешты, Центр, Nicolae Dimo, 24"
1,1,Eвроремонт,Индивидуальная,,Агентство,103929176,https://999.md/ru/103929176?location=subcategory&index=3537&cardCategoryId=270&cardSubcategoryId=1404,Kомбинированный,2,12,45 м²,Oткрытое,1-комнатная квартира,Новострой,Lagmar Impex,,,116 900 €,,Продам,"1-комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Рышкановка, Carierei, 5C"
1,1,Косметический pемонт,Хрущевка,,Агентство,104405112,https://999.md/ru/104405112?location=subcategory&index=3538&cardCategoryId=270&cardSubcategoryId=1404,Панельный,5,5,44 м²,Oткрытое,2-х комнатная квартира,Вторичный,,,,68 900 €,,Продам,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Ботаника, str. Nicolai Zelinski, 32/4"
1,2,Eвроремонт,Индивидуальная,,Агентство,101916347,https://999.md/ru/101916347?location=subcategory&index=3539&cardCategoryId=270&cardSubcategoryId=1404,Kомбинированный,3,10,87 м²,Oткрытое,2-х комнатная квартира,Новострой,,,,185 500 €,,Продам,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Ботаника, Nicolai Zelinski, 31B"
2,2,Без ремонта,102,,Агентство,104002119,https://999.md/ru/104002119?location=subcategory&index=3540&cardCategoryId=270&cardSubcategoryId=1404,Kотельцовый,4,5,90 м²,Oткрытое,4-x комнатная квартира,Вторичный,,,,95 000 €,,Продам,"4-x комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Ботаника, Sarmizegetusa, 37/2"
1,1,Косметический pемонт,Малосемейная,,Агентство,103807706,https://999.md/ru/103807706?location=subcategory&index=3541&cardCategoryId=270&cardSubcategoryId=1404,Панельный,4,9,18 м²,Oткрытое,Комната,Вторичный,,,,25 000 €,,Продам,"Комната,  Буюканы,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Буюканы, str. Liviu Deleanu, 5/J"
Нет,1,Индивидуальный дизайн,Индивидуальная,,Частное лицо,103040386,https://999.md/ru/103040386?location=subcategory&index=3542&cardCategoryId=270&cardSubcategoryId=1404,Kотельцовый,4,5,21 м²,Oткрытое,1-комнатная квартира,Вторичный,,,21 м²,18 500 €,,Продам,"1-комнатная квартира,  Кишиневский мост,  Бельцы,  Бельцы мун.","Бельцы мун., Бельцы, Кишиневский мост, str. Chișinău, 60"
1,2,Eвроремонт,,,Частное лицо,103663571,https://999.md/ru/103663571?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3ODE0NzAyMDgsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDM2NjM1NzEiLCJpIjoiODkuMTQ5LjkxLjE2MiIsInMiOiJkZXNrdG9wX3JlZGVzaWduIiwicCI6ImFkc19saXN0X2lubGluZSIsIngiOiIiLCJsIjoiNGE1MmUxY2MtMGUzZS00YmExLTgwZjctNTVkZGNlZWFiMzk5IiwiZSI6Ijg5LjE0OS45MS4xNjIiLCJnIjoidHVyYm8iLCJ0IjoiMjAyNi0wNi0xNFQxOTo1MDowOC4xNTE0NzU4MzRaIn19.sFMe0kEJ0VRo1_GT7CvTXfOT47js7_1OaRf4WvaoNrI&placement=ADS_LIST_INLINE_REDESIGN&adType=booster&location=subcategory&index=3543&cardCategoryId=270&cardSubcategoryId=1404,,7,10,75 м²,Oткрытое,2-х комнатная квартира,Вторичный,,,67 м²,153 000 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Центр, bd. Stefan cel Mare si Sfint, 6"
,,Eвроремонт,,,Частное лицо,104374311,https://999.md/ru/104374311?location=subcategory&index=3544&cardCategoryId=270&cardSubcategoryId=1404,,3,4,55 м²,,2-х комнатная квартира,Новострой,,,,77 000 €,,Продам,"2-х комнатная квартира,  Окраина,  Каушаны,  Каушаны",Расположение
2,1,,,,Агентство,102501641,https://999.md/ru/102501641?location=subcategory&index=3545&cardCategoryId=270&cardSubcategoryId=1404,,2,5,45 м²,,2-х комнатная квартира,Вторичный,,,,110 900 €,,Продам,"2-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Рышкановка, str. Alecu Russo, 9/1"
,,,,,Застройщик,104327866,https://999.md/ru/104327866?location=subcategory&index=3546&cardCategoryId=270&cardSubcategoryId=1404,,7,9,50 м²,,2-х комнатная квартира,Вторичный,,,,112 900 €,,Продам,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Ботаника, bd. Cuza Vodă, 34/1"
,,,,,Агентство,104454365,https://999.md/ru/104454365?location=subcategory&index=3547&cardCategoryId=270&cardSubcategoryId=1404,,1,7,44 м²,,1-комнатная квартира,Новострой,,,,94 900 €,Квартира с ливингом,Продам,"1-комнатная квартира,  Окраина,  Дурлешты,  Кишинёв мун.","Кишинёв мун., Дурлешты, Окраина, str. Regele Carol, 1"
,,,,,Агентство,104454391,https://999.md/ru/104454391?location=subcategory&index=3548&cardCategoryId=270&cardSubcategoryId=1404,,8,10,35 м²,,1-комнатная квартира,Вторичный,,,,86 900 €,Квартира с ливингом,Продам,"1-комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Чокана, bd. Mircea cel Bătrân, 3"
1,2,,,,Застройщик,103565245,https://999.md/ru/103565245?location=subcategory&index=3549&cardCategoryId=270&cardSubcategoryId=1404,,5,16,62 м²,,2-х комнатная квартира,Вторичный,,,,86 900 €,,Продам,"2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Центр, str. Ismail, 92/1"
,,,,,Агентство,104454417,https://999.md/ru/104454417?location=subcategory&index=3550&cardCategoryId=270&cardSubcategoryId=1404,,2,5,63 м²,,2-х комнатная квартира,Вторичный,,,,118 900 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Ботаника, str. Trandafirilor, 29/2"
,,,,,Агентство,104606972,https://999.md/ru/104606972?location=subcategory&index=3551&cardCategoryId=270&cardSubcategoryId=1404,,7,13,38 м²,,1-комнатная квартира,Новострой,,,,95 000 €,,Продам,"1-комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Чокана, str. Mihail Sadoveanu, 24/6"
1,1,,,,Частное лицо,104590128,https://999.md/ru/104590128?location=subcategory&index=3552&cardCategoryId=270&cardSubcategoryId=1404,,4,8,77 м²,,2-х комнатная квартира,Новострой,Lagmar Impex,,,360 000 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Центр, str. Pan Halippa, 6/H"
1,2,,143,,Застройщик,104419798,https://999.md/ru/104419798?location=subcategory&index=3553&cardCategoryId=270&cardSubcategoryId=1404,Панельный,5,9,53 м²,,2-х комнатная квартира,Вторичный,,,,65 800 €,,Продам,"2-х комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Телецентр, str. Ialoveni, 98/3"
,1,Eвроремонт,,,Агентство,104611413,https://999.md/ru/104611413?location=subcategory&index=3554&cardCategoryId=270&cardSubcategoryId=1404,,6,10,34 м²,Oткрытое,1-комнатная квартира,Новострой,,,34 м²,77 900 €,Квартира с ливингом,Продам,"1-комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Ботаника, str. Bacioii Noi, 14/5"
,,,,,Застройщик,104611411,https://999.md/ru/104611411?location=subcategory&index=3555&cardCategoryId=270&cardSubcategoryId=1404,,2,6,45 м²,,1-комнатная квартира,Новострой,,,,85 900 €,Квартира с ливингом,Продам,"1-комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Буюканы, str. Durleşti, 4"
1,1,Белый вариант,Индивидуальная,,Агентство,104513538,https://999.md/ru/104513538?location=subcategory&index=3556&cardCategoryId=270&cardSubcategoryId=1404,Kомбинированный,4,9,50 м²,Oткрытое,1-комнатная квартира,Новострой,Lagmar Impex,,,76 900 €,,Продам,"1-комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Рышкановка, str. Calea Moșilor, 408"
1,1,Незавершенное cтроительство,Индивидуальная,2800 см,Застройщик,104297885,https://999.md/ru/104297885?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3ODE0NzAyMDgsIkMiOnsiciI6MSwiYiI6MTQwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDQyOTc4ODUiLCJpIjoiODkuMTQ5LjkxLjE2MiIsInMiOiJkZXNrdG9wX3JlZGVzaWduIiwicCI6ImFkc19saXN0X2lubGluZSIsIngiOiIiLCJsIjoiMzI2N2RiMDctY2Y4OS00NjI1LTgxOTUtZTJmMTM4ZDYwMmU1IiwiZSI6Ijg5LjE0OS45MS4xNjIiLCJnIjoibGl0ZSIsInQiOiIyMDI2LTA2LTE0VDE5OjUwOjA4LjE1MTU2Njc5WiJ9fQ.CKvN9PKQawhiCWxsKyjbkw3uTU4UAfk5XQBHdolFRrY&placement=ADS_LIST_INLINE_REDESIGN&adType=booster&location=subcategory&index=3557&cardCategoryId=270&cardSubcategoryId=1404,Kомбинированный,1,6,55 м²,Гараж,1-комнатная квартира,Новострой,Premium-Cons Grup,25 м²,30 м²,73 777 €,Квартира с ливингом,Продам,"1-комнатная квартира,  Центр,  Думбрава,  Кишинёв мун.","Кишинёв мун., Думбрава, Центр, str. Durleşti, 56"
1,1,Без ремонта,Хрущевка,,Агентство,103661970,https://999.md/ru/103661970?location=subcategory&index=3558&cardCategoryId=270&cardSubcategoryId=1404,Kотельцовый,2,4,38 м²,Oткрытое,2-х комнатная квартира,Вторичный,,,,72 000 €,,Продам,"2-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Рышкановка, Braniștii, 11"
Нет,1,Eвроремонт,Индивидуальная,,Агентство,103930635,https://999.md/ru/103930635?location=subcategory&index=3559&cardCategoryId=270&cardSubcategoryId=1404,Kотельцовый,5,6,18 м²,Oткрытое,1-комнатная квартира,Вторичный,,,,35 500 €,,Продам,"1-комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Чокана, Mihail Sadoveanu, 4/2"
Нет,1,Eвроремонт,Индивидуальная,,Агентство,104279093,https://999.md/ru/104279093?location=subcategory&index=3560&cardCategoryId=270&cardSubcategoryId=1404,Kомбинированный,8,8,65 м²,Oткрытое,1-комнатная квартира,Новострой,,,,115 000 €,,Продам,"1-комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Центр, Albișoara, 80/7a"
1,1,Eвроремонт,Индивидуальная,,Агентство,103409836,https://999.md/ru/103409836?location=subcategory&index=3561&cardCategoryId=270&cardSubcategoryId=1404,Kотельцовый,5,7,67 м²,Oткрытое,2-х комнатная квартира,Новострой,Astercon,,,147 900 €,,Продам,"2-х комнатная квартира,  Окраина,  Думбрава,  Кишинёв мун.","Кишинёв мун., Думбрава, Окраина, Durlesti, 10"
2,2,Eвроремонт,Индивидуальная,,Агентство,102442672,https://999.md/ru/102442672?location=subcategory&index=3562&cardCategoryId=270&cardSubcategoryId=1404,Kомбинированный,3,12,65 м²,Подземная,2-х комнатная квартира,Новострой,,,,140 000 €,,Продам,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Ботаника, Trandafirilor, 11/5"
Нет,1,Косметический pемонт,Хрущевка,,Агентство,104456102,https://999.md/ru/104456102?location=subcategory&index=3563&cardCategoryId=270&cardSubcategoryId=1404,Kотельцовый,5,5,42 м²,Oткрытое,1-комнатная квартира,Вторичный,,,,65 900 €,,Продам,"1-комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Рышкановка, str. Braniștii, 15"
1,2,Белый вариант,Индивидуальная,,Агентство,103041638,https://999.md/ru/103041638?location=subcategory&index=3564&cardCategoryId=270&cardSubcategoryId=1404,Kирпичный,3,9,72 м²,,2-х комнатная квартира,Новострой,Exfactor-grup,,,155 000 €,,Продам,"2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Центр, Albișoara, 78/4"
2,1,Eвроремонт,,,Агентство,104415181,https://999.md/ru/104415181?location=subcategory&index=3565&cardCategoryId=270&cardSubcategoryId=1404,Kомбинированный,8,8,105 м²,Подземная,2-х комнатная квартира,Новострой,Golban Trade,,,220 000 €,,Продам,"2-х комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.","Кишинёв мун., Дурлешты, Центр, str. Regina Elisabeta, 2/C"
1,1,Белый вариант,Индивидуальная,,Застройщик,100810417,https://999.md/ru/100810417?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3ODE0NzAyMDgsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDA4MTA0MTciLCJpIjoiODkuMTQ5LjkxLjE2MiIsInMiOiJkZXNrdG9wX3JlZGVzaWduIiwicCI6ImFkc19saXN0X2lubGluZSIsIngiOiJwcm8iLCJsIjoiNTE1ODNkNDUtYjZmYi00MDFjLThjZmItNzAyNDM1NDNmNDlmIiwiZSI6Ijg5LjE0OS45MS4xNjIiLCJnIjoidHVyYm8iLCJ0IjoiMjAyNi0wNi0xNFQxOTo1MDowOC4xNTE2MjIyNzhaIn19.ADZdJT28OP3ID47vcB9P57l_7Bnv2nInNLcaz8IXLSU&placement=ADS_LIST_INLINE_REDESIGN&adType=booster&location=subcategory&index=3566&cardCategoryId=270&cardSubcategoryId=1404,Mонолитный,2,4,45 м²,Oткрытое,2-х комнатная квартира,Новострой,,,45 м²,67 500 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Центр,  Яловены,  Яловены","Яловены, Яловены, Центр, str. Grigore Vieru, 8"
