Тип,Застройщик,Санузел,id,Ливинг,Этаж,title,Количество комнат,Высота потолков,price,Состояние квартиры,Тип здания,link,Количество этажей,Адрес,Общая площадь,Парковочное место,Балкон / лоджия,Автор объявления,Жилой фонд,Планировка,Жилая площадь
Продам,,2,104461796,,8,"2-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",2-х комнатная квартира,,118 900 €,Eвроремонт,Панельный,https://999.md/ru/104461796?location=subcategory&index=249&cardCategoryId=270&cardSubcategoryId=1404,9,"Кишинёв мун., Кишинёв, Чокана, ул. Игорь Виеру, 13",60 м²,,1,Агентство,Вторичный,143,
Продам,,1,104449629,,4,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",2-х комнатная квартира,,94 900 €,Eвроремонт,,https://999.md/ru/104449629?location=subcategory&index=250&cardCategoryId=270&cardSubcategoryId=1404,5,"Кишинёв мун., Кишинёв, Ботаника, str. Hristo Botev, 17",50 м²,Oткрытое,1,Агентство,Вторичный,,
Продам,Pamir Construct,1,104371814,Квартира с ливингом,1,"1-комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",1-комнатная квартира,,117 000 €,Eвроремонт,,https://999.md/ru/104371814?location=subcategory&index=251&cardCategoryId=270&cardSubcategoryId=1404,10,"Кишинёв мун., Кишинёв, Ботаника, str. Ghica Vodă, 5",36 м²,Подземная,,Агентство,Новострой,,
Продам,,2,104340597,,1,"3-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",3-х комнатная квартира,,119 900 €,Eвроремонт,,https://999.md/ru/104340597?location=subcategory&index=252&cardCategoryId=270&cardSubcategoryId=1404,9,"Кишинёв мун., Кишинёв, Ботаника, bd. Cuza Vodă, 17/1",70 м²,Oткрытое,,Агентство,Вторичный,,
Продам,,2,104323653,,5,"4-x комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",4-x комнатная квартира,,109 900 €,Косметический pемонт,,https://999.md/ru/104323653?location=subcategory&index=253&cardCategoryId=270&cardSubcategoryId=1404,9,"Кишинёв мун., Кишинёв, Чокана, str. Petru Zadnipru, 7",85 м²,Oткрытое,2,Агентство,Вторичный,,
Продам,Pamir Construct,1,104551493,Квартира с ливингом,4,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",2-х комнатная квартира,,139 000 €,Eвроремонт,Kомбинированный,https://999.md/ru/104551493?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3ODE1NDk1NjUsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDQ1NTE0OTMiLCJpIjoiODkuMTQ5LjkxLjE2MiIsInMiOiJkZXNrdG9wX3JlZGVzaWduIiwicCI6ImFkc19saXN0X2lubGluZSIsIngiOiJwcmVtaXVtIiwibCI6ImFlMjAxMjEyLTFiNjYtNGE1NS1hZjUwLWI1YTQ2YzFhZjRmMCIsImUiOiI4OS4xNDkuOTEuMTYyIiwiZyI6InR1cmJvIiwidCI6IjIwMjYtMDYtMTVUMTc6NTI6NDUuMzcwOTMxOTk3WiJ9fQ.iNfl3gS1yu5h2JIccORLfcWBG36Zub_g5Ksb4p40y98&placement=ADS_LIST_INLINE_REDESIGN&adType=booster&location=subcategory&index=254&cardCategoryId=270&cardSubcategoryId=1404,9,"Кишинёв мун., Кишинёв, Ботаника, ул. Гика Водэ, 5",48 м²,Подземная,Нет,Агентство,Новострой,Индивидуальная,
Продам,Sky House,1,104321913,Квартира с ливингом,2,"1-комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",1-комнатная квартира,,103 000 €,Eвроремонт,,https://999.md/ru/104321913?location=subcategory&index=255&cardCategoryId=270&cardSubcategoryId=1404,11,"Кишинёв мун., Кишинёв, Рышкановка, str. Andrei Doga, 26/E",38 м²,Oткрытое,1,Агентство,Новострой,,
Продам,Dansicons,3,104303289,Квартира с ливингом,9,"3-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",3-х комнатная квартира,,349 900 €,Eвроремонт,,https://999.md/ru/104303289?location=subcategory&index=256&cardCategoryId=270&cardSubcategoryId=1404,10,"Кишинёв мун., Кишинёв, Чокана, str. Nicolae Milescu Spatarul, 57",195 м²,Oткрытое,,Агентство,Новострой,,
Продам,,2,104181912,Квартира с ливингом,11,"3-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",3-х комнатная квартира,,225 000 €,Eвроремонт,Kотельцовый,https://999.md/ru/104181912?location=subcategory&index=257&cardCategoryId=270&cardSubcategoryId=1404,13,"Кишинёв мун., Кишинёв, Чокана, str. Nicolae Sulac, 4",120 м²,Подземная,3,Агентство,Новострой,Индивидуальная,
Продам,,1,104127259,Квартира с ливингом,3,"1-комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",1-комнатная квартира,,100 000 €,Eвроремонт,,https://999.md/ru/104127259?location=subcategory&index=258&cardCategoryId=270&cardSubcategoryId=1404,15,"Кишинёв мун., Кишинёв, Центр, ул. Албишоара, 80/7",53 м²,Oткрытое,1,Агентство,Новострой,,
Продам,Inamstro,1,104085111,Квартира с ливингом,1,"1-комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",1-комнатная квартира,,111 900 €,Eвроремонт,,https://999.md/ru/104085111?location=subcategory&index=259&cardCategoryId=270&cardSubcategoryId=1404,6,"Кишинёв мун., Кишинёв, Буюканы, ул. Ливиу Деляну, 10/2",50 м²,Oткрытое,,Агентство,Новострой,,
Продам,Pamir Construct,1,104075662,Квартира с ливингом,8,"1-комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",1-комнатная квартира,,118 900 €,Eвроремонт,,https://999.md/ru/104075662?location=subcategory&index=260&cardCategoryId=270&cardSubcategoryId=1404,9,"Кишинёв мун., Кишинёв, Ботаника, ул. Гика Водэ, 5",38 м²,Oткрытое,,Агентство,Новострой,,
Продам,,1,104038929,Квартира с ливингом,11,"2-х комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.",2-х комнатная квартира,,164 900 €,Eвроремонт,,https://999.md/ru/104038929?location=subcategory&index=261&cardCategoryId=270&cardSubcategoryId=1404,11,"Кишинёв мун., Кишинёв, Телецентр, ш. Хынчешть, 55/5",95 м²,Oткрытое,1,Агентство,Новострой,,
Продам,Exfactor-grup,2,104031042,Квартира с ливингом,7,"3-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",3-х комнатная квартира,,227 000 €,Eвроремонт,,https://999.md/ru/104031042?location=subcategory&index=262&cardCategoryId=270&cardSubcategoryId=1404,13,"Кишинёв мун., Кишинёв, Буюканы, ул. Василе Лупу, 28",90 м²,Oткрытое,1,Агентство,Новострой,,
Продам,,2,104021740,,10,"3-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",3-х комнатная квартира,,124 900 €,Eвроремонт,,https://999.md/ru/104021740?location=subcategory&index=263&cardCategoryId=270&cardSubcategoryId=1404,16,"Кишинёв мун., Кишинёв, Ботаника, пр-т Дачия, 40/3",70 м²,Oткрытое,2,Агентство,Вторичный,,
Продам,,1,104021039,Квартира с ливингом,6,"2-х комнатная квартира,  Центр,  Гидигич,  Кишинёв мун.",2-х комнатная квартира,,85 000 €,Белый вариант,,https://999.md/ru/104021039?location=subcategory&index=264&cardCategoryId=270&cardSubcategoryId=1404,7,"Кишинёв мун., Гидигич, Центр, ул. Алексей Матеевич, 16/2",95 м²,Oткрытое,1,Агентство,Новострой,,
Продам,Inamstro,1,104020995,Квартира с ливингом,2,"2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",2-х комнатная квартира,,145 000 €,Eвроремонт,,https://999.md/ru/104020995?location=subcategory&index=265&cardCategoryId=270&cardSubcategoryId=1404,12,"Кишинёв мун., Кишинёв, Буюканы, ул. Иоана Раду, 27/4",54 м²,Oткрытое,,Агентство,Новострой,,
Продам,,,104621982,Квартира с ливингом,3,"2-х комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.",2-х комнатная квартира,,99 000 €,Eвроремонт,,https://999.md/ru/104621982?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3ODE1NDk1NjUsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDQ2MjE5ODIiLCJpIjoiODkuMTQ5LjkxLjE2MiIsInMiOiJkZXNrdG9wX3JlZGVzaWduIiwicCI6ImFkc19saXN0X2lubGluZSIsIngiOiIiLCJsIjoiOGJlYTk4MjktOTAxMi00MzI5LTg5MGQtYjAyZmUyZTg4NTdhIiwiZSI6Ijg5LjE0OS45MS4xNjIiLCJnIjoidHVyYm8iLCJ0IjoiMjAyNi0wNi0xNVQxNzo1Mjo0NS4zNzA5ODg2NVoifX0.FFYoep7oZvPb8pIlPbxpbKZyW4rwLQKWODISbJtGDC4&placement=ADS_LIST_INLINE_REDESIGN&adType=booster&location=subcategory&index=266&cardCategoryId=270&cardSubcategoryId=1404,5,"Кишинёв мун., Кишинёв, Телецентр, str. Drumul Viilor, 99",56 м²,,,Частное лицо,Вторичный,,
Продам,,2,104007177,Квартира с ливингом,2,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",2-х комнатная квартира,,169 900 €,Eвроремонт,,https://999.md/ru/104007177?location=subcategory&index=267&cardCategoryId=270&cardSubcategoryId=1404,10,"Кишинёв мун., Кишинёв, Ботаника, ул. Ашхабад, 127/6",78 м²,Oткрытое,1,Агентство,Новострой,,
Продам,,1,104002770,,4,"3-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",3-х комнатная квартира,,74 500 €,Косметический pемонт,,https://999.md/ru/104002770?location=subcategory&index=268&cardCategoryId=270&cardSubcategoryId=1404,5,"Кишинёв мун., Кишинёв, Чокана, ул. Волунтарилор, 4",59 м²,Oткрытое,1,Агентство,Вторичный,,
Продам,Exfactor-grup,1,103972387,Квартира с ливингом,14,"1-комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.",1-комнатная квартира,,145 000 €,Eвроремонт,,https://999.md/ru/103972387?location=subcategory&index=269&cardCategoryId=270&cardSubcategoryId=1404,15,"Кишинёв мун., Кишинёв, Телецентр, ул. Пьетрарилор, 10/5",56 м²,Oткрытое,1,Агентство,Новострой,,
Продам,Solomon Construct Imobil,1,103965430,,3,"1-комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.",1-комнатная квартира,,79 500 €,Eвроремонт,Kирпичный,https://999.md/ru/103965430?location=subcategory&index=270&cardCategoryId=270&cardSubcategoryId=1404,9,"Кишинёв мун., Кишинёв, Телецентр, ул. Яловень, 38/1",31 м²,Oткрытое,1,Агентство,Новострой,,
Продам,Exfactor-grup,1,103954254,Квартира с ливингом,9,"2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",2-х комнатная квартира,,204 900 €,Eвроремонт,Kирпичный,https://999.md/ru/103954254?location=subcategory&index=271&cardCategoryId=270&cardSubcategoryId=1404,9,"Кишинёв мун., Кишинёв, Буюканы, ул. Ион Буздуган, 11",74 м²,Подземная,1,Агентство,Новострой,,
Продам,Inamstro,1,103941831,Квартира с ливингом,Пентхаус,"3-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",3-х комнатная квартира,,209 000 €,,,https://999.md/ru/103941831?location=subcategory&index=272&cardCategoryId=270&cardSubcategoryId=1404,13,"Кишинёв мун., Кишинёв, Буюканы, ул. Каля Ешилор, 6",85 м²,Oткрытое,1,Агентство,Новострой,,
Продам,Exfactor-grup,1,103836869,Квартира с ливингом,6,"2-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",2-х комнатная квартира,,204 900 €,Eвроремонт,,https://999.md/ru/103836869?location=subcategory&index=273&cardCategoryId=270&cardSubcategoryId=1404,15,"Кишинёв мун., Кишинёв, Чокана, пр-т Мирча чел Бэтрын, 41/A",72 м²,Подземная,,Агентство,Новострой,,
Продам,Solomon Construct Imobil,1,103829204,Квартира с ливингом,2,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",2-х комнатная квартира,,149 900 €,Eвроремонт,,https://999.md/ru/103829204?location=subcategory&index=274&cardCategoryId=270&cardSubcategoryId=1404,10,"Кишинёв мун., Кишинёв, Ботаника, Jubiliara, 39/1",60 м²,Oткрытое,1,Агентство,Новострой,,
Продам,,1,103828377,,5,"2-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",2-х комнатная квартира,,79 900 €,Eвроремонт,Kотельцовый,https://999.md/ru/103828377?location=subcategory&index=275&cardCategoryId=270&cardSubcategoryId=1404,5,"Кишинёв мун., Кишинёв, Рышкановка, ул. Николай Димо, 13/4",42 м²,Oткрытое,,Агентство,Вторичный,,
Продам,NG Invest,1,103576427,Квартира с ливингом,4,"2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",2-х комнатная квартира,,285 000 €,Белый вариант,Kирпичный,https://999.md/ru/103576427?location=subcategory&index=276&cardCategoryId=270&cardSubcategoryId=1404,8,"Кишинёв мун., Кишинёв, Центр, str. Serghei Lazo, 46",89 м²,,1,Агентство,Новострой,Индивидуальная,
Продам,Ecovzor,2,103368414,Квартира без ливинга,2,"2-х комнатная квартира,  Центр,  Криково,  Кишинёв мун.",2-х комнатная квартира,295 см,98 000 €,Белый вариант,Mонолитный,https://999.md/ru/103368414?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3ODE1NDk1NjUsIkMiOnsiciI6MSwiYiI6MTQwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDMzNjg0MTQiLCJpIjoiODkuMTQ5LjkxLjE2MiIsInMiOiJkZXNrdG9wX3JlZGVzaWduIiwicCI6ImFkc19saXN0X2lubGluZSIsIngiOiIiLCJsIjoiMjJlMDZhOTItYzIzOS00NzFiLWEyOGItYTJiMzMwZjY0NTI2IiwiZSI6Ijg5LjE0OS45MS4xNjIiLCJnIjoibGl0ZSIsInQiOiIyMDI2LTA2LTE1VDE3OjUyOjQ1LjM3MTA0MDE5MloifX0.jADOt8eRI1U_9aOqOVbunJQR2IheIOxBBt7f22yqfW4&placement=ADS_LIST_INLINE_REDESIGN&adType=booster&location=subcategory&index=277&cardCategoryId=270&cardSubcategoryId=1404,7,"Кишинёв мун., Криково, Центр, str. Vasile Alescandri, 5",68 м²,Oткрытое,1,Застройщик,Новострой,,
Продам,,1,103287483,Квартира с ливингом,4,"2-х комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.",2-х комнатная квартира,,117 900 €,Eвроремонт,,https://999.md/ru/103287483?location=subcategory&index=278&cardCategoryId=270&cardSubcategoryId=1404,7,"Кишинёв мун., Дурлешты, Центр, str. Tudor Vladimirescu, 52",65 м²,Oткрытое,1,Агентство,Новострой,,
Продам,Lagmar Impex,1,103287354,Квартира с ливингом,11,"2-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",2-х комнатная квартира,,174 900 €,Eвроремонт,,https://999.md/ru/103287354?location=subcategory&index=279&cardCategoryId=270&cardSubcategoryId=1404,12,"Кишинёв мун., Кишинёв, Рышкановка, str. Cornesti, 11",65 м²,Oткрытое,1,Агентство,Новострой,,
Продам,Lagmar Impex,2,103181653,,11,"2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",2-х комнатная квартира,,126 750 €,Белый вариант,Kомбинированный,https://999.md/ru/103181653?location=subcategory&index=280&cardCategoryId=270&cardSubcategoryId=1404,14,"Кишинёв мун., Кишинёв, Центр, str. Nicolae Testemitanu, 19",65 м²,Oткрытое,1,Агентство,Новострой,,
Продам,Exfactor-grup,1,103142537,Квартира с ливингом,10,"2-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",2-х комнатная квартира,,199 900 €,Eвроремонт,Kирпичный,https://999.md/ru/103142537?location=subcategory&index=281&cardCategoryId=270&cardSubcategoryId=1404,12,"Кишинёв мун., Кишинёв, Чокана, пр-т Мирча чел Бэтрын, 41/A",67 м²,Подземная,2,Агентство,Новострой,Индивидуальная,
Продам,,1,103034702,,5,"2-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",2-х комнатная квартира,,89 000 €,Eвроремонт,,https://999.md/ru/103034702?location=subcategory&index=282&cardCategoryId=270&cardSubcategoryId=1404,5,"Кишинёв мун., Кишинёв, Рышкановка, str. Florilor, 18/2",48 м²,Oткрытое,1,Агентство,Вторичный,,
Продам,Pamir Construct,1,101918738,Квартира с ливингом,7,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",2-х комнатная квартира,,143 900 €,Eвроремонт,,https://999.md/ru/101918738?location=subcategory&index=283&cardCategoryId=270&cardSubcategoryId=1404,8,"Кишинёв мун., Кишинёв, Ботаника, пер. Гика Водэ, 5",55 м²,Oткрытое,,Агентство,Новострой,,
Продам,Braus Imobiliare,1,101903179,Квартира без ливинга,8,"2-х комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.",2-х комнатная квартира,,169 900 €,Eвроремонт,Kирпичный,https://999.md/ru/101903179?location=subcategory&index=284&cardCategoryId=270&cardSubcategoryId=1404,17,"Кишинёв мун., Кишинёв, Телецентр, str. Constantin Vârnav, 32/A",72 м²,Подземная,1,Агентство,Новострой,,
Продам,,2,101863718,,6,"2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",2-х комнатная квартира,,269 900 €,Eвроремонт,Kирпичный,https://999.md/ru/101863718?location=subcategory&index=285&cardCategoryId=270&cardSubcategoryId=1404,13,"Кишинёв мун., Кишинёв, Центр, пр-т Штефан чел Маре ши Сфынт, 169",62 м²,Oткрытое,1,Агентство,Новострой,Индивидуальная,
Продам,Lagmar Impex,2,101863513,Квартира с ливингом,12,"2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",2-х комнатная квартира,,257 900 €,Eвроремонт,Kомбинированный,https://999.md/ru/101863513?location=subcategory&index=286&cardCategoryId=270&cardSubcategoryId=1404,14,"Кишинёв мун., Кишинёв, Центр, ул. Николае Тестемицану, 19",76 м²,Подземная,1,Агентство,Новострой,Индивидуальная,
Продам,Sky House,2,101426649,Квартира с ливингом,5,"2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",2-х комнатная квартира,,218 500 €,Eвроремонт,Kирпичный,https://999.md/ru/101426649?location=subcategory&index=287&cardCategoryId=270&cardSubcategoryId=1404,16,"Кишинёв мун., Кишинёв, Центр, ул. Лев Толстой, 63",82 м²,Oткрытое,Нет,Агентство,Новострой,Индивидуальная,
Продам,Eldorado Terra,2,101190521,Квартира с ливингом,10,"2-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",2-х комнатная квартира,,177 900 €,Eвроремонт,,https://999.md/ru/101190521?location=subcategory&index=288&cardCategoryId=270&cardSubcategoryId=1404,11,"Кишинёв мун., Кишинёв, Чокана, str. Ginta Latina, 12/7",93 м²,Oткрытое,2,Агентство,Новострой,,
Продам,Inamstro,1,101142212,Квартира с ливингом,6,"2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",2-х комнатная квартира,,185 000 €,Белый вариант,,https://999.md/ru/101142212?location=subcategory&index=289&cardCategoryId=270&cardSubcategoryId=1404,13,"Кишинёв мун., Кишинёв, Буюканы, ул. Каля Ешилор, 6",80 м²,Подземная,,Агентство,Новострой,Индивидуальная,
Сдаю посуточно,,1,89791641,Квартира с ливингом,3,"2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",2-х комнатная квартира,,600 MDL,Eвроремонт,,https://999.md/ru/89791641?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3ODE1NDk1NjUsIkMiOnsiciI6MSwiYiI6MTQwLCJjIjoyNzAsInoiOjE0MDQsImEiOiI4OTc5MTY0MSIsImkiOiI4OS4xNDkuOTEuMTYyIiwicyI6ImRlc2t0b3BfcmVkZXNpZ24iLCJwIjoiYWRzX2xpc3RfaW5saW5lIiwieCI6InByZW1pdW0iLCJsIjoiMWNiZjkwMzctODQ5Ny00ZGRlLWE0NDgtZjliY2MxOGRlOGZlIiwiZSI6Ijg5LjE0OS45MS4xNjIiLCJnIjoibGl0ZSIsInQiOiIyMDI2LTA2LTE1VDE3OjUyOjQ1LjM3MTEwNTAxNVoifX0.IznbrYjbwC6Q0VUyyhfAmq4lYKYGFsJwnJJbPblw9ws&placement=ADS_LIST_INLINE_REDESIGN&adType=booster&location=subcategory&index=290&cardCategoryId=270&cardSubcategoryId=1404,9,"Кишинёв мун., Кишинёв, Центр, str. Cojocarilor, 20",95 м²,Подземная,1,Агентство,Новострой,,66 м²
