Балкон / лоджия,Санузел,Состояние квартиры,Планировка,Высота потолков,Автор объявления,id,link,Этаж,Тип здания,Количество этажей,Общая площадь,Количество комнат,Парковочное место,Жилой фонд,Застройщик,Площадь кухни,Жилая площадь,price,Ливинг,Тип,title,Адрес
1,1,,,280 см,Частное лицо,104612983,https://999.md/ru/104612983?location=subcategory&index=2840&cardCategoryId=270&cardSubcategoryId=1404,4,Блочный,4,40 м²,2-х комнатная квартира,,Вторичный,,,,98 500 €,,Продам,"2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Центр, str. Alexandr Pușkin, 50/A"
1,1,Eвроремонт,Индивидуальная,,Агентство,102863517,https://999.md/ru/102863517?location=subcategory&index=2841&cardCategoryId=270&cardSubcategoryId=1404,8,Kирпичный,10,43 м²,1-комнатная квартира,,Новострой,,,,77 500 €,,Продам,"1-комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.","Кишинёв мун., Дурлешты, Центр, Cartusa, 99/7"
,1,Eвроремонт,Индивидуальная,,Агентство,102941954,https://999.md/ru/102941954?location=subcategory&index=2842&cardCategoryId=270&cardSubcategoryId=1404,8,,10,36 м²,1-комнатная квартира,,Вторичный,,,,86 900 €,,Продам,"1-комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Чокана,  bd. Mircea cel Bătrân, 3"
1,1,Eвроремонт,,,Агентство,104600079,https://999.md/ru/104600079?location=subcategory&index=2843&cardCategoryId=270&cardSubcategoryId=1404,2,,10,51 м²,1-комнатная квартира,Подземная,Новострой,,,,96 900 €,,Продам,"1-комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Центр, str.Atelierilor , --"
,1,Белый вариант,Индивидуальная,,Агентство,103501610,https://999.md/ru/103501610?location=subcategory&index=2844&cardCategoryId=270&cardSubcategoryId=1404,4,,9,50 м²,1-комнатная квартира,,Новострой,,,,80 454 €,,Продам,"1-комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Чокана, ул. Буковина, 2"
1,1,Eвроремонт,,,Агентство,102539548,https://999.md/ru/102539548?location=subcategory&index=2845&cardCategoryId=270&cardSubcategoryId=1404,1,,7,43 м²,1-комнатная квартира,Подземная,Новострой,,,,89 900 €,,Продам,"1-комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.","Кишинёв мун., Дурлешты, Центр, str. Regina Elisabeta, **"
,,Eвроремонт,,,Агентство,104612970,https://999.md/ru/104612970?location=subcategory&index=2846&cardCategoryId=270&cardSubcategoryId=1404,6,,10,34 м²,1-комнатная квартира,,Новострой,,,,77 900 €,Квартира с ливингом,Продам,"1-комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Ботаника, str. Băcioii Noi, 14/D"
1,1,Индивидуальный дизайн,Индивидуальная,,Агентство,104308925,https://999.md/ru/104308925?location=subcategory&index=2847&cardCategoryId=270&cardSubcategoryId=1404,3,Kотельцовый,4,36 м²,1-комнатная квартира,Oткрытое,Вторичный,,7 м²,18 м²,60 900 €,,Продам,"1-комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Ботаника, str. Nicolae Titulescu, 4"
,1,,,,Агентство,104575504,https://999.md/ru/104575504?location=subcategory&index=2848&cardCategoryId=270&cardSubcategoryId=1404,6,,9,16 м²,1-комнатная квартира,,Вторичный,,,12 м²,21 500 €,,Продам,"1-комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Чокана, str. Voluntarilor, 16"
1,1,Индивидуальный дизайн,Индивидуальная,3 см,Застройщик,101069163,https://999.md/ru/101069163?location=subcategory&index=2849&cardCategoryId=270&cardSubcategoryId=1404,4,Kирпичный,17,80 м²,2-х комнатная квартира,Oткрытое,Новострой,Eldorado Terra,,80 м²,259 900 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Рышкановка, str. Bogdan Voievod, 1"
2,2,Eвроремонт,,,Агентство,102966311,https://999.md/ru/102966311?location=subcategory&index=2850&cardCategoryId=270&cardSubcategoryId=1404,7,,13,119 м²,2-х комнатная квартира,Oткрытое,Новострой,Basconslux,,,290 000 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Центр, str. Lev Tolstoi, 24/1"
1,1,Eвроремонт,,,Застройщик,104353074,https://999.md/ru/104353074?location=subcategory&index=2851&cardCategoryId=270&cardSubcategoryId=1404,6,,7,42 м²,1-комнатная квартира,,Новострой,,,,96 900 €,Квартира с ливингом,Продам,"1-комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.","Кишинёв мун., Дурлешты, Центр, str. Regele Carol, 5"
,2,Eвроремонт,,,Агентство,104588968,https://999.md/ru/104588968?location=subcategory&index=2852&cardCategoryId=270&cardSubcategoryId=1404,1,,10,106 м²,3-х комнатная квартира,,Новострой,Exfactor-grup,,,285 000 €,,Продам,"3-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Буюканы, str. Vasile Lupu, --"
1,2,Индивидуальный дизайн,,,Агентство,104337083,https://999.md/ru/104337083?location=subcategory&index=2853&cardCategoryId=270&cardSubcategoryId=1404,6,Kомбинированный,9,46 м²,1-комнатная квартира,,Вторичный,,12 м²,20 м²,80 999 €,,Продам,"1-комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Чокана, str. Maria Drăgan, 38/2"
Нет,1,Косметический pемонт,Индивидуальная,,Агентство,104540956,https://999.md/ru/104540956?location=subcategory&index=2854&cardCategoryId=270&cardSubcategoryId=1404,6,,9,15 м²,Комната,,Вторичный,,,12 м²,21 550 €,,Продам,"Комната,  Чокана,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Чокана, str. Voluntarilor, 16"
1,2,Белый вариант,Индивидуальная,275 см,Застройщик,104593998,https://999.md/ru/104593998?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3ODE0Njg5NDMsIkMiOnsiciI6MSwiYiI6MTAwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDQ1OTM5OTgiLCJpIjoiODkuMTQ5LjkxLjE2MiIsInMiOiJkZXNrdG9wX3JlZGVzaWduIiwicCI6ImFkc19saXN0X2lubGluZSIsIngiOiJwcmVtaXVtIiwibCI6ImFlOTQxZTRiLTE4MGUtNGVjYS1hOTE2LTNhZWVhMmNiMzBmMSIsImUiOiI4OS4xNDkuOTEuMTYyIiwidCI6IjIwMjYtMDYtMTRUMTk6Mjk6MDMuMzQ2NjM1Mzc3WiJ9fQ.ire0HeXXI9rojizNK9qZNK8PTQWxJynEgVavFGHoqFE&placement=ADS_LIST_INLINE_REDESIGN&adType=booster&location=subcategory&index=2855&cardCategoryId=270&cardSubcategoryId=1404,1,Kотельцовый,9,106 м²,3-х комнатная квартира,Гараж,Новострой,Astercon,19 м²,,154 000 €,,Продам,"3-х комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.","Кишинёв мун., Дурлешты, Центр, str. Durleşti, 10/A"
3,2,Белый вариант,,,Застройщик,100837441,https://999.md/ru/100837441?location=subcategory&index=2856&cardCategoryId=270&cardSubcategoryId=1404,Пентхаус,Бетон,8,88 м²,2-х комнатная квартира,Подземная,Новострой,,,,80 080 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Центр,  Комрат,  Комрат","Комрат, Комрат, Центр, str. Fedico, 29"
,2,Eвроремонт,,,Агентство,104576181,https://999.md/ru/104576181?location=subcategory&index=2857&cardCategoryId=270&cardSubcategoryId=1404,3,,12,112 м²,3-х комнатная квартира,,Новострой,Exfactor-grup,,,359 900 €,Квартира с ливингом,Продам,"3-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Буюканы, str. Vasile Lupu, 28"
1,1,Eвроремонт,,,Застройщик,104347951,https://999.md/ru/104347951?location=subcategory&index=2858&cardCategoryId=270&cardSubcategoryId=1404,5,,7,46 м²,1-комнатная квартира,,Новострой,,,,96 900 €,Квартира с ливингом,Продам,"1-комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.","Кишинёв мун., Дурлешты, Центр, str. Regele Carol, 5"
,1,Eвроремонт,,270 см,Агентство,101757666,https://999.md/ru/101757666?location=subcategory&index=2859&cardCategoryId=270&cardSubcategoryId=1404,7,,9,50 м²,1-комнатная квартира,Oткрытое,Новострой,Exfactor-grup,,,120 000 €,Квартира с ливингом,Продам,"1-комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Буюканы, str. Ion Buzdugan, 3"
2,1,Белый вариант,,,Агентство,104008168,https://999.md/ru/104008168?location=subcategory&index=2860&cardCategoryId=270&cardSubcategoryId=1404,14,,16,81 м²,2-х комнатная квартира,,Новострой,,,,115 000 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Чокана, str. Ion Dumeniuc, -"
,,Белый вариант,,,Застройщик,100452241,https://999.md/ru/100452241?location=subcategory&index=2861&cardCategoryId=270&cardSubcategoryId=1404,2,Kирпичный,10,84 м²,2-х комнатная квартира,Подземная,Новострой,,,,84 500 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.",Расположение
1,2,Eвроремонт,,,Агентство,102540806,https://999.md/ru/102540806?location=subcategory&index=2862&cardCategoryId=270&cardSubcategoryId=1404,18,,20,89 м²,3-х комнатная квартира,Подземная,Новострой,,,,295 000 €,,Продам,"3-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Центр,  str. Bogdan Petriceicu Hașdeu, 1"
2,1,,Мс (Молд. Серия),,Частное лицо,102526416,https://999.md/ru/102526416?location=subcategory&index=2863&cardCategoryId=270&cardSubcategoryId=1404,8,,10,57 м²,2-х комнатная квартира,Гараж,Вторичный,,,,100 000 €,,Продам,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Ботаника, bd. Dacia, 11"
,1,,,,Частное лицо,103867169,https://999.md/ru/103867169?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3ODE0Njg5NDMsIkMiOnsiciI6MSwiYiI6MTQwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDM4NjcxNjkiLCJpIjoiODkuMTQ5LjkxLjE2MiIsInMiOiJkZXNrdG9wX3JlZGVzaWduIiwicCI6ImFkc19saXN0X2lubGluZSIsIngiOiIiLCJsIjoiNjNmMDg1NDAtOGMxYy00ZWI4LWI5NTEtYmFmNjJmNDExMmUwIiwiZSI6Ijg5LjE0OS45MS4xNjIiLCJnIjoibGl0ZSIsInQiOiIyMDI2LTA2LTE0VDE5OjI5OjAzLjM0NjcwNTUzOVoifX0.cc4A9oS80v0kYsKNMVfWlNor6kdGSa6FLZI4tp_crlU&placement=ADS_LIST_INLINE_REDESIGN&adType=booster&location=subcategory&index=2864&cardCategoryId=270&cardSubcategoryId=1404,9,,11,45 м²,1-комнатная квартира,Oткрытое,Новострой,,,,40 €,Квартира с ливингом,Сдаю посуточно,"1-комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Чокана, bd. Mircea cel Batran, 43/E"
,1,Eвроремонт,,,Агентство,103283933,https://999.md/ru/103283933?location=subcategory&index=2865&cardCategoryId=270&cardSubcategoryId=1404,7,,9,72 м²,2-х комнатная квартира,,Новострой,,,,139 900 €,,Продам,"2-х комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.","Кишинёв мун., Дурлешты, Центр, str. Cartușa, 95"
,1,Белый вариант,,,Агентство,103745507,https://999.md/ru/103745507?location=subcategory&index=2866&cardCategoryId=270&cardSubcategoryId=1404,6,Бетон,14,56 м²,3-х комнатная квартира,Oткрытое,Новострой,,,,100 900 €,,Продам,"3-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Центр, Renasterii Nationale, 33"
Нет,1,Eвроремонт,,,Застройщик,102223674,https://999.md/ru/102223674?location=subcategory&index=2867&cardCategoryId=270&cardSubcategoryId=1404,1,,5,30 м²,1-комнатная квартира,,Вторичный,,,,68 000 €,Квартира без ливинга,Продам,"1-комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Буюканы, ул. Дойна ши Ион Алдя-Теодорович, 8"
