Балкон / лоджия,Состояние квартиры,Санузел,Планировка,Высота потолков,Автор объявления,id,link,Этаж,Тип здания,Количество этажей,Общая площадь,Парковочное место,Количество комнат,Жилой фонд,Застройщик,Площадь кухни,Жилая площадь,price,Ливинг,Тип,title,Адрес
2,Eвроремонт,1,Индивидуальная,275 см,Частное лицо,104468157,https://999.md/ru/104468157?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3ODE0NzA2MzEsIkMiOnsiciI6MSwiYiI6MTAwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDQ0NjgxNTciLCJpIjoiODkuMTQ5LjkxLjE2MiIsInMiOiJkZXNrdG9wX3JlZGVzaWduIiwicCI6ImFkc19saXN0X2lubGluZSIsIngiOiJwcm8iLCJsIjoiN2Y3OTFiYTAtNDQ0NS00NzNlLWI4YjUtMDEwOWFiOWE0Mzk5IiwiZSI6Ijg5LjE0OS45MS4xNjIiLCJ0IjoiMjAyNi0wNi0xNFQxOTo1NzoxMS40MDU5MTA4NjdaIn19.g5oXvZGtX46AxsCfzjOw8-xwjGRLNla5V4S1a1FUeAA&placement=ADS_LIST_INLINE_REDESIGN&adType=booster&location=subcategory&index=3766&cardCategoryId=270&cardSubcategoryId=1404,9,Бетон,10,55 м²,Oткрытое,2-х комнатная квартира,Вторичный,,7 м²,31 м²,79 500 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Ботаника, şos. Munceşti, 164"
1,Eвроремонт,1,,,Агентство,104543708,https://999.md/ru/104543708?location=subcategory&index=3767&cardCategoryId=270&cardSubcategoryId=1404,3,,5,50 м²,Oткрытое,2-х комнатная квартира,Вторичный,,,,103 900 €,,Продам,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Ботаника, Teilor, 9"
1,Eвроремонт,1,,275 см,Частное лицо,102710437,https://999.md/ru/102710437?location=subcategory&index=3768&cardCategoryId=270&cardSubcategoryId=1404,8,,11,64 м²,,2-х комнатная квартира,Новострой,Nicons,13 м²,,110 000 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.","Кишинёв мун., Дурлешты, Центр, str. Cartuşa, 95"
2,Eвроремонт,2,Варц (Варницкая),,Агентство,103410174,https://999.md/ru/103410174?location=subcategory&index=3769&cardCategoryId=270&cardSubcategoryId=1404,9,Панельный,9,72 м²,,3-х комнатная квартира,Вторичный,,,,115 000 €,,Продам,"3-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Ботаника, Grenoble, 163/1"
,Белый вариант,,,,Застройщик,102972780,https://999.md/ru/102972780?location=subcategory&index=3770&cardCategoryId=270&cardSubcategoryId=1404,1,Блочный,7,81 м²,,2-х комнатная квартира,Новострой,,15 м²,,76 475 €,,Продам,"2-х комнатная квартира,  Центр,  Криково,  Кишинёв мун.","Кишинёв мун., Криково, Центр, str. Calea Basarabiei, 2A"
1,Eвроремонт,1,,,Агентство,102902307,https://999.md/ru/102902307?location=subcategory&index=3771&cardCategoryId=270&cardSubcategoryId=1404,2,,10,68 м²,,2-х комнатная квартира,Новострой,,,,177 000 €,,Продам,"2-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Чокана,  bd. Mircea cel Bătrân, 43"
,Eвроремонт,2,Индивидуальная,,Агентство,103671195,https://999.md/ru/103671195?location=subcategory&index=3772&cardCategoryId=270&cardSubcategoryId=1404,10,,10,200 м²,,2-х комнатная квартира,Новострой,,,,204 900 €,,Продам,"2-х комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Телецентр,  Ialoveni , 100"
,Белый вариант,,,,Агентство,104573831,https://999.md/ru/104573831?location=subcategory&index=3773&cardCategoryId=270&cardSubcategoryId=1404,4,,6,73 м²,,2-х комнатная квартира,Новострой,,,,128 500 €,,Продам,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Ботаника, bd. Dacia, -"
,Белый вариант,,,,Агентство,103367691,https://999.md/ru/103367691?location=subcategory&index=3774&cardCategoryId=270&cardSubcategoryId=1404,7,,9,75 м²,,2-х комнатная квартира,Новострой,,,,93 000 €,,Продам,"2-х комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.","Кишинёв мун., Дурлешты, Центр, str. Cartușa, 95/2"
2,Eвроремонт,1,Индивидуальная,,Агентство,103469304,https://999.md/ru/103469304?location=subcategory&index=3775&cardCategoryId=270&cardSubcategoryId=1404,12,,16,82 м²,,3-х комнатная квартира,Новострой,,,,167 000 €,,Продам,"3-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Чокана,  str. Ion Dumeniuc, 26"
,Белый вариант,2,,,Агентство,103501701,https://999.md/ru/103501701?location=subcategory&index=3776&cardCategoryId=270&cardSubcategoryId=1404,4,,9,88 м²,,3-х комнатная квартира,Новострой,,,,119 610 €,,Продам,"3-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Чокана, ул. Буковина, 2"
1,Eвроремонт,2,,,Агентство,103961100,https://999.md/ru/103961100?location=subcategory&index=3777&cardCategoryId=270&cardSubcategoryId=1404,7,,12,85 м²,,3-х комнатная квартира,Новострой,,,,169 900 €,,Продам,"3-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Ботаника, str. Jubiliară , -"
,,,,,Агентство,104125800,https://999.md/ru/104125800?location=subcategory&index=3778&cardCategoryId=270&cardSubcategoryId=1404,4,,9,42 м²,,1-комнатная квартира,Новострой,,,,46 500 €,,Продам,"1-комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.","Кишинёв мун., Дурлешты, Центр, str. Nicolae Dimo, ---"
1,Индивидуальный дизайн,2,Индивидуальная,330 см,Частное лицо,102908521,https://999.md/ru/102908521?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3ODE0NzA2MzEsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDI5MDg1MjEiLCJpIjoiODkuMTQ5LjkxLjE2MiIsInMiOiJkZXNrdG9wX3JlZGVzaWduIiwicCI6ImFkc19saXN0X2lubGluZSIsIngiOiJwcm8iLCJsIjoiYjgxOTk5YWItZWM0OC00MzRlLTk3MDEtNzQ3ZGUwY2U4YzJkIiwiZSI6Ijg5LjE0OS45MS4xNjIiLCJnIjoidHVyYm8iLCJ0IjoiMjAyNi0wNi0xNFQxOTo1NzoxMS40MDYwMzc1ODdaIn19.wM3X1u_3ymbRkdUspNd38BJsw96M0AwDMN2vUMTOGgo&placement=ADS_LIST_INLINE_REDESIGN&adType=booster&location=subcategory&index=3779&cardCategoryId=270&cardSubcategoryId=1404,10,Mонолитный,11,197 м²,Гараж,3-х комнатная квартира,Новострой,,,,395 000 €,Квартира с ливингом,Продам,"3-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Ботаника, str. Tudor Strișcă, 8/7"
1,Белый вариант,1,,,Агентство,104147663,https://999.md/ru/104147663?location=subcategory&index=3780&cardCategoryId=270&cardSubcategoryId=1404,3,,10,45 м²,,1-комнатная квартира,Новострой,,,,53 500 €,,Продам,"1-комнатная квартира,  Скулянка,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Скулянка, str. Ştefan cel Mare și Sfînt, 1"
1,Белый вариант,1,,,Агентство,104147605,https://999.md/ru/104147605?location=subcategory&index=3781&cardCategoryId=270&cardSubcategoryId=1404,6,,10,45 м²,,1-комнатная квартира,Новострой,,,,53 500 €,,Продам,"1-комнатная квартира,  Центр,  Гидигич,  Кишинёв мун.","Кишинёв мун., Гидигич, Центр, ул. Штефан чел Маре ши Сфынт, 1"
,Eвроремонт,1,,,Агентство,104147525,https://999.md/ru/104147525?location=subcategory&index=3782&cardCategoryId=270&cardSubcategoryId=1404,3,Kотельцовый,5,32 м²,,1-комнатная квартира,Вторичный,,,,63 500 €,,Продам,"1-комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Рышкановка, п. Студенцилор, 6"
,Eвроремонт,1,,,Агентство,104147340,https://999.md/ru/104147340?location=subcategory&index=3783&cardCategoryId=270&cardSubcategoryId=1404,3,Kотельцовый,5,32 м²,,1-комнатная квартира,Вторичный,,,,63 500 €,,Продам,"1-комнатная квартира,  Старая Почта,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Старая Почта, п. Студенцилор, 6"
,Белый вариант,1,,,Агентство,104068457,https://999.md/ru/104068457?location=subcategory&index=3784&cardCategoryId=270&cardSubcategoryId=1404,3,,10,45 м²,,1-комнатная квартира,Новострой,,,,53 500 €,,Продам,"1-комнатная квартира,  Центр,  Гидигич,  Кишинёв мун.","Кишинёв мун., Гидигич, Центр, ул. Штефан чел Маре ши Сфынт, 1"
1,Eвроремонт,1,,,Агентство,102262955,https://999.md/ru/102262955?location=subcategory&index=3785&cardCategoryId=270&cardSubcategoryId=1404,1,,6,57 м²,,1-комнатная квартира,Новострой,,,,88 500 €,Квартира с ливингом,Продам,"1-комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.","Кишинёв мун., Дурлешты, Центр, str. Cartuşa, 97/1"
,,1,,,Частное лицо,104610084,https://999.md/ru/104610084?location=subcategory&index=3786&cardCategoryId=270&cardSubcategoryId=1404,1,,5,45 м²,,2-х комнатная квартира,Вторичный,,,,30 000 €,,Продам,"2-х комнатная квартира,  Центр,  Купчинь,  Единцы","Единцы, Купчинь, Центр, ул. Пэчий, 11"
1,Белый вариант,2,Индивидуальная,275 см,Застройщик,104593998,https://999.md/ru/104593998?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3ODE0NzA2MzEsIkMiOnsiciI6MSwiYiI6MTAwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDQ1OTM5OTgiLCJpIjoiODkuMTQ5LjkxLjE2MiIsInMiOiJkZXNrdG9wX3JlZGVzaWduIiwicCI6ImFkc19saXN0X2lubGluZSIsIngiOiJwcmVtaXVtIiwibCI6ImFlOTQxZTRiLTE4MGUtNGVjYS1hOTE2LTNhZWVhMmNiMzBmMSIsImUiOiI4OS4xNDkuOTEuMTYyIiwidCI6IjIwMjYtMDYtMTRUMTk6NTc6MTEuNDA2MjI5MjU0WiJ9fQ.MczfATGtiR3koT_PkrFvHdNQa8_yympg6OZIKHp8OE8&placement=ADS_LIST_INLINE_REDESIGN&adType=booster&location=subcategory&index=3787&cardCategoryId=270&cardSubcategoryId=1404,1,Kотельцовый,9,106 м²,Гараж,3-х комнатная квартира,Новострой,Astercon,19 м²,,154 000 €,,Продам,"3-х комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.","Кишинёв мун., Дурлешты, Центр, str. Durleşti, 10/A"
1,Косметический pемонт,2,,,Агентство,104012455,https://999.md/ru/104012455?location=subcategory&index=3788&cardCategoryId=270&cardSubcategoryId=1404,5,,5,60 м²,Oткрытое,3-х комнатная квартира,Вторичный,,,60 м²,75 000 €,,Продам,"3-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Буюканы, str. Vasile Lupu, 89"
1,,2,,,Частное лицо,104610076,https://999.md/ru/104610076?location=subcategory&index=3789&cardCategoryId=270&cardSubcategoryId=1404,7,,9,72 м²,,2-х комнатная квартира,Новострой,Exfactor-grup,,,129 999 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Буюканы, str. Ion Buzdugan, 13"
2,Eвроремонт,2,102,,Агентство,101363189,https://999.md/ru/101363189?location=subcategory&index=3790&cardCategoryId=270&cardSubcategoryId=1404,5,Kотельцовый,5,80 м²,,4-x комнатная квартира,Вторичный,,,,115 900 €,,Продам,"4-x комнатная квартира,  Старая Почта,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Старая Почта, str. Ceucari, 2"
1,Белый вариант,1,Индивидуальная,,Агентство,103553568,https://999.md/ru/103553568?location=subcategory&index=3791&cardCategoryId=270&cardSubcategoryId=1404,8,Ячеистый Бетон,9,54 м²,Подземная,2-х комнатная квартира,Новострой,,,,71 006 €,,Продам,"2-х комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Телецентр,  Șoseaua Hâncești, 142"
,Eвроремонт,,Индивидуальная,,Агентство,103904535,https://999.md/ru/103904535?location=subcategory&index=3792&cardCategoryId=270&cardSubcategoryId=1404,4,,5,51 м²,Oткрытое,2-х комнатная квартира,Новострой,,,,112 900 €,,Продам,"2-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Чокана,  str. Ion Dumeniuc, 23"
1,Eвроремонт,1,Индивидуальная,,Агентство,103027923,https://999.md/ru/103027923?location=subcategory&index=3793&cardCategoryId=270&cardSubcategoryId=1404,13,Kотельцовый,13,58 м²,Oткрытое,2-х комнатная квартира,Новострой,,,,124 900 €,,Продам,"2-х комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Телецентр, Miorița, 1"
,Белый вариант,1,,,Агентство,103745565,https://999.md/ru/103745565?location=subcategory&index=3794&cardCategoryId=270&cardSubcategoryId=1404,8,Бетон,14,56 м²,Подземная,2-х комнатная квартира,Новострой,,,,99 900 €,,Продам,"2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Центр, Renasterii Nationale , 37"
2,Косметический pемонт,2,Индивидуальная,,Агентство,104068156,https://999.md/ru/104068156?location=subcategory&index=3795&cardCategoryId=270&cardSubcategoryId=1404,2,Kотельцовый,5,70 м²,,3-х комнатная квартира,Вторичный,,,,105 000 €,,Продам,"3-х комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.","Кишинёв мун., Дурлешты, Центр, str. Chimiștilor, 9"
,Eвроремонт,,,,Агентство,103448767,https://999.md/ru/103448767?location=subcategory&index=3796&cardCategoryId=270&cardSubcategoryId=1404,5,,16,86 м²,Oткрытое,2-х комнатная квартира,Новострой,,,,185 800 €,,Продам,"2-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Рышкановка,  str. Matei Basarab , 1/1"
,Белый вариант,,,,Агентство,103657620,https://999.md/ru/103657620?location=subcategory&index=3797&cardCategoryId=270&cardSubcategoryId=1404,11,,18,54 м²,,2-х комнатная квартира,Новострой,,,,85 900 €,,Продам,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Ботаника, Dimineții, 5"
1,Белый вариант,1,Индивидуальная,,Агентство,103407293,https://999.md/ru/103407293?location=subcategory&index=3798&cardCategoryId=270&cardSubcategoryId=1404,4,Ячеистый Бетон,7,54 м²,,2-х комнатная квартира,Новострой,,,,65 900 €,,Продам,"2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Центр, Alexandru Cosmescu , 5"
,Белый вариант,,,,Агентство,102068176,https://999.md/ru/102068176?location=subcategory&index=3799&cardCategoryId=270&cardSubcategoryId=1404,11,,11,120 м²,,3-х комнатная квартира,Новострой,,,,179 700 €,,Продам,"3-х комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Телецентр, Ialoveni, 136"
1,Белый вариант,1,Индивидуальная,,Агентство,102776445,https://999.md/ru/102776445?location=subcategory&index=3800&cardCategoryId=270&cardSubcategoryId=1404,3,Kирпичный,6,47 м²,,1-комнатная квартира,Новострой,,,,76 480 €,,Продам,"1-комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",Расположение
1,Eвроремонт,1,,,Агентство,103567297,https://999.md/ru/103567297?location=subcategory&index=3801&cardCategoryId=270&cardSubcategoryId=1404,9,,14,63 м²,,2-х комнатная квартира,Новострой,,,,129 500 €,,Продам,"2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Центр, Anestiade, 8"
1,Eвроремонт,1,Индивидуальная,320 см,Частное лицо,102857559,https://999.md/ru/102857559?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3ODE0NzA2MzEsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDI4NTc1NTkiLCJpIjoiODkuMTQ5LjkxLjE2MiIsInMiOiJkZXNrdG9wX3JlZGVzaWduIiwicCI6ImFkc19saXN0X2lubGluZSIsIngiOiJwcm8iLCJsIjoiMzViYzJmNWUtMGMzZi00OGIwLWFhYjItNWIwNjg3MmEzMTI2IiwiZSI6Ijg5LjE0OS45MS4xNjIiLCJnIjoicGx1cyIsInQiOiIyMDI2LTA2LTE0VDE5OjU3OjExLjQwNjM1ODU5OFoifX0.oC5IfdtSDzWA2RIwSQIHcPZwpxQ__0a2VjEwuysGBu8&placement=ADS_LIST_INLINE_REDESIGN&adType=booster&location=subcategory&index=3802&cardCategoryId=270&cardSubcategoryId=1404,15,Kирпичный,17,74 м²,Под навесом,2-х комнатная квартира,Новострой,Eldorado Terra,,,240 000 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Рышкановка, str. Bogdan Voievod, 1/A"
