Балкон / лоджия,Состояние квартиры,Санузел,Планировка,Высота потолков,Автор объявления,id,link,Тип здания,Этаж,Количество этажей,Общая площадь,Количество комнат,Парковочное место,Жилой фонд,Площадь кухни,Застройщик,Жилая площадь,price,Ливинг,Тип,title,Адрес
,Eвроремонт,,,,Агентство,104518091,https://999.md/ru/104518091?location=subcategory&index=2117&cardCategoryId=270&cardSubcategoryId=1404,,5,9,20 м²,Комната,,Вторичный,,,,42 900 €,,Продам,"Комната,  Ботаника,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Ботаника, bd. Decebal, 1"
,Eвроремонт,1,,,Агентство,104485844,https://999.md/ru/104485844?location=subcategory&index=2118&cardCategoryId=270&cardSubcategoryId=1404,,8,12,47 м²,1-комнатная квартира,,Новострой,,Inamstro,,145 000 €,Квартира с ливингом,Продам,"1-комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Рышкановка, str. Alecu Russo, 9/7"
,Eвроремонт,1,,,Агентство,104509971,https://999.md/ru/104509971?location=subcategory&index=2119&cardCategoryId=270&cardSubcategoryId=1404,,6,14,70 м²,2-х комнатная квартира,Подземная,Новострой,,,,179 000 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Рышкановка, str. Carierei, 5e"
,,,,,Агентство,104192543,https://999.md/ru/104192543?location=subcategory&index=2120&cardCategoryId=270&cardSubcategoryId=1404,,Пентхаус,11,206 м²,3-х комнатная квартира,,Новострой,,,,600 000 €,Квартира с ливингом,Продам,"3-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Ботаника, bd. Decebal, 99/B"
Нет,Eвроремонт,1,,,Агентство,103540352,https://999.md/ru/103540352?location=subcategory&index=2121&cardCategoryId=270&cardSubcategoryId=1404,,5,8,48 м²,1-комнатная квартира,Подземная,Новострой,,,,109 900 €,,Продам,"1-комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.","Кишинёв мун., Дурлешты, Центр, str. Regina Elisabeta, *"
2,Eвроремонт,1,,,Агентство,101537365,https://999.md/ru/101537365?location=subcategory&index=2122&cardCategoryId=270&cardSubcategoryId=1404,,2,12,38 м²,1-комнатная квартира,Oткрытое,Новострой,,,,105 000 €,,Продам,"1-комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Центр,  str. Nicolae Testemițanu, 3"
1,Белый вариант,1,,280 см,Застройщик,100908399,https://999.md/ru/100908399?location=subcategory&index=2123&cardCategoryId=270&cardSubcategoryId=1404,Kирпичный,6,10,52 м²,1-комнатная квартира,Подземная,Новострой,,Braus Imobiliare,,73 200 €,Квартира с ливингом,Продам,"1-комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Телецентр, sos. Hincesti, 140/1"
,Eвроремонт,,,,Агентство,104241060,https://999.md/ru/104241060?location=subcategory&index=2124&cardCategoryId=270&cardSubcategoryId=1404,,5,11,85 м²,3-х комнатная квартира,Подземная,Вторичный,,,,205 000 €,,Продам,"3-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Чокана, -Mircea cel Batrin, -20"
1,Eвроремонт,1,,,Агентство,104094432,https://999.md/ru/104094432?location=subcategory&index=2125&cardCategoryId=270&cardSubcategoryId=1404,,2,4,57 м²,3-х комнатная квартира,,Вторичный,,,,114 900 €,Квартира с ливингом,Продам,"3-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Ботаника, str. Pandurilor, -"
,Eвроремонт,2,,,Агентство,104483720,https://999.md/ru/104483720?location=subcategory&index=2126&cardCategoryId=270&cardSubcategoryId=1404,,21,21,111 м²,3-х комнатная квартира,,Новострой,,,,249 900 €,Квартира с ливингом,Продам,"3-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Чокана, bd. Mircea cel Bătrân, -"
1,Eвроремонт,1,,,Агентство,104036983,https://999.md/ru/104036983?location=subcategory&index=2127&cardCategoryId=270&cardSubcategoryId=1404,,3,11,68 м²,2-х комнатная квартира,,Новострой,,,,175 000 €,,Продам,"2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Центр, str. Lev Tolstoi, -"
1,Eвроремонт,,,,Агентство,104477774,https://999.md/ru/104477774?location=subcategory&index=2128&cardCategoryId=270&cardSubcategoryId=1404,,1,4,38 м²,2-х комнатная квартира,,Новострой,,,,79 000 €,,Продам,"2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Буюканы, str. Alexandru Marinescu, -"
Нет,Сдан в эксплуатацию,2,,27 см,Частное лицо,103541220,https://999.md/ru/103541220?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3ODE0Njc3MzUsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDM1NDEyMjAiLCJpIjoiODkuMTQ5LjkxLjE2MiIsInMiOiJkZXNrdG9wX3JlZGVzaWduIiwicCI6ImFkc19saXN0X2lubGluZSIsIngiOiJwcm8iLCJsIjoiMTU2ZTFkMjMtYWM2Yy00NzhmLThhYmItY2M1OTYzMjAxYTc1IiwiZSI6Ijg5LjE0OS45MS4xNjIiLCJnIjoidHVyYm8iLCJ0IjoiMjAyNi0wNi0xNFQxOTowODo1NS45Nzk5MTYzMThaIn19.X5f_chrxLDJ-F0hK98nV3rv6iO0fBwodilKHuu0fW3Q&placement=ADS_LIST_INLINE_REDESIGN&adType=booster&location=subcategory&index=2129&cardCategoryId=270&cardSubcategoryId=1404,Блочный,4,7,72 м²,2-х комнатная квартира,,Новострой,,Solomon Construct Imobil,72 м²,190 000 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Чокана, str. Nicolae Milescu Spatarul, 63"
1,Eвроремонт,1,,,Агентство,103510474,https://999.md/ru/103510474?location=subcategory&index=2130&cardCategoryId=270&cardSubcategoryId=1404,,8,13,75 м²,3-х комнатная квартира,,Новострой,,,,169 900 €,Квартира с ливингом,Продам,"3-х комнатная квартира,  Старая Почта,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Старая Почта, str. Iazului, -"
,,,,,Агентство,104348910,https://999.md/ru/104348910?location=subcategory&index=2131&cardCategoryId=270&cardSubcategoryId=1404,,2,10,38 м²,1-комнатная квартира,,Новострой,,,,103 000 €,Квартира с ливингом,Продам,"1-комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Рышкановка, str. Andrei Doga, ---"
1,Eвроремонт,2,,,Агентство,104523086,https://999.md/ru/104523086?location=subcategory&index=2132&cardCategoryId=270&cardSubcategoryId=1404,,3,9,100 м²,3-х комнатная квартира,,Новострой,,Gonvaro-Con,,237 000 €,Квартира с ливингом,Продам,"3-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Буюканы, str. Alba-Iulia, -"
,Eвроремонт,,,,Агентство,104258566,https://999.md/ru/104258566?location=subcategory&index=2133&cardCategoryId=270&cardSubcategoryId=1404,,1,1,80 м²,3-х комнатная квартира,,Вторичный,,,,150 000 €,Квартира с ливингом,Продам,"3-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Центр, str. București, -"
,,,,,Агентство,104450336,https://999.md/ru/104450336?location=subcategory&index=2134&cardCategoryId=270&cardSubcategoryId=1404,,1,1,23 м²,1-комнатная квартира,,Новострой,,,,50 000 €,,Продам,"1-комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Центр, str. Cojocarilor, ---"
1,Eвроремонт,1,,,Агентство,100726492,https://999.md/ru/100726492?location=subcategory&index=2135&cardCategoryId=270&cardSubcategoryId=1404,,3,10,80 м²,3-х комнатная квартира,,Новострой,,,,239 000 €,Квартира с ливингом,Продам,"3-х комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Телецентр, str. Pietrarilor, 0"
3,Eвроремонт,2,,,Агентство,104026918,https://999.md/ru/104026918?location=subcategory&index=2136&cardCategoryId=270&cardSubcategoryId=1404,,10,14,129 м²,3-х комнатная квартира,,Новострой,,,,550 000 €,Квартира с ливингом,Продам,"3-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Центр, bd. Ştefan cel Mare şi Sfânt, -"
,,,,,Агентство,103964507,https://999.md/ru/103964507?location=subcategory&index=2137&cardCategoryId=270&cardSubcategoryId=1404,,7,8,45 м²,2-х комнатная квартира,,Новострой,,,,85 069 €,,Продам,"2-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Рышкановка, str. Poștei, ---"
,,,,,Агентство,103726606,https://999.md/ru/103726606?location=subcategory&index=2138&cardCategoryId=270&cardSubcategoryId=1404,,5,23,41 м²,2-х комнатная квартира,,Новострой,,,,62 100 €,,Продам,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Ботаника, bd. Dacia, ---"
,,1,,,Агентство,104584743,https://999.md/ru/104584743?location=subcategory&index=2139&cardCategoryId=270&cardSubcategoryId=1404,,8,16,37 м²,1-комнатная квартира,,Вторичный,,,,55 000 €,,Продам,"1-комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Буюканы, Piața Unirii Principatelor, -"
1,Eвроремонт,2,,,Агентство,104481458,https://999.md/ru/104481458?location=subcategory&index=2140&cardCategoryId=270&cardSubcategoryId=1404,,7,9,66 м²,2-х комнатная квартира,,Новострой,,,,149 500 €,,Продам,"2-х комнатная квартира,  Старая Почта,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Старая Почта, str. Ceucari, 9/3"
1,Белый вариант,2,Индивидуальная,275 см,Застройщик,104593998,https://999.md/ru/104593998?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3ODE0Njc3MzUsIkMiOnsiciI6MSwiYiI6MTAwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDQ1OTM5OTgiLCJpIjoiODkuMTQ5LjkxLjE2MiIsInMiOiJkZXNrdG9wX3JlZGVzaWduIiwicCI6ImFkc19saXN0X2lubGluZSIsIngiOiJwcmVtaXVtIiwibCI6ImFlOTQxZTRiLTE4MGUtNGVjYS1hOTE2LTNhZWVhMmNiMzBmMSIsImUiOiI4OS4xNDkuOTEuMTYyIiwidCI6IjIwMjYtMDYtMTRUMTk6MDg6NTUuOTc5OTY5MDk2WiJ9fQ.0mvZ-QTNwVxG89QhTrZ0OpXCL0EhwbrJTkz39UPjntc&placement=ADS_LIST_INLINE_REDESIGN&adType=booster&location=subcategory&index=2141&cardCategoryId=270&cardSubcategoryId=1404,Kотельцовый,1,9,106 м²,3-х комнатная квартира,Гараж,Новострой,19 м²,Astercon,,154 000 €,,Продам,"3-х комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.","Кишинёв мун., Дурлешты, Центр, str. Durleşti, 10/A"
Нет,Белый вариант,1,,,Агентство,102180526,https://999.md/ru/102180526?location=subcategory&index=2142&cardCategoryId=270&cardSubcategoryId=1404,,2,8,87 м²,3-х комнатная квартира,Подземная,Новострой,,,,95 700 €,,Продам,"3-х комнатная квартира,  Дурлешты,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Дурлешты, Центр, Str.Nicolae Dimo , **"
1,Белый вариант,2,,300 см,Застройщик,100967185,https://999.md/ru/100967185?location=subcategory&index=2143&cardCategoryId=270&cardSubcategoryId=1404,Kирпичный,1,4,77 м²,2-х комнатная квартира,Подземная,Новострой,,Braus Imobiliare,,208 170 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Рышкановка, ул. Чиркулуй, 61"
2,Eвроремонт,2,Индивидуальная,,Застройщик,104572182,https://999.md/ru/104572182?location=subcategory&index=2144&cardCategoryId=270&cardSubcategoryId=1404,Kотельцовый,7,9,100 м²,3-х комнатная квартира,Oткрытое,Новострой,20 м²,AMIC,60 м²,207 000 €,,Продам,"3-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Буюканы, ул. Ливиу Деляну, 5/6"
1,Белый вариант,2,,,Застройщик,101214066,https://999.md/ru/101214066?location=subcategory&index=2145&cardCategoryId=270&cardSubcategoryId=1404,Kирпичный,15,16,68 м²,2-х комнатная квартира,Подземная,Новострой,,Lagmar Impex,,97 290 €,,Продам,"2-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Рышкановка, str. Calea Moșilor, 4"
2,Eвроремонт,2,,,Агентство,104583699,https://999.md/ru/104583699?location=subcategory&index=2146&cardCategoryId=270&cardSubcategoryId=1404,,10,10,113 м²,3-х комнатная квартира,,Новострой,,,,179 000 €,,Продам,"3-х комнатная квартира,  Центр,  Оргеев,  Оргеев","Оргеев, Оргеев, Центр, str. 1 Mai, -"
1,Белый вариант,1,,290 см,Застройщик,100964275,https://999.md/ru/100964275?location=subcategory&index=2147&cardCategoryId=270&cardSubcategoryId=1404,,2,4,45 м²,1-комнатная квартира,Подземная,Новострой,16 м²,,,55 574 €,Квартира с ливингом,Продам,"1-комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Телецентр, str. Ialoveni, 102"
,,,,,Застройщик,103154868,https://999.md/ru/103154868?location=subcategory&index=2148&cardCategoryId=270&cardSubcategoryId=1404,,8,10,65 м²,2-х комнатная квартира,,Новострой,,,,154 900 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Буюканы, ул. Иоана Раду, 29/2"
2,Белый вариант,2,,450 см,Застройщик,104020197,https://999.md/ru/104020197?location=subcategory&index=2149&cardCategoryId=270&cardSubcategoryId=1404,,5,5,92 м²,2-х комнатная квартира,Подземная,Новострой,30 м²,,,185 000 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Телецентр, str. Pietrarilor, 16/A"
,Eвроремонт,,,,Частное лицо,80052102,https://999.md/ru/80052102?location=subcategory&index=2150&cardCategoryId=270&cardSubcategoryId=1404,,3,4,44 м²,1-комнатная квартира,Oткрытое,Новострой,14 м²,,,50 600 €,,Продам,"1-комнатная квартира,  Молодово,  Бельцы,  Кишинёв мун.","Кишинёв мун., Бельцы, Молодово, str. Ștefan cel Mare și Sfînt, 187"
Нет,Eвроремонт,1,Индивидуальная,,Агентство,104535634,https://999.md/ru/104535634?location=subcategory&index=2151&cardCategoryId=270&cardSubcategoryId=1404,Kомбинированный,12,12,46 м²,2-х комнатная квартира,Подземная,Новострой,,,,122 900 €,,Продам,"2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Буюканы, str. Alba-Iulia, 77/2"
1,Eвроремонт,1,Индивидуальная,,Агентство,103639820,https://999.md/ru/103639820?location=subcategory&index=2152&cardCategoryId=270&cardSubcategoryId=1404,Kирпичный,6,9,42 м²,1-комнатная квартира,Подземная,Новострой,,,,126 000 €,,Продам,"1-комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Ботаника, Ghica Voda, 5"
1,Eвроремонт,1,,,Частное лицо,103804531,https://999.md/ru/103804531?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3ODE0Njc3MzUsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDM4MDQ1MzEiLCJpIjoiODkuMTQ5LjkxLjE2MiIsInMiOiJkZXNrdG9wX3JlZGVzaWduIiwicCI6ImFkc19saXN0X2lubGluZSIsIngiOiIiLCJsIjoiYjM2YTgwMDAtN2FkNy00OTUwLTkxMTktNDAzNzRmYTg3NTNkIiwiZSI6Ijg5LjE0OS45MS4xNjIiLCJnIjoicGx1cyIsInQiOiIyMDI2LTA2LTE0VDE5OjA4OjU1Ljk4MDAxMTg3OVoifX0.lSVIyJdLmPLBOkxuMP4tL1L4M0gJWyVnq6BqzR5AaHk&placement=ADS_LIST_INLINE_REDESIGN&adType=booster&location=subcategory&index=2153&cardCategoryId=270&cardSubcategoryId=1404,,6,9,65 м²,3-х комнатная квартира,,Вторичный,,,,600 €,,Сдаю помесячно,"3-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Чокана, str. Mihail Sadoveanu, 4/1"
1,Косметический pемонт,2,143,,Агентство,104067912,https://999.md/ru/104067912?location=subcategory&index=2154&cardCategoryId=270&cardSubcategoryId=1404,Панельный,9,9,50 м²,2-х комнатная квартира,Oткрытое,Вторичный,,,,109 900 €,,Продам,"2-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Чокана, Bulevardul Mircea cel Bătrân, 31/2"
1,Незавершенное cтроительство,2,Индивидуальная,,Агентство,102505751,https://999.md/ru/102505751?location=subcategory&index=2155&cardCategoryId=270&cardSubcategoryId=1404,Kирпичный,6,14,105 м²,3-х комнатная квартира,Подземная,Новострой,,Inamstro,,175 000 €,,Продам,"3-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Ботаника, Gradina Botanica, 18 H"
Нет,Eвроремонт,2,102,,Агентство,104541244,https://999.md/ru/104541244?location=subcategory&index=2156&cardCategoryId=270&cardSubcategoryId=1404,Kотельцовый,3,5,48 м²,2-х комнатная квартира,Oткрытое,Вторичный,,,,65 900 €,,Продам,"2-х комнатная квартира,  Центр,  Бачой,  Кишинёв мун.","Кишинёв мун., Бачой, Центр, Independenței, 48"
1,Eвроремонт,1,Индивидуальная,,Агентство,101541233,https://999.md/ru/101541233?location=subcategory&index=2157&cardCategoryId=270&cardSubcategoryId=1404,Kирпичный,8,10,48 м²,1-комнатная квартира,Подземная,Новострой,,Exfactor-grup,,119 000 €,,Продам,"1-комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Буюканы, Ion Buzdugan, 9"
Нет,Eвроремонт,1,Индивидуальная,,Агентство,102991982,https://999.md/ru/102991982?location=subcategory&index=2158&cardCategoryId=270&cardSubcategoryId=1404,Kомбинированный,12,13,77 м²,2-х комнатная квартира,Подземная,Новострой,,Kirsan,,210 000 €,,Продам,"2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Центр, Ion Nistor, 2"
1,Eвроремонт,2,Индивидуальная,,Агентство,103428212,https://999.md/ru/103428212?location=subcategory&index=2159&cardCategoryId=270&cardSubcategoryId=1404,Kотельцовый,9,10,78 м²,2-х комнатная квартира,Oткрытое,Новострой,,Exfactor-grup,,126 900 €,,Продам,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Ботаника, Dacia, 49/8"
Нет,Косметический pемонт,1,Хрущевка,,Агентство,103502251,https://999.md/ru/103502251?location=subcategory&index=2160&cardCategoryId=270&cardSubcategoryId=1404,Панельный,7,7,31 м²,1-комнатная квартира,Oткрытое,Вторичный,,,,40 900 €,,Продам,"1-комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Буюканы, str. Sucevița, 36/1"
1,Незавершенное cтроительство,1,Индивидуальная,,Агентство,101110124,https://999.md/ru/101110124?location=subcategory&index=2161&cardCategoryId=270&cardSubcategoryId=1404,Kирпичный,7,14,46 м²,1-комнатная квартира,Oткрытое,Новострой,,Lagmar Impex,,73 600 €,,Продам,"1-комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Рышкановка, Tudor Vladimirescu, 1\8"
,,,,,Частное лицо,104578243,https://999.md/ru/104578243?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3ODE0Njc3MzUsIkMiOnsiciI6MSwiYiI6MTQwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDQ1NzgyNDMiLCJpIjoiODkuMTQ5LjkxLjE2MiIsInMiOiJkZXNrdG9wX3JlZGVzaWduIiwicCI6ImFkc19saXN0X2lubGluZSIsIngiOiIiLCJsIjoiYzU2NjAyNTEtYjE0Zi00Nzc4LWJlNDgtNTQyYmYxNDMxMzE0IiwiZSI6Ijg5LjE0OS45MS4xNjIiLCJnIjoibGl0ZSIsInQiOiIyMDI2LTA2LTE0VDE5OjA4OjU1Ljk4MDA5Mjg3NFoifX0.QZ45acdSYF7NUd8HG5ze-a0ejEf2gdfudh4GzMjyNec&placement=ADS_LIST_INLINE_REDESIGN&adType=booster&location=subcategory&index=2162&cardCategoryId=270&cardSubcategoryId=1404,,1,11,74 м²,3-х комнатная квартира,,Новострой,,Basconslux,,149 000 €,Квартира с ливингом,Продам,"3-х комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Телецентр, str. Sprîncenoaia, 3/G"
1,Eвроремонт,2,Индивидуальная,,Агентство,103843221,https://999.md/ru/103843221?location=subcategory&index=2163&cardCategoryId=270&cardSubcategoryId=1404,Kомбинированный,7,9,117 м²,2-х комнатная квартира,Oткрытое,Новострой,,,,249 000 €,,Продам,"2-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Рышкановка, Academician Sergiu Rădăuțanu, 3"
,Eвроремонт,1,,,Агентство,104513969,https://999.md/ru/104513969?location=subcategory&index=2164&cardCategoryId=270&cardSubcategoryId=1404,,7,8,34 м²,1-комнатная квартира,,Новострой,,Solomon Construct Imobil,,83 900 €,,Продам,"1-комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Телецентр, str. Ialoveni, 98."
