Автор объявления,Состояние квартиры,Этаж,Жилой фонд,Балкон / лоджия,id,link,Санузел,Планировка,Парковочное место,title,Ливинг,Тип,Жилая площадь,Тип здания,Количество этажей,Площадь кухни,Застройщик,price,Адрес,Высота потолков,Количество комнат,Общая площадь
Застройщик,Незавершенное cтроительство,7,Новострой,1,103017213,https://999.md/ru/103017213?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY2OTM1NzYsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDMwMTcyMTMiLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiJwcmVtaXVtIiwibCI6ImNkMjVlNDlkLTBiNDgtNDEzZi05YWIwLWFjZTRhY2Q1ZmQ3OSIsImUiOiI4OS4xNDkuOTMuMTM5IiwiZyI6InR1cmJvIiwidCI6IjIwMjYtMDQtMjBUMTI6NTk6MzYuNjU0NjEwNTIxWiJ9fQ.dBBdeK2rQQCZZqrXS0CNuw19Wy_mCN7tM2ofw74Wz1Q&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=8,1,,,"2-х комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.",,Продам,,,10,,,43 056 €,"Кишинёв мун., Дурлешты, Центр, str. Nicolae Dimo, 24a",,2-х комнатная квартира,47 м²
Частное лицо,Без ремонта,2,Вторичный,,103644564,https://999.md/ru/103644564?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY2OTM1NzYsIkMiOnsiciI6MSwiYiI6MTQwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDM2NDQ1NjQiLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiIiLCJsIjoiMGMyMGMwNDAtY2VmMS00MWYwLWFjMTUtMTBmMTA0NmRkNDAzIiwiZSI6Ijg5LjE0OS45My4xMzkiLCJnIjoibGl0ZSIsInQiOiIyMDI2LTA0LTIwVDEyOjU5OjM2LjY1NDY5ODA2WiJ9fQ.gmthfO27_CuU1YzZfWdHYLQBs_7Qt6nv04kZdW5YLl4&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=9,1,,Oткрытое,"1-комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",,Продам,,Kотельцовый,4,,A-casa,31 000 €,"Кишинёв мун., Кишинёв, Чокана, str. Ișnovăț, 11",250 см,1-комнатная квартира,24 м²
Застройщик,Белый вариант,6,Новострой,,88243226,https://999.md/ru/88243226?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY2OTM1NzYsIkMiOnsiciI6MSwiYiI6MTQwLCJjIjoyNzAsInoiOjE0MDQsImEiOiI4ODI0MzIyNiIsImkiOiI4OS4xNDkuOTMuMTM5IiwicyI6ImRlc2t0b3AiLCJwIjoiYWRzX2xpc3RfaGVhZGVyIiwieCI6IiIsImwiOiIyMmUwNmE5Mi1jMjM5LTQ3MWItYTI4Yi1hMmIzMzBmNjQ1MjYiLCJlIjoiODkuMTQ5LjkzLjEzOSIsImciOiJsaXRlIiwidCI6IjIwMjYtMDQtMjBUMTI6NTk6MzYuNjU0NzE0NDlaIn19.cs_z_4_6YDeda9ALIx5Msqz3TmP2n-p5v54aNRTelzs&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=10,1,,Гараж,"1-комнатная квартира,  Центр,  Криково,  Кишинёв мун.",Квартира с ливингом,Продам,48 м²,Mонолитный,6,,,57 600 €,"Кишинёв мун., Криково, Центр, str. Vasile Alescandri, 5",295 см,1-комнатная квартира,48 м²
Агентство,,5,Новострой,,103885539,https://999.md/ru/103885539?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY2OTM1NzYsIkMiOnsiciI6MSwiYiI6MTAwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDM4ODU1MzkiLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiIiLCJsIjoiM2YyY2EzNzItMjY4ZS00YjFiLWFkMWQtODhhMjhlNmE0NzRkIiwiZSI6Ijg5LjE0OS45My4xMzkiLCJ0IjoiMjAyNi0wNC0yMFQxMjo1OTozNi42NTQ3MjcxMloifX0.BMc-Ni97VnWtHhleqmH1KzPad96y307VJsnYpBwXdI4&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=11,,,,"3-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",Квартира с ливингом,Сдаю помесячно,,,9,,,1 000 €,"Кишинёв мун., Кишинёв, Центр, str. Valea Trandafirilor, 2/1",,3-х комнатная квартира,80 м²
Застройщик,Белый вариант,8,Новострой,2,81834115,https://999.md/ru/81834115?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY2OTM1NzYsIkMiOnsiciI6MSwiYiI6MTQwLCJjIjoyNzAsInoiOjE0MDQsImEiOiI4MTgzNDExNSIsImkiOiI4OS4xNDkuOTMuMTM5IiwicyI6ImRlc2t0b3AiLCJwIjoiYWRzX2xpc3RfaGVhZGVyIiwieCI6InByZW1pdW0iLCJsIjoiZmI3NDhhYTQtM2I5Zi00NDgwLWI1NjctOTVmOTJlYTViMDI1IiwiZSI6Ijg5LjE0OS45My4xMzkiLCJ0IjoiMjAyNi0wNC0yMFQxMjo1OTozNi42NTQ3NDI0MTlaIn19.iv52YjR3Ja2qqpe-vuPVjaMip5OisX8ualkcS72OWp8&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=12,2,,Oткрытое,"4-x комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.",Квартира с ливингом,Продам,,Kомбинированный,9,,,160 000 €,"Кишинёв мун., Дурлешты, Центр, str. Cartuşa, 95/4",270 см,4-x комнатная квартира,146 м²
Частное лицо,Eвроремонт,4,Вторичный,,103643637,https://999.md/ru/103643637?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY2OTM1NzYsIkMiOnsiciI6MSwiYiI6MTAwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDM2NDM2MzciLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiIiLCJsIjoiYjQxNDViZTQtYWM5Yi00MWZiLWI1YmYtZmEyMGY2NjgzZjg1IiwiZSI6Ijg5LjE0OS45My4xMzkiLCJ0IjoiMjAyNi0wNC0yMFQxMjo1OTozNi42NTQ0NTA2MzhaIn19.Nct8mr5-rs2wg4wJJj9Bb5eSasACcpN6jW3Hzb4qnco&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=1,,,,"Комната,  Центр,  Рыбница,  Рыбница",Квартира с ливингом,Продам,,Kотельцовый,5,,A-casa,6 000 $,"Рыбница, Рыбница, Центр, ул. Гвардейская, 2",,Комната,1 м²
Агентство,Eвроремонт,3,Новострой,,102185480,https://999.md/ru/102185480?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY2OTM1NzYsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDIxODU0ODAiLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiJwcmVtaXVtIiwibCI6ImFlMjAxMjEyLTFiNjYtNGE1NS1hZjUwLWI1YTQ2YzFhZjRmMCIsImUiOiI4OS4xNDkuOTMuMTM5IiwiZyI6InR1cmJvIiwidCI6IjIwMjYtMDQtMjBUMTI6NTk6MzYuNjU0NDcyNjMxWiJ9fQ.SyZRgWgDwQdifz886wGz4QmIf4KUJRLkoltRc06p1Zc&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=2,1,Индивидуальная,Подземная,"2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",Квартира с ливингом,Продам,,Kомбинированный,7,,Maxmod Imobil,167 500 €,"Кишинёв мун., Кишинёв, Буюканы, ул. Виссарион Белинский, 71",,2-х комнатная квартира,64 м²
Частное лицо,Eвроремонт,1,Вторичный,1,104094849,https://999.md/ru/104094849?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY2OTM1NzYsIkMiOnsiciI6MSwiYiI6MTQwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDQwOTQ4NDkiLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiIiLCJsIjoiYWU3Nzg5YWQtY2FhNS00ZjcyLTg0NDctODlmYzRlNGVlY2NhIiwiZSI6Ijg5LjE0OS45My4xMzkiLCJnIjoibGl0ZSIsInQiOiIyMDI2LTA0LTIwVDEyOjU5OjM2LjY1NDQ4NjExMloifX0.-N2p8Jr_2jB0JQKZZY1LYHUjhvPR34XhbdZ6JvdhWhM&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=3,,,,"1-комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",,Сдаю посуточно,,,5,,,40 €,"Кишинёв мун., Кишинёв, Рышкановка, ул. Академик Андрей Сахаров, 11/3",,1-комнатная квартира,30 м²
Застройщик,,6,Новострой,2,103951392,https://999.md/ru/103951392?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY2OTM1NzYsIkMiOnsiciI6MSwiYiI6MTAwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDM5NTEzOTIiLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiIiLCJsIjoiYWMzNTg3ODMtZTIwZi00MGJlLWFiZWMtMjRlMTIxYTMwZTFlIiwiZSI6Ijg5LjE0OS45My4xMzkiLCJ0IjoiMjAyNi0wNC0yMFQxMjo1OTozNi42NTQ1MjZaIn19.kcKySkDpRqWoqy10s9gd91BpiCkN-P5DKM6AcvmVyz4&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=4,1,,Oткрытое,"2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",,Сдаю помесячно,,,12,,,850 €,"Кишинёв мун., Кишинёв, Буюканы, str. Calea Ieșilor, 6",,2-х комнатная квартира,70 м²
Частное лицо,Без ремонта,3,Вторичный,2,103914066,https://999.md/ru/103914066?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY2OTM1NzYsIkMiOnsiciI6MSwiYiI6MTQwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDM5MTQwNjYiLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiIiLCJsIjoiNDc5MzkwMGYtODlhNi00NjI4LWFkYjgtMzViOGFkOGYwOTQ3IiwiZSI6Ijg5LjE0OS45My4xMzkiLCJnIjoibGl0ZSIsInQiOiIyMDI2LTA0LTIwVDEyOjU5OjM2LjY1NDU2MDk1NFoifX0.hkVIOeSBXfcVdrgDJFxjSrcwm27gcHfh4PfuOePtQTQ&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=5,1,,,"2-х комнатная квартира,  Центр,  Данчены,  Яловены",,Продам,,Kотельцовый,3,,,35 000 €,Расположение,,2-х комнатная квартира,57 м²
Застройщик,Незавершенное cтроительство,4,Новострой,1,101794926,https://999.md/ru/101794926?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY2OTM1NzYsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDE3OTQ5MjYiLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiJwcmVtaXVtIiwibCI6ImNkMjVlNDlkLTBiNDgtNDEzZi05YWIwLWFjZTRhY2Q1ZmQ3OSIsImUiOiI4OS4xNDkuOTMuMTM5IiwiZyI6InBsdXMiLCJ0IjoiMjAyNi0wNC0yMFQxMjo1OTozNi42NTQ1ODMyNzhaIn19.1gwEtVZR96ePcWnS7T6kIjwEYc7R2wOZdasFZNZiVcE&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=6,,,,"3-х комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.",Квартира с ливингом,,,,9,27 м²,Solomon Construct Imobil,124 660 €,"Кишинёв мун., Дурлешты, Центр, str. Nicolae Dimo, 24a",290 см,3-х комнатная квартира,110 м²
