Количество комнат,link,Парковочное место,id,Количество этажей,title,Тип,Планировка,Жилая площадь,price,Балкон / лоджия,Высота потолков,Санузел,Ливинг,Этаж,Адрес,Состояние квартиры,Автор объявления,Тип здания,Общая площадь,Жилой фонд,Застройщик,Площадь кухни
2-х комнатная квартира,https://999.md/ru/101591454,,101591454,9,"2-х комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.",Продам,,,88 900 €,,,,Квартира с ливингом,4,"Кишинёв мун., Дурлешты, Центр, str. Nicolae Dimo, 24",,Агентство,,71 м²,Новострой,Poliprim Grup,
3-х комнатная квартира,https://999.md/ru/103906230,,103906230,4,"3-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",Продам,,,179 600 €,,,,,1,"Кишинёв мун., Кишинёв, Центр, str. Mitropolit Bănulescu-Bodoni, 43",,Агентство,,79 м²,Вторичный,,
1-комнатная квартира,https://999.md/ru/103902390,Подземная,103902390,16,"1-комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",Продам,Индивидуальная,18 м²,45 000 €,1,300 см,1,Квартира с ливингом,9,"Кишинёв мун., Кишинёв, Центр, şos. Munceşti, 105",Белый вариант,Застройщик,Kомбинированный,42 м²,Новострой,Sky House,15 м²
1-комнатная квартира,https://999.md/ru/103887063?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzUzNzc2MzksIkMiOnsiciI6MSwiYiI6MTQwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDM4ODcwNjMiLCJpIjoiODkuMTQ5LjkxLjE3MCIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiIiLCJsIjoiYjU3ODg3YmYtYmI0OC00ZGFhLWE1ZmYtMmEwZjBhNDBkZmJiIiwiZSI6Ijg5LjE0OS45MS4xNzAiLCJnIjoibGl0ZSIsInQiOiIyMDI2LTA0LTA1VDA3OjI3OjE5LjE5MDcwNjQ3OVoifX0.hdGM55Xy5jvLUNQYkeyG5T-4IjAilYanPcOl9vaP-1M&adType=booster,,103887063,10,"1-комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",Продам,,,67 000 €,1,,,,6,"Кишинёв мун., Кишинёв, Рышкановка, bd. Moscova, 20",Косметический pемонт,Застройщик,,35 м²,Вторичный,,
3-х комнатная квартира,https://999.md/ru/103973075?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzUzNzc2MzksIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDM5NzMwNzUiLCJpIjoiODkuMTQ5LjkxLjE3MCIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiJwcmVtaXVtIiwibCI6ImFjYWYwOWNlLWMzN2ItNDM5OS05YzI1LWJlNWE3NzNiOTg3YSIsImUiOiI4OS4xNDkuOTEuMTcwIiwiZyI6InBsdXMiLCJ0IjoiMjAyNi0wNC0wNVQwNzoyNzoxOS4xOTA3NTM0NjRaIn19.LA_nxRBxnqZIKbwccrZXd7Z-38m2iajWj0YVdYGtwcs&adType=booster,,103973075,9,"3-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",Продам,143,,114 950 €,,,,,5,"Кишинёв мун., Кишинёв, Чокана, str. Nicolae Milescu Spatarul, 9/2",Eвроремонт,Агентство,,72 м²,Вторичный,,
2-х комнатная квартира,https://999.md/ru/102975414,,102975414,9,"2-х комнатная квартира,  Центр,  Страшены,  Страшены",Продам,,,56 500 €,,,,,6,"Страшены, Страшены, Центр, str. Ştefan cel Mare și Sfînt, 3A",,Застройщик,,56 м²,Новострой,Basconslux,
2-х комнатная квартира,https://999.md/ru/103964383,,103964383,8,"2-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",Продам,,,94 088 €,,,,Квартира с ливингом,7,"Кишинёв мун., Кишинёв, Рышкановка, str. Postei, --",Белый вариант,Агентство,,50 м²,Новострой,,
1-комнатная квартира,https://999.md/ru/103977846,,103977846,4,"1-комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",Продам,,18 м²,52 000 €,1,2600 см,1,,2,"Кишинёв мун., Кишинёв, Ботаника, str. Nikolai Zelinski, 4",Нуждается в ремонте,Застройщик,Kотельцовый,31 м²,Вторичный,,6 м²
3-х комнатная квартира,https://999.md/ru/103916421,Oткрытое,103916421,5,"3-х комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.",Продам,Чш (Чешка),,225 000 €,2,2600 см,,Квартира с ливингом,4,"Кишинёв мун., Кишинёв, Телецентр, str. Academiei, 6/2",Eвроремонт,Застройщик,Kотельцовый,148 м²,Вторичный,,
1-комнатная квартира,https://999.md/ru/100967747,Подземная,100967747,4,"1-комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",Продам,,,144 450 €,1,300 см,1,Квартира с ливингом,1,"Кишинёв мун., Кишинёв, Рышкановка, ул. Чиркулуй, 61",Белый вариант,Застройщик,Kирпичный,54 м²,Новострой,Braus Imobiliare,
1-комнатная квартира,https://999.md/ru/101665229,,101665229,10,"1-комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",Продам,,,109 990 €,,,1,,7,"Кишинёв мун., Кишинёв, Буюканы, ул. Иоана Раду, -",Eвроремонт,Агентство,,45 м²,Новострой,,
2-х комнатная квартира,https://999.md/ru/103720639,,103720639,5,"2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",Продам,,,146 900 €,,,,,3,"Кишинёв мун., Кишинёв, Буюканы, пр-т Алба-Юлия, 17/A",,Агентство,,68 м²,Новострой,,
2-х комнатная квартира,https://999.md/ru/103974721,Oткрытое,103974721,7,"2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",Продам,,,98 900 €,1,,1,Квартира с ливингом,5,Расположение,Eвроремонт,Застройщик,,65 м²,Новострой,,
2-х комнатная квартира,https://999.md/ru/103924864?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzUzNzc2MzksIkMiOnsiciI6MSwiYiI6MTQwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDM5MjQ4NjQiLCJpIjoiODkuMTQ5LjkxLjE3MCIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2Zvb3RlciIsIngiOiIiLCJsIjoiNWRkNzQzMTMtZjk5Ny00YmJkLWIwM2ItYmQzYzFmNWFkYWNmIiwiZSI6Ijg5LjE0OS45MS4xNzAiLCJnIjoibGl0ZSIsInQiOiIyMDI2LTA0LTA1VDA3OjI3OjE5LjE5MTIyNDk1WiJ9fQ.D6lHM6JztTMcl3HBWCv1sKpuQhWwgtr_BKtjVvxHyDY&adType=booster,Подземная,103924864,16,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",Продам,Индивидуальная,,105 700 €,1,,1,,15,"Кишинёв мун., Кишинёв, Ботаника, str. Grădina Botanică, 18/1",Белый вариант,Частное лицо,Kирпичный,64 м²,Новострой,Inamstro,14 м²
2-х комнатная квартира,https://999.md/ru/101764519?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzUzNzc2MzksIkMiOnsiciI6MSwiYiI6MTQwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDE3NjQ1MTkiLCJpIjoiODkuMTQ5LjkxLjE3MCIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2Zvb3RlciIsIngiOiIiLCJsIjoiMjJlMDZhOTItYzIzOS00NzFiLWEyOGItYTJiMzMwZjY0NTI2IiwiZSI6Ijg5LjE0OS45MS4xNzAiLCJnIjoibGl0ZSIsInQiOiIyMDI2LTA0LTA1VDA3OjI3OjE5LjE5MDgzNDU3NloifX0.b__mmN4lP27tw2iMaHruL1pedbSNwwTj4ehCDBSIAU0&adType=booster,Подземная,101764519,6,"2-х комнатная квартира,  Центр,  Криково,  Кишинёв мун.",Продам,,,98 900 €,1,295 см,2,Квартира с ливингом,3,"Кишинёв мун., Криково, Центр, str. Chişinău, 81",Белый вариант,Застройщик,Mонолитный,86 м²,Новострой,,
2-х комнатная квартира,https://999.md/ru/102962829?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzUzNzc2MzksIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDI5NjI4MjkiLCJpIjoiODkuMTQ5LjkxLjE3MCIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2Zvb3RlciIsIngiOiIiLCJsIjoiZGJjY2UzMzctZjExZS00MzQ0LTk5MGEtMTY1YWQ5MTdiYjNjIiwiZSI6Ijg5LjE0OS45MS4xNzAiLCJnIjoicGx1cyIsInQiOiIyMDI2LTA0LTA1VDA3OjI3OjE5LjE5MDk5MzY2MloifX0.LDd_IeoM-YUZ9BVVxviU6fckQeIOPHoskybwEphefzA&adType=booster,Подземная,102962829,9,"2-х комнатная квартира,  Центр,  Бельцы,  Бельцы мун.",Продам,Индивидуальная,26 м²,60 800 €,1,295 см,1,Квартира с ливингом,5,"Бельцы мун., Бельцы, Центр, str. Sennaia, 2",Белый вариант,Застройщик,Mонолитный,64 м²,Новострой,Ecovzor,24 м²
2-х комнатная квартира,https://999.md/ru/102625611?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzUzNzc2MzksIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDI2MjU2MTEiLCJpIjoiODkuMTQ5LjkxLjE3MCIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2Zvb3RlciIsIngiOiIiLCJsIjoiODVmZTRiMzQtYjgxMS00ZGQ5LTllMTgtZmIyZjMyOGFmYWUzIiwiZSI6Ijg5LjE0OS45MS4xNzAiLCJnIjoidHVyYm8iLCJ0IjoiMjAyNi0wNC0wNVQwNzoyNzoxOS4xOTEwNjU1MzdaIn19.AqT68ygrsZVzp4FIBH0qG1UStQEDtofu7asCEzPklGs&adType=booster,Подземная,102625611,13,"2-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",Продам,,,207 900 €,2,,2,Квартира с ливингом,13,"Кишинёв мун., Кишинёв, Рышкановка, ул. Язулуй, 38",Белый вариант,Застройщик,,126 м²,Новострой,Ecovzor,
2-х комнатная квартира,https://999.md/ru/103444660?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzUzNzc3OTMsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDM0NDQ2NjAiLCJpIjoiODkuMTQ5LjkxLjE3MCIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiJwcm8iLCJsIjoiMjA0OTQyY2YtYTE1OS00YTgyLTk4MDQtMzg5NjFkZjBhMWQ1IiwiZSI6Ijg5LjE0OS45MS4xNzAiLCJnIjoidHVyYm8iLCJ0IjoiMjAyNi0wNC0wNVQwNzoyOTo1My4zNDcwMjY4OTNaIn19.Am1s_1fHNrjL-U9rBcX4B5QTqJxBKANi4RCpMhAwHsE&adType=booster,,103444660,16,"2-х комнатная квартира,  Кишинёв мун.",Продам,,,134 200 €,,,,,2,"Кишинёв мун., str. Tudor Strișcă, 19/2",,Застройщик,,53 м²,Новострой,,
2-х комнатная квартира,https://999.md/ru/74206687,Oткрытое,74206687,6,"2-х комнатная квартира,  Центр,  Бричаны,  Бричаны",Продам,,,44 800 €,1,250 см,1,,1,"Бричаны, Бричаны, Центр, Alexandr Karpișin, 13",Белый вариант,Застройщик,Бетон,56 м²,Новострой,,
1-комнатная квартира,https://999.md/ru/103981882,,103981882,5,"1-комнатная квартира,  Стелуца,  Бельцы,  Бельцы мун.",Продам,,,38 500 €,,,,,1,"Бельцы мун., Бельцы, Стелуца, str. Nicolai Ostrovski, 46",Eвроремонт,Частное лицо,,30 м²,Вторичный,,
1-комнатная квартира,https://999.md/ru/102758102,,102758102,12,"1-комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",Продам,,,86 500 €,1,,,,3,"Кишинёв мун., Кишинёв, Ботаника, str. Grădina Botanică, 14/1",Белый вариант,,,51 м²,Новострой,,
2-х комнатная квартира,https://999.md/ru/103970790,,103970790,9,"2-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",Продам,,,108 900 €,,,,,5,"Кишинёв мун., Кишинёв, Чокана, str. Nicolae Milescu Spatarul, 57",,Агентство,,66 м²,Новострой,,
2-х комнатная квартира,https://999.md/ru/103885138,,103885138,5,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",Продам,Индивидуальная,,89 900 €,1,,1,Квартира с ливингом,1,"Кишинёв мун., Кишинёв, Ботаника, ул. Николае Титулеску, 53/2",Eвроремонт,Застройщик,Kотельцовый,46 м²,Вторичный,,
1-комнатная квартира,https://999.md/ru/103546992,,103546992,10,"1-комнатная квартира,  Старая Почта,  Кишинёв,  Кишинёв мун.",Продам,,,61 000 €,,,,Квартира с ливингом,1,"Кишинёв мун., Кишинёв, Старая Почта, str. Ceucari, 1/1",,Частное лицо,,43 м²,Новострой,Lagmar Impex,
1-комнатная квартира,https://999.md/ru/101743419,Подземная,101743419,9,"1-комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",Продам,,,67 200 €,2,275 см,,Квартира с ливингом,3,"Кишинёв мун., Кишинёв, Ботаника, bd. Dacia, 60/5",Белый вариант,Застройщик,Kирпичный,47 м²,Новострой,,
1-комнатная квартира,https://999.md/ru/102910112,Подземная,102910112,18,"1-комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",Продам,Индивидуальная,17 м²,85 400 €,1,280 см,1,,5,"Кишинёв мун., Кишинёв, Ботаника, bd. Decebal, 139/a",Белый вариант,Застройщик,Блочный,43 м²,Новострой,Pamir Construct,15 м²
2-х комнатная квартира,https://999.md/ru/102910132,Подземная,102910132,18,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",Продам,Индивидуальная,39 м²,114 600 €,1,280 см,1,Квартира с ливингом,7,"Кишинёв мун., Кишинёв, Ботаника, bd. Decebal, 139/a",Незавершенное cтроительство,Застройщик,Блочный,60 м²,Новострой,Pamir Construct,11 м²
3-х комнатная квартира,https://999.md/ru/101474863,Подземная,101474863,14,"3-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",Продам,,,209 900 €,1,,2,Квартира с ливингом,12,"Кишинёв мун., Кишинёв, Буюканы, str. Vasile Lupu, 28",Белый вариант,Агентство,,112 м²,Новострой,Exfactor-grup,
3-х комнатная квартира,https://999.md/ru/101306560,Oткрытое,101306560,5,"3-х комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.",Продам,Индивидуальная,75 м²,147 300 €,1,280 см,2,Квартира с ливингом,2,"Кишинёв мун., Кишинёв, Телецентр, șos. Hâncești, 182",Незавершенное cтроительство,Застройщик,Kотельцовый,98 м²,Новострой,Pamir Construct,14 м²
1-комнатная квартира,https://999.md/ru/101306354,Oткрытое,101306354,5,"1-комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.",Продам,Индивидуальная,30 м²,85 200 €,1,280 см,,Квартира с ливингом,2,"Кишинёв мун., Кишинёв, Телецентр, șos. Hâncești, 182",Незавершенное cтроительство,Застройщик,Kотельцовый,53 м²,Новострой,Pamir Construct,13 м²
1-комнатная квартира,https://999.md/ru/103986760?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzUzNzc5NDUsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDM5ODY3NjAiLCJpIjoiODkuMTQ5LjkxLjE3MCIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiJwcm8iLCJsIjoiNmI2MDE0NmItOGVkNS00NmYyLWE1NTQtNWU1NjAzZTFmNjUwIiwiZSI6Ijg5LjE0OS45MS4xNzAiLCJnIjoidHVyYm8iLCJ0IjoiMjAyNi0wNC0wNVQwNzozMjoyNS45OTkxMzQ2NjRaIn19.Ck8AHsbnaxL0lPq9QMAtDP7v1AWchDPZbCQxnCuTHjU&adType=booster,,103986760,10,"1-комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",Продам,,,109 000 €,,,,,9,"Кишинёв мун., Кишинёв, Ботаника, str. Burebista, 25",Eвроремонт,Агентство,,43 м²,Новострой,,
2-х комнатная квартира,https://999.md/ru/103684899,,103684899,6,"2-х комнатная квартира,  Центр,  Криково,  Кишинёв мун.",Продам,,,78 000 €,,,,,4,"Кишинёв мун., Криково, Центр, str. Chişinău, 68",Белый вариант,Застройщик,,65 м²,Новострой,Varicom,
3-х комнатная квартира,https://999.md/ru/103926912,,103926912,9,"3-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",Продам,Мс (Молд. Серия),,139 000 €,,,2,,8,"Кишинёв мун., Кишинёв, Буюканы, str. Onisifor Ghibu, 2",Eвроремонт,Частное лицо,,78 м²,Вторичный,,
3-х комнатная квартира,https://999.md/ru/103351887,Подземная,103351887,11,"3-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",Продам,,85 м²,177 000 €,1,,2,Квартира с ливингом,7,"Кишинёв мун., Кишинёв, Ботаника, str. Grenoble, 257",Eвроремонт,Частное лицо,,85 м²,Новострой,,
2-х комнатная квартира,https://999.md/ru/103931727,,103931727,10,"2-х комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.",Продам,,,82 900 €,,,,Квартира с ливингом,3,"Кишинёв мун., Дурлешты, Центр, str. Atelierilor, 23",Белый вариант,Застройщик,,59 м²,Новострой,,
1-комнатная квартира,https://999.md/ru/101816946,,101816946,10,"1-комнатная квартира,  Дурлешты,  Кишинёв,  Кишинёв мун.",Продам,,21 м²,49 900 €,1,,1,Квартира с ливингом,8,Расположение,Белый вариант,Частное лицо,Kомбинированный,42 м²,Новострой,Nicons,14 м²
1-комнатная квартира,https://999.md/ru/103069009,,103069009,5,"1-комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",Продам,,,73 000 €,,,,,5,"Кишинёв мун., Кишинёв, Рышкановка, str. Nicolae Dimo, 17/1",Eвроремонт,Застройщик,,42 м²,Вторичный,,
2-х комнатная квартира,https://999.md/ru/103945248,,103945248,5,"2-х комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.",Продам,,47 м²,98 000 €,,,1,,3,"Кишинёв мун., Кишинёв, Телецентр, str.Drumul Viilor 43, 43",Eвроремонт,Агентство,,47 м²,Вторичный,,
2-х комнатная квартира,https://999.md/ru/103068851,,103068851,10,"2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",Продам,,,109 900 €,,,,Квартира с ливингом,7,"Кишинёв мун., Кишинёв, Буюканы, str. Calea Ieșilor, 63/6",Белый вариант,,,84 м²,Новострой,,
2-х комнатная квартира,https://999.md/ru/103515903,,103515903,10,"2-х комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.",Продам,,,84 500 €,,,,Квартира с ливингом,4,"Кишинёв мун., Дурлешты, Центр, str. Cartuşa, 93/2",Белый вариант,Застройщик,,79 м²,Новострой,,
2-х комнатная квартира,https://999.md/ru/103017371?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzUzNzc5NDYsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDMwMTczNzEiLCJpIjoiODkuMTQ5LjkxLjE3MCIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2Zvb3RlciIsIngiOiJwcmVtaXVtIiwibCI6ImNkMjVlNDlkLTBiNDgtNDEzZi05YWIwLWFjZTRhY2Q1ZmQ3OSIsImUiOiI4OS4xNDkuOTEuMTcwIiwiZyI6InR1cmJvIiwidCI6IjIwMjYtMDQtMDVUMDc6MzI6MjYuMDEzMDkxODYyWiJ9fQ.nupA8g-98YWfQg2MiQGGSfwVVKWV3m1daVO7ondUoyg&adType=booster,,103017371,10,"2-х комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.",Продам,,,76 900 €79 060 €,1,,1,Квартира с ливингом,1,"Кишинёв мун., Дурлешты, Центр, str. Nicolae Dimo, 24a",Незавершенное cтроительство,Застройщик,,72 м²,Новострой,Solomon Construct Imobil,
2-х комнатная квартира,https://999.md/ru/102988724?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzUzNzc5NDYsIkMiOnsiciI6MSwiYiI6MTQwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDI5ODg3MjQiLCJpIjoiODkuMTQ5LjkxLjE3MCIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2Zvb3RlciIsIngiOiIiLCJsIjoiY2NkNWQyNjItNGZhNy00YzgzLTg2MzYtM2Y4ZTNhMWEzMmQ4IiwiZSI6Ijg5LjE0OS45MS4xNzAiLCJnIjoibGl0ZSIsInQiOiIyMDI2LTA0LTA1VDA3OjMyOjI2LjAxMzE1MzMyOFoifX0.LkfS0egf3zd3CuY39f_HiiW1WRzWhbQCyvj0aIcJNzw&adType=booster,,102988724,9,"2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",Продам,,,159 900 €,2,,1,Квартира с ливингом,8,"Кишинёв мун., Кишинёв, Центр, str. Vasile Alecsandri, 11",Eвроремонт,Частное лицо,,72 м²,Новострой,Gonvaro-Con,11 м²
1-комнатная квартира,https://999.md/ru/103974181?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzUzNzgwMjYsIkMiOnsiciI6MSwiYiI6MTQwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDM5NzQxODEiLCJpIjoiODkuMTQ5LjkxLjE3MCIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiIiLCJsIjoiNjIyNzk5YWYtZDhhZC00ZjNiLWFlN2MtMGRlNjZjMGMyMzkxIiwiZSI6Ijg5LjE0OS45MS4xNzAiLCJnIjoibGl0ZSIsInQiOiIyMDI2LTA0LTA1VDA3OjMzOjQ2Ljc4MjE4MzUzNFoifX0.wIslRnUK0cW5DIv-D7eBLjcqXIlD_pgms54ajKNlhrQ&adType=booster,Подземная,103974181,9,"1-комнатная квартира,  Окраина,  Дурлешты,  Кишинёв мун.",Продам,,,46 150 €,1,,1,Квартира с ливингом,5,"Кишинёв мун., Дурлешты, Окраина, ул. Николае Димо, 101",Белый вариант,Застройщик,,40 м²,Новострой,Golban Trade,
