Балкон / лоджия,Состояние квартиры,Санузел,Высота потолков,Планировка,Автор объявления,id,link,Этаж,Тип здания,Количество этажей,Общая площадь,Количество комнат,Парковочное место,Жилой фонд,Застройщик,Жилая площадь,price,Ливинг,Тип,Адрес,title,Площадь кухни
Нет,Белый вариант,1,286 см,,Застройщик,102831391,https://999.md/ru/102831391?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3ODE0NzEwNDgsIkMiOnsiciI6MSwiYiI6MTIwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDI4MzEzOTEiLCJpIjoiODkuMTQ5LjkxLjE2MiIsInMiOiJkZXNrdG9wX3JlZGVzaWduIiwicCI6ImFkc19saXN0X2lubGluZSIsIngiOiJwcmVtaXVtIiwibCI6ImFlOTQxZTRiLTE4MGUtNGVjYS1hOTE2LTNhZWVhMmNiMzBmMSIsImUiOiI4OS4xNDkuOTEuMTYyIiwidCI6IjIwMjYtMDYtMTRUMjA6MDQ6MDguNTczMjczMzQ1WiJ9fQ.gUrhCyYOWQBTtvsgdNQd4ekafXorvQiG51W9gNcLPgc&placement=ADS_LIST_INLINE_REDESIGN&adType=booster&location=subcategory&index=3997&cardCategoryId=270&cardSubcategoryId=1404,1,Ячеистый Бетон,6,41 м²,1-комнатная квартира,Гараж,Новострой,Astercon,,58 986 €,Квартира без ливинга,Продам,"Кишинёв мун., Дурлешты, Центр, str. Durlești, 8","1-комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.",13 м²
,,,,,Агентство,104200253,https://999.md/ru/104200253?location=subcategory&index=3998&cardCategoryId=270&cardSubcategoryId=1404,11,,14,33 м²,1-комнатная квартира,,Вторичный,,,59 900 €,,Продам,"Кишинёв мун., Кишинёв, Чокана, bd. Mircea cel Bătrân, 5/3","1-комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",
,Eвроремонт,1,,,Агентство,104301100,https://999.md/ru/104301100?location=subcategory&index=3999&cardCategoryId=270&cardSubcategoryId=1404,7,,9,70 м²,2-х комнатная квартира,,Новострой,,,146 900 €,,Продам,"Кишинёв мун., Дурлешты, Центр, str. Cartuşa, 95/3","2-х комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.",
,,,,,Застройщик,104453850,https://999.md/ru/104453850?location=subcategory&index=4000&cardCategoryId=270&cardSubcategoryId=1404,3,,5,20 м²,Комната,,Вторичный,,,39 500 €,,Продам,"Кишинёв мун., Кишинёв, Чокана, str. Maria Drăgan, 18/2","Комната,  Чокана,  Кишинёв,  Кишинёв мун.",
Нет,Сдан в эксплуатацию,1,,,Застройщик,104191210,https://999.md/ru/104191210?location=subcategory&index=4001&cardCategoryId=270&cardSubcategoryId=1404,12,,13,49 м²,Комната,,Новострой,Inamstro,,109 900 €,Квартира без ливинга,Продам,"Кишинёв мун., Кишинёв, Центр, str. Ghenadie Iablocikin, 2/2","Комната,  Центр,  Кишинёв,  Кишинёв мун.",
,Индивидуальный дизайн,1,,,Агентство,104581741,https://999.md/ru/104581741?location=subcategory&index=4002&cardCategoryId=270&cardSubcategoryId=1404,1,,13,70 м²,2-х комнатная квартира,Oткрытое,Новострой,,,218 000 €,Квартира с ливингом,Продам,"Кишинёв мун., Кишинёв, Буюканы, str. Vasile Lupu, 28E.","2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",
,Eвроремонт,1,,,Агентство,104415173,https://999.md/ru/104415173?location=subcategory&index=4003&cardCategoryId=270&cardSubcategoryId=1404,8,,10,47 м²,1-комнатная квартира,Oткрытое,Новострой,,,104 500 €,Квартира с ливингом,Продам,"Кишинёв мун., Кишинёв, Скулянка, str. Calea Ieșilor, 63/6.","1-комнатная квартира,  Скулянка,  Кишинёв,  Кишинёв мун.",
1,Eвроремонт,1,,,Агентство,104389802,https://999.md/ru/104389802?location=subcategory&index=4004&cardCategoryId=270&cardSubcategoryId=1404,3,,9,51 м²,1-комнатная квартира,Oткрытое,Новострой,,,125 900 €,Квартира без ливинга,Продам,"Кишинёв мун., Кишинёв, Буюканы, str. Liviu Deleanu, 14/C.","1-комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",
,Eвроремонт,1,,,Агентство,104389708,https://999.md/ru/104389708?location=subcategory&index=4005&cardCategoryId=270&cardSubcategoryId=1404,9,,9,15 м²,1-комнатная квартира,Oткрытое,Вторичный,,,32 900 €,Квартира без ливинга,Продам,"Кишинёв мун., Кишинёв, Буюканы, str. Liviu Deleanu, 5/4A.","1-комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",
,Индивидуальный дизайн,1,,,Агентство,104269954,https://999.md/ru/104269954?location=subcategory&index=4006&cardCategoryId=270&cardSubcategoryId=1404,5,,10,72 м²,2-х комнатная квартира,Oткрытое,Новострой,,,146 900 €,Квартира с ливингом,Продам,"Кишинёв мун., Дурлешты, Центр, str. Cartuşa, 95/5.","2-х комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.",
,Eвроремонт,1,,143,Агентство,104261614,https://999.md/ru/104261614?location=subcategory&index=4007&cardCategoryId=270&cardSubcategoryId=1404,8,,9,55 м²,2-х комнатная квартира,,Вторичный,,55 м²,107 900 €,Квартира с ливингом,Продам,"Кишинёв мун., Кишинёв, Ботаника, str. Grenoble, 130/3.","2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",
,Eвроремонт,1,,,Агентство,104000808,https://999.md/ru/104000808?location=subcategory&index=4008&cardCategoryId=270&cardSubcategoryId=1404,4,,10,72 м²,2-х комнатная квартира,Oткрытое,Новострой,,,199 900 €,Квартира с ливингом,Продам,"Кишинёв мун., Кишинёв, Буюканы, str. Ioana Radu, 27/6.","2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",
,Белый вариант,1,,,Агентство,103961864,https://999.md/ru/103961864?location=subcategory&index=4009&cardCategoryId=270&cardSubcategoryId=1404,Цоколь,,16,43 м²,1-комнатная квартира,,Новострой,,,67 500 €,,Продам,"Кишинёв мун., Кишинёв, Рышкановка, Calea Moșilor, 1","1-комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",
,Косметический pемонт,,,,Агентство,104609558,https://999.md/ru/104609558?location=subcategory&index=4010&cardCategoryId=270&cardSubcategoryId=1404,3,Kирпичный,5,31 м²,1-комнатная квартира,Oткрытое,Вторичный,,,57 000 €,Квартира без ливинга,Продам,"Кишинёв мун., Кишинёв, Рышкановка, str. Gheorghe Madan, 44/2","1-комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",
2,Незавершенное cтроительство,2,,,Застройщик,89832857,https://999.md/ru/89832857?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3ODE0NzEwNDgsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiI4OTgzMjg1NyIsImkiOiI4OS4xNDkuOTEuMTYyIiwicyI6ImRlc2t0b3BfcmVkZXNpZ24iLCJwIjoiYWRzX2xpc3RfaW5saW5lIiwieCI6InByZW1pdW0iLCJsIjoiY2QyNWU0OWQtMGI0OC00MTNmLTlhYjAtYWNlNGFjZDVmZDc5IiwiZSI6Ijg5LjE0OS45MS4xNjIiLCJnIjoidHVyYm8iLCJ0IjoiMjAyNi0wNi0xNFQyMDowNDowOC41NzMzODY1MloifX0.CuD0QuFzKYEBEba4thyWhaTuo6hjI6DBj9IsvTz4Xrg&placement=ADS_LIST_INLINE_REDESIGN&adType=booster&location=subcategory&index=4011&cardCategoryId=270&cardSubcategoryId=1404,9,,10,100 м²,3-х комнатная квартира,,Новострой,Boiar House,,100 300 €,,Продам,"Кишинёв мун., Дурлешты, Центр, str. Nicolae Dimo, 24/B","3-х комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.",
1,,1,,,Застройщик,104491751,https://999.md/ru/104491751?location=subcategory&index=4012&cardCategoryId=270&cardSubcategoryId=1404,4,Kотельцовый,4,42 м²,2-х комнатная квартира,,Вторичный,,,74 000 €,,Продам,"Кишинёв мун., Кишинёв, Ботаника, N. Titulescu, .","2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",
,,,,,Частное лицо,104609543,https://999.md/ru/104609543?location=subcategory&index=4013&cardCategoryId=270&cardSubcategoryId=1404,4,,5,67 м²,3-х комнатная квартира,,Вторичный,,,40 000 €,,Продам,"Резина, Резина, Центр, str. Alexei Sciusev, 9/2","3-х комнатная квартира,  Центр,  Резина,  Резина",
,,,,,Застройщик,104333159,https://999.md/ru/104333159?location=subcategory&index=4014&cardCategoryId=270&cardSubcategoryId=1404,4,,5,42 м²,2-х комнатная квартира,,Вторичный,,,39 000 €,,Продам,"Чадыр-Лунга, Чадыр-Лунга, Центр, str. K. Marx, 5","2-х комнатная квартира,  Центр,  Чадыр-Лунга,  Чадыр-Лунга",
,,,,,Застройщик,104570394,https://999.md/ru/104570394?location=subcategory&index=4015&cardCategoryId=270&cardSubcategoryId=1404,5,,1,65 м²,2-х комнатная квартира,,Вторичный,,,87 900 €,Квартира с ливингом,Продам,"Кишинёв мун., Кишинёв, Ботаника, str. Nikolai Zelinski, 6/1","2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",
,,,,,Застройщик,104494693,https://999.md/ru/104494693?location=subcategory&index=4016&cardCategoryId=270&cardSubcategoryId=1404,3,,9,57 м²,2-х комнатная квартира,,Вторичный,,,84 900 €,,Продам,"Кишинёв мун., Кишинёв, Чокана, str. Petru Zadnipru, 4/2","2-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",
,Eвроремонт,1,,,Агентство,104426330,https://999.md/ru/104426330?location=subcategory&index=4017&cardCategoryId=270&cardSubcategoryId=1404,1,,4,30 м²,1-комнатная квартира,,Вторичный,,,60 000 €,,Продам,"Кишинёв мун., Кишинёв, Ботаника, str. Dimineții, .","1-комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",
2,Белый вариант,1,,,Агентство,104428358,https://999.md/ru/104428358?location=subcategory&index=4018&cardCategoryId=270&cardSubcategoryId=1404,12,,13,65 м²,2-х комнатная квартира,,Новострой,Loid,,144 900 €,Квартира с ливингом,Продам,"Кишинёв мун., Кишинёв, Ботаника, bd. Cuza Vodă, .","2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",
,Eвроремонт,1,,,Частное лицо,104609525,https://999.md/ru/104609525?location=subcategory&index=4019&cardCategoryId=270&cardSubcategoryId=1404,5,,9,80 м²,4-x комнатная квартира,,Вторичный,,,90 000 €,Квартира с ливингом,Продам,Расположение,"4-x комнатная квартира,  БАМ,  Бельцы,  Бельцы мун.",
,,,,,Застройщик,104331145,https://999.md/ru/104331145?location=subcategory&index=4020&cardCategoryId=270&cardSubcategoryId=1404,3,,12,66 м²,1-комнатная квартира,,Новострой,,,82 500 €,Квартира с ливингом,Продам,"Кишинёв мун., Кишинёв, Чокана, str. Ginta Latină, 8","1-комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",
,Белый вариант,,,,Частное лицо,102991861,https://999.md/ru/102991861?location=subcategory&index=4021&cardCategoryId=270&cardSubcategoryId=1404,7,,10,52 м²,2-х комнатная квартира,,Новострой,,,72 500 €,Квартира с ливингом,Продам,"Кишинёв мун., Кишинёв, Рышкановка, ул. Браништий, 5/3","2-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",
1,Eвроремонт,1,,,Агентство,104196510,https://999.md/ru/104196510?location=subcategory&index=4022&cardCategoryId=270&cardSubcategoryId=1404,2,,7,49 м²,1-комнатная квартира,Подземная,Новострой,,,110 000 €,,Продам,"Кишинёв мун., Дурлешты, Центр, str. Regina Elisabeta, *","1-комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.",
2,Без ремонта,,,Индивидуальная,Застройщик,104372092,https://999.md/ru/104372092?location=subcategory&index=4023&cardCategoryId=270&cardSubcategoryId=1404,4,Kотельцовый,5,38 м²,1-комнатная квартира,,Вторичный,,,62 500 €,,Продам,"Кишинёв мун., Кишинёв, Рышкановка, str. Miron Costin, 11/2","1-комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",
Нет,Eвроремонт,1,250 см,Хрущевка,Частное лицо,104554540,https://999.md/ru/104554540?location=subcategory&index=4024&cardCategoryId=270&cardSubcategoryId=1404,1,Kотельцовый,2,30 м²,1-комнатная квартира,Oткрытое,Вторичный,A-casa,25 м²,46 000 €,,Продам,"Оргеев, Оргеев, Центр, str. Vasile Mahu, 85","1-комнатная квартира,  Центр,  Оргеев,  Оргеев",5 м²
1,,,,,Частное лицо,104340627,https://999.md/ru/104340627?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3ODE0NzEwNDgsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDQzNDA2MjciLCJpIjoiODkuMTQ5LjkxLjE2MiIsInMiOiJkZXNrdG9wX3JlZGVzaWduIiwicCI6ImFkc19saXN0X2lubGluZSIsIngiOiIiLCJsIjoiMDI3NWIwZmItOTFlMi00NDk3LWExZjEtY2E5MzkxNDcxZDVmIiwiZSI6Ijg5LjE0OS45MS4xNjIiLCJnIjoidHVyYm8iLCJ0IjoiMjAyNi0wNi0xNFQyMDowNDowOC41NzM0OTgxNzdaIn19.NxfIoNooOwdAsD_IQ_nDF4uVP3VH6z_q_AJ-cY4r4z8&placement=ADS_LIST_INLINE_REDESIGN&adType=booster&location=subcategory&index=4025&cardCategoryId=270&cardSubcategoryId=1404,8,,10,42 м²,1-комнатная квартира,,Новострой,Solomon Construct Imobil,,51 800 €,,Продам,"Кишинёв мун., Дурлешты, Центр, str. Nicolae Dimo, 24a","1-комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.",
1,Белый вариант,2,,,Агентство,102195227,https://999.md/ru/102195227?location=subcategory&index=4026&cardCategoryId=270&cardSubcategoryId=1404,7,,12,79 м²,3-х комнатная квартира,Oткрытое,Новострой,Sky House,,130 500 €,Квартира без ливинга,Продам,"Кишинёв мун., Кишинёв, Ботаника, str. Diminetii, 1","3-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",
1,Белый вариант,2,,,Агентство,101664291,https://999.md/ru/101664291?location=subcategory&index=4027&cardCategoryId=270&cardSubcategoryId=1404,1,,7,76 м²,2-х комнатная квартира,Oткрытое,Новострой,Boiar House,,74 500 €,Квартира без ливинга,Продам,"Кишинёв мун., Криково, Центр, ул. Каля Басарабией, 2","2-х комнатная квартира,  Центр,  Криково,  Кишинёв мун.",
Нет,Eвроремонт,2,,,Агентство,101669351,https://999.md/ru/101669351?location=subcategory&index=4028&cardCategoryId=270&cardSubcategoryId=1404,5,,9,86 м²,3-х комнатная квартира,Oткрытое,Новострой,,,200 000 €,Квартира с ливингом,Продам,"Кишинёв мун., Кишинёв, Чокана, ул. Николае Милеску-Спэтарул, 27","3-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",
,,,,,Частное лицо,104274163,https://999.md/ru/104274163?location=subcategory&index=4029&cardCategoryId=270&cardSubcategoryId=1404,5,,10,37 м²,1-комнатная квартира,,Новострой,,,92 000 €,,Продам,"Кишинёв мун., Кишинёв, Центр, str. Albisoara, 80/12","1-комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",
1,Eвроремонт,1,255 см,102,Частное лицо,104499904,https://999.md/ru/104499904?location=subcategory&index=4030&cardCategoryId=270&cardSubcategoryId=1404,3,Kотельцовый,5,57 м²,2-х комнатная квартира,Oткрытое,Вторичный,,30 м²,77 000 €,,Продам,"Унгены, Унгень, Молодёжный, str. Alexandru Boico, 9","2-х комнатная квартира,  Молодёжный,  Унгень,  Унгены",8 м²
1,Индивидуальный дизайн,1,2550 см,,Частное лицо,103804617,https://999.md/ru/103804617?location=subcategory&index=4031&cardCategoryId=270&cardSubcategoryId=1404,4,Kомбинированный,5,56 м²,2-х комнатная квартира,Oткрытое,Вторичный,,56 м²,125 000 €,Квартира с ливингом,Продам,"Кишинёв мун., Кишинёв, Ботаника, bd. Cuza Vodă, 38/2","2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",
,Косметический pемонт,1,,,Агентство,102883846,https://999.md/ru/102883846?location=subcategory&index=4032&cardCategoryId=270&cardSubcategoryId=1404,4,,5,54 м²,2-х комнатная квартира,,Вторичный,,,110 000 €,,Продам,"Кишинёв мун., Кишинёв, Рышкановка, str. Braniștii, 17","2-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",
,Белый вариант,,,,Агентство,103061377,https://999.md/ru/103061377?location=subcategory&index=4033&cardCategoryId=270&cardSubcategoryId=1404,8,,9,91 м²,3-х комнатная квартира,,Новострой,,,104 700 €,,Продам,"Кишинёв мун., Дурлешты, Центр, str. Cartușa, 95/2","3-х комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.",
1,Eвроремонт,1,,,Агентство,101030739,https://999.md/ru/101030739?location=subcategory&index=4034&cardCategoryId=270&cardSubcategoryId=1404,5,,5,47 м²,2-х комнатная квартира,Oткрытое,Вторичный,,,89 900 €,Квартира с ливингом,Продам,"Кишинёв мун., Кишинёв, Ботаника, str. Hristo Botev, 21","2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",
,,,,,Агентство,104336907,https://999.md/ru/104336907?location=subcategory&index=4035&cardCategoryId=270&cardSubcategoryId=1404,3,,15,66 м²,2-х комнатная квартира,,Новострой,,,169 900 €,Квартира с ливингом,Продам,"Кишинёв мун., Кишинёв, Центр, str. Bogdan Petriceicu Hasdeu, 20","2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",
2,Eвроремонт,1,,,Агентство,103095652,https://999.md/ru/103095652?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3ODE0NzEwNDgsIkMiOnsiciI6MSwiYiI6MTAwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDMwOTU2NTIiLCJpIjoiODkuMTQ5LjkxLjE2MiIsInMiOiJkZXNrdG9wX3JlZGVzaWduIiwicCI6ImFkc19saXN0X2lubGluZSIsIngiOiJwcm8iLCJsIjoiZjgyNDI5N2QtY2NhNS00NmMzLTlmOGEtNjMzMzkxYjM0MjYzIiwiZSI6Ijg5LjE0OS45MS4xNjIiLCJ0IjoiMjAyNi0wNi0xNFQyMDowNDowOC41NzM1Nzc2MzNaIn19.t6HFCnmXLLv4RChFE7vm-qAfoI-agku7r8lzCoHLqDk&placement=ADS_LIST_INLINE_REDESIGN&adType=booster&location=subcategory&index=4036&cardCategoryId=270&cardSubcategoryId=1404,7,,9,100 м²,2-х комнатная квартира,,Новострой,,100 м²,225 000 €,Квартира с ливингом,Продам,"Кишинёв мун., Кишинёв, Буюканы, пр-т Алба-Юлия, 128","2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",
1,Косметический pемонт,1,,,Частное лицо,104609360,https://999.md/ru/104609360?location=subcategory&index=4037&cardCategoryId=270&cardSubcategoryId=1404,5,,5,28 м²,1-комнатная квартира,,Вторичный,,,10 000 €,,Продам,"Единцы, Купчинь, Центр, str. Păcii, 11","1-комнатная квартира,  Центр,  Купчинь,  Единцы",
