Балкон / лоджия,Состояние квартиры,Санузел,Высота потолков,Планировка,Автор объявления,id,link,Тип здания,Этаж,Количество этажей,Общая площадь,Парковочное место,Количество комнат,Жилой фонд,Застройщик,Площадь кухни,Жилая площадь,price,Ливинг,Тип,title,Адрес
1,Eвроремонт,1,,Индивидуальная,Агентство,104268349,https://999.md/ru/104268349?location=subcategory&index=563&cardCategoryId=270&cardSubcategoryId=1404,,2,7,53 м²,Oткрытое,2-х комнатная квартира,Новострой,,,,112 000 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.","Кишинёв мун., Дурлешты, Центр,  str-la. Tudor Vladimirescu, 52"
2,Eвроремонт,1,,Индивидуальная,Агентство,104268638,https://999.md/ru/104268638?location=subcategory&index=564&cardCategoryId=270&cardSubcategoryId=1404,Kирпичный,4,10,64 м²,Oткрытое,2-х комнатная квартира,Новострой,Peak Development,,,129 900 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",Расположение
1,Eвроремонт,2,,Индивидуальная,Агентство,104268605,https://999.md/ru/104268605?location=subcategory&index=565&cardCategoryId=270&cardSubcategoryId=1404,Kирпичный,2,17,75 м²,Oткрытое,2-х комнатная квартира,Новострой,Eldorado Terra,,,220 000 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",Расположение
1,Eвроремонт,1,,Индивидуальная,Агентство,104270326,https://999.md/ru/104270326?location=subcategory&index=566&cardCategoryId=270&cardSubcategoryId=1404,Kотельцовый,3,14,80 м²,Oткрытое,2-х комнатная квартира,Вторичный,,,,140 000 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",Расположение
,Eвроремонт,1,,Индивидуальная,Агентство,104268409,https://999.md/ru/104268409?location=subcategory&index=567&cardCategoryId=270&cardSubcategoryId=1404,Ячеистый Бетон,2,8,43 м²,Oткрытое,1-комнатная квартира,Новострой,Erinvest,,,93 000 €,Квартира с ливингом,Продам,"1-комнатная квартира,  Центр,  Яловены,  Яловены","Яловены, Яловены, Центр, str. Alexandru cel Bun, 2/8"
,Белый вариант,2,,,Застройщик,88894927,https://999.md/ru/88894927?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3ODE0NjUyMDIsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiI4ODg5NDkyNyIsImkiOiI4OS4xNDkuOTEuMTYyIiwicyI6ImRlc2t0b3BfcmVkZXNpZ24iLCJwIjoiYWRzX2xpc3RfaW5saW5lIiwieCI6InBybyIsImwiOiIwZjQwMGNkNi0zMWZlLTRjNmUtOGFjNS1kYThlZjkyZmVhMGYiLCJlIjoiODkuMTQ5LjkxLjE2MiIsImciOiJ0dXJibyIsInQiOiIyMDI2LTA2LTE0VDE4OjI2OjQyLjA5MTQxODk2OFoifX0.ZawQ7WK1TnCYCZQ924nuRDfo-X1GR4EuXr-ASLFpJlc&placement=ADS_LIST_INLINE_REDESIGN&adType=booster&location=subcategory&index=568&cardCategoryId=270&cardSubcategoryId=1404,Kомбинированный,6,7,64 м²,,2-х комнатная квартира,Новострой,,,,118 400 €,,Продам,"2-х комнатная квартира,  Окраина,  Кодру,  Кишинёв мун.",Расположение
2,Белый вариант,2,,Индивидуальная,Агентство,102475105,https://999.md/ru/102475105?location=subcategory&index=569&cardCategoryId=270&cardSubcategoryId=1404,Kомбинированный,3,9,52 м²,Oткрытое,1-комнатная квартира,Новострой,Exfactor-grup,,,82 500 €,Квартира с ливингом,Продам,"1-комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",Расположение
1,Eвроремонт,1,,Индивидуальная,Агентство,104535175,https://999.md/ru/104535175?location=subcategory&index=570&cardCategoryId=270&cardSubcategoryId=1404,,5,10,54 м²,Oткрытое,1-комнатная квартира,Новострой,,,,117 000 €,Квартира с ливингом,Продам,"1-комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.","Кишинёв мун., Дурлешты, Центр, str. Regina Elisabeta, 4"
,,,,,Застройщик,103395064,https://999.md/ru/103395064?location=subcategory&index=571&cardCategoryId=270&cardSubcategoryId=1404,,1,9,70 м²,,2-х комнатная квартира,Новострой,,,,89 200 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Центр,  Криуляны,  Криуляны","Криуляны, Криуляны, Центр, bd. Biruinței, 20"
,,,,,Застройщик,103371363,https://999.md/ru/103371363?location=subcategory&index=572&cardCategoryId=270&cardSubcategoryId=1404,Kомбинированный,2,9,65 м²,,2-х комнатная квартира,Новострой,,,,64 100 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Центр,  Криуляны,  Криуляны","Криуляны, Криуляны, Центр, bd. Biruinței, 20"
,Eвроремонт,,,,Застройщик,103371220,https://999.md/ru/103371220?location=subcategory&index=573&cardCategoryId=270&cardSubcategoryId=1404,,1,9,65 м²,,2-х комнатная квартира,Новострой,,,,97 350 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Центр,  Криуляны,  Криуляны",Расположение
1,Eвроремонт,2,2500 см,Мс (Молд. Серия),Частное лицо,104529260,https://999.md/ru/104529260?location=subcategory&index=574&cardCategoryId=270&cardSubcategoryId=1404,Бетон,6,9,58 м²,Oткрытое,2-х комнатная квартира,Вторичный,A-casa,12 м²,40 м²,119 900 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Буюканы, str. Liviu Deleanu, 5/2"
1,Eвроремонт,1,,,Агентство,104515404,https://999.md/ru/104515404?location=subcategory&index=575&cardCategoryId=270&cardSubcategoryId=1404,,4,10,48 м²,Oткрытое,1-комнатная квартира,Новострой,,,,93 900 €,Квартира с ливингом,Продам,"1-комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Буюканы, str. Alba-Iulia, 87."
2,Белый вариант,2,,,Агентство,104516976,https://999.md/ru/104516976?location=subcategory&index=576&cardCategoryId=270&cardSubcategoryId=1404,Kомбинированный,5,5,90 м²,Oткрытое,3-х комнатная квартира,Новострой,A-casa,,,137 000 €,Квартира с ливингом,Продам,"3-х комнатная квартира,  Окраина,  Дурлешты,  Кишинёв мун.","Кишинёв мун., Дурлешты, Окраина, str. Bisericii, 1"
1,Белый вариант,2,,,Застройщик,104528509,https://999.md/ru/104528509?location=subcategory&index=577&cardCategoryId=270&cardSubcategoryId=1404,,14,14,69 м²,Oткрытое,2-х комнатная квартира,Новострой,Exfactor-grup,,,134 500 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Буюканы, str. Vasile Lupu, 28"
1,Белый вариант,2,275 см,Индивидуальная,Застройщик,104593998,https://999.md/ru/104593998?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3ODE0NjUyMDIsIkMiOnsiciI6MSwiYiI6MTAwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDQ1OTM5OTgiLCJpIjoiODkuMTQ5LjkxLjE2MiIsInMiOiJkZXNrdG9wX3JlZGVzaWduIiwicCI6ImFkc19saXN0X2lubGluZSIsIngiOiJwcmVtaXVtIiwibCI6ImFlOTQxZTRiLTE4MGUtNGVjYS1hOTE2LTNhZWVhMmNiMzBmMSIsImUiOiI4OS4xNDkuOTEuMTYyIiwidCI6IjIwMjYtMDYtMTRUMTg6MjY6NDIuMDkxNTczNjYyWiJ9fQ.bHiKPex-SFtnx3SNHyGCBF6RXLKks1jAcFDm6DIlCsU&placement=ADS_LIST_INLINE_REDESIGN&adType=booster&location=subcategory&index=578&cardCategoryId=270&cardSubcategoryId=1404,Kотельцовый,1,9,106 м²,Гараж,3-х комнатная квартира,Новострой,Astercon,19 м²,,154 000 €,,Продам,"3-х комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.","Кишинёв мун., Дурлешты, Центр, str. Durleşti, 10/A"
,Косметический pемонт,1,,,Частное лицо,104528958,https://999.md/ru/104528958?location=subcategory&index=579&cardCategoryId=270&cardSubcategoryId=1404,,13,16,39 м²,,1-комнатная квартира,Вторичный,,,,55 900 €,,Продам,"1-комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Буюканы, str. Nicolae Costin, 61/2"
,,,,,Агентство,104536015,https://999.md/ru/104536015?location=subcategory&index=580&cardCategoryId=270&cardSubcategoryId=1404,,5,5,30 м²,,1-комнатная квартира,Вторичный,,,,62 900 €,,Продам,"1-комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Телецентр, str. Lech Kaczynski, 10/2"
2,Eвроремонт,2,,Мс (Молд. Серия),Агентство,104415967,https://999.md/ru/104415967?location=subcategory&index=581&cardCategoryId=270&cardSubcategoryId=1404,,8,9,73 м²,,3-х комнатная квартира,Вторичный,,,,107 000 €,,Продам,"3-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Ботаника, şos. Munceşti, 788."
1,Eвроремонт,1,,,Частное лицо,86761849,https://999.md/ru/86761849?location=subcategory&index=582&cardCategoryId=270&cardSubcategoryId=1404,Kотельцовый,2,5,71 м²,Oткрытое,3-х комнатная квартира,Вторичный,,,71 м²,102 000 €,,Продам,"3-х комнатная квартира,  Центр,  Кодру,  Кишинёв мун.","Кишинёв мун., Кодру, Центр, str. Costiujeni, 3/17"
1,Косметический pемонт,1,270 см,,Частное лицо,104449248,https://999.md/ru/104449248?location=subcategory&index=583&cardCategoryId=270&cardSubcategoryId=1404,Kотельцовый,5,5,41 м²,Oткрытое,2-х комнатная квартира,Вторичный,,7 м²,22 м²,59 000 €,Квартира без ливинга,Продам,"2-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Рышкановка, str. Ceucari, 10/1"
2,Eвроремонт,2,,Индивидуальная,Агентство,104400818,https://999.md/ru/104400818?location=subcategory&index=584&cardCategoryId=270&cardSubcategoryId=1404,,9,10,153 м²,Oткрытое,3-х комнатная квартира,Новострой,Braus Imobiliare,,,279 900 €,Квартира с ливингом,Продам,"3-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",Расположение
,Eвроремонт,2,280 см,,Частное лицо,104165968,https://999.md/ru/104165968?location=subcategory&index=585&cardCategoryId=270&cardSubcategoryId=1404,,1,10,97 м²,,3-х комнатная квартира,Новострой,Exfactor-grup,,,220 000 €,Квартира с ливингом,Продам,"3-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Буюканы, str. Calea Ieșilor, 67"
1,Eвроремонт,1,,Индивидуальная,Агентство,104526074,https://999.md/ru/104526074?location=subcategory&index=586&cardCategoryId=270&cardSubcategoryId=1404,,1,8,44 м²,Oткрытое,1-комнатная квартира,Новострой,,,,98 500 €,Квартира с ливингом,Продам,"1-комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.","Кишинёв мун., Дурлешты, Центр, str. Regina Elisabeta , 4"
2,Белый вариант,2,,,Застройщик,104210911,https://999.md/ru/104210911?location=subcategory&index=587&cardCategoryId=270&cardSubcategoryId=1404,Kирпичный,8,9,51 м²,Подземная,1-комнатная квартира,Новострой,Exfactor-grup,,,79 900 €,Квартира с ливингом,Продам,"1-комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Ботаника, bd. Dacia, 62"
Нет,Eвроремонт,3,300 см,,Застройщик,102132873,https://999.md/ru/102132873?location=subcategory&index=588&cardCategoryId=270&cardSubcategoryId=1404,Kомбинированный,8,10,134 м²,Oткрытое,3-х комнатная квартира,Новострой,Inamstro,,,800 000 €,Квартира с ливингом,Продам,"3-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Центр, str. Mihai Eminescu, 72"
1,Белый вариант,1,,Индивидуальная,Агентство,104179173,https://999.md/ru/104179173?location=subcategory&index=589&cardCategoryId=270&cardSubcategoryId=1404,Kирпичный,8,12,62 м²,Oткрытое,2-х комнатная квартира,Новострой,Lagmar Impex,,,117 000 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Рышкановка, str. Cornesti, 7"
1,Белый вариант,1,,Индивидуальная,Агентство,104179738,https://999.md/ru/104179738?location=subcategory&index=590&cardCategoryId=270&cardSubcategoryId=1404,Ячеистый Бетон,3,9,41 м²,Oткрытое,1-комнатная квартира,Новострой,Poliprim Grup,,,55 300 €,Квартира с ливингом,Продам,"1-комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.","Кишинёв мун., Дурлешты, Центр, str. Nicolae Dimo, 24"
2,Eвроремонт,2,,Индивидуальная,Агентство,104446535,https://999.md/ru/104446535?location=subcategory&index=591&cardCategoryId=270&cardSubcategoryId=1404,Kирпичный,12,13,70 м²,Oткрытое,2-х комнатная квартира,Новострой,,,,209 000 €,Квартира без ливинга,Продам,"2-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",Расположение
,Eвроремонт,1,,Индивидуальная,Агентство,101811279,https://999.md/ru/101811279?location=subcategory&index=592&cardCategoryId=270&cardSubcategoryId=1404,,8,10,47 м²,Oткрытое,1-комнатная квартира,Новострой,,,,104 500 €,Квартира с ливингом,Продам,"1-комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",Расположение
,,1,,,Частное лицо,103867169,https://999.md/ru/103867169?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3ODE0NjUyMDIsIkMiOnsiciI6MSwiYiI6MTQwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDM4NjcxNjkiLCJpIjoiODkuMTQ5LjkxLjE2MiIsInMiOiJkZXNrdG9wX3JlZGVzaWduIiwicCI6ImFkc19saXN0X2lubGluZSIsIngiOiIiLCJsIjoiNjNmMDg1NDAtOGMxYy00ZWI4LWI5NTEtYmFmNjJmNDExMmUwIiwiZSI6Ijg5LjE0OS45MS4xNjIiLCJnIjoibGl0ZSIsInQiOiIyMDI2LTA2LTE0VDE4OjI2OjQyLjA5MTY2MDE4M1oifX0.nyCA4XOK5Vw-SV5vdD79LgfzJZV42j-huIBdzkJmPtI&placement=ADS_LIST_INLINE_REDESIGN&adType=booster&location=subcategory&index=593&cardCategoryId=270&cardSubcategoryId=1404,,9,11,45 м²,Oткрытое,1-комнатная квартира,Новострой,,,,40 €,Квартира с ливингом,Сдаю посуточно,"1-комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Чокана, bd. Mircea cel Batran, 43/E"
1,Eвроремонт,1,,,Застройщик,104233966,https://999.md/ru/104233966?location=subcategory&index=594&cardCategoryId=270&cardSubcategoryId=1404,,5,8,52 м²,Oткрытое,2-х комнатная квартира,Новострой,,,,120 000 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Центр,  Кодру,  Кишинёв мун.","Кишинёв мун., Кодру, Центр, str-la 4 Valea Apelor, 2/B"
,Eвроремонт,,,,Агентство,104203877,https://999.md/ru/104203877?location=subcategory&index=595&cardCategoryId=270&cardSubcategoryId=1404,,3,5,30 м²,,1-комнатная квартира,Вторичный,,,,65 000 €,,Продам,"1-комнатная квартира,  Старая Почта,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Старая Почта, str. Vasile Badiu, 10/3"
,Eвроремонт,1,,,Застройщик,104240838,https://999.md/ru/104240838?location=subcategory&index=596&cardCategoryId=270&cardSubcategoryId=1404,Kотельцовый,1,5,35 м²,Oткрытое,2-х комнатная квартира,Новострой,,,,77 900 €,,Продам,"2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Буюканы, str. Alexandru Marinescu, 51"
1,Косметический pемонт,1,,,Агентство,104238921,https://999.md/ru/104238921?location=subcategory&index=597&cardCategoryId=270&cardSubcategoryId=1404,,2,3,70 м²,Oткрытое,3-х комнатная квартира,Вторичный,,,,78 000 €,Квартира без ливинга,Продам,"3-х комнатная квартира,  Окраина,  Оргеев,  Оргеев","Оргеев, Оргеев, Окраина, str. Nistreană, 22/1"
,,,,,Частное лицо,103833503,https://999.md/ru/103833503?location=subcategory&index=598&cardCategoryId=270&cardSubcategoryId=1404,,5,6,67 м²,Oткрытое,2-х комнатная квартира,Новострой,,,,139 000 €,,Продам,"2-х комнатная квартира,  Центр,  Ставчены,  Кишинёв мун.","Кишинёв мун., Ставчены, Центр, str. Livezilor, 3"
2,,2,,Индивидуальная,Частное лицо,104305427,https://999.md/ru/104305427?location=subcategory&index=599&cardCategoryId=270&cardSubcategoryId=1404,,3,11,116 м²,,3-х комнатная квартира,Новострой,Casa de Piatra,16 м²,100 м²,198 000 €,Квартира с ливингом,Продам,"3-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Буюканы, str. Alba-Iulia, 87"
2,Белый вариант,2,275 см,,Застройщик,78717461,https://999.md/ru/78717461?location=subcategory&index=600&cardCategoryId=270&cardSubcategoryId=1404,Mонолитный,4,9,75 м²,Подземная,2-х комнатная квартира,Новострой,,,63 м²,93 750 €,,Продам,"2-х комнатная квартира,  Старая Почта,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Старая Почта, str. Ceucari, 11/1"
1,,1,,,Частное лицо,77429115,https://999.md/ru/77429115?location=subcategory&index=601&cardCategoryId=270&cardSubcategoryId=1404,,4,6,74 м²,Подземная,2-х комнатная квартира,Новострой,,,,245 000 €,,Продам,"2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Центр, str. Cojocarilor, 1"
1,Eвроремонт,2,,Индивидуальная,Агентство,104267452,https://999.md/ru/104267452?location=subcategory&index=602&cardCategoryId=270&cardSubcategoryId=1404,Kирпичный,8,9,72 м²,Oткрытое,2-х комнатная квартира,Новострой,,,,146 900 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.","Кишинёв мун., Дурлешты, Центр, str. Cartușa, 95/5"
2,,2,250 см,Мс (Молд. Серия),Частное лицо,104325941,https://999.md/ru/104325941?location=subcategory&index=603&cardCategoryId=270&cardSubcategoryId=1404,Панельный,8,9,80 м²,,3-х комнатная квартира,Вторичный,,,69 м²,116 000 €,Квартира без ливинга,Продам,"3-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Ботаника, пр-т Куза Водэ, 39/2"
1,,,,135,Частное лицо,104592739,https://999.md/ru/104592739?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3ODE0NjUyMDIsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDQ1OTI3MzkiLCJpIjoiODkuMTQ5LjkxLjE2MiIsInMiOiJkZXNrdG9wX3JlZGVzaWduIiwicCI6ImFkc19saXN0X2lubGluZSIsIngiOiIiLCJsIjoiMDFlYmE2NzAtNmFhMy00NzgwLThiZGMtNWRiY2Y1YjczMWFiIiwiZSI6Ijg5LjE0OS45MS4xNjIiLCJnIjoicGx1cyIsInQiOiIyMDI2LTA2LTE0VDE4OjI2OjQyLjA5MTczMDAyN1oifX0.lFPiYeJ-lcOJqBDNraBnQWZfOwW6T8ggbwQKSG5-PqM&placement=ADS_LIST_INLINE_REDESIGN&adType=booster&location=subcategory&index=604&cardCategoryId=270&cardSubcategoryId=1404,Бетон,2,9,55 м²,,2-х комнатная квартира,Вторичный,,,50 м²,95 000 €,,Продам,"2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Буюканы, șos. Balcani, 8/1"
