Балкон / лоджия,Состояние квартиры,Санузел,Высота потолков,Планировка,Автор объявления,id,link,Тип здания,Этаж,Количество этажей,Общая площадь,Количество комнат,Парковочное место,Жилой фонд,Застройщик,Жилая площадь,price,Ливинг,Тип,Адрес,title,Площадь кухни
1,Eвроремонт,1,,,Агентство,102113646,https://999.md/ru/102113646?location=subcategory&index=3209&cardCategoryId=270&cardSubcategoryId=1404,,16,16,73 м²,2-х комнатная квартира,Oткрытое,Новострой,,,169 000 €,,Продам,"Кишинёв мун., Кишинёв, Рышкановка, str. Florilor, -","2-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",
,Eвроремонт,1,,,Агентство,104160985,https://999.md/ru/104160985?location=subcategory&index=3210&cardCategoryId=270&cardSubcategoryId=1404,,1,5,30 м²,1-комнатная квартира,,Вторичный,,,75 000 €,,Продам,"Кишинёв мун., Кишинёв, Центр, str. George Coșbuc, -","1-комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",
,Eвроремонт,,,,Агентство,104455593,https://999.md/ru/104455593?location=subcategory&index=3211&cardCategoryId=270&cardSubcategoryId=1404,,5,9,42 м²,1-комнатная квартира,,Новострой,,,85 900 €,Квартира с ливингом,Продам,"Кишинёв мун., Дурлешты, Центр, str. Nicolae Dimo, 24/1","1-комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.",
1,Eвроремонт,2,,,Агентство,104268160,https://999.md/ru/104268160?location=subcategory&index=3212&cardCategoryId=270&cardSubcategoryId=1404,,2,9,151 м²,4-x комнатная квартира,Oткрытое,Новострой,,,495 000 €,,Продам,"Кишинёв мун., Кишинёв, Центр, str. Valea Trandafirilor, 24","4-x комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",
Нет,Eвроремонт,1,,,Агентство,104269676,https://999.md/ru/104269676?location=subcategory&index=3213&cardCategoryId=270&cardSubcategoryId=1404,,8,10,68 м²,2-х комнатная квартира,Oткрытое,Новострой,,,163 500 €,,Продам,"Кишинёв мун., Кишинёв, Буюканы, str. Ioana Radu, 27","2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",
Нет,,1,,,Частное лицо,104317613,https://999.md/ru/104317613?location=subcategory&index=3214&cardCategoryId=270&cardSubcategoryId=1404,Kотельцовый,2,2,38 м²,2-х комнатная квартира,,Вторичный,,,47 500 €,,Продам,"Кишинёв мун., Кишинёв, Рышкановка, str. Tudor Vladimirescu, 20","2-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",
1,Белый вариант,1,,Индивидуальная,Агентство,104572920,https://999.md/ru/104572920?location=subcategory&index=3215&cardCategoryId=270&cardSubcategoryId=1404,,2,9,41 м²,1-комнатная квартира,Oткрытое,Новострой,,,54 000 €,,Продам,"Кишинёв мун., Кишинёв, Телецентр, șos. Hâncești, *","1-комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.",
,Eвроремонт,,,Мс (Молд. Серия),Частное лицо,104143636,https://999.md/ru/104143636?location=subcategory&index=3216&cardCategoryId=270&cardSubcategoryId=1404,Блочный,4,5,47 м²,2-х комнатная квартира,,Вторичный,,30 м²,55 500 €,,Продам,Расположение,"2-х комнатная квартира,  Центр,  Бельцы,  Бельцы мун.",8 м²
1,Eвроремонт,1,3 см,Индивидуальная,Застройщик,103817074,https://999.md/ru/103817074?location=subcategory&index=3217&cardCategoryId=270&cardSubcategoryId=1404,Kомбинированный,9,14,52 м²,1-комнатная квартира,Oткрытое,Новострой,Basconslux,40 м²,95 000 €,Квартира без ливинга,Продам,"Кишинёв мун., Кишинёв, Ботаника, bd. Traian, 22","1-комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",10 м²
3,Eвроремонт,1,,,Застройщик,102936883,https://999.md/ru/102936883?location=subcategory&index=3218&cardCategoryId=270&cardSubcategoryId=1404,,12,16,84 м²,2-х комнатная квартира,Oткрытое,Новострой,,,142 500 €,,Продам,"Кишинёв мун., Кишинёв, Чокана, str. Ion Dumeniuc, 26","2-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",
2,Незавершенное cтроительство,1,,Индивидуальная,Застройщик,104566566,https://999.md/ru/104566566?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3ODE0Njk2NDIsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDQ1NjY1NjYiLCJpIjoiODkuMTQ5LjkxLjE2MiIsInMiOiJkZXNrdG9wX3JlZGVzaWduIiwicCI6ImFkc19saXN0X2lubGluZSIsIngiOiJwcmVtaXVtIiwibCI6IjU0YzM2M2ZhLTk0MDgtNDc1OS04NjY1LTc4NDNhMjNiMTMwYSIsImUiOiI4OS4xNDkuOTEuMTYyIiwiZyI6InBsdXMiLCJ0IjoiMjAyNi0wNi0xNFQxOTo0MDo0Mi4xODczNzUzNTlaIn19.QuGXYKKRqlhzzaSpjro3s27DANylfMMuIDoIrN1BJmI&placement=ADS_LIST_INLINE_REDESIGN&adType=booster&location=subcategory&index=3219&cardCategoryId=270&cardSubcategoryId=1404,Mонолитный,8,16,67 м²,2-х комнатная квартира,,Новострой,Inamstro,67 м²,113 900 €,Квартира с ливингом,Продам,"Кишинёв мун., Кишинёв, Ботаника, str. Nikolai Zelinski, 11","2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",
1,Белый вариант,1,,,Агентство,102690563,https://999.md/ru/102690563?location=subcategory&index=3220&cardCategoryId=270&cardSubcategoryId=1404,,9,12,81 м²,2-х комнатная квартира,Oткрытое,Новострой,,,87 885 €,,Продам,"Кишинёв мун., Дурлешты, Центр, str. Regina Elisabeta, *","2-х комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.",
,Eвроремонт,2,,,Агентство,102350013,https://999.md/ru/102350013?location=subcategory&index=3221&cardCategoryId=270&cardSubcategoryId=1404,,3,12,90 м²,3-х комнатная квартира,Подземная,Новострой,,,163 500 €,,Продам,"Кишинёв мун., Кишинёв, Телецентр, Ialoveni, 136","3-х комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.",
1,Белый вариант,2,,Индивидуальная,Агентство,103735049,https://999.md/ru/103735049?location=subcategory&index=3222&cardCategoryId=270&cardSubcategoryId=1404,,5,13,93 м²,3-х комнатная квартира,Oткрытое,Новострой,,,206 500 €,,Продам,"Кишинёв мун., Кишинёв, Ботаника, bd. Cuza Voda, **","3-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",
,Eвроремонт,1,250 см,Индивидуальная,Частное лицо,102976311,https://999.md/ru/102976311?location=subcategory&index=3223&cardCategoryId=270&cardSubcategoryId=1404,Kотельцовый,1,5,90 м²,3-х комнатная квартира,Oткрытое,Вторичный,,,153 888 €,,Продам,"Кишинёв мун., Кишинёв, Рышкановка, str. Miron Costin, 14","3-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",
,Белый вариант,,,Индивидуальная,Частное лицо,103269074,https://999.md/ru/103269074?location=subcategory&index=3224&cardCategoryId=270&cardSubcategoryId=1404,,4,4,60 м²,2-х комнатная квартира,Oткрытое,Новострой,,60 м²,78 000 €,,Продам,"Бельцы мун., Бельцы, Центр, str. Independenței, 64","2-х комнатная квартира,  Центр,  Бельцы,  Бельцы мун.",
,Eвроремонт,,,,Агентство,103735824,https://999.md/ru/103735824?location=subcategory&index=3225&cardCategoryId=270&cardSubcategoryId=1404,,6,13,87 м²,3-х комнатная квартира,Подземная,Новострой,,,280 000 €,Квартира с ливингом,Продам,"Кишинёв мун., Кишинёв, Буюканы, str. Vasile Lupu, 28","3-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",
1,Eвроремонт,1,,Индивидуальная,Агентство,104600204,https://999.md/ru/104600204?location=subcategory&index=3226&cardCategoryId=270&cardSubcategoryId=1404,Kомбинированный,4,10,90 м²,3-х комнатная квартира,Oткрытое,Новострой,,,243 000 €,Квартира с ливингом,Продам,"Кишинёв мун., Кишинёв, Центр, Ismail, 88","3-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",
,,,,,Агентство,104418102,https://999.md/ru/104418102?location=subcategory&index=3227&cardCategoryId=270&cardSubcategoryId=1404,,7,13,71 м²,2-х комнатная квартира,,Новострой,Exfactor-grup,,177 000 €,Квартира с ливингом,Продам,"Кишинёв мун., Кишинёв, Буюканы, str. Vasile Lupu, 28","2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",
,,,,,Агентство,104356960,https://999.md/ru/104356960?location=subcategory&index=3228&cardCategoryId=270&cardSubcategoryId=1404,,1,10,36 м²,1-комнатная квартира,,Новострой,,,117 000 €,Квартира с ливингом,Продам,Расположение,"1-комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",
,,,,,Агентство,104318005,https://999.md/ru/104318005?location=subcategory&index=3229&cardCategoryId=270&cardSubcategoryId=1404,,11,11,95 м²,2-х комнатная квартира,,Новострой,,,164 900 €,Квартира с ливингом,Продам,"Кишинёв мун., Кишинёв, Телецентр, șos. Hâncești, 55/5","2-х комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.",
,,,,,Агентство,104317845,https://999.md/ru/104317845?location=subcategory&index=3230&cardCategoryId=270&cardSubcategoryId=1404,,6,11,54 м²,1-комнатная квартира,,Новострой,,,147 500 €,Квартира с ливингом,Продам,Расположение,"1-комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",
,,,,,Агентство,104299624,https://999.md/ru/104299624?location=subcategory&index=3231&cardCategoryId=270&cardSubcategoryId=1404,,11,13,120 м²,3-х комнатная квартира,,Новострой,,,225 000 €,Квартира с ливингом,Продам,"Кишинёв мун., Кишинёв, Чокана, str. Nicolae Sulac, 4","3-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",
1,Eвроремонт,2,,,Агентство,102979712,https://999.md/ru/102979712?location=subcategory&index=3232&cardCategoryId=270&cardSubcategoryId=1404,,3,10,75 м²,2-х комнатная квартира,Подземная,Новострой,,,220 000 €,,Продам,"Кишинёв мун., Кишинёв, Центр, Melestiu, -","2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",
1,,1,,,Застройщик,103932046,https://999.md/ru/103932046?location=subcategory&index=3233&cardCategoryId=270&cardSubcategoryId=1404,,4,10,46 м²,1-комнатная квартира,,Новострой,,,74 550 €,Квартира с ливингом,Продам,"Кишинёв мун., Кишинёв, Рышкановка, str. Tudor Vladimirescu, 1/8","1-комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",
,Белый вариант,2,,,Застройщик,88894927,https://999.md/ru/88894927?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3ODE0Njk2NDIsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiI4ODg5NDkyNyIsImkiOiI4OS4xNDkuOTEuMTYyIiwicyI6ImRlc2t0b3BfcmVkZXNpZ24iLCJwIjoiYWRzX2xpc3RfaW5saW5lIiwieCI6InBybyIsImwiOiIwZjQwMGNkNi0zMWZlLTRjNmUtOGFjNS1kYThlZjkyZmVhMGYiLCJlIjoiODkuMTQ5LjkxLjE2MiIsImciOiJ0dXJibyIsInQiOiIyMDI2LTA2LTE0VDE5OjQwOjQyLjE4NzQ0MDUwOFoifX0.xpx4GfleREjC3i4Qrw9ZF3DG9UqAKtoJvYzfVnEonkU&placement=ADS_LIST_INLINE_REDESIGN&adType=booster&location=subcategory&index=3234&cardCategoryId=270&cardSubcategoryId=1404,Kомбинированный,6,7,64 м²,2-х комнатная квартира,,Новострой,,,118 400 €,,Продам,Расположение,"2-х комнатная квартира,  Окраина,  Кодру,  Кишинёв мун.",
,Белый вариант,1,,,Агентство,104576702,https://999.md/ru/104576702?location=subcategory&index=3235&cardCategoryId=270&cardSubcategoryId=1404,,4,9,50 м²,1-комнатная квартира,Oткрытое,Новострой,Lagmar Impex,,74 900 €,Квартира с ливингом,Продам,"Кишинёв мун., Кишинёв, Рышкановка, str. Calea Moșilor, 4","1-комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",
,Eвроремонт,1,,,,102285958,https://999.md/ru/102285958?location=subcategory&index=3236&cardCategoryId=270&cardSubcategoryId=1404,,4,7,42 м²,1-комнатная квартира,,Новострой,Solomon Construct Imobil,,135 000 €,Квартира с ливингом,Продам,Расположение,"1-комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",
Нет,Eвроремонт,1,,Индивидуальная,Агентство,103701354,https://999.md/ru/103701354?location=subcategory&index=3237&cardCategoryId=270&cardSubcategoryId=1404,Kотельцовый,5,6,41 м²,1-комнатная квартира,Oткрытое,Новострой,,,79 900 €,,Продам,"Кишинёв мун., Дурлешты, Центр, str. Cartușa, 99","1-комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.",
1,Eвроремонт,2,,,Агентство,104599864,https://999.md/ru/104599864?location=subcategory&index=3238&cardCategoryId=270&cardSubcategoryId=1404,Kотельцовый,8,9,40 м²,1-комнатная квартира,Oткрытое,Вторичный,,,57 900 €,,Продам,"Кишинёв мун., Кишинёв, Рышкановка, str. Florilor, 26/3","1-комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",
2,Eвроремонт,2,,Индивидуальная,Агентство,103971708,https://999.md/ru/103971708?location=subcategory&index=3239&cardCategoryId=270&cardSubcategoryId=1404,Kирпичный,10,13,109 м²,2-х комнатная квартира,Oткрытое,Новострой,Exfactor-grup,,228 000 €,,Продам,"Кишинёв мун., Кишинёв, Ботаника, Doctor Tudor Strișcă, 8/1","2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",
Нет,Eвроремонт,2,,,Агентство,100937032,https://999.md/ru/100937032?location=subcategory&index=3240&cardCategoryId=270&cardSubcategoryId=1404,Kомбинированный,3,3,100 м²,3-х комнатная квартира,Oткрытое,Новострой,,,215 000 €,,Продам,"Кишинёв мун., Кишинёв, Центр, Cramei, 10","3-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",
1,Косметический pемонт,2,,Мс (Молд. Серия),Агентство,102637344,https://999.md/ru/102637344?location=subcategory&index=3241&cardCategoryId=270&cardSubcategoryId=1404,Панельный,6,9,67 м²,3-х комнатная квартира,Oткрытое,Вторичный,,,109 900 €,,Продам,"Кишинёв мун., Кишинёв, Телецентр, Drumul Schinoasei, 1/4","3-х комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.",
1,Eвроремонт,2,300 см,Индивидуальная,Частное лицо,83712597,https://999.md/ru/83712597?location=subcategory&index=3242&cardCategoryId=270&cardSubcategoryId=1404,Kотельцовый,6,7,120 м²,3-х комнатная квартира,Oткрытое,Новострой,,86 м²,153 999 €,Квартира с ливингом,Продам,"Кишинёв мун., Кишинёв, Ботаника, bd. Cuza Vodă, 24","3-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",25 м²
,Сдан в эксплуатацию,1,,,Частное лицо,104264749,https://999.md/ru/104264749?location=subcategory&index=3243&cardCategoryId=270&cardSubcategoryId=1404,Kомбинированный,4,7,64 м²,2-х комнатная квартира,Oткрытое,Новострой,,,109 900 €,Квартира с ливингом,Продам,Расположение,"2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",
4 и более,Eвроремонт,2,,Индивидуальная,Частное лицо,103938717,https://999.md/ru/103938717?location=subcategory&index=3244&cardCategoryId=270&cardSubcategoryId=1404,Kотельцовый,Пентхаус,10,140 м²,2-х комнатная квартира,Гараж,Новострой,Pamir Construct,,204 900 €,Квартира с ливингом,Продам,"Кишинёв мун., Кишинёв, Телецентр, str. Ialoveni, 100/3","2-х комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.",
2,Белый вариант,2,286 см,,Застройщик,102831939,https://999.md/ru/102831939?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3ODE0Njk2NDIsIkMiOnsiciI6MSwiYiI6MTQwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDI4MzE5MzkiLCJpIjoiODkuMTQ5LjkxLjE2MiIsInMiOiJkZXNrdG9wX3JlZGVzaWduIiwicCI6ImFkc19saXN0X2lubGluZSIsIngiOiJwcmVtaXVtIiwibCI6ImFlOTQxZTRiLTE4MGUtNGVjYS1hOTE2LTNhZWVhMmNiMzBmMSIsImUiOiI4OS4xNDkuOTEuMTYyIiwidCI6IjIwMjYtMDYtMTRUMTk6NDA6NDIuMTg3NTY5NjA4WiJ9fQ.n2TNd4Uw-_OJC-zpTCyVqn2BYgiLVMNLU2E0pOmgUTo&placement=ADS_LIST_INLINE_REDESIGN&adType=booster&location=subcategory&index=3245&cardCategoryId=270&cardSubcategoryId=1404,Ячеистый Бетон,2,6,77 м²,2-х комнатная квартира,Гараж,Новострой,Astercon,,103 397 €,Квартира с ливингом,Продам,"Кишинёв мун., Дурлешты, Центр, str. Durlești, 8","2-х комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.",12 м²
,Eвроремонт,2,,,Агентство,104014164,https://999.md/ru/104014164?location=subcategory&index=3246&cardCategoryId=270&cardSubcategoryId=1404,Kирпичный,4,13,87 м²,3-х комнатная квартира,Подземная,Новострой,Exfactor-grup,,233 000 €,Квартира с ливингом,Продам,"Кишинёв мун., Кишинёв, Буюканы, str. Vasile Lupu, 28","3-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",
1,,1,257 см,Рубашка,Частное лицо,104030138,https://999.md/ru/104030138?location=subcategory&index=3247&cardCategoryId=270&cardSubcategoryId=1404,Панельный,4,5,59 м²,3-х комнатная квартира,Oткрытое,Вторичный,,44 м²,87 000 €,,Продам,"Кишинёв мун., Кишинёв, Ботаника, str. Trandafirilor, 37/1","3-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",6 м²
,,,,,Агентство,103720613,https://999.md/ru/103720613?location=subcategory&index=3248&cardCategoryId=270&cardSubcategoryId=1404,,5,5,76 м²,2-х комнатная квартира,,Новострой,,,160 000 €,,Продам,"Кишинёв мун., Кишинёв, Буюканы, пр-т Алба-Юлия, 17/A","2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",
Нет,Eвроремонт,1,280 см,Рубашка,Застройщик,104164599,https://999.md/ru/104164599?location=subcategory&index=3249&cardCategoryId=270&cardSubcategoryId=1404,Kирпичный,1,5,30 м²,1-комнатная квартира,Oткрытое,Новострой,Estate Invest Company,12 м²,53 999 €,Квартира без ливинга,Продам,"Кишинёв мун., Кишинёв, Телецентр, str. Costiujeni, 78","1-комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.",10 м²
1,Eвроремонт,1,,,Агентство,104612367,https://999.md/ru/104612367?location=subcategory&index=3250&cardCategoryId=270&cardSubcategoryId=1404,Kотельцовый,4,5,32 м²,1-комнатная квартира,Oткрытое,Вторичный,,,55 900 €,,Продам,"Кишинёв мун., Кишинёв, Рышкановка, ул. Браништий, 9/2","1-комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",
1,Eвроремонт,2,,Индивидуальная,Агентство,101821561,https://999.md/ru/101821561?location=subcategory&index=3251&cardCategoryId=270&cardSubcategoryId=1404,,12,14,76 м²,2-х комнатная квартира,Подземная,Новострой,,,258 000 €,,Продам,"Кишинёв мун., Кишинёв, Центр, str.Testemitanu , —","2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",
Нет,Eвроремонт,1,,Индивидуальная,Агентство,104532917,https://999.md/ru/104532917?location=subcategory&index=3252&cardCategoryId=270&cardSubcategoryId=1404,,2,11,54 м²,1-комнатная квартира,Oткрытое,Новострой,,,99 800 €,,Продам,"Кишинёв мун., Кишинёв, Телецентр, Ialoveni, ***","1-комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.",
1,,2,,Мс (Молд. Серия),Агентство,104604842,https://999.md/ru/104604842?location=subcategory&index=3253&cardCategoryId=270&cardSubcategoryId=1404,,1,5,57 м²,2-х комнатная квартира,Гараж,Вторичный,,,82 900 €,Квартира без ливинга,Продам,"Кишинёв мун., Кишинёв, Ботаника, str. Tudor Strișcă, 19/2","2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",
,,,,,Застройщик,104590779,https://999.md/ru/104590779?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3ODE0Njk2NDIsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDQ1OTA3NzkiLCJpIjoiODkuMTQ5LjkxLjE2MiIsInMiOiJkZXNrdG9wX3JlZGVzaWduIiwicCI6ImFkc19saXN0X2lubGluZSIsIngiOiJwcmVtaXVtIiwibCI6ImNkMjVlNDlkLTBiNDgtNDEzZi05YWIwLWFjZTRhY2Q1ZmQ3OSIsImUiOiI4OS4xNDkuOTEuMTYyIiwiZyI6InR1cmJvIiwidCI6IjIwMjYtMDYtMTRUMTk6NDA6NDIuMTg3NjY4MjlaIn19.wqD_iZ_1WyDpT3fag-u_UgpppEApsUaBtzvckTbZMjA&placement=ADS_LIST_INLINE_REDESIGN&adType=booster&location=subcategory&index=3254&cardCategoryId=270&cardSubcategoryId=1404,,1,10,75 м²,2-х комнатная квартира,,Новострой,Solomon Construct Imobil,,77 771 €,Квартира с ливингом,Продам,"Кишинёв мун., Дурлешты, Центр, ул. Николае Димо, 24","2-х комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.",
1,Косметический pемонт,2,,Мс (Молд. Серия),Агентство,104421451,https://999.md/ru/104421451?location=subcategory&index=3255&cardCategoryId=270&cardSubcategoryId=1404,Kотельцовый,1,5,57 м²,2-х комнатная квартира,,Вторичный,,,83 000 €,Квартира без ливинга,Продам,Расположение,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",
1,Eвроремонт,1,,,Агентство,102179802,https://999.md/ru/102179802?location=subcategory&index=3256&cardCategoryId=270&cardSubcategoryId=1404,,5,10,112 м²,3-х комнатная квартира,Oткрытое,Новострой,,,234 000 €,,Продам,"Кишинёв мун., Кишинёв, Центр, str. Ion Vasilenco, ***","3-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",
1,Eвроремонт,1,250 см,,Частное лицо,102137732,https://999.md/ru/102137732?location=subcategory&index=3257&cardCategoryId=270&cardSubcategoryId=1404,,1,9,65 м²,3-х комнатная квартира,,Вторичный,,,66 500 €,,Продам,"Бельцы мун., Бельцы, БАМ, ул. Александру чел Бун, 40","3-х комнатная квартира,  БАМ,  Бельцы,  Бельцы мун.",12 м²
