Балкон / лоджия,Общая площадь,Тип,Жилой фонд,price,Жилая площадь,Автор объявления,id,Застройщик,title,link,Площадь кухни,Санузел,Высота потолков,Адрес,Планировка,Этаж,Количество этажей,Состояние квартиры,Ливинг,Тип здания,Парковочное место,Количество комнат
1,63 м²,,Новострой,78 180 €,,Застройщик,103806858,,"2-х комнатная квартира,  Окраина,  Дурлешты,  Кишинёв мун.",https://999.md/ru/103806858?location=subcategory&index=176&cardCategoryId=270&cardSubcategoryId=1404,,,,"Кишинёв мун., Дурлешты, Окраина, str. Cartuşa, 99/7",,6,10,Белый вариант,,,,2-х комнатная квартира
1,43 м²,,Новострой,57 375 €,,Застройщик,103806993,,"1-комнатная квартира,  Окраина,  Дурлешты,  Кишинёв мун.",https://999.md/ru/103806993?location=subcategory&index=177&cardCategoryId=270&cardSubcategoryId=1404,,,,"Кишинёв мун., Дурлешты, Окраина, str. Cartuşa, 99/7",,2,10,Белый вариант,,,Oткрытое,1-комнатная квартира
1,75 м²,Продам,Новострой,97 900 €,,Частное лицо,103795906,Sky House,"3-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",https://999.md/ru/103795906?location=subcategory&index=178&cardCategoryId=270&cardSubcategoryId=1404,,2,,"Кишинёв мун., Кишинёв, Ботаника, str. Băcioii Noi, 14/5",,9,9,Белый вариант,,,,3-х комнатная квартира
2,73 м²,Продам,Вторичный,107 000 €,,Агентство,104038740,,"3-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",https://999.md/ru/104038740?location=subcategory&index=179&cardCategoryId=270&cardSubcategoryId=1404,,2,,Расположение,Мс (Молд. Серия),8,9,Eвроремонт,Квартира без ливинга,Блочный,Oткрытое,3-х комнатная квартира
,150 м²,,Новострой,195 000 €,,Застройщик,101332779,,"3-х комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.",https://999.md/ru/101332779?location=subcategory&index=180&cardCategoryId=270&cardSubcategoryId=1404,,,,"Кишинёв мун., Кишинёв, Телецентр, str. Gheorghe Asachi, 58",,9,10,,Квартира с ливингом,,,3-х комнатная квартира
,56 м²,Продам,Новострой,159 500 €,,Частное лицо,104185343,,"2-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",https://999.md/ru/104185343?location=subcategory&index=181&cardCategoryId=270&cardSubcategoryId=1404,,,,"Кишинёв мун., Кишинёв, Чокана, bd. Mircea cel Bătrân, 43/F",,5,9,,Квартира с ливингом,,,2-х комнатная квартира
1,30 м²,Продам,Вторичный,48 000 €,,Частное лицо,104499287,,"1-комнатная квартира,  Центр,  Криково,  Кишинёв мун.",https://999.md/ru/104499287?location=subcategory&index=182&cardCategoryId=270&cardSubcategoryId=1404,,1,,"Кишинёв мун., Криково, Центр, str. Chişinău, 99",,5,5,Eвроремонт,,Kотельцовый,,1-комнатная квартира
1,50 м²,Продам,Вторичный,100 000 €,48 м²,Частное лицо,104165028,,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",https://999.md/ru/104165028?location=subcategory&index=183&cardCategoryId=270&cardSubcategoryId=1404,,1,260 см,Расположение,,3,5,Eвроремонт,,Kотельцовый,Oткрытое,2-х комнатная квартира
1,45 м²,Продам,Новострой,115 000 €,,Застройщик,103230752,,"1-комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",https://999.md/ru/103230752?location=subcategory&index=184&cardCategoryId=270&cardSubcategoryId=1404,,1,,"Кишинёв мун., Кишинёв, Центр, str. Ion Nistor, 2",,4,12,Сдан в эксплуатацию,,Kирпичный,,1-комнатная квартира
Нет,69 м²,Продам,Новострой,349 900 €,69 м²,Частное лицо,104522861,,"2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",https://999.md/ru/104522861?location=subcategory&index=185&cardCategoryId=270&cardSubcategoryId=1404,,2,,"Кишинёв мун., Кишинёв, Центр, str. Grigore Alexandrescu, 3/A",,4,9,Eвроремонт,Квартира с ливингом,,,2-х комнатная квартира
,75 м²,,Новострой,159 500 €,65 м²,Частное лицо,104613497,Astercon,"3-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",https://999.md/ru/104613497?location=subcategory&index=186&cardCategoryId=270&cardSubcategoryId=1404,,,,Расположение,Индивидуальная,6,10,Eвроремонт,Квартира с ливингом,Kотельцовый,,3-х комнатная квартира
1,49 м²,Продам,Новострой,75 000 €,49 м²,Частное лицо,103070175,,"1-комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",https://999.md/ru/103070175?location=subcategory&index=187&cardCategoryId=270&cardSubcategoryId=1404,,1,,"Кишинёв мун., Кишинёв, Ботаника, bd. Dacia, 59/B",,2,7,Белый вариант,,,,1-комнатная квартира
,65 м²,Продам,Новострой,220 000 €,,Частное лицо,104598335,,"2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",https://999.md/ru/104598335?location=subcategory&index=188&cardCategoryId=270&cardSubcategoryId=1404,,1,,"Кишинёв мун., Кишинёв, Буюканы, str. Onisifor Ghibu, 10",,2,9,Eвроремонт,Квартира с ливингом,,,2-х комнатная квартира
,123 м²,Продам,Новострой,196 800 €,80 м²,Частное лицо,104571961,,"2-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",https://999.md/ru/104571961?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3ODE0NjMwODcsIkMiOnsiciI6MSwiYiI6MTQwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDQ1NzE5NjEiLCJpIjoiODkuMTQ5LjkxLjE2MiIsInMiOiJkZXNrdG9wX3JlZGVzaWduIiwicCI6ImFkc19saXN0X2lubGluZSIsIngiOiIiLCJsIjoiMDNkOWM1NzctODE1NC00YTcyLTlmMTAtYzViNTRmMjU2Nzk2IiwiZSI6Ijg5LjE0OS45MS4xNjIiLCJnIjoibGl0ZSIsInQiOiIyMDI2LTA2LTE0VDE3OjUxOjI3LjU3NzczOTk2OVoifX0.I4zIRxlbZ5ZzaQIFOvAJwUsUmCM-8QFKi9xPs_Tczn0&placement=ADS_LIST_INLINE_REDESIGN&adType=booster&location=subcategory&index=189&cardCategoryId=270&cardSubcategoryId=1404,25 м²,,,"Кишинёв мун., Кишинёв, Чокана, str. Ginta Latină, 8",,3,4,,,,,2-х комнатная квартира
1,39 м²,Продам,Новострой,52 000 €,39 м²,Частное лицо,104602203,Sky House,"1-комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",https://999.md/ru/104602203?location=subcategory&index=190&cardCategoryId=270&cardSubcategoryId=1404,,1,250 см,"Кишинёв мун., Кишинёв, Ботаника, str. Dimineții, 11",Индивидуальная,5,12,Белый вариант,Квартира без ливинга,Бетон,Oткрытое,1-комнатная квартира
1,70 м²,Продам,Вторичный,89 000 €,36 м²,Частное лицо,102655558,,"3-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",https://999.md/ru/102655558?location=subcategory&index=191&cardCategoryId=270&cardSubcategoryId=1404,11 м²,1,3 см,"Кишинёв мун., Кишинёв, Чокана, str. Petru Zadnipru, 16/1",135,1,9,Без ремонта,,Панельный,Oткрытое,3-х комнатная квартира
,92 м²,Продам,Новострой,178 000 €,,Застройщик,104323811,,"3-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",https://999.md/ru/104323811?location=subcategory&index=192&cardCategoryId=270&cardSubcategoryId=1404,,2,,"Кишинёв мун., Кишинёв, Буюканы, str. Vasile Lupu, 61/2",,12,12,Eвроремонт,Квартира с ливингом,,,3-х комнатная квартира
,50 м²,Продам,Новострой,139 500 €,,Агентство,104082890,,"2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",https://999.md/ru/104082890?location=subcategory&index=193&cardCategoryId=270&cardSubcategoryId=1404,,,,"Кишинёв мун., Кишинёв, Буюканы, str. Ion Buzdugan, 11.",,9,9,Индивидуальный дизайн,Квартира с ливингом,,Подземная,2-х комнатная квартира
,47 м²,Продам,Новострой,97 500 €,,Застройщик,102764891,,"1-комнатная квартира,  Окраина,  Дурлешты,  Кишинёв мун.",https://999.md/ru/102764891?location=subcategory&index=194&cardCategoryId=270&cardSubcategoryId=1404,,,,Расположение,,2,8,,Квартира с ливингом,,,1-комнатная квартира
2,56 м²,Продам,Новострой,125 000 €,,Агентство,104579502,Solomon Construct Imobil,"2-х комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.",https://999.md/ru/104579502?location=subcategory&index=195&cardCategoryId=270&cardSubcategoryId=1404,,1,,"Кишинёв мун., Кишинёв, Телецентр, str. Ialoveni, 98/1",,7,9,Eвроремонт,Квартира без ливинга,Kомбинированный,,2-х комнатная квартира
,105 м²,Продам,Новострой,269 000 €,,Застройщик,103731260,,"2-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",https://999.md/ru/103731260?location=subcategory&index=196&cardCategoryId=270&cardSubcategoryId=1404,,,,"Кишинёв мун., Кишинёв, Рышкановка, str. Bogdan Voievod, 1/E",,16,17,Белый вариант,Квартира с ливингом,Kирпичный,,2-х комнатная квартира
,70 м²,Продам,Новострой,210 000 €,,Агентство,103454687,Exfactor-grup,"2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",https://999.md/ru/103454687?location=subcategory&index=197&cardCategoryId=270&cardSubcategoryId=1404,,1,,"Кишинёв мун., Кишинёв, Буюканы, str. Vasile Lupu, 28",,2,14,Eвроремонт,Квартира с ливингом,Kирпичный,,2-х комнатная квартира
1,60 м²,Продам,Вторичный,100 000 €,,Агентство,104581039,,"2-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",https://999.md/ru/104581039?location=subcategory&index=198&cardCategoryId=270&cardSubcategoryId=1404,,1,,Расположение,Брж (Брежневка),2,5,Eвроремонт,Квартира с ливингом,Kотельцовый,Oткрытое,2-х комнатная квартира
1,47 м²,Сдаю помесячно,Новострой,470 €,1 м²,Частное лицо,104410274,Nicons,"1-комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.",https://999.md/ru/104410274?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3ODE0NjMwODcsIkMiOnsiciI6MSwiYiI6MTQwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDQ0MTAyNzQiLCJpIjoiODkuMTQ5LjkxLjE2MiIsInMiOiJkZXNrdG9wX3JlZGVzaWduIiwicCI6ImFkc19saXN0X2lubGluZSIsIngiOiIiLCJsIjoiODYyOTg5OTQtOTJjZS00OTcwLTk1ZGMtYWIxZDk1YTg0Y2ExIiwiZSI6Ijg5LjE0OS45MS4xNjIiLCJnIjoibGl0ZSIsInQiOiIyMDI2LTA2LTE0VDE3OjUxOjI3LjU3NzgyNTY1OVoifX0.WKTt8-aHydjxHv67WhHw9593T33vHbTrggttmiRswXI&placement=ADS_LIST_INLINE_REDESIGN&adType=booster&location=subcategory&index=199&cardCategoryId=270&cardSubcategoryId=1404,1 м²,1,1 см,"Кишинёв мун., Дурлешты, Центр, str. Tudor Vladimirescu, 16",Мс (Молд. Серия),2,9,Сдан в эксплуатацию,Квартира с ливингом,Блочный,Oткрытое,1-комнатная квартира
1,93 м²,Продам,Новострой,315 000 €,,,102159300,Inamstro,"3-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",https://999.md/ru/102159300?location=subcategory&index=200&cardCategoryId=270&cardSubcategoryId=1404,,,,"Кишинёв мун., Кишинёв, Буюканы, str. Calea Ieșilor, 6",,13,13,Eвроремонт,,,,3-х комнатная квартира
1,90 м²,Продам,Новострой,148 500 €,,Застройщик,102868663,Exfactor-grup,"3-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",https://999.md/ru/102868663?location=subcategory&index=201&cardCategoryId=270&cardSubcategoryId=1404,,2,,Расположение,,9,9,Белый вариант,Квартира с ливингом,Kирпичный,Подземная,3-х комнатная квартира
1,88 м²,Продам,Новострой,145 000 €,,Застройщик,102868696,Exfactor-grup,"3-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",https://999.md/ru/102868696?location=subcategory&index=202&cardCategoryId=270&cardSubcategoryId=1404,,2,,Расположение,,8,9,Белый вариант,Квартира с ливингом,Kирпичный,Подземная,3-х комнатная квартира
,67 м²,Продам,Новострой,179 000 €,,Частное лицо,89489902,Reconscivil,"2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",https://999.md/ru/89489902?location=subcategory&index=203&cardCategoryId=270&cardSubcategoryId=1404,,,,"Кишинёв мун., Кишинёв, Буюканы, str. Onisifor Ghibu, 7/1",Индивидуальная,9,11,Eвроремонт,Квартира с ливингом,Kотельцовый,,2-х комнатная квартира
1,106 м²,Продам,Новострой,154 000 €,,Застройщик,104593998,Astercon,"3-х комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.",https://999.md/ru/104593998?location=subcategory&index=204&cardCategoryId=270&cardSubcategoryId=1404,19 м²,2,275 см,"Кишинёв мун., Дурлешты, Центр, str. Durleşti, 10/A",Индивидуальная,1,9,Белый вариант,,Kотельцовый,Гараж,3-х комнатная квартира
1,33 м²,Продам,Вторичный,71 900 €,,Агентство,104593505,,"1-комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.",https://999.md/ru/104593505?location=subcategory&index=205&cardCategoryId=270&cardSubcategoryId=1404,,1,,"Кишинёв мун., Кишинёв, Телецентр, str. Gheorghe Asachi, 48/2",,4,4,Eвроремонт,Квартира с ливингом,,,1-комнатная квартира
Нет,41 м²,Продам,Вторичный,65 000 €,41 м²,Агентство,103963850,,"2-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",https://999.md/ru/103963850?location=subcategory&index=206&cardCategoryId=270&cardSubcategoryId=1404,,1,250 см,"Кишинёв мун., Кишинёв, Рышкановка, Tudor Vladimirescu, 8",Хрущевка,1,5,Нуждается в ремонте,Квартира без ливинга,Kотельцовый,Oткрытое,2-х комнатная квартира
1,36 м²,Продам,Вторичный,60 499 €,18 м²,Агентство,104309090,,"1-комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",https://999.md/ru/104309090?location=subcategory&index=207&cardCategoryId=270&cardSubcategoryId=1404,7 м²,1,,"Кишинёв мун., Кишинёв, Центр, str. Nikolai Zelinski, 30/1",Индивидуальная,3,4,Индивидуальный дизайн,,Kотельцовый,Oткрытое,1-комнатная квартира
2,70 м²,Продам,Вторичный,137 900 €,,Агентство,104589375,,"3-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",https://999.md/ru/104589375?location=subcategory&index=208&cardCategoryId=270&cardSubcategoryId=1404,,2,,Расположение,135,7,9,Eвроремонт,Квартира без ливинга,,Oткрытое,3-х комнатная квартира
1,49 м²,Продам,Новострой,89 500 €,,Агентство,104589429,Dansicons,"1-комнатная квартира,  Центр,  Оргеев,  Оргеев",https://999.md/ru/104589429?location=subcategory&index=209&cardCategoryId=270&cardSubcategoryId=1404,,1,,"Оргеев, Оргеев, Центр, str. Constantin Negruzzi, 91",,3,7,,Квартира без ливинга,,Oткрытое,1-комнатная квартира
1,40 м²,Продам,Новострой,69 990 €,,Застройщик,104575950,,"1-комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.",https://999.md/ru/104575950?location=subcategory&index=210&cardCategoryId=270&cardSubcategoryId=1404,,1,,"Кишинёв мун., Дурлешты, Центр, str. Cartuşa, 99/5",,1,10,Eвроремонт,,Kирпичный,Oткрытое,1-комнатная квартира
,48 м²,Продам,Новострой,86 400 €,,Застройщик,104158924,,"1-комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",https://999.md/ru/104158924?location=subcategory&index=211&cardCategoryId=270&cardSubcategoryId=1404,,,,"Кишинёв мун., Кишинёв, Рышкановка, bd. Renașterii Naționale, 35",,7,15,,,,,1-комнатная квартира
,70 м²,Продам,Новострой,91 000 €,,Застройщик,104158855,,"2-х комнатная квартира,  Старая Почта,  Кишинёв,  Кишинёв мун.",https://999.md/ru/104158855?location=subcategory&index=212&cardCategoryId=270&cardSubcategoryId=1404,,,,"Кишинёв мун., Кишинёв, Старая Почта, str. Doina, 158",,7,9,,,,,2-х комнатная квартира
,55 м²,Продам,Новострой,71 500 €,,Застройщик,104158841,Estate Invest Company,"2-х комнатная квартира,  Старая Почта,  Кишинёв,  Кишинёв мун.",https://999.md/ru/104158841?location=subcategory&index=213&cardCategoryId=270&cardSubcategoryId=1404,,,,"Кишинёв мун., Кишинёв, Старая Почта, str. Doina, 158",,6,9,,,,,2-х комнатная квартира
,45 м²,Продам,Новострой,81 000 €,,Застройщик,104158948,,"1-комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",https://999.md/ru/104158948?location=subcategory&index=214&cardCategoryId=270&cardSubcategoryId=1404,,,,"Кишинёв мун., Кишинёв, Рышкановка, bd. Renașterii Naționale, 35",,13,15,,,,,1-комнатная квартира
,50 м²,Продам,Вторичный,115 000 €,,Агентство,104599472,,"2-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",https://999.md/ru/104599472?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3ODE0NjMwODcsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDQ1OTk0NzIiLCJpIjoiODkuMTQ5LjkxLjE2MiIsInMiOiJkZXNrdG9wX3JlZGVzaWduIiwicCI6ImFkc19saXN0X2lubGluZSIsIngiOiIiLCJsIjoiYWViZTFjOGYtNDM2Zi00YzdiLTliZmMtMjY0YjVhM2UyYWFiIiwiZSI6Ijg5LjE0OS45MS4xNjIiLCJnIjoidHVyYm8iLCJ0IjoiMjAyNi0wNi0xNFQxNzo1MToyNy41Nzc4OTMyNTRaIn19.UsnhW0KuFHIuPiMJ6fttcr9qRIwQ-volDPmvMIr05o0&placement=ADS_LIST_INLINE_REDESIGN&adType=booster&location=subcategory&index=215&cardCategoryId=270&cardSubcategoryId=1404,,,,"Кишинёв мун., Кишинёв, Чокана, str. Igor Vieru, 5",Варц (Варницкая),9,9,,,,,2-х комнатная квартира
,80 м²,Продам,Новострой,178 000 €,,Застройщик,104159009,,"2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",https://999.md/ru/104159009?location=subcategory&index=216&cardCategoryId=270&cardSubcategoryId=1404,,,,"Кишинёв мун., Кишинёв, Центр, str. Melestiu, 16/2",,13,15,,,,,2-х комнатная квартира
