Балкон / лоджия,Состояние квартиры,Санузел,Планировка,Высота потолков,Автор объявления,id,link,Тип здания,Этаж,Количество этажей,Общая площадь,Количество комнат,Парковочное место,Жилой фонд,Площадь кухни,Застройщик,Жилая площадь,price,Ливинг,Тип,title,Адрес
2,Незавершенное cтроительство,2,,,Застройщик,89832857,https://999.md/ru/89832857?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3ODE0Njg0MjEsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiI4OTgzMjg1NyIsImkiOiI4OS4xNDkuOTEuMTYyIiwicyI6ImRlc2t0b3BfcmVkZXNpZ24iLCJwIjoiYWRzX2xpc3RfaW5saW5lIiwieCI6InByZW1pdW0iLCJsIjoiY2QyNWU0OWQtMGI0OC00MTNmLTlhYjAtYWNlNGFjZDVmZDc5IiwiZSI6Ijg5LjE0OS45MS4xNjIiLCJnIjoidHVyYm8iLCJ0IjoiMjAyNi0wNi0xNFQxOToyMDoyMS44MDA2OTY0ODVaIn19.xNXtrFqMSTi1zMQ1XTV6-n1Lbaj4XN6vgS9k0wl2QCM&placement=ADS_LIST_INLINE_REDESIGN&adType=booster&location=subcategory&index=2539&cardCategoryId=270&cardSubcategoryId=1404,,9,10,100 м²,3-х комнатная квартира,,Новострой,,Boiar House,,100 300 €,,Продам,"3-х комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.","Кишинёв мун., Дурлешты, Центр, str. Nicolae Dimo, 24/B"
,,1,,,Застройщик,104178105,https://999.md/ru/104178105?location=subcategory&index=2540&cardCategoryId=270&cardSubcategoryId=1404,,7,9,34 м²,1-комнатная квартира,Oткрытое,Новострой,,Solomon Construct Imobil,,83 900 €,,Продам,"1-комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Телецентр, str. Ialoveni, 98"
1,Eвроремонт,1,,,Застройщик,104142930,https://999.md/ru/104142930?location=subcategory&index=2541&cardCategoryId=270&cardSubcategoryId=1404,,5,8,42 м²,1-комнатная квартира,Oткрытое,Новострой,,,,95 900 €,Квартира с ливингом,Продам,"1-комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Буюканы, str. Nicolae Dimo, 49/1"
,,,,,Агентство,103348407,https://999.md/ru/103348407?location=subcategory&index=2542&cardCategoryId=270&cardSubcategoryId=1404,,6,11,50 м²,1-комнатная квартира,,Новострой,,,,120 000 €,,Продам,"1-комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Буюканы, str. Ion Buzdugan, 3"
,,,,,Агентство,102906841,https://999.md/ru/102906841?location=subcategory&index=2543&cardCategoryId=270&cardSubcategoryId=1404,,3,7,137 м²,4-x комнатная квартира,,Новострой,,,,305 000 €,,Продам,"4-x комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Центр, str. Mihai Eminescu, 40"
2,Eвроремонт,2,,,Агентство,88577465,https://999.md/ru/88577465?location=subcategory&index=2544&cardCategoryId=270&cardSubcategoryId=1404,,2,12,148 м²,4-x комнатная квартира,Подземная,Новострой,,,,349 900 €,,Продам,"4-x комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Буюканы, bd. Alba-Iulia, 77/2"
,Eвроремонт,1,,,Агентство,103893251,https://999.md/ru/103893251?location=subcategory&index=2545&cardCategoryId=270&cardSubcategoryId=1404,,8,13,82 м²,3-х комнатная квартира,,Вторичный,,,,135 000 €,,Продам,"3-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Буюканы, str. Vissarion Belinski, -"
1,,1,,,Агентство,104585749,https://999.md/ru/104585749?location=subcategory&index=2546&cardCategoryId=270&cardSubcategoryId=1404,,4,10,85 м²,2-х комнатная квартира,,Новострой,,,,249 900 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Центр, str. Columna, 88"
,Белый вариант,,,,Агентство,104155601,https://999.md/ru/104155601?location=subcategory&index=2547&cardCategoryId=270&cardSubcategoryId=1404,,2,9,60 м²,2-х комнатная квартира,,Новострой,,Inamstro,,156 780 €,,Продам,"2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Центр, str. Constantin Stere, 16"
,,1,,,Агентство,104613694,https://999.md/ru/104613694?location=subcategory&index=2548&cardCategoryId=270&cardSubcategoryId=1404,,3,5,15 м²,1-комнатная квартира,,Вторичный,,,15 м²,29 900 €,,Продам,"1-комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Буюканы, str. Sucevița, 16"
,Индивидуальный дизайн,2,,,Агентство,104191450,https://999.md/ru/104191450?location=subcategory&index=2549&cardCategoryId=270&cardSubcategoryId=1404,,2,8,115 м²,3-х комнатная квартира,,Новострой,,Sahin Construction,,315 000 €,Квартира с ливингом,Продам,"3-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Центр, str. Moara Rosie, 5"
,,,,,Агентство,103587387,https://999.md/ru/103587387?location=subcategory&index=2550&cardCategoryId=270&cardSubcategoryId=1404,,3,12,66 м²,2-х комнатная квартира,,Новострой,,Inamstro,,170 950 €,,Продам,"2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Центр, ул. Константин Стере, 16"
,Eвроремонт,,,3000 см,Частное лицо,104352546,https://999.md/ru/104352546?location=subcategory&index=2551&cardCategoryId=270&cardSubcategoryId=1404,Kирпичный,5,4,35 м²,1-комнатная квартира,Oткрытое,Вторичный,,,,144 900 €,,Продам,"1-комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Центр, str. Alexandr Pușkin, 43"
1,Eвроремонт,1,,,Агентство,104372114,https://999.md/ru/104372114?location=subcategory&index=2552&cardCategoryId=270&cardSubcategoryId=1404,,2,5,52 м²,2-х комнатная квартира,,Вторичный,,,,78 500 €,,Продам,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Ботаника,  str. Grenoble , 130"
,Eвроремонт,,,,Застройщик,101213650,https://999.md/ru/101213650?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3ODE0Njg0MjEsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDEyMTM2NTAiLCJpIjoiODkuMTQ5LjkxLjE2MiIsInMiOiJkZXNrdG9wX3JlZGVzaWduIiwicCI6ImFkc19saXN0X2lubGluZSIsIngiOiIiLCJsIjoiNGIzZTcyMjEtMGFmMS00YTlmLWJiNjMtYjg2YTQzMjVkM2VmIiwiZSI6Ijg5LjE0OS45MS4xNjIiLCJnIjoidHVyYm8iLCJ0IjoiMjAyNi0wNi0xNFQxOToyMDoyMS44MDA3NjUyMDJaIn19.chWMnTUCRFZKjMRfuOrDlRbq11cmR-gis_o07W5ushs&placement=ADS_LIST_INLINE_REDESIGN&adType=booster&location=subcategory&index=2553&cardCategoryId=270&cardSubcategoryId=1404,,12,13,60 м²,2-х комнатная квартира,,Новострой,,Inamstro,,174 000 €,,Продам,"2-х комнатная квартира,  Скулянка,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Скулянка, str. Calea Ieșilor, 6"
,Eвроремонт,1,,,Застройщик,103702969,https://999.md/ru/103702969?location=subcategory&index=2554&cardCategoryId=270&cardSubcategoryId=1404,,6,9,21 м²,1-комнатная квартира,,Вторичный,,,,41 500 €,,Продам,"1-комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Телецентр, str. Drumul Viilor, 28/1"
,,,,,Агентство,103624998,https://999.md/ru/103624998?location=subcategory&index=2555&cardCategoryId=270&cardSubcategoryId=1404,,8,12,49 м²,1-комнатная квартира,,Новострой,,,,107 000 €,Квартира с ливингом,Продам,"1-комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Центр, str. Romana, 2/3A"
