Тип здания,Высота потолков,link,Состояние квартиры,id,Количество комнат,Планировка,Жилой фонд,Количество этажей,Автор объявления,price,Адрес,Застройщик,Этаж,title,Балкон / лоджия,Общая площадь,Площадь кухни,Парковочное место,Жилая площадь,Санузел,Ливинг,Тип
,,https://999.md/ru/103617607?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY2ODcyNzgsIkMiOnsiciI6MSwiYiI6MTQwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDM2MTc2MDciLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiIiLCJsIjoiNzcxZWRhNGMtNGViYi00ZGQ0LWI0M2QtYWUzMDlhZmYxZDczIiwiZSI6Ijg5LjE0OS45My4xMzkiLCJnIjoibGl0ZSIsInQiOiIyMDI2LTA0LTIwVDExOjE0OjM4Ljc1MTc4NTM3NFoifX0.dl8mkwQrQhESWlFN7CaNSIEQzQM_JXPQQBbtooeV7V0&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=7,,103617607,2-х комнатная квартира,,Вторичный,15,Агентство,99 900 €,"Кишинёв мун., Кишинёв, Центр, str. Albișoara, 70",,2,"2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",,68 м²,,,,1,Квартира с ливингом,
,,https://999.md/ru/104091924?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY2ODcyNzgsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDQwOTE5MjQiLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiJwcmVtaXVtIiwibCI6ImQ4MGQyMmM1LTA3NTQtNDgxYS05Y2IxLTM2N2YzNzFmYTMzNiIsImUiOiI4OS4xNDkuOTMuMTM5IiwiZyI6InR1cmJvIiwidCI6IjIwMjYtMDQtMjBUMTE6MTQ6MzguNzUxODEzMTE5WiJ9fQ.NIeepj61o7wwCyiQnxVpNw0hMrS5d1c7q9Q7Am2Oklc&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=8,,104091924,3-х комнатная квартира,,Вторичный,10,Агентство,135 000 €,"Кишинёв мун., Кишинёв, Чокана, str. Nicolae Milescu Spătarul, 1",,3,"3-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",,80 м²,,,,,,Продам
,,https://999.md/ru/103903240?location=subcategory&index=79,Белый вариант,103903240,2-х комнатная квартира,,Новострой,10,Агентство,116 990 €,"Кишинёв мун., Кишинёв, Телецентр, șos. Hâncești, .",,8,"2-х комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.",1,69 м²,,Oткрытое,,2,Квартира с ливингом,Продам
,,https://999.md/ru/103903141?location=subcategory&index=80,Eвроремонт,103903141,2-х комнатная квартира,,Вторичный,17,Агентство,79 900 €,"Кишинёв мун., Кишинёв, Буюканы, str. Nicolai Costin, .",,15,"2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",,38 м²,,,,1,,
,,https://999.md/ru/103960942?location=subcategory&index=81,Eвроремонт,103960942,3-х комнатная квартира,,Новострой,12,Агентство,174 900 €,"Кишинёв мун., Кишинёв, Ботаника, str. Jubiliară , -",,10,"3-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",1,85 м²,,,,2,,
,,https://999.md/ru/103903307?location=subcategory&index=82,Eвроремонт,103903307,1-комнатная квартира,,Новострой,7,Агентство,105 900 €,"Кишинёв мун., Дурлешты, Центр, Regina Elisabeta, .",,4,"1-комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.",1,46 м²,,,,1,Квартира с ливингом,
,,https://999.md/ru/104003425?location=subcategory&index=83,Eвроремонт,104003425,1-комнатная квартира,,Вторичный,20,Агентство,85 900 €,"Кишинёв мун., Кишинёв, Рышкановка, Moscova, .",,16,"1-комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",1,36 м²,,,,1,Квартира с ливингом,
,450 см,https://999.md/ru/104020197?location=subcategory&index=84,Белый вариант,104020197,2-х комнатная квартира,,Новострой,5,Застройщик,185 000 €,"Кишинёв мун., Кишинёв, Телецентр, str. Pietrarilor, 16/A",,5,"2-х комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.",2,92 м²,30 м²,Подземная,,2,Квартира с ливингом,
,,https://999.md/ru/103935298?location=subcategory&index=85,Eвроремонт,103935298,3-х комнатная квартира,,Вторичный,9,Агентство,138 800 €,"Кишинёв мун., Кишинёв, Центр, Gradinilor, .",,1,"3-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",1,75 м²,,,,2,,Продам
,,https://999.md/ru/103808772?location=subcategory&index=86,Белый вариант,103808772,1-комнатная квартира,,Новострой,7,Агентство,55 000 €,"Кишинёв мун., Кишинёв, Ботаника, str. Cetatea Chilia, .",,7,"1-комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",,39 м²,,Oткрытое,,1,,
,290 см,https://999.md/ru/100964444?location=subcategory&index=87,Белый вариант,100964444,1-комнатная квартира,,Новострой,4,Застройщик,57 787 €,"Яловены, Яловены, Центр, str. Mihail Frunze, 65/4",,2,"1-комнатная квартира,  Центр,  Яловены,  Яловены",1,45 м²,16 м²,Подземная,,1,Квартира с ливингом,
,,https://999.md/ru/103615412?location=subcategory&index=88,Белый вариант,103615412,1-комнатная квартира,Индивидуальная,Новострой,16,Агентство,74 000 €,"Кишинёв мун., Кишинёв, Рышкановка, str. Calea Mosilor, .",,7,"1-комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",1,46 м²,,Oткрытое,,1,,
Kирпичный,,https://999.md/ru/101500097?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY2ODcyNzgsIkMiOnsiciI6MSwiYiI6MTQwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDE1MDAwOTciLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2lubGluZSIsIngiOiIiLCJsIjoiZjczNDRiMjgtNDQwMi00NTA0LWJhYWQtZmEyOWY1YzQ4Zjc3IiwiZSI6Ijg5LjE0OS45My4xMzkiLCJnIjoibGl0ZSIsInQiOiIyMDI2LTA0LTIwVDExOjE0OjM4LjQ4NTE1NjYwM1oifX0.-wKDb0wPyne1JEkjOVhAPhnrmW4Bg07epYqJtZ3p458&placement=ADS_LIST_INLINE_REDESIGN&adType=booster&location=subcategory&index=89,Индивидуальный дизайн,101500097,3-х комнатная квартира,,Новострой,11,Частное лицо,189 000 €,"Кишинёв мун., Кишинёв, Буюканы, пр-т Алба Юлия, 77/5",Exfactor-grup,9,"3-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",2,92 м²,,Подземная,,2,Квартира с ливингом,Продам
,,https://999.md/ru/101998096?location=subcategory&index=90,Eвроремонт,101998096,2-х комнатная квартира,Индивидуальная,Новострой,9,Агентство,135 000 €,"Кишинёв мун., Кишинёв, Рышкановка, str. Dumitru Rîșcanu;, .",,6,"2-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",1,65 м²,,Oткрытое,,1,Квартира с ливингом,Продам
,290 см,https://999.md/ru/100964577?location=subcategory&index=91,Белый вариант,100964577,2-х комнатная квартира,,Новострой,4,Застройщик,102 979 €,"Яловены, Яловены, Центр, str. Suceava, 5",,2,"2-х комнатная квартира,  Центр,  Яловены,  Яловены",1,72 м²,27 м²,Подземная,,1,Квартира с ливингом,Продам
,290 см,https://999.md/ru/100964275?location=subcategory&index=92,Белый вариант,100964275,1-комнатная квартира,,Новострой,4,Застройщик,55 574 €,"Кишинёв мун., Кишинёв, Телецентр, str. Ialoveni, 102",,2,"1-комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.",1,45 м²,16 м²,Подземная,,1,Квартира с ливингом,Продам
,,https://999.md/ru/102873144?location=subcategory&index=93,Eвроремонт,102873144,3-х комнатная квартира,Индивидуальная,Новострой,10,Агентство,142 000 €,"Кишинёв мун., Кишинёв, Телецентр, str. Ialoveni, .",,1,"3-х комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.",,69 м²,,Oткрытое,,2,Квартира с ливингом,
,,https://999.md/ru/103255908?location=subcategory&index=94,Eвроремонт,103255908,2-х комнатная квартира,Индивидуальная,Новострой,11,Агентство,108 000 €,"Кишинёв мун., Кишинёв, Буюканы, пр-т Алба-Юлия, .",,3,"2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",,51 м²,,Oткрытое,,1,,Продам
,,https://999.md/ru/103621609?location=subcategory&index=95,Eвроремонт,103621609,1-комнатная квартира,,Новострой,10,Застройщик,89 900 €,"Кишинёв мун., Дурлешты, Центр, str. Nicolae Dimo, 24",,7,"1-комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.",,43 м²,,Oткрытое,,1,,Продам
,,https://999.md/ru/103154868?location=subcategory&index=96,,103154868,2-х комнатная квартира,,Новострой,10,Застройщик,154 900 €,"Кишинёв мун., Кишинёв, Буюканы, ул. Иоана Раду, 29/2",,8,"2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",,65 м²,,,,,Квартира с ливингом,
,,https://999.md/ru/103314560?location=subcategory&index=97,Eвроремонт,103314560,2-х комнатная квартира,Индивидуальная,Вторичный,18,Агентство,85 900 €,"Кишинёв мун., Кишинёв, Центр, str. Albișoara, .",,17,"2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",Нет,49 м²,,Oткрытое,,2,,
,,https://999.md/ru/102433684?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY2ODcyNzgsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDI0MzM2ODQiLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2lubGluZSIsIngiOiIiLCJsIjoiODVmZTRiMzQtYjgxMS00ZGQ5LTllMTgtZmIyZjMyOGFmYWUzIiwiZSI6Ijg5LjE0OS45My4xMzkiLCJnIjoidHVyYm8iLCJ0IjoiMjAyNi0wNC0yMFQxMToxNDozOC40ODUyNTQyNloifX0.DlxwBBC0SQ5UvjlJ3vG12Z5RotZyLatOpi9pAQeS2sE&placement=ADS_LIST_INLINE_REDESIGN&adType=booster&location=subcategory&index=98,Белый вариант,102433684,3-х комнатная квартира,,Новострой,14,Застройщик,280 500 €,"Кишинёв мун., Кишинёв, Старая Почта, ул. Язулуй, 38",Ecovzor,13,"3-х комнатная квартира,  Старая Почта,  Кишинёв,  Кишинёв мун.",2,170 м²,,Гараж,,2,Квартира с ливингом,Продам
,,https://999.md/ru/76205920?location=subcategory&index=99,Белый вариант,76205920,1-комнатная квартира,,Новострой,9,Агентство,59 400 €,"Кишинёв мун., Гидигич, Центр, str. Ştefan cel Mare și Sfînt, 1/a",,6,"1-комнатная квартира,  Центр,  Гидигич,  Кишинёв мун.",1,44 м²,,,,1,,
,,https://999.md/ru/101756698?location=subcategory&index=100,Белый вариант,101756698,2-х комнатная квартира,Индивидуальная,Новострой,11,Агентство,103 000 €,"Кишинёв мун., Кишинёв, Центр, str. Tecuci, .",,5,"2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",,64 м²,,Oткрытое,,1,,Продам
,,https://999.md/ru/102542554?location=subcategory&index=101,Белый вариант,102542554,2-х комнатная квартира,Индивидуальная,Новострой,10,Агентство,73 000 €,"Кишинёв мун., Дурлешты, Центр, str. Nicolae Dimo, .",,2,"2-х комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.",1,66 м²,,Oткрытое,,2,,Продам
,,https://999.md/ru/101043586?location=subcategory&index=102,,101043586,3-х комнатная квартира,,Новострой,9,Агентство,265 000 €,"Кишинёв мун., Кишинёв, Центр, str. Mitropolitul Petru Movilă, *",,8,"3-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",3,124 м²,,Oткрытое,,2,,Продам
,,https://999.md/ru/100092073?location=subcategory&index=103,Белый вариант,100092073,1-комнатная квартира,Индивидуальная,Новострой,5,Агентство,99 200 €,"Кишинёв мун., Кишинёв, Буюканы, str. Bisericii, .",,4,"1-комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",1,64 м²,,Oткрытое,,1,Квартира с ливингом,Продам
,,https://999.md/ru/103725451?location=subcategory&index=104,Белый вариант,103725451,3-х комнатная квартира,Индивидуальная,Новострой,12,Агентство,220 000 €,"Кишинёв мун., Кишинёв, Телецентр, str. Ialoveni, .",,12,"3-х комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.",1,174 м²,,Oткрытое,,2,,Продам
Kомбинированный,,https://999.md/ru/103347397?location=subcategory&index=105,Белый вариант,103347397,1-комнатная квартира,Индивидуальная,Новострой,5,Застройщик,95 725 €,"Кишинёв мун., Кишинёв, Буюканы, str-la Bisericii, 1",A-casa,4,"1-комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",1,55 м²,,Подземная,,1,Квартира с ливингом,Продам
,,https://999.md/ru/101439831?location=subcategory&index=106,Eвроремонт,101439831,2-х комнатная квартира,Индивидуальная,Новострой,5,Агентство,185 000 €,"Кишинёв мун., Кишинёв, Центр, ул. Василе Александри, .",,4,"2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",2,69 м²,,Oткрытое,,3,,Продам
,,https://999.md/ru/101338585?location=subcategory&index=107,Eвроремонт,101338585,2-х комнатная квартира,Индивидуальная,Новострой,9,Агентство,209 500 €,"Кишинёв мун., Кишинёв, Буюканы, ул. Ион Буздуган, .",,9,"2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",1,75 м²,,Oткрытое,,1,Квартира с ливингом,Продам
,,https://999.md/ru/104077361?location=subcategory&index=108,Eвроремонт,104077361,1-комнатная квартира,,Новострой,11,Агентство,108 900 €,"Кишинёв мун., Кишинёв, Телецентр, Ialoveni , .",,4,"1-комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.",,53 м²,,Oткрытое,,1,Квартира с ливингом,Продам
,,https://999.md/ru/104102048?location=subcategory&index=109,Eвроремонт,104102048,2-х комнатная квартира,,Новострой,10,Агентство,164 900 €,"Кишинёв мун., Кишинёв, Буюканы, str. Lipcani, 1",,3,"2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",,64 м²,,,,,,
