Телефон,title,Общая площадь,Регион,price,Тип,link,id,Площадь кухни,Высота потолков,Жилая площадь
+37360,"3-х комнатная квартира,  Центр,  Яловены,  Яловены",84 м²,"Регион:Яловены, Яловены, Центр, str. Mihail Frunze, 65/4",112 000 €,Продам,https://999.md/ru/103712891,103712891,,,84 м²
+37360,"2-х комнатная квартира,  Центр,  Яловены,  Яловены",81 м²,"Регион:Яловены, Яловены, Центр, str. Alexandru cel Bun, 2/8",190 000 €,Продам,https://999.md/ru/102389037,102389037,,,
+37376,"1-комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.",39 м²,"Регион:Кишинёв мун., Кишинёв, Телецентр, str. Ialoveni, .",46 800 €,Продам,https://999.md/ru/102009129,102009129,,,
+37379,"1-комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",35 м²,"Регион:Кишинёв мун., Кишинёв, Чокана, bd. Mircea cel Bătrân, .",86 900 €,Продам,https://999.md/ru/102840805,102840805,,,
+37379,"3-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",72 м²,"Регион:Кишинёв мун., Кишинёв, Ботаника, str. Grenoble, 7",127 000 €,Продам,https://999.md/ru/103625317,103625317,,,
+37378,"2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",65 м²,"Регион:Кишинёв мун., Кишинёв, Буюканы, str. Onisifor Ghibu, 10",220 000 €,Продам,https://999.md/ru/102950004,102950004,,,
+37379,"2-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",60 м²,"Регион:Кишинёв мун., Кишинёв, Рышкановка, str. Dumitru Rîșcanu, 33/1",85 000 €,Продам,https://999.md/ru/103887006?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzQ4MTI4NzgsIkMiOnsiciI6MSwiYiI6MTQwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDM4ODcwMDYiLCJpIjoiODkuMTQ5LjkzLjIwNyIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2lubGluZSIsIngiOiJwcm8iLCJsIjoiNjJkOTNiYjUtNDI5YS00MWYyLWI2ZmUtZDRmNDkyNDYyODMwIiwiZSI6Ijg5LjE0OS45My4yMDciLCJnIjoibGl0ZSIsInQiOiIyMDI2LTAzLTI5VDE4OjM0OjM4LjE1ODk5MDQ5NFoifX0.AyvemiJabFVWkXeImBs5J8NGdst__ZmyLoSGOY30Wx8&adType=booster,103887006,,,
+37379,"1-комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",32 м²,"Регион:Кишинёв мун., Кишинёв, Чокана, str. Maria Drăgan, .",45 000 €,Продам,https://999.md/ru/102050423,102050423,,,
+37376,"1-комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",31 м²,"Регион:Кишинёв мун., Кишинёв, Ботаника, str. Băcioii Noi, .",69 900 €,Продам,https://999.md/ru/103201649,103201649,,,
+37376,"1-комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",56 м²,"Регион:Кишинёв мун., Кишинёв, Чокана, str. Ginta Latină, .",98 100 €,Продам,https://999.md/ru/102944918,102944918,,,
+37376,"3-х комнатная квартира,  Центр,  Гидигич,  Кишинёв мун.",85 м²,"Регион:Кишинёв мун., Гидигич, Центр, str. Stefan cel Mare, .",95 400 €,Продам,https://999.md/ru/103004163,103004163,,,
+37369,"1-комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",45 м²,"Регион:Кишинёв мун., Кишинёв, Центр, str. Tudor Vladimirescu, 1a",82 300 €,Продам,https://999.md/ru/89781814,89781814,,,
+37378,"1-комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",64 м²,"Регион:Кишинёв мун., Кишинёв, Чокана, str. Ion Dumeniuc, 6",150 000 €,Продам,https://999.md/ru/103927426,103927426,,275 см,
+37368,"3-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",96 м²,"Регион:Кишинёв мун., Кишинёв, Чокана, str. Ion Dumeniuc, 18",199 900 €,Продам,https://999.md/ru/102156517,102156517,,,
+37369,"1-комнатная квартира,  Стелуца,  Бельцы,  Бельцы мун.",42 м²,"Регион:Бельцы мун., Бельцы, Стелуца, str. Nicolai Ostrovski, 48",45 000 €,Продам,https://999.md/ru/103925269,103925269,,,
+37378,"1-комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",45 м²,"Регион:Кишинёв мун., Кишинёв, Центр, str. Moara Roșie, 20",118 000 €,Продам,https://999.md/ru/102705278,102705278,,3000 см,45 м²
+37369,"3-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",144 м²,"Регион:Кишинёв мун., Кишинёв, Центр, str. Moara Rosie, 5/D",499 000 €,Продам,https://999.md/ru/103245798?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzQ4MTI4NzgsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDMyNDU3OTgiLCJpIjoiODkuMTQ5LjkzLjIwNyIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2lubGluZSIsIngiOiJwcmVtaXVtIiwibCI6IjIxYjNlZTUwLTYxYzAtNDdjZS05MmQ2LWIzMGQ5NzllYTE5NyIsImUiOiI4OS4xNDkuOTMuMjA3IiwiZyI6InR1cmJvIiwidCI6IjIwMjYtMDMtMjlUMTg6MzQ6MzguMTU5MTAwMzU0WiJ9fQ.uEZT0WA5pEKknifRgOuEblIfpiJqjEFeyq7B-DKPs1s&adType=booster,103245798,,,
+37367,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",69 м²,"Регион:Кишинёв мун., Кишинёв, Ботаника, str. Grenoble, 134/4",103 500 €,Продам,https://999.md/ru/85455688,85455688,,,
+37362,"3-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",85 м²,"Регион:Кишинёв мун., Кишинёв, Буюканы, ул. Ион Буздуган, 11",190 000 €,Продам,https://999.md/ru/102122913,102122913,,,
+37368,"1-комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",45 м²,"Регион:Кишинёв мун., Кишинёв, Рышкановка, ул. Тудор Владимиреску, 8/1",77 000 €,Продам,https://999.md/ru/103477383,103477383,,,
+37360,"1-комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",54 м²,"Регион:Кишинёв мун., Кишинёв, Буюканы, ул. Василе Лупу, 28",149 900 €,Продам,https://999.md/ru/103058844,103058844,,,
+37362,"2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",70 м²,"Регион:Кишинёв мун., Кишинёв, Буюканы, ул. Василе Лупу, 28",199 000 €,Продам,https://999.md/ru/102882922,102882922,,,
+37368,"2-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",70 м²,"Регион:Кишинёв мун., Кишинёв, Чокана, пр-т Мирча чел Бэтрын, 15",167 000 €,Продам,https://999.md/ru/103430201,103430201,,,
+37362,"2-х комнатная квартира,  Центр,  Яловены,  Яловены",67 м²,"Регион:Яловены, Яловены, Центр, str. Alexandru cel Bun, 78",147 900 €,Продам,https://999.md/ru/101689238,101689238,,,
+37369,"2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",79 м²,"Регион:Кишинёв мун., Кишинёв, Центр, ул. Тигина, 26",214 900 €,Продам,https://999.md/ru/103070850,103070850,,,
+37361,"Комната,  Чокана,  Кишинёв,  Кишинёв мун.",41 м²,"Регион:Кишинёв мун., Кишинёв, Чокана, str. Mihail Sadoveanu, 11/2",51 500 €,Продам,https://999.md/ru/102059160,102059160,,,
+37369,"3-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",97 м²,"Регион:Кишинёв мун., Кишинёв, Чокана, bd. Mircea cel Batran, 39",179 000 €,Продам,https://999.md/ru/101284981,101284981,,,
+37368,"2-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",68 м²,"Регион:Кишинёв мун., Кишинёв, Чокана, str. Nicolae Milescu Spatarul, 57D",110 000 €,Продам,https://999.md/ru/102605589,102605589,,,
+37376,"3-х комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.",103 м²,"Регион:Кишинёв мун., Дурлешты, Центр, str. Cartuşa, .",205 800 €,Продам,https://999.md/ru/101935039,101935039,,,
+37360,"2-х комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.",65 м²,"Регион:Кишинёв мун., Кишинёв, Телецентр, ул. Георге Асаки, 44",157 000 €,Продам,https://999.md/ru/103534940,103534940,,,
+37369,"2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",53 м²,"Регион:Кишинёв мун., Кишинёв, Центр, str. Tudor Strișcă, 19/2",134 200 €,Продам,https://999.md/ru/103627585?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzQ4MTI4NzgsIkMiOnsiciI6MSwiYiI6MTIwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDM2Mjc1ODUiLCJpIjoiODkuMTQ5LjkzLjIwNyIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2lubGluZSIsIngiOiIiLCJsIjoiOTUzOGFhNzItY2U3MS00YmRjLTk5NTQtYzg3NmJhYjdiZTQ5IiwiZSI6Ijg5LjE0OS45My4yMDciLCJ0IjoiMjAyNi0wMy0yOVQxODozNDozOC4xNTkyMDI0MjNaIn19.0mWt87_CC-yfMa1nnvR9otZsvLW2eEheZNi1Qz5hXow&adType=booster,103627585,,300 см,53 м²
+37368,"2-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",71 м²,"Регион:Кишинёв мун., Кишинёв, Чокана, str. Nicolae Milescu Spatarul, 63",215 000 €,Продам,https://999.md/ru/102295621,102295621,,,
+37368,"2-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",80 м²,"Регион:Кишинёв мун., Кишинёв, Чокана, bd. Mircea cel Bătrân, 0",205 000 €,Продам,https://999.md/ru/89360574,89360574,,,
+37369,"3-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",98 м²,"Регион:Кишинёв мун., Кишинёв, Чокана, пр-т Мирча чел Бэтрын, 43/F",217 500 €,Продам,https://999.md/ru/103127388,103127388,,,
+37362,"1-комнатная квартира,  Центр,  Яловены,  Яловены",38 м²,"Регион:Яловены, Яловены, Центр, str. Petru Stefanuca, 36",49 900 €,Продам,https://999.md/ru/101633254,101633254,,,
+37360,"2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",69 м²,"Регион:Кишинёв мун., Кишинёв, Буюканы, ул. Василе Лупу, 28",220 000 €,Продам,https://999.md/ru/103118137,103118137,,,
+37362,"2-х комнатная квартира,  Центр,  Яловены,  Яловены",66 м²,"Регион:Яловены, Яловены, Центр, str. Alexandru cel Bun, 78",157 000 €,Продам,https://999.md/ru/101022145,101022145,,,
+37362,"2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",70 м²,"Регион:Кишинёв мун., Кишинёв, Буюканы, str. Vasile Lupu, 28c",205 000 €,Продам,https://999.md/ru/102863399,102863399,,,
+37368,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",44 м²,"Регион:Кишинёв мун., Кишинёв, Ботаника, str. Trandafirilor, 31/7",89 900 €,Продам,https://999.md/ru/103688188,103688188,,,
+37360,"2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",73 м²,"Регион:Кишинёв мун., Кишинёв, Центр, ул. Александру Хыждеу, 20",269 900 €,Продам,https://999.md/ru/103802295,103802295,,,
+37379,"2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",52 м²,"Регион:Кишинёв мун., Кишинёв, Буюканы, bd. Alba-Iulia, 75/22",104 900 €,Продам,https://999.md/ru/103792615?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzQ4MTI4NzgsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDM3OTI2MTUiLCJpIjoiODkuMTQ5LjkzLjIwNyIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2lubGluZSIsIngiOiIiLCJsIjoiZTYyOGQwODYtOTcwYy00ZGZhLTllMzItYmZlMGI4Y2Y2Y2FlIiwiZSI6Ijg5LjE0OS45My4yMDciLCJnIjoicGx1cyIsInQiOiIyMDI2LTAzLTI5VDE4OjM0OjM4LjE1OTI0OTgxOFoifX0.S9RM7swdEQ-fZWhvobt0gJnBApJKozvxR88cX8BIKXA&adType=booster,103792615,,,
+37360,"2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",84 м²,"Регион:Кишинёв мун., Кишинёв, Буюканы, ул. Ливиу Деляну, 10/15",239 500 €,Продам,https://999.md/ru/103792341,103792341,,,
+37360,"2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",70 м²,"Регион:Кишинёв мун., Кишинёв, Буюканы, ул. Василе Лупу, 28",205 000 €,Продам,https://999.md/ru/103743322,103743322,,,
+37368,"2-х комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.",48 м²,"Регион:Кишинёв мун., Кишинёв, Телецентр, ул. Миорица, 10",99 000 €,Продам,https://999.md/ru/103571810,103571810,,,
+37360,"2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",76 м²,"Регион:Кишинёв мун., Кишинёв, Буюканы, ул. Василе Лупу, 28",152 000 €,Продам,https://999.md/ru/103310825,103310825,,,
+37369,"2-х комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.",41 м²,"Регион:Кишинёв мун., Кишинёв, Телецентр, ул. Георге Асаки, 49b",75 000 €,Продам,https://999.md/ru/103701091,103701091,,,
+37361,"1-комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",40 м²,"Регион:Кишинёв мун., Кишинёв, Чокана, ул. Мария Дрэган, 38",71 000 €,Продам,https://999.md/ru/103871830,103871830,,,
+37362,"2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",72 м²,"Регион:Кишинёв мун., Кишинёв, Центр, str. Pan Halippa, 6",214 900 €,Продам,https://999.md/ru/103725904,103725904,,,
+37361,"1-комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",38 м²,"Регион:Кишинёв мун., Кишинёв, Рышкановка, ул. Мирон Костин, 22",76 500 €,Продам,https://999.md/ru/103721598,103721598,,,
+37360,"3-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",143 м²,"Регион:Кишинёв мун., Кишинёв, Чокана, ул. Николае Милеску-Спэтарул, 55",349 900 €,Продам,https://999.md/ru/103680665,103680665,,,
+37378,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",53 м²,"Регион:Кишинёв мун., Кишинёв, Ботаника, şos. Munceşti, 94",82 150 €,Продам,https://999.md/ru/101636680,101636680,,,
+37378,"2-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",121 м²,"Регион:Кишинёв мун., Кишинёв, Рышкановка, str. Bogdan Voievod, 1",285 995 €,Продам,https://999.md/ru/82606019,82606019,,,120 м²
+37360,"1-комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",44 м²,"Регион:Кишинёв мун., Кишинёв, Рышкановка, bd. Moscova, 19",58 520 €,Продам,https://999.md/ru/103645331,103645331,,,
+37378,"1-комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.",46 м²,"Регион:Кишинёв мун., Кишинёв, Телецентр, str. Sprîncenoaia, 1/A",98 700 €,Продам,https://999.md/ru/103927395,103927395,,,
+37378,"1-комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.",45 м²,"Регион:Кишинёв мун., Дурлешты, Центр, str. Regina Elisabeta, *",69 500 €,Продам,https://999.md/ru/103666479,103666479,,,
+37360,"2-х комнатная квартира,  Центр,  Криково,  Кишинёв мун.",65 м²,"Регион:Кишинёв мун., Криково, Центр, str. Chişinău, 68",78 000 €,Продам,https://999.md/ru/103684899,103684899,,,
+37367,"2-х комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.",64 м²,"Регион:Кишинёв мун., Кишинёв, Телецентр, str. Ialoveni, 100/2",73 600 €,Продам,https://999.md/ru/101930220,101930220,,,
+37367,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",92 м²,"Регион:Кишинёв мун., Кишинёв, Ботаника, str. Grenoble, 134/2",138 000 €,Продам,https://999.md/ru/85456246,85456246,,,
+37376,"1-комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",48 м²,"Регион:Кишинёв мун., Кишинёв, Чокана, bd. Mircea cel Bătrân, 15",135 000 €,Продам,https://999.md/ru/103743756,103743756,,,
+37378,"2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",76 м²,"Регион:Кишинёв мун., Кишинёв, Центр, bd. Stefan cel Mare si Sfint, 132",335 000 €,Продам,https://999.md/ru/101662083,101662083,,300 см,
+37367,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",98 м²,"Регион:Кишинёв мун., Кишинёв, Ботаника, str. Grenoble, 134/4",147 000 €,Продам,https://999.md/ru/85456353,85456353,,,
+37367,"3-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",100 м²,"Регион:Кишинёв мун., Кишинёв, Ботаника, str. Grenoble, 134/4",150 000 €,Продам,https://999.md/ru/85457338,85457338,,,
+37362,"3-х комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.",97 м²,"Регион:Кишинёв мун., Кишинёв, Телецентр, ул. Георге Асаки, 71/7",195 000 €,Продам,https://999.md/ru/102633227,102633227,,,
+37369,"5-ти комн. кварт. и более,  Центр,  Кишинёв,  Кишинёв мун.",215 м²,"Регион:Кишинёв мун., Кишинёв, Центр, str. Izmail, 88",470 000 €,Продам,https://999.md/ru/103830746,103830746,,,
+37360,"2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",71 м²,"Регион:Кишинёв мун., Кишинёв, Буюканы, ул. Василе Лупу, 28",199 500 €,Продам,https://999.md/ru/102487763,102487763,,,
+37376,"2-х комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.",75 м²,"Регион:Кишинёв мун., Дурлешты, Центр, str. Cartusa, .",89 900 €,Продам,https://999.md/ru/103180455,103180455,,,
+37368,"1-комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.",42 м²,"Регион:Кишинёв мун., Дурлешты, Центр, str. Tudor Vladimirescu, 75/1",89 900 €,Продам,https://999.md/ru/102565070,102565070,,,
+37378,"1-комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.",48 м²,"Регион:Кишинёв мун., Кишинёв, Телецентр, str. Ialoveni, 137",74 900 €,Продам,https://999.md/ru/102799482,102799482,,,
+37379,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",66 м²,"Регион:Кишинёв мун., Кишинёв, Ботаника, bd. Dacia, 58",130 000 €,Продам,https://999.md/ru/103815893,103815893,,,
+37378,"2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",68 м²,"Регион:Кишинёв мун., Кишинёв, Буюканы, Alba Iulia, -89",125 800 €,Продам,https://999.md/ru/103733519,103733519,,,
+37360,"2-х комнатная квартира,  Старая Почта,  Кишинёв,  Кишинёв мун.",60 м²,"Регион:Кишинёв мун., Кишинёв, Старая Почта, str-la Studenților, 18",76 800 €,Продам,https://999.md/ru/103378394,103378394,,,
+37379,"1-комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.",43 м²,"Регион:Кишинёв мун., Кишинёв, Телецентр, Ialoveni, 134",48 700 €,Продам,https://999.md/ru/103447068,103447068,,,
+37369,"1-комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",60 м²,"Регион:Кишинёв мун., Кишинёв, Рышкановка, ул. Академик Сергей Рэдэуцану, 9",140 000 €,Продам,https://999.md/ru/103927340,103927340,,,
+37378,"1-комнатная квартира,  Центр,  Думбрава,  Кишинёв мун.",44 м²,"Регион:Кишинёв мун., Думбрава, Центр, str. Durlești, 10",98 900 €,Продам,https://999.md/ru/103667563,103667563,,,
+37376,"3-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",91 м²,"Регион:Кишинёв мун., Кишинёв, Чокана, bd. Mircea cel Bătrân, .",235 000 €,Продам,https://999.md/ru/102875462,102875462,,,
+37360,"1-комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",45 м²,"Регион:Кишинёв мун., Кишинёв, Рышкановка, str-la Studenților, 18",59 850 €,Продам,https://999.md/ru/103378726,103378726,,,
+37360,"2-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",60 м²,"Регион:Кишинёв мун., Кишинёв, Рышкановка, str-la Studenților, 18",76 800 €,Продам,https://999.md/ru/103378674,103378674,,,
