Балкон / лоджия,Состояние квартиры,Санузел,Высота потолков,Планировка,Автор объявления,id,link,Тип здания,Этаж,Количество этажей,Общая площадь,Количество комнат,Парковочное место,Жилой фонд,Застройщик,Жилая площадь,price,Ливинг,Тип,Адрес,title,Площадь кухни
,Eвроремонт,2,,,Агентство,102509439,https://999.md/ru/102509439?location=subcategory&index=3131&cardCategoryId=270&cardSubcategoryId=1404,Kирпичный,4,9,70 м²,2-х комнатная квартира,Подземная,Новострой,Solomon Construct Imobil,,189 000 €,Квартира с ливингом,Продам,"Кишинёв мун., Кишинёв, Чокана, str. Nicolae Milescu Spătarul, 43","2-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",
,Незавершенное cтроительство,,290 см,,Застройщик,101794818,https://999.md/ru/101794818?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3ODE0Njk1MDMsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDE3OTQ4MTgiLCJpIjoiODkuMTQ5LjkxLjE2MiIsInMiOiJkZXNrdG9wX3JlZGVzaWduIiwicCI6ImFkc19saXN0X2lubGluZSIsIngiOiJwcmVtaXVtIiwibCI6ImNkMjVlNDlkLTBiNDgtNDEzZi05YWIwLWFjZTRhY2Q1ZmQ3OSIsImUiOiI4OS4xNDkuOTEuMTYyIiwiZyI6InR1cmJvIiwidCI6IjIwMjYtMDYtMTRUMTk6Mzg6MjMuMDk1ODQ2NTc4WiJ9fQ.g20dGl2v02y68zvfAXKxj8NL9fXlec0ZQfSt117SawE&placement=ADS_LIST_INLINE_REDESIGN&adType=booster&location=subcategory&index=3132&cardCategoryId=270&cardSubcategoryId=1404,,5,9,72 м²,2-х комнатная квартира,,Новострой,Solomon Construct Imobil,,76 965 €,Квартира с ливингом,Продам,"Кишинёв мун., Дурлешты, Центр, str. Nicolae Dimo, 24a","2-х комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.",
,Eвроремонт,,,,Агентство,102514252,https://999.md/ru/102514252?location=subcategory&index=3133&cardCategoryId=270&cardSubcategoryId=1404,,9,10,47 м²,1-комнатная квартира,,Вторичный,,,100 000 €,,Продам,"Кишинёв мун., Кишинёв, Буюканы, пр-т Алба-Юлия, 103","1-комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",
,Белый вариант,1,,,Агентство,100471048,https://999.md/ru/100471048?location=subcategory&index=3134&cardCategoryId=270&cardSubcategoryId=1404,,5,16,46 м²,1-комнатная квартира,,Новострой,,,71 000 €,,Продам,"Кишинёв мун., Кишинёв, Рышкановка, str. Tudor Vladimirescu, -","1-комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",
,Eвроремонт,1,,,Агентство,104187966,https://999.md/ru/104187966?location=subcategory&index=3135&cardCategoryId=270&cardSubcategoryId=1404,,2,9,73 м²,2-х комнатная квартира,,Новострой,,,137 000 €,Квартира с ливингом,Продам,"Кишинёв мун., Дурлешты, Центр, str. Cartuşa, -","2-х комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.",
2,Белый вариант,2,280 см,,Застройщик,102351158,https://999.md/ru/102351158?location=subcategory&index=3136&cardCategoryId=270&cardSubcategoryId=1404,,13,14,143 м²,3-х комнатная квартира,Подземная,Новострой,,116 м²,200 200 €,Квартира с ливингом,Продам,"Кишинёв мун., Кишинёв, Рышкановка, ул. Язулуй, 38","3-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",15 м²
,,,,,Агентство,103999388,https://999.md/ru/103999388?location=subcategory&index=3137&cardCategoryId=270&cardSubcategoryId=1404,,7,9,83 м²,2-х комнатная квартира,,Новострой,,,113 130 €,,Продам,"Яловены, Яловены, Центр, str. Basarabia, ---","2-х комнатная квартира,  Центр,  Яловены,  Яловены",
,Eвроремонт,,,,Частное лицо,100272253,https://999.md/ru/100272253?location=subcategory&index=3138&cardCategoryId=270&cardSubcategoryId=1404,Бетон,1,4,24 м²,1-комнатная квартира,,Новострой,,36 м²,44 000 €,,Продам,"Кишинёв мун., Кишинёв, Ботаника, str. Bacioii Noi, 14/5","1-комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",
1,Косметический pемонт,,,Мс (Молд. Серия),Застройщик,104612534,https://999.md/ru/104612534?location=subcategory&index=3139&cardCategoryId=270&cardSubcategoryId=1404,,7,9,35 м²,1-комнатная квартира,,Вторичный,,,59 800 €,,Продам,"Кишинёв мун., Кишинёв, Чокана, bd. Moscova, 20","1-комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",
,,,,,Агентство,103834960,https://999.md/ru/103834960?location=subcategory&index=3140&cardCategoryId=270&cardSubcategoryId=1404,,4,8,46 м²,2-х комнатная квартира,,Новострой,,,85 069 €,,Продам,"Кишинёв мун., Кишинёв, Рышкановка, str. Postei, --","2-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",
1,Eвроремонт,1,,,Частное лицо,104098778,https://999.md/ru/104098778?location=subcategory&index=3141&cardCategoryId=270&cardSubcategoryId=1404,Панельный,3,9,69 м²,3-х комнатная квартира,Oткрытое,Вторичный,,41 м²,83 000 €,,Продам,"Бельцы мун., Бельцы, 10 квартал, str. Suceava, 15/A","3-х комнатная квартира,  10 квартал,  Бельцы,  Бельцы мун.",7 м²
,Eвроремонт,1,280 см,Индивидуальная,Частное лицо,104603494,https://999.md/ru/104603494?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3ODE0Njk1MDMsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDQ2MDM0OTQiLCJpIjoiODkuMTQ5LjkxLjE2MiIsInMiOiJkZXNrdG9wX3JlZGVzaWduIiwicCI6ImFkc19saXN0X2lubGluZSIsIngiOiIiLCJsIjoiNzlkMmIzMzgtYzFlOC00M2IxLThiZGQtNzlmNDc5YjgyM2E3IiwiZSI6Ijg5LjE0OS45MS4xNjIiLCJnIjoicGx1cyIsInQiOiIyMDI2LTA2LTE0VDE5OjM4OjIzLjA5NTkyMjg4M1oifX0.TBhtKvzFO4F3WXq7tiOd-hSUNQZo2DR25O2d60jCRbQ&placement=ADS_LIST_INLINE_REDESIGN&adType=booster&location=subcategory&index=3142&cardCategoryId=270&cardSubcategoryId=1404,Бетон,1,8,31 м²,1-комнатная квартира,Oткрытое,Новострой,A-casa,,68 900 €,,Продам,"Кишинёв мун., Кишинёв, Старая Почта, str. Poștei, 53/1","1-комнатная квартира,  Старая Почта,  Кишинёв,  Кишинёв мун.",
1,Eвроремонт,2,320 см,,Частное лицо,104195285,https://999.md/ru/104195285?location=subcategory&index=3143&cardCategoryId=270&cardSubcategoryId=1404,,16,17,105 м²,2-х комнатная квартира,Подземная,Новострой,,,269 000 €,Квартира с ливингом,Продам,"Кишинёв мун., Кишинёв, Рышкановка, str. Bogdan Voievod, 1","2-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",
1,Eвроремонт,1,320 см,,Частное лицо,102483473,https://999.md/ru/102483473?location=subcategory&index=3144&cardCategoryId=270&cardSubcategoryId=1404,,17,17,59 м²,1-комнатная квартира,Подземная,Новострой,,,164 900 €,Квартира с ливингом,Продам,"Кишинёв мун., Кишинёв, Рышкановка, str. Bogdan Voievod, 1","1-комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",
1,Eвроремонт,1,,Индивидуальная,Агентство,104314551,https://999.md/ru/104314551?location=subcategory&index=3145&cardCategoryId=270&cardSubcategoryId=1404,,10,14,59 м²,2-х комнатная квартира,,Новострой,,59 м²,117 000 €,Квартира с ливингом,Продам,"Кишинёв мун., Кишинёв, Чокана, bd. Mircea cel Bătrân, 20","2-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",
4 и более,Индивидуальный дизайн,2,3 см,,Агентство,102399862,https://999.md/ru/102399862?location=subcategory&index=3146&cardCategoryId=270&cardSubcategoryId=1404,,10,10,300 м²,4-x комнатная квартира,,Новострой,Inamstro,160 м²,449 000 €,Квартира с ливингом,Продам,"Кишинёв мун., Кишинёв, Буюканы, str. Ioana Radu, 27/7","4-x комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",35 м²
1,Индивидуальный дизайн,1,300 см,Индивидуальная,Частное лицо,103783703,https://999.md/ru/103783703?location=subcategory&index=3147&cardCategoryId=270&cardSubcategoryId=1404,Kотельцовый,7,8,49 м²,1-комнатная квартира,,Новострой,Gonvaro-Con,49 м²,109 900 €,Квартира с ливингом,Продам,"Кишинёв мун., Кишинёв, Буюканы, ул. Корнулуй, 23","1-комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",
,Белый вариант,1,,,Застройщик,100836938,https://999.md/ru/100836938?location=subcategory&index=3148&cardCategoryId=270&cardSubcategoryId=1404,Бетон,8,8,54 м²,1-комнатная квартира,,Новострой,,,49 140 €,Квартира с ливингом,Продам,Расположение,"1-комнатная квартира,  Центр,  Комрат,  Комрат",
,Белый вариант,1,,,Агентство,102361475,https://999.md/ru/102361475?location=subcategory&index=3149&cardCategoryId=270&cardSubcategoryId=1404,Kомбинированный,7,9,45 м²,1-комнатная квартира,,Новострой,,,54 000 €,Квартира с ливингом,Продам,"Кишинёв мун., Дурлешты, Центр, str. Cartuşa, 95/3","1-комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.",
1,Белый вариант,1,,,Агентство,102361553,https://999.md/ru/102361553?location=subcategory&index=3150&cardCategoryId=270&cardSubcategoryId=1404,Kомбинированный,7,9,64 м²,2-х комнатная квартира,,Новострой,,,73 600 €,Квартира с ливингом,Продам,"Кишинёв мун., Дурлешты, Центр, str. Cartuşa, 95/3","2-х комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.",
,,,,,Агентство,101591509,https://999.md/ru/101591509?location=subcategory&index=3151&cardCategoryId=270&cardSubcategoryId=1404,,4,9,69 м²,2-х комнатная квартира,,Новострой,Poliprim Grup,,85 900 €,Квартира с ливингом,Продам,"Кишинёв мун., Дурлешты, Центр, str. Nicolae Dimo, 24","2-х комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.",
,Eвроремонт,1,,,Агентство,102565070,https://999.md/ru/102565070?location=subcategory&index=3152&cardCategoryId=270&cardSubcategoryId=1404,Kомбинированный,1,10,42 м²,1-комнатная квартира,Oткрытое,Новострой,,,92 000 €,Квартира с ливингом,Продам,"Кишинёв мун., Дурлешты, Центр, str. Tudor Vladimirescu, 75/1","1-комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.",
,Белый вариант,,,,Агентство,89101609,https://999.md/ru/89101609?location=subcategory&index=3153&cardCategoryId=270&cardSubcategoryId=1404,,8,18,41 м²,1-комнатная квартира,,Новострой,,,68 880 €,,Продам,"Кишинёв мун., Кишинёв, Ботаника, str. Dimineții, -","1-комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",
1,Белый вариант,1,,,Частное лицо,104541077,https://999.md/ru/104541077?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3ODE0Njk1MDMsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDQ1NDEwNzciLCJpIjoiODkuMTQ5LjkxLjE2MiIsInMiOiJkZXNrdG9wX3JlZGVzaWduIiwicCI6ImFkc19saXN0X2lubGluZSIsIngiOiIiLCJsIjoiYmMwZDQzZGMtMzc0My00ZGM4LWIxZGEtMzBjODMwMjRhZGQ5IiwiZSI6Ijg5LjE0OS45MS4xNjIiLCJnIjoidHVyYm8iLCJ0IjoiMjAyNi0wNi0xNFQxOTozODoyMy4wOTU5NzY4OTZaIn19.NbTc8QRPXYp3UTGB9OzeF4F5iuAzHtHzePLKci6egWw&placement=ADS_LIST_INLINE_REDESIGN&adType=booster&location=subcategory&index=3154&cardCategoryId=270&cardSubcategoryId=1404,Kирпичный,7,10,42 м²,1-комнатная квартира,Oткрытое,Новострой,Lagmar Impex,,60 900 €,Квартира с ливингом,Продам,"Кишинёв мун., Кишинёв, Старая Почта, str. Ceucari, 84","1-комнатная квартира,  Старая Почта,  Кишинёв,  Кишинёв мун.",
1,Белый вариант,2,,,Агентство,104574726,https://999.md/ru/104574726?location=subcategory&index=3155&cardCategoryId=270&cardSubcategoryId=1404,,10,13,86 м²,3-х комнатная квартира,Подземная,Новострой,,,215 000 €,,Продам,"Кишинёв мун., Кишинёв, Ботаника, bd. Cuza Vodă, *","3-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",
,Белый вариант,1,,,Агентство,104125432,https://999.md/ru/104125432?location=subcategory&index=3156&cardCategoryId=270&cardSubcategoryId=1404,,3,18,42 м²,1-комнатная квартира,,Новострой,,,77 198 €,,Продам,"Кишинёв мун., Кишинёв, Ботаника, str. Dimineții, 96","1-комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",
,,,,,Частное лицо,104160502,https://999.md/ru/104160502?location=subcategory&index=3157&cardCategoryId=270&cardSubcategoryId=1404,,8,9,15 м²,1-комнатная квартира,,Вторичный,,,29 999 €,,Продам,"Кишинёв мун., Кишинёв, Чокана, str. Petru Zadnipru, 4/2","1-комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",
,,,,,Частное лицо,104133928,https://999.md/ru/104133928?location=subcategory&index=3158&cardCategoryId=270&cardSubcategoryId=1404,,6,16,23 м²,1-комнатная квартира,,Вторичный,,,39 999 €,,Продам,"Кишинёв мун., Кишинёв, Буюканы, str. Eugen Coca, 19","1-комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",
1,Косметический pемонт,1,,Чш (Чешка),Застройщик,104086010,https://999.md/ru/104086010?location=subcategory&index=3159&cardCategoryId=270&cardSubcategoryId=1404,Kотельцовый,2,5,35 м²,1-комнатная квартира,Oткрытое,Вторичный,,,63 900 €,,Продам,"Кишинёв мун., Кишинёв, Рышкановка, bd. Moscova, 20/2","1-комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",
1,Индивидуальный дизайн,1,,Индивидуальная,Агентство,104450094,https://999.md/ru/104450094?location=subcategory&index=3160&cardCategoryId=270&cardSubcategoryId=1404,Kотельцовый,3,4,36 м²,1-комнатная квартира,,Вторичный,,18 м²,60 499 €,,Продам,"Кишинёв мун., Кишинёв, Ботаника, str. Nikolai Zelinski, 3","1-комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",7 м²
,,,,,Частное лицо,104525435,https://999.md/ru/104525435?location=subcategory&index=3161&cardCategoryId=270&cardSubcategoryId=1404,,3,12,47 м²,1-комнатная квартира,,Новострой,,,123 000 €,,Продам,"Кишинёв мун., Кишинёв, Ботаника, str. Nikolai Zelinski, 15/4","1-комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",
,,,,,Агентство,102103739,https://999.md/ru/102103739?location=subcategory&index=3162&cardCategoryId=270&cardSubcategoryId=1404,,4,7,78 м²,2-х комнатная квартира,,Новострой,Estate Invest Company,,114 500 €,Квартира с ливингом,Продам,"Кишинёв мун., Дурлешты, Центр, str. Durlești, 3/c","2-х комнатная квартира,  Дурлешты,  Кишинёв,  Кишинёв мун.",
,Белый вариант,,,,Застройщик,102996304,https://999.md/ru/102996304?location=subcategory&index=3163&cardCategoryId=270&cardSubcategoryId=1404,Kирпичный,3,12,57 м²,2-х комнатная квартира,,Новострой,David's Capital,,105 500 €,,Продам,Расположение,"2-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",
Нет,Eвроремонт,1,270 см,,Частное лицо,56663599,https://999.md/ru/56663599?location=subcategory&index=3164&cardCategoryId=270&cardSubcategoryId=1404,Ячеистый Бетон,10,10,62 м²,3-х комнатная квартира,Oткрытое,Новострой,,47 м²,130 000 €,Квартира с ливингом,Продам,"Кишинёв мун., Кишинёв, Телецентр, str. Arheolog Ion Casian Suruceanu, 1/B","3-х комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.",15 м²
,,,,,Агентство,101591454,https://999.md/ru/101591454?location=subcategory&index=3165&cardCategoryId=270&cardSubcategoryId=1404,,4,9,71 м²,2-х комнатная квартира,,Новострой,Poliprim Grup,,88 900 €,Квартира с ливингом,Продам,"Кишинёв мун., Дурлешты, Центр, str. Nicolae Dimo, 24","2-х комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.",
1,Белый вариант,2,275 см,,Застройщик,100621297,https://999.md/ru/100621297?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3ODE0Njk1MDMsIkMiOnsiciI6MSwiYiI6MTIwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDA2MjEyOTciLCJpIjoiODkuMTQ5LjkxLjE2MiIsInMiOiJkZXNrdG9wX3JlZGVzaWduIiwicCI6ImFkc19saXN0X2lubGluZSIsIngiOiJwcmVtaXVtIiwibCI6ImFlOTQxZTRiLTE4MGUtNGVjYS1hOTE2LTNhZWVhMmNiMzBmMSIsImUiOiI4OS4xNDkuOTEuMTYyIiwidCI6IjIwMjYtMDYtMTRUMTk6Mzg6MjMuMDk2MDQ5MTY3WiJ9fQ.SWM7rKs1T9SgBfS8E0IJMOETvGKyNdSJQNph8AMdHQE&placement=ADS_LIST_INLINE_REDESIGN&adType=booster&location=subcategory&index=3166&cardCategoryId=270&cardSubcategoryId=1404,Ячеистый Бетон,5,5,63 м²,2-х комнатная квартира,Гараж,Новострой,Astercon,,97 790 €,Квартира без ливинга,Продам,"Кишинёв мун., Ставчены, Центр, Grătiești , 10","2-х комнатная квартира,  Центр,  Ставчены,  Кишинёв мун.",11 м²
,,,,,Агентство,101001383,https://999.md/ru/101001383?location=subcategory&index=3167&cardCategoryId=270&cardSubcategoryId=1404,,3,6,82 м²,2-х комнатная квартира,,Новострой,,,99 500 €,,Продам,"Кишинёв мун., Дурлешты, Центр, str. Cartuşa, 87","2-х комнатная квартира,  Дурлешты,  Кишинёв,  Кишинёв мун.",
1,Белый вариант,2,270 см,Индивидуальная,Застройщик,88294156,https://999.md/ru/88294156?location=subcategory&index=3168&cardCategoryId=270&cardSubcategoryId=1404,Kомбинированный,5,10,97 м²,3-х комнатная квартира,Oткрытое,Новострой,Carpeni,,179 450 €,Квартира с ливингом,Продам,"Кишинёв мун., Кишинёв, Ботаника, str. Burebista, 25","3-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",
,Eвроремонт,,,,Агентство,101595110,https://999.md/ru/101595110?location=subcategory&index=3169&cardCategoryId=270&cardSubcategoryId=1404,,5,6,52 м²,2-х комнатная квартира,,Новострой,,,95 000 €,Квартира с ливингом,Продам,"Кишинёв мун., Кишинёв, Телецентр, str. Grenoble, 39","2-х комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.",
,Eвроремонт,1,,143,Агентство,104525766,https://999.md/ru/104525766?location=subcategory&index=3170&cardCategoryId=270&cardSubcategoryId=1404,,3,9,71 м²,3-х комнатная квартира,,Вторичный,,,129 500 €,,Продам,"Кишинёв мун., Кишинёв, Ботаника, bd. Decebal, -","3-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",
,Eвроремонт,1,,,Агентство,102295472,https://999.md/ru/102295472?location=subcategory&index=3171&cardCategoryId=270&cardSubcategoryId=1404,,8,12,75 м²,2-х комнатная квартира,Oткрытое,Новострой,,,169 900 €,Квартира с ливингом,Продам,"Кишинёв мун., Кишинёв, Старая Почта, str. Iazului, 36","2-х комнатная квартира,  Старая Почта,  Кишинёв,  Кишинёв мун.",
,Eвроремонт,1,,,Агентство,101243605,https://999.md/ru/101243605?location=subcategory&index=3172&cardCategoryId=270&cardSubcategoryId=1404,,2,11,94 м²,2-х комнатная квартира,Подземная,Новострой,,,205 000 €,Квартира с ливингом,Продам,"Кишинёв мун., Кишинёв, Чокана, str. Mihail Sadoveanu, 9/1","2-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",
1,Eвроремонт,1,3000 см,,Агентство,102882484,https://999.md/ru/102882484?location=subcategory&index=3173&cardCategoryId=270&cardSubcategoryId=1404,Kирпичный,13,14,70 м²,2-х комнатная квартира,Подземная,Новострой,Exfactor-grup,,194 900 €,Квартира с ливингом,Продам,"Кишинёв мун., Кишинёв, Буюканы, str. Vasile Lupu, 28","2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",
1,Eвроремонт,2,,,Агентство,104488790,https://999.md/ru/104488790?location=subcategory&index=3174&cardCategoryId=270&cardSubcategoryId=1404,Kирпичный,7,11,71 м²,2-х комнатная квартира,,Новострой,Lagmar Impex,,177 000 €,Квартира с ливингом,Продам,"Кишинёв мун., Кишинёв, Буюканы, str. Vasile Lupu, 28","2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",
1,Eвроремонт,1,3000 см,Индивидуальная,Частное лицо,86946148,https://999.md/ru/86946148?location=subcategory&index=3175&cardCategoryId=270&cardSubcategoryId=1404,,3,6,63 м²,2-х комнатная квартира,,Новострой,,,178 000 €,,Продам,"Кишинёв мун., Кишинёв, Телецентр, str. Ciocârliei, 17","2-х комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.",
,,,,,Агентство,103882905,https://999.md/ru/103882905?location=subcategory&index=3176&cardCategoryId=270&cardSubcategoryId=1404,,1,9,65 м²,2-х комнатная квартира,,Новострой,,,99 000 €,Квартира с ливингом,Продам,"Кишинёв мун., Кишинёв, Центр, ул. Пан Халиппа, --","2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",
,Eвроремонт,1,,,Агентство,104161521,https://999.md/ru/104161521?location=subcategory&index=3177&cardCategoryId=270&cardSubcategoryId=1404,,3,11,78 м²,2-х комнатная квартира,,Новострой,,,134 900 €,,Продам,"Кишинёв мун., Кишинёв, Старая Почта, str. Iazului, -","2-х комнатная квартира,  Старая Почта,  Кишинёв,  Кишинёв мун.",
1,Белый вариант,,,,Застройщик,102822020,https://999.md/ru/102822020?location=subcategory&index=3178&cardCategoryId=270&cardSubcategoryId=1404,Kомбинированный,4,10,37 м²,1-комнатная квартира,Oткрытое,Новострой,,,49 900 €,Квартира с ливингом,Продам,"Кишинёв мун., Кишинёв, Рышкановка, ул. Браништий, 5/3","1-комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",
,Eвроремонт,1,,,Агентство,103885110,https://999.md/ru/103885110?location=subcategory&index=3179&cardCategoryId=270&cardSubcategoryId=1404,,5,9,51 м²,1-комнатная квартира,,Новострой,,,120 000 €,,Продам,"Кишинёв мун., Кишинёв, Буюканы, str. Ion Buzdugan, --","1-комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",
