Балкон / лоджия,Состояние квартиры,Санузел,Планировка,Высота потолков,Автор объявления,id,link,Тип здания,Этаж,Количество этажей,Общая площадь,Количество комнат,Парковочное место,Жилой фонд,Застройщик,Жилая площадь,price,Ливинг,Тип,Адрес,title,Площадь кухни
1,Eвроремонт,1,Индивидуальная,,Агентство,104424920,https://999.md/ru/104424920?location=subcategory&index=3450&cardCategoryId=270&cardSubcategoryId=1404,Kомбинированный,2,11,61 м²,2-х комнатная квартира,Oткрытое,Новострой,Solomon Construct Imobil,,135 000 €,,Продам,"Кишинёв мун., Кодру, Окраина, str. Jubiliară, 39/1","2-х комнатная квартира,  Окраина,  Кодру,  Кишинёв мун.",
,,,,,Агентство,104159903,https://999.md/ru/104159903?location=subcategory&index=3451&cardCategoryId=270&cardSubcategoryId=1404,,2,7,105 м²,3-х комнатная квартира,,Новострой,,,320 000 €,,Продам,"Кишинёв мун., Кишинёв, Центр, ул. Анатол Коробчану, 1/B","3-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",
2,Eвроремонт,2,Мс (Молд. Серия),,Агентство,103377349,https://999.md/ru/103377349?location=subcategory&index=3452&cardCategoryId=270&cardSubcategoryId=1404,Панельный,2,10,75 м²,3-х комнатная квартира,Oткрытое,Вторичный,,,128 900 €,,Продам,"Кишинёв мун., Кишинёв, Чокана, Ginta Latină, 19","3-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",
1,Незавершенное cтроительство,2,Индивидуальная,,Частное лицо,103243583,https://999.md/ru/103243583?location=subcategory&index=3453&cardCategoryId=270&cardSubcategoryId=1404,Kирпичный,14,18,67 м²,2-х комнатная квартира,,Новострой,Sky House,,99 400 €,,Продам,"Кишинёв мун., Кишинёв, Ботаника, str. Diminetii, 10a","2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",
Нет,Eвроремонт,2,,,Агентство,104160613,https://999.md/ru/104160613?location=subcategory&index=3454&cardCategoryId=270&cardSubcategoryId=1404,Kотельцовый,1,5,45 м²,2-х комнатная квартира,Oткрытое,Вторичный,,,58 000 €,,Продам,"Кишинёв мун., Кишинёв, Ботаника, str. Burebista, 66/A","2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",
,Белый вариант,,,,Частное лицо,103645237,https://999.md/ru/103645237?location=subcategory&index=3455&cardCategoryId=270&cardSubcategoryId=1404,,5,10,34 м²,1-комнатная квартира,,Новострой,,,51 000 €,,Продам,"Кишинёв мун., Кишинёв, Ботаника, str. Băcioii Noi, 14/B","1-комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",
,Eвроремонт,,143,,Агентство,104599898,https://999.md/ru/104599898?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3ODE0NzAwNzIsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDQ1OTk4OTgiLCJpIjoiODkuMTQ5LjkxLjE2MiIsInMiOiJkZXNrdG9wX3JlZGVzaWduIiwicCI6ImFkc19saXN0X2lubGluZSIsIngiOiIiLCJsIjoiY2FjMTk4ZjktZGQ5MC00YTcyLWI0MmYtOTVjYmMzNmVkMmUzIiwiZSI6Ijg5LjE0OS45MS4xNjIiLCJnIjoidHVyYm8iLCJ0IjoiMjAyNi0wNi0xNFQxOTo0Nzo1Mi44NDI1NjY1NzdaIn19.fkjXmnxqSo-AAGwE-sDzKyMJY3OEinR1xq-dG-MbyS0&placement=ADS_LIST_INLINE_REDESIGN&adType=booster&location=subcategory&index=3456&cardCategoryId=270&cardSubcategoryId=1404,,7,9,54 м²,2-х комнатная квартира,,Вторичный,,,93 500 €,,Продам,"Кишинёв мун., Кишинёв, Чокана, str. Nicolae Milescu Spătarul, 13","2-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",
2,Eвроремонт,2,Индивидуальная,,Агентство,104102376,https://999.md/ru/104102376?location=subcategory&index=3457&cardCategoryId=270&cardSubcategoryId=1404,Kомбинированный,7,10,85 м²,3-х комнатная квартира,Oткрытое,Вторичный,,,129 900 €,,Продам,"Кишинёв мун., Кишинёв, Ботаника, Nicolae Titulescu, 1","3-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",
,Eвроремонт,,,,Агентство,104301387,https://999.md/ru/104301387?location=subcategory&index=3458&cardCategoryId=270&cardSubcategoryId=1404,,5,5,70 м²,3-х комнатная квартира,,Вторичный,,,75 500 €,,Продам,"Бельцы мун., Бельцы, Северный Вокзал, ул. Игорь Середа, 7","3-х комнатная квартира,  Северный Вокзал,  Бельцы,  Бельцы мун.",
1,Косметический pемонт,,,,Агентство,104301751,https://999.md/ru/104301751?location=subcategory&index=3459&cardCategoryId=270&cardSubcategoryId=1404,,4,4,60 м²,3-х комнатная квартира,,Вторичный,,,43 500 €,,Продам,"Бельцы мун., Бельцы, 8 квартал, ул. Викторией, 98","3-х комнатная квартира,  8 квартал,  Бельцы,  Бельцы мун.",
2,,,,,Агентство,104276746,https://999.md/ru/104276746?location=subcategory&index=3460&cardCategoryId=270&cardSubcategoryId=1404,,9,9,72 м²,3-х комнатная квартира,,Вторичный,,,86 000 €,,Продам,"Бельцы мун., Бельцы, 10 квартал, ул. Сучава, 8","3-х комнатная квартира,  10 квартал,  Бельцы,  Бельцы мун.",
Нет,Белый вариант,2,,,Агентство,103757136,https://999.md/ru/103757136?location=subcategory&index=3461&cardCategoryId=270&cardSubcategoryId=1404,Kирпичный,1,10,85 м²,3-х комнатная квартира,Подземная,Новострой,Exfactor-grup,,120 000 €,,Продам,"Кишинёв мун., Кишинёв, Буюканы, Io, 13","3-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",
Нет,Eвроремонт,1,,275 см,Агентство,104343769,https://999.md/ru/104343769?location=subcategory&index=3462&cardCategoryId=270&cardSubcategoryId=1404,Kирпичный,1,12,53 м²,1-комнатная квартира,Подземная,Новострой,Estate Invest Company,53 м²,119 900 €,Квартира с ливингом,Продам,Расположение,"1-комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.",
Нет,Eвроремонт,1,Гостинка,2500 см,Частное лицо,104157603,https://999.md/ru/104157603?location=subcategory&index=3463&cardCategoryId=270&cardSubcategoryId=1404,,2,5,35 м²,1-комнатная квартира,Oткрытое,Вторичный,,,35 000 €,Квартира без ливинга,Продам,"Сынжерей, Сынжерей, Центр, str. Anton Crihan, 11","1-комнатная квартира,  Центр,  Сынжерей,  Сынжерей",
,,,143,,Застройщик,104251948,https://999.md/ru/104251948?location=subcategory&index=3464&cardCategoryId=270&cardSubcategoryId=1404,,8,9,72 м²,3-х комнатная квартира,,Вторичный,,,119 500 €,,Продам,"Кишинёв мун., Кишинёв, Чокана, str. Nicolae Milescu Spătarul, 9/2","3-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",
Нет,Eвроремонт,1,,275 см,Агентство,102252692,https://999.md/ru/102252692?location=subcategory&index=3465&cardCategoryId=270&cardSubcategoryId=1404,Kирпичный,1,11,50 м²,1-комнатная квартира,Подземная,Новострой,Estate Invest Company,50 м²,104 900 €,Квартира с ливингом,Продам,Расположение,"1-комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.",
1,Белый вариант,2,Индивидуальная,,Агентство,103303176,https://999.md/ru/103303176?location=subcategory&index=3466&cardCategoryId=270&cardSubcategoryId=1404,Ячеистый Бетон,4,6,68 м²,2-х комнатная квартира,Подземная,Новострой,Estate Invest Company,,94 900 €,,Продам,"Кишинёв мун., Думбрава, Окраина, Durlesti, 6","2-х комнатная квартира,  Окраина,  Думбрава,  Кишинёв мун.",
1,,,,,Частное лицо,104340627,https://999.md/ru/104340627?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3ODE0NzAwNzIsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDQzNDA2MjciLCJpIjoiODkuMTQ5LjkxLjE2MiIsInMiOiJkZXNrdG9wX3JlZGVzaWduIiwicCI6ImFkc19saXN0X2lubGluZSIsIngiOiIiLCJsIjoiMDI3NWIwZmItOTFlMi00NDk3LWExZjEtY2E5MzkxNDcxZDVmIiwiZSI6Ijg5LjE0OS45MS4xNjIiLCJnIjoidHVyYm8iLCJ0IjoiMjAyNi0wNi0xNFQxOTo0Nzo1Mi44NDI2MzI4MDdaIn19.6Rba72y9auV8fFMvuTrK0CVuZlITNEMPSqtulGPOw9Y&placement=ADS_LIST_INLINE_REDESIGN&adType=booster&location=subcategory&index=3467&cardCategoryId=270&cardSubcategoryId=1404,,8,10,42 м²,1-комнатная квартира,,Новострой,Solomon Construct Imobil,,51 800 €,,Продам,"Кишинёв мун., Дурлешты, Центр, str. Nicolae Dimo, 24a","1-комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.",
,,,,,Частное лицо,104014840,https://999.md/ru/104014840?location=subcategory&index=3468&cardCategoryId=270&cardSubcategoryId=1404,,9,11,35 м²,1-комнатная квартира,,Вторичный,,,59 900 €,,Продам,"Кишинёв мун., Кишинёв, Рышкановка, str. Miron Costin, 1/1","1-комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",
1,Без ремонта,1,Хрущевка,,Агентство,103971614,https://999.md/ru/103971614?location=subcategory&index=3469&cardCategoryId=270&cardSubcategoryId=1404,Панельный,1,5,60 м²,3-х комнатная квартира,,Вторичный,,,75 500 €,,Продам,"Кишинёв мун., Кишинёв, Ботаника, Hristo Botev, 19/2","3-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",
,,,,,Частное лицо,100590396,https://999.md/ru/100590396?location=subcategory&index=3470&cardCategoryId=270&cardSubcategoryId=1404,,6,9,55 м²,2-х комнатная квартира,,Новострой,,,120 000 €,,Продам,"Кишинёв мун., Кодру, Центр, str. Costiujeni, 14/5","2-х комнатная квартира,  Центр,  Кодру,  Кишинёв мун.",
,Белый вариант,2,,,Агентство,101869766,https://999.md/ru/101869766?location=subcategory&index=3471&cardCategoryId=270&cardSubcategoryId=1404,Kомбинированный,9,9,86 м²,3-х комнатная квартира,,Новострой,Exfactor-grup,,144 900 €,,Продам,"Кишинёв мун., Кишинёв, Буюканы, str. Ion Buzdugan, 11","3-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",
1,Косметический pемонт,2,102,,Агентство,104590941,https://999.md/ru/104590941?location=subcategory&index=3472&cardCategoryId=270&cardSubcategoryId=1404,Kотельцовый,4,5,73 м²,3-х комнатная квартира,Oткрытое,Вторичный,,,98 000 €,,Продам,"Кишинёв мун., Кишинёв, Центр, str. Grădinilor, 56","3-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",
2,Незавершенное cтроительство,2,Индивидуальная,,Агентство,104199728,https://999.md/ru/104199728?location=subcategory&index=3473&cardCategoryId=270&cardSubcategoryId=1404,Kирпичный,5,9,48 м²,1-комнатная квартира,Oткрытое,Новострой,Exfactor-grup,,75 000 €,,Продам,"Кишинёв мун., Кишинёв, Аэропорт, Dacia, 62M","1-комнатная квартира,  Аэропорт,  Кишинёв,  Кишинёв мун.",
,Косметический pемонт,,,,Агентство,104328570,https://999.md/ru/104328570?location=subcategory&index=3474&cardCategoryId=270&cardSubcategoryId=1404,,4,5,40 м²,2-х комнатная квартира,,Вторичный,,,51 900 €,,Продам,"Бельцы мун., Бельцы, Пэмынтены, ул. Виилор, 2","2-х комнатная квартира,  Пэмынтены,  Бельцы,  Бельцы мун.",
2,Индивидуальный дизайн,2,Индивидуальная,,Частное лицо,104168882,https://999.md/ru/104168882?location=subcategory&index=3475&cardCategoryId=270&cardSubcategoryId=1404,,5,9,60 м²,2-х комнатная квартира,Oткрытое,Вторичный,,,129 500 €,Квартира с ливингом,Продам,"Кишинёв мун., Кишинёв, Ботаника, bd. Dacia, 1","2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",
,Eвроремонт,,,300 см,Частное лицо,88986437,https://999.md/ru/88986437?location=subcategory&index=3476&cardCategoryId=270&cardSubcategoryId=1404,,14,15,136 м²,3-х комнатная квартира,Oткрытое,Новострой,,,199 000 €,,Продам,"Кишинёв мун., Кишинёв, Чокана, bd. Mircea cel Bătrân, 22/5","3-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",
1,Eвроремонт,2,Мс (Молд. Серия),2500 см,Частное лицо,104529260,https://999.md/ru/104529260?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3ODE0NzAwNzIsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDQ1MjkyNjAiLCJpIjoiODkuMTQ5LjkxLjE2MiIsInMiOiJkZXNrdG9wX3JlZGVzaWduIiwicCI6ImFkc19saXN0X2lubGluZSIsIngiOiIiLCJsIjoiNWYwOTU4YzAtNDU2Yy00YjU0LWEyYjItZGM4YWUyMGI0NjYwIiwiZSI6Ijg5LjE0OS45MS4xNjIiLCJnIjoidHVyYm8iLCJ0IjoiMjAyNi0wNi0xNFQxOTo0Nzo1Mi44NDI2NzkzOThaIn19.9BHsBqg_whtfiqunThoiL7jMp_mEpsKoJOgZlzoNWQE&placement=ADS_LIST_INLINE_REDESIGN&adType=booster&location=subcategory&index=3477&cardCategoryId=270&cardSubcategoryId=1404,Бетон,6,9,58 м²,2-х комнатная квартира,Oткрытое,Вторичный,A-casa,40 м²,119 900 €,Квартира с ливингом,Продам,"Кишинёв мун., Кишинёв, Буюканы, str. Liviu Deleanu, 5/2","2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",12 м²
1,Косметический pемонт,2,143,,Агентство,104491063,https://999.md/ru/104491063?location=subcategory&index=3478&cardCategoryId=270&cardSubcategoryId=1404,Панельный,7,9,53 м²,2-х комнатная квартира,Oткрытое,Вторичный,,,79 900 €,,Продам,"Кишинёв мун., Кишинёв, Чокана, str. Mihail Sadoveanu, 4/9","2-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",
1,Eвроремонт,1,Хрущевка,,Агентство,104575400,https://999.md/ru/104575400?location=subcategory&index=3479&cardCategoryId=270&cardSubcategoryId=1404,Kотельцовый,2,3,74 м²,3-х комнатная квартира,Oткрытое,Вторичный,,,84 900 €,,Продам,"Кишинёв мун., Криково, Центр, str. Chișinău, 106","3-х комнатная квартира,  Центр,  Криково,  Кишинёв мун.",
2,Без ремонта,2,,245 см,Частное лицо,54578249,https://999.md/ru/54578249?location=subcategory&index=3480&cardCategoryId=270&cardSubcategoryId=1404,Блочный,1,5,80 м²,4-x комнатная квартира,,Вторичный,,,120 000 €,,Продам,Расположение,"4-x комнатная квартира,  Центр,  Яловены,  Яловены",8 м²
3,Индивидуальный дизайн,3,,,Частное лицо,101160473,https://999.md/ru/101160473?location=subcategory&index=3481&cardCategoryId=270&cardSubcategoryId=1404,Kотельцовый,6,8,202 м²,3-х комнатная квартира,Подземная,Новострой,Gonvaro-Con,202 м²,245 000 €,Квартира с ливингом,Продам,"Кишинёв мун., Кишинёв, Буюканы, пр-т Алба Юлия, 77/16","3-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",45 м²
,,,,,Агентство,103720603,https://999.md/ru/103720603?location=subcategory&index=3482&cardCategoryId=270&cardSubcategoryId=1404,,3,5,71 м²,2-х комнатная квартира,,Новострой,,,153 000 €,Квартира с ливингом,Продам,"Кишинёв мун., Кишинёв, Буюканы, пр-т Алба-Юлия, 17/A","2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",
2,Eвроремонт,1,Индивидуальная,,Агентство,104177577,https://999.md/ru/104177577?location=subcategory&index=3483&cardCategoryId=270&cardSubcategoryId=1404,Ячеистый Бетон,11,12,40 м²,1-комнатная квартира,,Новострой,,,85 000 €,,Продам,"Кишинёв мун., Кишинёв, Ботаника, bd. Cuza Vodă, 1/4","1-комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",
,,,,,Агентство,103731157,https://999.md/ru/103731157?location=subcategory&index=3484&cardCategoryId=270&cardSubcategoryId=1404,,6,9,76 м²,3-х комнатная квартира,,Новострой,,,97 500 €,,Продам,"Кишинёв мун., Дурлешты, Окраина, ул. Картуша, 95/5","3-х комнатная квартира,  Окраина,  Дурлешты,  Кишинёв мун.",
1,Индивидуальный дизайн,1,Индивидуальная,,Частное лицо,103951716,https://999.md/ru/103951716?location=subcategory&index=3485&cardCategoryId=270&cardSubcategoryId=1404,,5,5,50 м²,2-х комнатная квартира,Oткрытое,Вторичный,,,98 500 €,,Продам,"Кишинёв мун., Кишинёв, Буюканы, str. Paris, 47","2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",
1,Белый вариант,2,Индивидуальная,,Агентство,104199297,https://999.md/ru/104199297?location=subcategory&index=3486&cardCategoryId=270&cardSubcategoryId=1404,Kомбинированный,6,10,71 м²,2-х комнатная квартира,Oткрытое,Новострой,Exfactor-grup,,102 950 €,,Продам,"Кишинёв мун., Кишинёв, Аэропорт, Dacia, 62/H","2-х комнатная квартира,  Аэропорт,  Кишинёв,  Кишинёв мун.",
,,,,,Агентство,102408497,https://999.md/ru/102408497?location=subcategory&index=3487&cardCategoryId=270&cardSubcategoryId=1404,,1,9,73 м²,3-х комнатная квартира,,Вторичный,,,129 900 €,,Продам,"Кишинёв мун., Кишинёв, Рышкановка, str. Aerodromului, 11","3-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",
Нет,Eвроремонт,1,Индивидуальная,,Агентство,104414888,https://999.md/ru/104414888?location=subcategory&index=3488&cardCategoryId=270&cardSubcategoryId=1404,Kотельцовый,5,8,72 м²,2-х комнатная квартира,Oткрытое,Новострой,Interactiv,,145 000 €,,Продам,"Кишинёв мун., Кишинёв, Центр, str. Ion Inculeț, 105/3","2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",
1,Eвроремонт,3,,,Агентство,103097621,https://999.md/ru/103097621?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3ODE0NzAwNzIsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDMwOTc2MjEiLCJpIjoiODkuMTQ5LjkxLjE2MiIsInMiOiJkZXNrdG9wX3JlZGVzaWduIiwicCI6ImFkc19saXN0X2lubGluZSIsIngiOiJwcmVtaXVtIiwibCI6ImFlMjAxMjEyLTFiNjYtNGE1NS1hZjUwLWI1YTQ2YzFhZjRmMCIsImUiOiI4OS4xNDkuOTEuMTYyIiwiZyI6InR1cmJvIiwidCI6IjIwMjYtMDYtMTRUMTk6NDc6NTIuODQyNzgzODM2WiJ9fQ.wJVJJoujyJk5Qcxd_P6Dmp8eFoABrKfXe60iJjKv2C4&placement=ADS_LIST_INLINE_REDESIGN&adType=booster&location=subcategory&index=3489&cardCategoryId=270&cardSubcategoryId=1404,,Пентхаус,7,145 м²,3-х комнатная квартира,Oткрытое,Новострой,,,525 000 €,Квартира с ливингом,Продам,"Кишинёв мун., Кишинёв, Центр, str. Moara Rosie, 5/D","3-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",
,Белый вариант,2,,275 см,Агентство,101596912,https://999.md/ru/101596912?location=subcategory&index=3490&cardCategoryId=270&cardSubcategoryId=1404,Kирпичный,1,10,77 м²,2-х комнатная квартира,Подземная,Новострой,Estate Invest Company,76 м²,112 420 €,Квартира с ливингом,Продам,Расположение,"2-х комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.",
