Балкон / лоджия,Состояние квартиры,Санузел,Планировка,Высота потолков,Автор объявления,id,link,Этаж,Тип здания,Количество этажей,Общая площадь,Количество комнат,Парковочное место,Жилой фонд,Застройщик,Площадь кухни,Жилая площадь,price,Ливинг,Тип,title,Адрес
2,Белый вариант,2,Индивидуальная,,Агентство,102441804,https://999.md/ru/102441804?location=subcategory&index=3860&cardCategoryId=270&cardSubcategoryId=1404,6,Kомбинированный,9,80 м²,3-х комнатная квартира,Oткрытое,Новострой,Sky House,,,115 000 €,Квартира без ливинга,Продам,"3-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",Расположение
1,Eвроремонт,1,Индивидуальная,,Агентство,104030078,https://999.md/ru/104030078?location=subcategory&index=3861&cardCategoryId=270&cardSubcategoryId=1404,5,,12,48 м²,1-комнатная квартира,Oткрытое,Новострой,Rodaris Pro,,,157 900 €,Квартира с ливингом,Продам,"1-комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",Расположение
1,Eвроремонт,2,Индивидуальная,,Агентство,104030511,https://999.md/ru/104030511?location=subcategory&index=3862&cardCategoryId=270&cardSubcategoryId=1404,4,Kомбинированный,11,71 м²,2-х комнатная квартира,Oткрытое,Новострой,Exfactor-grup,,,155 000 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",Расположение
1,Eвроремонт,1,Индивидуальная,,Агентство,104030212,https://999.md/ru/104030212?location=subcategory&index=3863&cardCategoryId=270&cardSubcategoryId=1404,2,Kирпичный,12,47 м²,1-комнатная квартира,Oткрытое,Новострой,Rodaris Pro,,,155 900 €,Квартира с ливингом,Продам,"1-комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",Расположение
1,Нуждается в ремонте,2,,,Агентство,103355924,https://999.md/ru/103355924?location=subcategory&index=3864&cardCategoryId=270&cardSubcategoryId=1404,5,Kотельцовый,5,50 м²,2-х комнатная квартира,Oткрытое,Вторичный,,,,65 000 €,,Продам,"2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Буюканы, str. Doina și Ion Aldea-Teodorovici, 17"
,,,,,Частное лицо,100681233,https://999.md/ru/100681233?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3ODE0NzA3NzEsIkMiOnsiciI6MSwiYiI6MTAwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDA2ODEyMzMiLCJpIjoiODkuMTQ5LjkxLjE2MiIsInMiOiJkZXNrdG9wX3JlZGVzaWduIiwicCI6ImFkc19saXN0X2lubGluZSIsIngiOiJwcmVtaXVtIiwibCI6ImZjYzBjMzkyLWI5NWItNDJmNC04MTQyLTIxNDE0Y2I0YTQ0MiIsImUiOiI4OS4xNDkuOTEuMTYyIiwidCI6IjIwMjYtMDYtMTRUMTk6NTk6MzEuMzE0NjkxNjZaIn19.qkTE7QxudwrA0poU68c28-vAycgvRiRgHZarOpU3FtE&placement=ADS_LIST_INLINE_REDESIGN&adType=booster&location=subcategory&index=3865&cardCategoryId=270&cardSubcategoryId=1404,6,,10,94 м²,2-х комнатная квартира,,Новострой,,,,950 €,Квартира с ливингом,Сдаю помесячно,"2-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Чокана, str. Nicolae Sulac, 8A"
1,Eвроремонт,1,Индивидуальная,,Агентство,103960901,https://999.md/ru/103960901?location=subcategory&index=3866&cardCategoryId=270&cardSubcategoryId=1404,2,Kирпичный,8,65 м²,2-х комнатная квартира,Oткрытое,Новострой,Inamstro,,,194 900 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",Расположение
,Белый вариант,,,,Частное лицо,103891995,https://999.md/ru/103891995?location=subcategory&index=3867&cardCategoryId=270&cardSubcategoryId=1404,8,,14,49 м²,2-х комнатная квартира,,Новострой,,,,85 000 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Рышкановка, str. Calea Orheiului, 32"
Нет,Белый вариант,1,,,Частное лицо,103869330,https://999.md/ru/103869330?location=subcategory&index=3868&cardCategoryId=270&cardSubcategoryId=1404,5,Mонолитный,5,78 м²,2-х комнатная квартира,Oткрытое,Новострой,A-casa,,62 м²,109 911 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.","Кишинёв мун., Дурлешты, Центр, str-la Bisericii, 1"
1,Eвроремонт,2,Мс (Молд. Серия),,Агентство,102367729,https://999.md/ru/102367729?location=subcategory&index=3869&cardCategoryId=270&cardSubcategoryId=1404,1,Блочный,9,55 м²,2-х комнатная квартира,Oткрытое,Вторичный,,,,99 900 €,Квартира без ливинга,Продам,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",Расположение
1,Белый вариант,1,Индивидуальная,,Агентство,102361054,https://999.md/ru/102361054?location=subcategory&index=3870&cardCategoryId=270&cardSubcategoryId=1404,4,Блочный,9,48 м²,1-комнатная квартира,Oткрытое,Новострой,Lagmar Impex,,,59 999 €,Квартира с ливингом,Продам,"1-комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.",Расположение
1,Eвроремонт,2,Индивидуальная,,Агентство,102104636,https://999.md/ru/102104636?location=subcategory&index=3871&cardCategoryId=270&cardSubcategoryId=1404,8,,8,70 м²,2-х комнатная квартира,Oткрытое,Новострой,,,,123 000 €,Квартира без ливинга,Продам,"2-х комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.",Расположение
Нет,Eвроремонт,1,Индивидуальная,,Агентство,102103577,https://999.md/ru/102103577?location=subcategory&index=3872&cardCategoryId=270&cardSubcategoryId=1404,9,Kирпичный,10,90 м²,3-х комнатная квартира,Oткрытое,Новострой,Inamstro,,,199 900 €,Квартира с ливингом,Продам,"3-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Буюканы, str. Ioana Radu, 27/7"
,Белый вариант,2,,,Агентство,103470608,https://999.md/ru/103470608?location=subcategory&index=3873&cardCategoryId=270&cardSubcategoryId=1404,2,,16,74 м²,2-х комнатная квартира,,Новострой,,,,110 000 €,,Продам,"2-х комнатная квартира,  Старая Почта,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Старая Почта, str-la Studenților, 19"
1,Eвроремонт,1,Индивидуальная,,Агентство,102688766,https://999.md/ru/102688766?location=subcategory&index=3874&cardCategoryId=270&cardSubcategoryId=1404,6,Kомбинированный,9,43 м²,1-комнатная квартира,Oткрытое,Новострой,Carpeni,,,105 000 €,Квартира без ливинга,Продам,"1-комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",Расположение
1,Белый вариант,2,Индивидуальная,,Агентство,102709619,https://999.md/ru/102709619?location=subcategory&index=3875&cardCategoryId=270&cardSubcategoryId=1404,8,,10,69 м²,2-х комнатная квартира,Oткрытое,Новострой,Braus Imobiliare,,,116 990 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.",Расположение
,Белый вариант,1,,,Агентство,102612590,https://999.md/ru/102612590?location=subcategory&index=3876&cardCategoryId=270&cardSubcategoryId=1404,8,,12,52 м²,1-комнатная квартира,,Новострой,,,,60 320 €,Квартира с ливингом,Продам,"1-комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Телецентр, str. Ialoveni, 134"
1,Белый вариант,1,,,Частное лицо,104541077,https://999.md/ru/104541077?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3ODE0NzA3NzEsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDQ1NDEwNzciLCJpIjoiODkuMTQ5LjkxLjE2MiIsInMiOiJkZXNrdG9wX3JlZGVzaWduIiwicCI6ImFkc19saXN0X2lubGluZSIsIngiOiIiLCJsIjoiYmMwZDQzZGMtMzc0My00ZGM4LWIxZGEtMzBjODMwMjRhZGQ5IiwiZSI6Ijg5LjE0OS45MS4xNjIiLCJnIjoidHVyYm8iLCJ0IjoiMjAyNi0wNi0xNFQxOTo1OTozMS4zMTQ3NzY1ODJaIn19.O1U1SfgHfJAgRZnvFcKhq3vhFxyxbpZx89aeUy31Sxw&placement=ADS_LIST_INLINE_REDESIGN&adType=booster&location=subcategory&index=3877&cardCategoryId=270&cardSubcategoryId=1404,7,Kирпичный,10,42 м²,1-комнатная квартира,Oткрытое,Новострой,Lagmar Impex,,,60 900 €,Квартира с ливингом,Продам,"1-комнатная квартира,  Старая Почта,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Старая Почта, str. Ceucari, 84"
1,Косметический pемонт,1,Индивидуальная,,Агентство,101874142,https://999.md/ru/101874142?location=subcategory&index=3878&cardCategoryId=270&cardSubcategoryId=1404,4,,5,50 м²,2-х комнатная квартира,Oткрытое,Вторичный,,,,59 900 €,Квартира без ливинга,Продам,"2-х комнатная квартира,  Центр,  Хынчешты,  Хынчешты","Хынчешты, Хынчешты, Центр, str. Chișinău, 10"
1,Eвроремонт,1,Хрущевка,,Агентство,102742120,https://999.md/ru/102742120?location=subcategory&index=3879&cardCategoryId=270&cardSubcategoryId=1404,5,Бетон,5,50 м²,2-х комнатная квартира,Oткрытое,Вторичный,,,,89 000 €,,Продам,"2-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",Расположение
1,Eвроремонт,1,Индивидуальная,,Агентство,102744672,https://999.md/ru/102744672?location=subcategory&index=3880&cardCategoryId=270&cardSubcategoryId=1404,4,Kирпичный,10,73 м²,2-х комнатная квартира,Oткрытое,Новострой,Varincom,,,174 500 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",Расположение
,Белый вариант,1,Индивидуальная,,Агентство,101728158,https://999.md/ru/101728158?location=subcategory&index=3881&cardCategoryId=270&cardSubcategoryId=1404,12,,14,45 м²,1-комнатная квартира,Oткрытое,Новострой,,,,86 900 €,Квартира с ливингом,Продам,"1-комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",Расположение
