Балкон / лоджия,Состояние квартиры,Санузел,Высота потолков,Планировка,Автор объявления,id,link,Тип здания,Этаж,Количество этажей,Общая площадь,Количество комнат,Парковочное место,Жилой фонд,Застройщик,Площадь кухни,Жилая площадь,price,Ливинг,Тип,title,Адрес
,Незавершенное cтроительство,,,,Застройщик,87048862,https://999.md/ru/87048862?location=subcategory&index=3053&cardCategoryId=270&cardSubcategoryId=1404,Kирпичный,2,6,87 м²,3-х комнатная квартира,Подземная,Новострой,Estate Invest Company,,,122 670 €,Квартира с ливингом,Продам,"3-х комнатная квартира,  Окраина,  Думбрава,  Кишинёв мун.","Кишинёв мун., Думбрава, Окраина, -, -"
1,,,,,Застройщик,87009119,https://999.md/ru/87009119?location=subcategory&index=3054&cardCategoryId=270&cardSubcategoryId=1404,,3,6,45 м²,1-комнатная квартира,,Новострой,Estate Invest Company,,,66 600 €,Квартира с ливингом,Продам,"1-комнатная квартира,  Окраина,  Думбрава,  Кишинёв мун.","Кишинёв мун., Думбрава, Окраина, -, -"
,Белый вариант,,,,Агентство,101089369,https://999.md/ru/101089369?location=subcategory&index=3055&cardCategoryId=270&cardSubcategoryId=1404,,11,16,43 м²,1-комнатная квартира,,Новострой,Lagmar Impex,,,66 650 €,,Продам,"1-комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Рышкановка, str. Calea Moșilor, 4"
2,Косметический pемонт,,,Индивидуальная,Частное лицо,100242399,https://999.md/ru/100242399?location=subcategory&index=3056&cardCategoryId=270&cardSubcategoryId=1404,Kотельцовый,2,5,70 м²,3-х комнатная квартира,,Вторичный,,,,73 500 €,,Продам,"3-х комнатная квартира,  Аэропорт,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Аэропорт, şos. Munceşti, 798"
1,,1,,,Частное лицо,100439857,https://999.md/ru/100439857?location=subcategory&index=3057&cardCategoryId=270&cardSubcategoryId=1404,,8,9,18 м²,Комната,Oткрытое,Вторичный,,,,28 800 €,,Продам,"Комната,  Скулянка,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Скулянка, str. Mesager, 5/1"
1,Eвроремонт,1,,,Агентство,104531251,https://999.md/ru/104531251?location=subcategory&index=3058&cardCategoryId=270&cardSubcategoryId=1404,,5,7,34 м²,1-комнатная квартира,Oткрытое,Вторичный,,,,69 900 €,,Продам,"1-комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Центр, str. Pan Halippa, 4/1"
1,Eвроремонт,2,,,Агентство,104584981,https://999.md/ru/104584981?location=subcategory&index=3059&cardCategoryId=270&cardSubcategoryId=1404,,3,5,118 м²,3-х комнатная квартира,Подземная,Новострой,,,,345 000 €,,Продам,"3-х комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Телецентр, Str. Pietrarilor, **"
1,,,,,Частное лицо,104585236,https://999.md/ru/104585236?location=subcategory&index=3060&cardCategoryId=270&cardSubcategoryId=1404,,2,5,57 м²,3-х комнатная квартира,,Вторичный,,,,94 000 €,,Продам,"3-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Рышкановка, str. Miron Costin, 15/1"
,Eвроремонт,1,,,Застройщик,103803150,https://999.md/ru/103803150?location=subcategory&index=3061&cardCategoryId=270&cardSubcategoryId=1404,,2,5,55 м²,2-х комнатная квартира,Oткрытое,Новострой,,,,125 000 €,,Продам,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Ботаника, str. Arheolog Ion Casian Suruceanu, 17"
1,Белый вариант,2,,,Агентство,104505038,https://999.md/ru/104505038?location=subcategory&index=3062&cardCategoryId=270&cardSubcategoryId=1404,,1,11,72 м²,3-х комнатная квартира,Подземная,Новострой,,,,93 600 €,,Продам,"3-х комнатная квартира,  Старая Почта,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Старая Почта, str. Ceucari, 1"
,Eвроремонт,1,,,Агентство,104386710,https://999.md/ru/104386710?location=subcategory&index=3063&cardCategoryId=270&cardSubcategoryId=1404,,2,9,36 м²,1-комнатная квартира,,Новострой,,,,117 000 €,,Продам,"1-комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Ботаника, Ghica Voda, 5/2"
Нет,Eвроремонт,1,,,Агентство,103996207,https://999.md/ru/103996207?location=subcategory&index=3064&cardCategoryId=270&cardSubcategoryId=1404,,8,8,66 м²,2-х комнатная квартира,,Новострой,,,,129 900 €,,Продам,"2-х комнатная квартира,  Центр,  Яловены,  Яловены","Яловены, Яловены, Центр, str. Alexandru cel Bun, **"
,,,,,Частное лицо,104578243,https://999.md/ru/104578243?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3ODE0NjkzNjEsIkMiOnsiciI6MSwiYiI6MTQwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDQ1NzgyNDMiLCJpIjoiODkuMTQ5LjkxLjE2MiIsInMiOiJkZXNrdG9wX3JlZGVzaWduIiwicCI6ImFkc19saXN0X2lubGluZSIsIngiOiIiLCJsIjoiYzU2NjAyNTEtYjE0Zi00Nzc4LWJlNDgtNTQyYmYxNDMxMzE0IiwiZSI6Ijg5LjE0OS45MS4xNjIiLCJnIjoibGl0ZSIsInQiOiIyMDI2LTA2LTE0VDE5OjM2OjAxLjM2OTg2NzQ4MloifX0.dOdEwxnVICjslTIijQ47ZdccsD5APTUD2WXccpPpH6E&placement=ADS_LIST_INLINE_REDESIGN&adType=booster&location=subcategory&index=3065&cardCategoryId=270&cardSubcategoryId=1404,,1,11,74 м²,3-х комнатная квартира,,Новострой,Basconslux,,,149 000 €,Квартира с ливингом,Продам,"3-х комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Телецентр, str. Sprîncenoaia, 3/G"
,,,,,Застройщик,104463329,https://999.md/ru/104463329?location=subcategory&index=3066&cardCategoryId=270&cardSubcategoryId=1404,,8,12,68 м²,2-х комнатная квартира,,Новострой,,,,134 900 €,,Продам,"2-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Чокана, str. Ginta Latină, 12/12"
1,Eвроремонт,2,,,Агентство,104395446,https://999.md/ru/104395446?location=subcategory&index=3067&cardCategoryId=270&cardSubcategoryId=1404,,3,7,100 м²,2-х комнатная квартира,Подземная,Новострой,,,,399 000 €,,Продам,"2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Центр, Zamfir Arbore, -"
2,Косметический pемонт,2,,135,Агентство,101094439,https://999.md/ru/101094439?location=subcategory&index=3068&cardCategoryId=270&cardSubcategoryId=1404,Панельный,9,9,70 м²,3-х комнатная квартира,Oткрытое,Вторичный,,,,118 900 €,,Продам,"3-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Буюканы, str. Calea Ieșilor, 51/A"
2,Индивидуальный дизайн,2,,,Агентство,102599125,https://999.md/ru/102599125?location=subcategory&index=3069&cardCategoryId=270&cardSubcategoryId=1404,,8,9,111 м²,3-х комнатная квартира,Подземная,Новострой,,,,215 000 €,Квартира без ливинга,Продам,"3-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Ботаника, str-la 2 Lvov, 87"
1,,1,,Мс (Молд. Серия),Частное лицо,104612784,https://999.md/ru/104612784?location=subcategory&index=3070&cardCategoryId=270&cardSubcategoryId=1404,,9,10,50 м²,2-х комнатная квартира,,Вторичный,,,,92 999 €,,Продам,"2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Центр, str. Grădinilor, 25"
,Eвроремонт,,,,Частное лицо,104018855,https://999.md/ru/104018855?location=subcategory&index=3071&cardCategoryId=270&cardSubcategoryId=1404,,5,5,44 м²,1-комнатная квартира,Oткрытое,Новострой,,,,90 900 €,Квартира с ливингом,Продам,"1-комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Рышкановка, str. Mircești, 11"
,Белый вариант,,,,Агентство,102559609,https://999.md/ru/102559609?location=subcategory&index=3072&cardCategoryId=270&cardSubcategoryId=1404,,5,14,42 м²,2-х комнатная квартира,,Новострой,,,,91 800 €,,Продам,"2-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Рышкановка, bd. Renasterii Nationale, 35"
Нет,Белый вариант,1,286 см,,Застройщик,102831391,https://999.md/ru/102831391?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3ODE0NjkzNjEsIkMiOnsiciI6MSwiYiI6MTIwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDI4MzEzOTEiLCJpIjoiODkuMTQ5LjkxLjE2MiIsInMiOiJkZXNrdG9wX3JlZGVzaWduIiwicCI6ImFkc19saXN0X2lubGluZSIsIngiOiJwcmVtaXVtIiwibCI6ImFlOTQxZTRiLTE4MGUtNGVjYS1hOTE2LTNhZWVhMmNiMzBmMSIsImUiOiI4OS4xNDkuOTEuMTYyIiwidCI6IjIwMjYtMDYtMTRUMTk6MzY6MDEuMzY5OTU2NjcyWiJ9fQ.swlKipWAgUhR-Vq98myrdE5uFwbgw7wknHr0e4qnTtw&placement=ADS_LIST_INLINE_REDESIGN&adType=booster&location=subcategory&index=3073&cardCategoryId=270&cardSubcategoryId=1404,Ячеистый Бетон,1,6,41 м²,1-комнатная квартира,Гараж,Новострой,Astercon,13 м²,,58 986 €,Квартира без ливинга,Продам,"1-комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.","Кишинёв мун., Дурлешты, Центр, str. Durlești, 8"
1,Eвроремонт,2,300 см,,Частное лицо,104603354,https://999.md/ru/104603354?location=subcategory&index=3074&cardCategoryId=270&cardSubcategoryId=1404,Kотельцовый,7,7,85 м²,3-х комнатная квартира,,Новострой,Astercon,,,179 900 €,Квартира с ливингом,Продам,"3-х комнатная квартира,  Центр,  Думбрава,  Кишинёв мун.","Кишинёв мун., Думбрава, Центр, str. Durleşti, 10/E"
,Eвроремонт,2,,,Агентство,104612755,https://999.md/ru/104612755?location=subcategory&index=3075&cardCategoryId=270&cardSubcategoryId=1404,,7,10,84 м²,3-х комнатная квартира,Подземная,Новострой,,,84 м²,169 500 €,Квартира с ливингом,Продам,"3-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Ботаника, str. Grenoble, 257"
1,Белый вариант,2,,Индивидуальная,Застройщик,102419017,https://999.md/ru/102419017?location=subcategory&index=3076&cardCategoryId=270&cardSubcategoryId=1404,Kирпичный,6,10,69 м²,2-х комнатная квартира,Подземная,Новострой,Braus Imobiliare,,,92 500 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Телецентр, șos. Hâncești, 140/1"
1,Белый вариант,1,,,Застройщик,102107445,https://999.md/ru/102107445?location=subcategory&index=3077&cardCategoryId=270&cardSubcategoryId=1404,Kирпичный,2,4,60 м²,2-х комнатная квартира,Подземная,Новострой,Braus Imobiliare,,,148 000 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Рышкановка, str. Circului, 61"
,Белый вариант,1,,,Агентство,103356345,https://999.md/ru/103356345?location=subcategory&index=3078&cardCategoryId=270&cardSubcategoryId=1404,,2,8,61 м²,2-х комнатная квартира,,Новострой,,,,127 260 €,,Продам,"2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",Расположение
,Eвроремонт,,,,Агентство,104457232,https://999.md/ru/104457232?location=subcategory&index=3079&cardCategoryId=270&cardSubcategoryId=1404,,9,9,23 м²,1-комнатная квартира,,Вторичный,,,,40 900 €,,Продам,"1-комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Ботаника, Burebista, 36/2"
,,,,,Застройщик,103857841,https://999.md/ru/103857841?location=subcategory&index=3080&cardCategoryId=270&cardSubcategoryId=1404,,2,6,70 м²,2-х комнатная квартира,,Новострой,Varincom,,,84 000 €,,Продам,"2-х комнатная квартира,  Центр,  Криково,  Кишинёв мун.","Кишинёв мун., Криково, Центр, str. Chişinău, 68"
,Eвроремонт,2,,Индивидуальная,Агентство,104505678,https://999.md/ru/104505678?location=subcategory&index=3081&cardCategoryId=270&cardSubcategoryId=1404,Mонолитный,9,9,100 м²,2-х комнатная квартира,Подземная,Новострой,,,,199 000 €,,Продам,"2-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Чокана,  bd. Mircea cel Bătrân, 45"
,,,,,Агентство,104612745,https://999.md/ru/104612745?location=subcategory&index=3082&cardCategoryId=270&cardSubcategoryId=1404,,4,5,43 м²,2-х комнатная квартира,,Вторичный,,,,69 900 €,,Продам,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Ботаника, str. Nicolae Titulescu, 6"
,Eвроремонт,2,,Индивидуальная,Агентство,104567137,https://999.md/ru/104567137?location=subcategory&index=3083&cardCategoryId=270&cardSubcategoryId=1404,Бетон,3,16,75 м²,2-х комнатная квартира,,Новострой,,,,148 000 €,,Продам,"2-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Чокана, str. Ginta Latină, 19/6"
1,Eвроремонт,2,,Индивидуальная,Агентство,102577692,https://999.md/ru/102577692?location=subcategory&index=3084&cardCategoryId=270&cardSubcategoryId=1404,Kотельцовый,2,10,93 м²,2-х комнатная квартира,Подземная,Новострой,Gonvaro-Con,,,195 000 €,,Продам,"2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Буюканы, str. Alba-Iulia, 77/4"
,Белый вариант,2,,,Агентство,104612720,https://999.md/ru/104612720?location=subcategory&index=3085&cardCategoryId=270&cardSubcategoryId=1404,,6,10,80 м²,3-х комнатная квартира,Oткрытое,Новострой,,,80 м²,115 000 €,Квартира с ливингом,Продам,"3-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Ботаника, str. Bacioii Noi, 14/5"
,,,,,Агентство,103697371,https://999.md/ru/103697371?location=subcategory&index=3086&cardCategoryId=270&cardSubcategoryId=1404,,3,3,153 м²,3-х комнатная квартира,,Вторичный,,,,68 500 €,,Продам,"3-х комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Телецентр, str. Gheorghe Asachi, ---"
,,,,,Агентство,103562740,https://999.md/ru/103562740?location=subcategory&index=3087&cardCategoryId=270&cardSubcategoryId=1404,,16,17,100 м²,3-х комнатная квартира,,Вторичный,,,,259 000 €,,Продам,"3-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Рышкановка, str. Bogdan Voievod, ---"
1,Белый вариант,,,,Агентство,83702807,https://999.md/ru/83702807?location=subcategory&index=3088&cardCategoryId=270&cardSubcategoryId=1404,Kирпичный,3,7,46 м²,2-х комнатная квартира,,Новострой,,,,75 000 €,,Продам,"2-х комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Телецентр, str-la 4 Valea Apelor, 13"
1,Незавершенное cтроительство,1,,Индивидуальная,Застройщик,104566256,https://999.md/ru/104566256?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3ODE0NjkzNjEsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDQ1NjYyNTYiLCJpIjoiODkuMTQ5LjkxLjE2MiIsInMiOiJkZXNrdG9wX3JlZGVzaWduIiwicCI6ImFkc19saXN0X2lubGluZSIsIngiOiJwcmVtaXVtIiwibCI6IjU0YzM2M2ZhLTk0MDgtNDc1OS04NjY1LTc4NDNhMjNiMTMwYSIsImUiOiI4OS4xNDkuOTEuMTYyIiwiZyI6InBsdXMiLCJ0IjoiMjAyNi0wNi0xNFQxOTozNjowMS4zNzAwMDMyMjRaIn19.g6W6ULAlVpE4aOsFE2_wUbeG7RfQXUiTVyyInw7wkko&placement=ADS_LIST_INLINE_REDESIGN&adType=booster&location=subcategory&index=3089&cardCategoryId=270&cardSubcategoryId=1404,Mонолитный,5,16,46 м²,1-комнатная квартира,,Новострой,Inamstro,,,78 200 €,,Продам,"1-комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Ботаника, str. Nikolai Zelinski, 11"
1,Белый вариант,1,,,Агентство,103713563,https://999.md/ru/103713563?location=subcategory&index=3090&cardCategoryId=270&cardSubcategoryId=1404,,5,9,48 м²,1-комнатная квартира,Oткрытое,Новострой,,,,72 000 €,Квартира с ливингом,Продам,"1-комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.",Расположение
,Косметический pемонт,1,,,Агентство,103491721,https://999.md/ru/103491721?location=subcategory&index=3091&cardCategoryId=270&cardSubcategoryId=1404,,10,11,45 м²,2-х комнатная квартира,,Вторичный,,,,79 500 €,,Продам,"2-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Рышкановка, str. Miron Costin, -"
,,,,,Агентство,103707083,https://999.md/ru/103707083?location=subcategory&index=3092&cardCategoryId=270&cardSubcategoryId=1404,,3,5,66 м²,2-х комнатная квартира,,Новострой,,,,200 000 €,,Продам,"2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Центр, str. Alexei Șciusev, 2"
1,Eвроремонт,2,,,Агентство,104475517,https://999.md/ru/104475517?location=subcategory&index=3093&cardCategoryId=270&cardSubcategoryId=1404,,1,6,65 м²,2-х комнатная квартира,,Новострой,,,,154 000 €,,Продам,"2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Центр, str. Cramei, -"
2,,2,,,Агентство,104487124,https://999.md/ru/104487124?location=subcategory&index=3094&cardCategoryId=270&cardSubcategoryId=1404,,2,9,93 м²,4-x комнатная квартира,,Вторичный,,,,139 900 €,,Продам,"4-x комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Чокана, str. Igor Vieru, 1"
,Eвроремонт,,,,Агентство,104573619,https://999.md/ru/104573619?location=subcategory&index=3095&cardCategoryId=270&cardSubcategoryId=1404,,2,5,60 м²,2-х комнатная квартира,,Вторичный,,,,100 000 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Рышкановка, str. Miron Costin, 10"
,Индивидуальный дизайн,1,,Индивидуальная,Частное лицо,104541628,https://999.md/ru/104541628?location=subcategory&index=3096&cardCategoryId=270&cardSubcategoryId=1404,Kотельцовый,1,5,56 м²,2-х комнатная квартира,Oткрытое,Вторичный,,12 м²,,81 500 €,,Продам,"2-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Рышкановка, str. Bogdan Voievod, 8/6"
,Косметический pемонт,1,,,Агентство,101363209,https://999.md/ru/101363209?location=subcategory&index=3097&cardCategoryId=270&cardSubcategoryId=1404,Kотельцовый,1,5,39 м²,2-х комнатная квартира,Oткрытое,Вторичный,,,,70 000 €,,Продам,"2-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Рышкановка, str. Kiev, 2"
1,Косметический pемонт,2,250 см,,Частное лицо,103605438,https://999.md/ru/103605438?location=subcategory&index=3098&cardCategoryId=270&cardSubcategoryId=1404,Kомбинированный,4,9,78 м²,2-х комнатная квартира,Oткрытое,Вторичный,,7 м²,52 м²,134 000 €,,Продам,"2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Буюканы, str. Nicolae Costin, 65/3"
,Белый вариант,,280 см,,Застройщик,80068279,https://999.md/ru/80068279?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3ODE0NjkzNjEsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiI4MDA2ODI3OSIsImkiOiI4OS4xNDkuOTEuMTYyIiwicyI6ImRlc2t0b3BfcmVkZXNpZ24iLCJwIjoiYWRzX2xpc3RfaW5saW5lIiwieCI6InByZW1pdW0iLCJsIjoiZWJiNjZjMWUtOWI2NC00YWQwLWE0MGEtMjY4YTQ5YzE4MmI2IiwiZSI6Ijg5LjE0OS45MS4xNjIiLCJ0IjoiMjAyNi0wNi0xNFQxOTozNjowMS4zNzAxMzAxOTRaIn19.UCo8kP_K-g0RsU7yR1xuv6YHpjvlOXLRMo9Y8N5-aXE&placement=ADS_LIST_INLINE_REDESIGN&adType=booster&location=subcategory&index=3099&cardCategoryId=270&cardSubcategoryId=1404,Mонолитный,2,7,75 м²,2-х комнатная квартира,,Новострой,Boiar House,,,74 382 €,,Продам,"2-х комнатная квартира,  Центр,  Криково,  Кишинёв мун.","Кишинёв мун., Криково, Центр, str. Calea Basarabiei, 2A"
2,Косметический pемонт,2,,,Агентство,104439741,https://999.md/ru/104439741?location=subcategory&index=3100&cardCategoryId=270&cardSubcategoryId=1404,,14,15,82 м²,4-x комнатная квартира,Oткрытое,Вторичный,,,,107 000 €,,Продам,"4-x комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Буюканы, str. Liviu Deleanu, 7/2"
,Eвроремонт,2,,,Агентство,104612691,https://999.md/ru/104612691?location=subcategory&index=3101&cardCategoryId=270&cardSubcategoryId=1404,,4,9,92 м²,3-х комнатная квартира,Oткрытое,Новострой,,,92 м²,156 500 €,Квартира с ливингом,Продам,"3-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Центр, str. Nicolae Testemițanu, 37.0"
