Балкон / лоджия,Состояние квартиры,Санузел,Планировка,Высота потолков,Автор объявления,id,link,Тип здания,Этаж,Количество этажей,Общая площадь,Парковочное место,Количество комнат,Жилой фонд,Застройщик,Площадь кухни,Жилая площадь,price,Ливинг,Тип,title,Адрес
1,Eвроремонт,1,,,Агентство,103954367,https://999.md/ru/103954367?location=subcategory&index=1727&cardCategoryId=270&cardSubcategoryId=1404,,5,5,50 м²,,2-х комнатная квартира,Вторичный,,,,98 500 €,,Продам,"2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Буюканы, Paris , 47"
,Eвроремонт,,,,Агентство,103603659,https://999.md/ru/103603659?location=subcategory&index=1728&cardCategoryId=270&cardSubcategoryId=1404,,6,6,54 м²,,2-х комнатная квартира,Вторичный,,,,78 000 €,,Продам,"2-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Рышкановка, ул. Алеку Руссо, 3/1"
1,Eвроремонт,2,,,Агентство,104415668,https://999.md/ru/104415668?location=subcategory&index=1729&cardCategoryId=270&cardSubcategoryId=1404,,18,20,64 м²,,3-х комнатная квартира,Вторичный,,,,86 000 €,,Продам,"3-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Центр, str. Romana, 2/2"
,Eвроремонт,,,,Агентство,104575287,https://999.md/ru/104575287?location=subcategory&index=1730&cardCategoryId=270&cardSubcategoryId=1404,,1,6,49 м²,,1-комнатная квартира,Новострой,,,,107 500 €,,Продам,"1-комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.",Расположение
,,,,,Застройщик,104615328,https://999.md/ru/104615328?location=subcategory&index=1731&cardCategoryId=270&cardSubcategoryId=1404,,5,5,21 м²,,Комната,Вторичный,,,,38 900 €,,Продам,"Комната,  Чокана,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Чокана, str. Maria Drăgan, 8/2"
,,,,,Агентство,103487927,https://999.md/ru/103487927?location=subcategory&index=1732&cardCategoryId=270&cardSubcategoryId=1404,,8,12,555 м²,,1-комнатная квартира,Новострой,,,,114 999 €,Квартира с ливингом,Продам,"1-комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Чокана, str. Ginta Latina, -"
1,Белый вариант,1,,,Агентство,103933900,https://999.md/ru/103933900?location=subcategory&index=1733&cardCategoryId=270&cardSubcategoryId=1404,,5,6,51 м²,,2-х комнатная квартира,Новострой,,,,77 500 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Телецентр, șos. Hâncești, -"
1,Белый вариант,1,,,Агентство,103532123,https://999.md/ru/103532123?location=subcategory&index=1734&cardCategoryId=270&cardSubcategoryId=1404,,6,9,43 м²,,2-х комнатная квартира,Новострой,,,,75 337 €,Квартира без ливинга,Продам,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Ботаника, bd. Dacia, -"
2,Eвроремонт,2,,,Агентство,104597582,https://999.md/ru/104597582?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3ODE0NjcwNDcsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDQ1OTc1ODIiLCJpIjoiODkuMTQ5LjkxLjE2MiIsInMiOiJkZXNrdG9wX3JlZGVzaWduIiwicCI6ImFkc19saXN0X2lubGluZSIsIngiOiJwcmVtaXVtIiwibCI6ImUwZjAyYjViLWEyNTgtNDY5YS04OGEzLWRjZWM5YTIxNzEyNSIsImUiOiI4OS4xNDkuOTEuMTYyIiwiZyI6InR1cmJvIiwidCI6IjIwMjYtMDYtMTRUMTg6NTc6MjcuMDQzNTQxNDUyWiJ9fQ.O6o3hXVq_ND30hlaRN7WaydfvwOHsHXFdgc3I5yyBzA&placement=ADS_LIST_INLINE_REDESIGN&adType=booster&location=subcategory&index=1735&cardCategoryId=270&cardSubcategoryId=1404,,9,9,185 м²,Oткрытое,3-х комнатная квартира,Новострой,,,,484 500 €,,Продам,"3-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Рышкановка, str. Nadejda Russo, *"
,,,,,Агентство,103607348,https://999.md/ru/103607348?location=subcategory&index=1736&cardCategoryId=270&cardSubcategoryId=1404,,9,10,108 м²,,3-х комнатная квартира,Новострой,,,,285 000 €,Квартира с ливингом,Продам,"3-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Буюканы, str. Alba-Iulia, ---"
,,,,,Агентство,103697206,https://999.md/ru/103697206?location=subcategory&index=1737&cardCategoryId=270&cardSubcategoryId=1404,,10,15,52 м²,,1-комнатная квартира,Новострой,,,,89 420 €,,Продам,"1-комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Ботаника, str. Grădina Botanică, ---"
,Eвроремонт,1,,,Агентство,103954741,https://999.md/ru/103954741?location=subcategory&index=1738&cardCategoryId=270&cardSubcategoryId=1404,,6,13,105 м²,,3-х комнатная квартира,Новострой,,,,389 999 €,Квартира с ливингом,Продам,"3-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Центр, str. Ciuflea, -"
1,,2,,,Агентство,103561731,https://999.md/ru/103561731?location=subcategory&index=1739&cardCategoryId=270&cardSubcategoryId=1404,,10,16,70 м²,,2-х комнатная квартира,Новострой,,,,102 959 €,,Продам,"2-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Рышкановка, str. Calea Mosilor, ---"
1,Белый вариант,1,Индивидуальная,,Агентство,104615325,https://999.md/ru/104615325?location=subcategory&index=1740&cardCategoryId=270&cardSubcategoryId=1404,Kирпичный,7,9,41 м²,,1-комнатная квартира,Новострой,Lagmar Impex,,,57 500 €,Квартира с ливингом,Продам,"1-комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Телецентр, șos. Hâncești, 142"
,,,,,Агентство,104615321,https://999.md/ru/104615321?location=subcategory&index=1741&cardCategoryId=270&cardSubcategoryId=1404,,3,5,15 м²,,1-комнатная квартира,Вторичный,,,,29 900 €,,Продам,"1-комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Буюканы, str. Sucevița, 16"
1,Косметический pемонт,1,Индивидуальная,,Агентство,102415240,https://999.md/ru/102415240?location=subcategory&index=1742&cardCategoryId=270&cardSubcategoryId=1404,,5,5,42 м²,,2-х комнатная квартира,Вторичный,,,,42 000 €,,Продам,"2-х комнатная квартира,  Центр,  Добружа,  Кишинёв мун.",Расположение
,,,,,Агентство,103884164,https://999.md/ru/103884164?location=subcategory&index=1743&cardCategoryId=270&cardSubcategoryId=1404,,9,11,93 м²,,3-х комнатная квартира,Новострой,Exfactor-grup,,,189 000 €,Квартира с ливингом,Продам,"3-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Буюканы, str. Alba-Iulia, --"
,Белый вариант,2,,,Агентство,104240896,https://999.md/ru/104240896?location=subcategory&index=1744&cardCategoryId=270&cardSubcategoryId=1404,Kирпичный,13,18,75 м²,Подземная,3-х комнатная квартира,Новострой,,,,120 000 €,,Продам,"3-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Ботаника, Dimineții, 20"
1,Eвроремонт,1,,,Агентство,103572435,https://999.md/ru/103572435?location=subcategory&index=1745&cardCategoryId=270&cardSubcategoryId=1404,,Цоколь,9,70 м²,,2-х комнатная квартира,Новострой,,,,174 900 €,,Продам,"2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Буюканы, Ion Buzdugan , 13"
Нет,Eвроремонт,1,Индивидуальная,,Агентство,103667035,https://999.md/ru/103667035?location=subcategory&index=1746&cardCategoryId=270&cardSubcategoryId=1404,,7,8,54 м²,Oткрытое,2-х комнатная квартира,Новострой,,,,143 900 €,,Продам,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Ботаника, str. Ghica Vodă, Botanica, Chisinau, 5"
1,Белый вариант,2,Индивидуальная,,Агентство,104583019,https://999.md/ru/104583019?location=subcategory&index=1747&cardCategoryId=270&cardSubcategoryId=1404,,5,9,69 м²,Гараж,2-х комнатная квартира,Новострой,,,,108 000 €,,Продам,"2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Буюканы, str. Vovințeni, *"
1,Белый вариант,2,,,Агентство,103707872,https://999.md/ru/103707872?location=subcategory&index=1748&cardCategoryId=270&cardSubcategoryId=1404,,3,18,77 м²,,3-х комнатная квартира,Новострой,Sky House,,,113 000 €,,Продам,"3-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Ботаника, str. Muncesti, 94"
Нет,Eвроремонт,1,,,Агентство,103667496,https://999.md/ru/103667496?location=subcategory&index=1749&cardCategoryId=270&cardSubcategoryId=1404,,13,14,69 м²,Oткрытое,2-х комнатная квартира,Новострой,,,,140 000 €,,Продам,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Ботаника, str. Nicolae Testemițanu, **"
2,Индивидуальный дизайн,1,,2700 см,Частное лицо,104563990,https://999.md/ru/104563990?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3ODE0NjcwNDcsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDQ1NjM5OTAiLCJpIjoiODkuMTQ5LjkxLjE2MiIsInMiOiJkZXNrdG9wX3JlZGVzaWduIiwicCI6ImFkc19saXN0X2lubGluZSIsIngiOiIiLCJsIjoiNzM1OGY5NWItZjgwZi00M2U4LTg5NTktOTk4ZTM3ZTQwYjY5IiwiZSI6Ijg5LjE0OS45MS4xNjIiLCJnIjoidHVyYm8iLCJ0IjoiMjAyNi0wNi0xNFQxODo1NzoyNy4wNDM3MzA2NzJaIn19.vuNIY7x4COQ_aKkeN7FA5cNcDwxpcf3cbW5d9jwqtuA&placement=ADS_LIST_INLINE_REDESIGN&adType=booster&location=subcategory&index=1750&cardCategoryId=270&cardSubcategoryId=1404,Бетон,7,12,62 м²,Oткрытое,2-х комнатная квартира,Новострой,Lagmar Impex,,,175 000 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Рышкановка, str. Cornești, 16"
Нет,Белый вариант,2,Индивидуальная,,Агентство,103691170,https://999.md/ru/103691170?location=subcategory&index=1751&cardCategoryId=270&cardSubcategoryId=1404,,1,14,92 м²,Подземная,3-х комнатная квартира,Новострой,,,,189 000 €,,Продам,"3-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Чокана, bd.Mircea cel Bătrân , ."
2,Eвроремонт,1,102,,Агентство,103439072,https://999.md/ru/103439072?location=subcategory&index=1752&cardCategoryId=270&cardSubcategoryId=1404,Kотельцовый,1,5,57 м²,Oткрытое,2-х комнатная квартира,Вторичный,,,,89 900 €,,Продам,"2-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Рышкановка, Gheorghe Madan, 87/4"
,,,,,Агентство,104209193,https://999.md/ru/104209193?location=subcategory&index=1753&cardCategoryId=270&cardSubcategoryId=1404,,8,9,68 м²,,3-х комнатная квартира,Вторичный,,,,131 500 €,,Продам,"3-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Буюканы, str. Vissarion Belinski, ---"
,Eвроремонт,1,,,Агентство,104337936,https://999.md/ru/104337936?location=subcategory&index=1754&cardCategoryId=270&cardSubcategoryId=1404,,4,5,22 м²,,1-комнатная квартира,Вторичный,,,,38 000 €,,Продам,"1-комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Чокана, str. Maria Drăgan, -"
1,Eвроремонт,1,,,Агентство,101148917,https://999.md/ru/101148917?location=subcategory&index=1755&cardCategoryId=270&cardSubcategoryId=1404,Kотельцовый,3,5,47 м²,Oткрытое,2-х комнатная квартира,Вторичный,,,,109 000 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Рышкановка, ул. Киев, 16/1"
1,Eвроремонт,2,,,Агентство,103994928,https://999.md/ru/103994928?location=subcategory&index=1756&cardCategoryId=270&cardSubcategoryId=1404,,3,9,148 м²,Подземная,3-х комнатная квартира,Новострой,,,,299 900 €,,Продам,"3-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Ботаника, Bd. Decebal, ***"
2,Белый вариант,2,Индивидуальная,,Агентство,104615253,https://999.md/ru/104615253?location=subcategory&index=1757&cardCategoryId=270&cardSubcategoryId=1404,Kирпичный,2,9,75 м²,Oткрытое,2-х комнатная квартира,Новострой,,,,78 500 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.","Кишинёв мун., Дурлешты, Центр, str. Nicolae Testemițanu, 1"
1,Индивидуальный дизайн,1,102,,Частное лицо,104287138,https://999.md/ru/104287138?location=subcategory&index=1758&cardCategoryId=270&cardSubcategoryId=1404,Kомбинированный,4,5,45 м²,Oткрытое,2-х комнатная квартира,Вторичный,A-casa,10 м²,35 м²,47 000 €,,Продам,"2-х комнатная квартира,  10 квартал,  Бельцы,  Бельцы мун.","Бельцы мун., Бельцы, 10 квартал, bd. Larisa, 7"
2,Косметический pемонт,,Индивидуальная,,Застройщик,103066095,https://999.md/ru/103066095?location=subcategory&index=1759&cardCategoryId=270&cardSubcategoryId=1404,Kотельцовый,2,3,70 м²,Oткрытое,2-х комнатная квартира,Новострой,,,,85 000 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Рышкановка, str. Sfînta Treime, 13"
,,,,,Агентство,84459407,https://999.md/ru/84459407?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3ODE0NjcwNDcsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiI4NDQ1OTQwNyIsImkiOiI4OS4xNDkuOTEuMTYyIiwicyI6ImRlc2t0b3BfcmVkZXNpZ24iLCJwIjoiYWRzX2xpc3RfaW5saW5lIiwieCI6InBybyIsImwiOiJlZDAzMTQ5Ny0xMDg3LTRlYTYtOTVmNi0zZThkZGJlNDJhZDAiLCJlIjoiODkuMTQ5LjkxLjE2MiIsImciOiJ0dXJibyIsInQiOiIyMDI2LTA2LTE0VDE4OjU3OjI3LjA0MzgxMTU2M1oifX0.j4z-NOkChfbBNelyuWVyFkTEFd4cEBtN8olMNomEZC8&placement=ADS_LIST_INLINE_REDESIGN&adType=booster&location=subcategory&index=1760&cardCategoryId=270&cardSubcategoryId=1404,,3,10,35 м²,,1-комнатная квартира,Новострой,,,35 м²,800 MDL,,Сдаю посуточно,"1-комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Центр, str. Ismail, 88"
,Косметический pемонт,,,,Агентство,104190047,https://999.md/ru/104190047?location=subcategory&index=1761&cardCategoryId=270&cardSubcategoryId=1404,,9,9,43 м²,,1-комнатная квартира,Вторичный,,,,75 000 €,,Продам,"1-комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Рышкановка, Московский пр-т, 22"
1,Косметический pемонт,1,Мс (Молд. Серия),,Агентство,104506255,https://999.md/ru/104506255?location=subcategory&index=1762&cardCategoryId=270&cardSubcategoryId=1404,Ячеистый Бетон,1,9,50 м²,Oткрытое,2-х комнатная квартира,Вторичный,,,,62 999 €,,Продам,"2-х комнатная квартира,  Центр,  Страшены,  Страшены","Страшены, Страшены, Центр, str. Iona Iakir, 2"
1,Белый вариант,2,Индивидуальная,,Агентство,103971586,https://999.md/ru/103971586?location=subcategory&index=1763&cardCategoryId=270&cardSubcategoryId=1404,Kирпичный,3,13,68 м²,Подземная,2-х комнатная квартира,Новострой,Exfactor-grup,,,149 900 €,,Продам,"2-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Чокана, bd. Mircea cel Bătrân, 41/B"
1,Eвроремонт,2,143,,Агентство,103263963,https://999.md/ru/103263963?location=subcategory&index=1764&cardCategoryId=270&cardSubcategoryId=1404,Панельный,7,9,56 м²,Oткрытое,2-х комнатная квартира,Вторичный,,,,89 000 €,,Продам,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Ботаника, Grenoble, 130/3"
1,Eвроремонт,1,Хрущевка,,Агентство,103971619,https://999.md/ru/103971619?location=subcategory&index=1765&cardCategoryId=270&cardSubcategoryId=1404,Kотельцовый,1,5,28 м²,,1-комнатная квартира,Вторичный,,,,62 900 €,,Продам,"1-комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Рышкановка, Nicolae Dimo, 13/3"
1,Eвроремонт,1,Хрущевка,,Агентство,104447271,https://999.md/ru/104447271?location=subcategory&index=1766&cardCategoryId=270&cardSubcategoryId=1404,Панельный,2,5,45 м²,Oткрытое,2-х комнатная квартира,Вторичный,,,,87 000 €,,Продам,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Ботаника, str. Grenoble, 159/2"
Нет,Eвроремонт,2,143,,Агентство,104040743,https://999.md/ru/104040743?location=subcategory&index=1767&cardCategoryId=270&cardSubcategoryId=1404,Панельный,1,9,43 м²,Oткрытое,1-комнатная квартира,Вторичный,,,,77 900 €,,Продам,"1-комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Рышкановка, Tudor Vladimirescu, 1/5"
1,Белый вариант,2,Индивидуальная,,Агентство,104532616,https://999.md/ru/104532616?location=subcategory&index=1768&cardCategoryId=270&cardSubcategoryId=1404,Kомбинированный,5,10,72 м²,Oткрытое,2-х комнатная квартира,Новострой,,,,102 000 €,,Продам,"2-х комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Телецентр, str. Ialoveni, 100/3"
1,Косметический pемонт,1,,,Агентство,104391932,https://999.md/ru/104391932?location=subcategory&index=1769&cardCategoryId=270&cardSubcategoryId=1404,Kотельцовый,3,5,20 м²,Oткрытое,Комната,Вторичный,,,,29 500 €,,Продам,"Комната,  Ботаника,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Ботаника, Salcâmilor, 22/2"
1,Eвроремонт,1,Индивидуальная,290 см,Агентство,104241788,https://999.md/ru/104241788?location=subcategory&index=1770&cardCategoryId=270&cardSubcategoryId=1404,Kомбинированный,4,7,83 м²,Oткрытое,2-х комнатная квартира,Новострой,,,,249 900 €,,Продам,"2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Центр, str. Alexei Șciusev, 2"
1,,1,,,Застройщик,69698354,https://999.md/ru/69698354?location=subcategory&index=1771&cardCategoryId=270&cardSubcategoryId=1404,,3,11,140 м²,,3-х комнатная квартира,Новострой,,,,420 000 €,,Продам,"3-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",Расположение
,Незавершенное cтроительство,,,290 см,Застройщик,101794818,https://999.md/ru/101794818?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3ODE0NjcwNDcsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDE3OTQ4MTgiLCJpIjoiODkuMTQ5LjkxLjE2MiIsInMiOiJkZXNrdG9wX3JlZGVzaWduIiwicCI6ImFkc19saXN0X2lubGluZSIsIngiOiJwcmVtaXVtIiwibCI6ImNkMjVlNDlkLTBiNDgtNDEzZi05YWIwLWFjZTRhY2Q1ZmQ3OSIsImUiOiI4OS4xNDkuOTEuMTYyIiwiZyI6InR1cmJvIiwidCI6IjIwMjYtMDYtMTRUMTg6NTc6MjcuMDQzOTIyMjcyWiJ9fQ.5-hZBxyGK7FUnv31n4gI0R7tctc3_Vi60QFhnqm__4c&placement=ADS_LIST_INLINE_REDESIGN&adType=booster&location=subcategory&index=1772&cardCategoryId=270&cardSubcategoryId=1404,,5,9,72 м²,,2-х комнатная квартира,Новострой,Solomon Construct Imobil,,,76 965 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.","Кишинёв мун., Дурлешты, Центр, str. Nicolae Dimo, 24a"
1,Белый вариант,1,,,Агентство,103814722,https://999.md/ru/103814722?location=subcategory&index=1773&cardCategoryId=270&cardSubcategoryId=1404,,9,16,68 м²,,2-х комнатная квартира,Новострой,,,,108 900 €,,Продам,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Ботаника, str. Burebista, 114/2"
,,,,,Агентство,103728157,https://999.md/ru/103728157?location=subcategory&index=1774&cardCategoryId=270&cardSubcategoryId=1404,,4,11,111 м²,,3-х комнатная квартира,Новострой,,,,225 000 €,,Продам,"3-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Буюканы, str. Vasile Lupu, ---"
2,,2,,,Агентство,103818300,https://999.md/ru/103818300?location=subcategory&index=1775&cardCategoryId=270&cardSubcategoryId=1404,,8,8,109 м²,,2-х комнатная квартира,Новострой,,,,229 900 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Центр,  Яловены,  Яловены","Яловены, Яловены, Центр, str. Alexandru cel Bun, 28/3"
,Eвроремонт,,,,Частное лицо,104200604,https://999.md/ru/104200604?location=subcategory&index=1776&cardCategoryId=270&cardSubcategoryId=1404,,9,14,50 м²,,1-комнатная квартира,Новострой,Exfactor-grup,,,142 900 €,Квартира с ливингом,Продам,"1-комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Буюканы, str. Vasile Lupu, 28"
