Балкон / лоджия,Состояние квартиры,Санузел,Планировка,Высота потолков,Автор объявления,id,link,Этаж,Тип здания,Количество этажей,Общая площадь,Количество комнат,Парковочное место,Жилой фонд,Застройщик,Площадь кухни,Жилая площадь,price,Ливинг,Тип,title,Адрес
,Eвроремонт,2,,,Агентство,104239913,https://999.md/ru/104239913?location=subcategory&index=1191&cardCategoryId=270&cardSubcategoryId=1404,1,,12,57 м²,2-х комнатная квартира,Oткрытое,Новострой,,,,157 500 €,,Продам,"2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Центр, str. Valea Trandafirilor, 6/2"
1,Косметический pемонт,1,,,Агентство,100546228,https://999.md/ru/100546228?location=subcategory&index=1192&cardCategoryId=270&cardSubcategoryId=1404,5,,5,60 м²,2-х комнатная квартира,,Вторичный,,,,88 000 €,,Продам,"2-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Рышкановка, bd. Moscova, -"
,,,,,Частное лицо,104056203,https://999.md/ru/104056203?location=subcategory&index=1193&cardCategoryId=270&cardSubcategoryId=1404,9,,10,195 м²,3-х комнатная квартира,,Новострой,,,,350 000 €,Квартира с ливингом,Продам,"3-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Чокана, str. Nicolae Sulac, 14"
,Косметический pемонт,1,,,Частное лицо,104228986,https://999.md/ru/104228986?location=subcategory&index=1194&cardCategoryId=270&cardSubcategoryId=1404,2,Kотельцовый,2,42 м²,2-х комнатная квартира,Oткрытое,Вторичный,,,42 м²,46 200 €,,Продам,"2-х комнатная квартира,  Центр,  Страшены,  Страшены","Страшены, Страшены, Центр, str. Mihai Eminescu, 64"
,,,,,Агентство,103201698,https://999.md/ru/103201698?location=subcategory&index=1195&cardCategoryId=270&cardSubcategoryId=1404,6,,16,73 м²,2-х комнатная квартира,,Новострой,,,,159 900 €,,Продам,"2-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Рышкановка, str. Florilor, 28/2"
2,,1,,,Частное лицо,104271779,https://999.md/ru/104271779?location=subcategory&index=1196&cardCategoryId=270&cardSubcategoryId=1404,5,,5,48 м²,2-х комнатная квартира,,Вторичный,,,,35 000 €,Квартира без ливинга,Продам,"2-х комнатная квартира,  Окраина,  Фалешты,  Фалешты","Фалешты, Фалешты, Окраина, str. Cartierul Victoriei, 11"
,,2,,,Агентство,104155153,https://999.md/ru/104155153?location=subcategory&index=1197&cardCategoryId=270&cardSubcategoryId=1404,6,,7,79 м²,2-х комнатная квартира,,Новострой,,,,258 000 €,,Продам,"2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Центр, str. Moara Roșie, 5/B"
,,,,,Частное лицо,104333803,https://999.md/ru/104333803?location=subcategory&index=1198&cardCategoryId=270&cardSubcategoryId=1404,4,Kотельцовый,5,31 м²,1-комнатная квартира,,Вторичный,,,,64 000 €,,Продам,"1-комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Чокана, str. Maria Drăgan, 18/3"
2,Косметический pемонт,2,Индивидуальная,,Агентство,103823367,https://999.md/ru/103823367?location=subcategory&index=1199&cardCategoryId=270&cardSubcategoryId=1404,8,Kомбинированный,16,70 м²,3-х комнатная квартира,Oткрытое,Вторичный,,,,87 900 €,,Продам,"3-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Ботаника, bd. Traian, 23/1"
1,Eвроремонт,1,Индивидуальная,,Агентство,103929235,https://999.md/ru/103929235?location=subcategory&index=1200&cardCategoryId=270&cardSubcategoryId=1404,7,Ячеистый Бетон,11,68 м²,2-х комнатная квартира,,Новострой,Basconslux,,,135 000 €,,Продам,"2-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Чокана, bd. Mircea cel Bătrân, 43 B,C"
Нет,Незавершенное cтроительство,2,Индивидуальная,,Агентство,102180186,https://999.md/ru/102180186?location=subcategory&index=1201&cardCategoryId=270&cardSubcategoryId=1404,2,Kомбинированный,16,50 м²,1-комнатная квартира,Подземная,Новострой,Lagmar Impex,,,77 100 €,,Продам,"1-комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Рышкановка, Calea Mosilor, 4"
1,Eвроремонт,2,Индивидуальная,,Агентство,104536300,https://999.md/ru/104536300?location=subcategory&index=1202&cardCategoryId=270&cardSubcategoryId=1404,9,Mонолитный,9,80 м²,1-комнатная квартира,Oткрытое,Новострой,,,,235 000 €,,Продам,"1-комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Центр, str. Mitropolit Petru Movilă, 23/8"
1,Белый вариант,2,Индивидуальная,,Агентство,102382434,https://999.md/ru/102382434?location=subcategory&index=1203&cardCategoryId=270&cardSubcategoryId=1404,7,Kирпичный,10,50 м²,1-комнатная квартира,Oткрытое,Новострой,Exfactor-grup,,,92 000 €,,Продам,"1-комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Буюканы, Ion Buzdugan, 11"
1,Eвроремонт,1,Малосемейная,,Агентство,104240137,https://999.md/ru/104240137?location=subcategory&index=1204&cardCategoryId=270&cardSubcategoryId=1404,3,Kотельцовый,4,35 м²,1-комнатная квартира,Oткрытое,Вторичный,,,,58 000 €,,Продам,"1-комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Ботаника, Cetatea Albă, 20"
1,Белый вариант,1,Индивидуальная,286 см,Застройщик,102196003,https://999.md/ru/102196003?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3ODE0NjYxOTksIkMiOnsiciI6MSwiYiI6MTYwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDIxOTYwMDMiLCJpIjoiODkuMTQ5LjkxLjE2MiIsInMiOiJkZXNrdG9wX3JlZGVzaWduIiwicCI6ImFkc19saXN0X2lubGluZSIsIngiOiJwcmVtaXVtIiwibCI6ImFlOTQxZTRiLTE4MGUtNGVjYS1hOTE2LTNhZWVhMmNiMzBmMSIsImUiOiI4OS4xNDkuOTEuMTYyIiwidCI6IjIwMjYtMDYtMTRUMTg6NDM6MTkuMjgyMTAzOTA1WiJ9fQ.niA2GayW6GX03jR5vhRicS1d-Gy7Dg-obFlieFxxHgI&placement=ADS_LIST_INLINE_REDESIGN&adType=booster&location=subcategory&index=1205&cardCategoryId=270&cardSubcategoryId=1404,2,Ячеистый Бетон,6,50 м²,Комната,Гараж,Новострой,Astercon,12 м²,,72 384 €,Квартира с ливингом,Продам,"Комната,  Центр,  Дурлешты,  Кишинёв мун.","Кишинёв мун., Дурлешты, Центр, str. Durlești, 8"
2,Eвроремонт,2,Индивидуальная,,Агентство,104486336,https://999.md/ru/104486336?location=subcategory&index=1206&cardCategoryId=270&cardSubcategoryId=1404,9,Kирпичный,10,92 м²,3-х комнатная квартира,Oткрытое,Новострой,,,,145 000 €,,Продам,"3-х комнатная квартира,  Окраина,  Яловены,  Яловены","Яловены, Яловены, Окраина, str. Chișinău, 4/1"
2,Белый вариант,2,Индивидуальная,,Агентство,104008911,https://999.md/ru/104008911?location=subcategory&index=1207&cardCategoryId=270&cardSubcategoryId=1404,13,Kирпичный,13,126 м²,2-х комнатная квартира,Oткрытое,Новострой,,,,179 900 €,,Продам,"2-х комнатная квартира,  Старая Почта,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Старая Почта, Iazului, 38"
Нет,Eвроремонт,1,Индивидуальная,,Агентство,104101886,https://999.md/ru/104101886?location=subcategory&index=1208&cardCategoryId=270&cardSubcategoryId=1404,1,Kирпичный,11,42 м²,1-комнатная квартира,Oткрытое,Новострой,Estate Invest Company,,,87 500 €,,Продам,"1-комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.","Кишинёв мун., Дурлешты, Центр, Ialoveni, 136"
1,Без ремонта,1,,,Агентство,104238669,https://999.md/ru/104238669?location=subcategory&index=1209&cardCategoryId=270&cardSubcategoryId=1404,2,Kотельцовый,5,19 м²,Комната,Oткрытое,Вторичный,,,,35 500 €,,Продам,"Комната,  Буюканы,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Буюканы, str. Paris, 34/3"
1,Eвроремонт,1,Индивидуальная,,Агентство,103758864,https://999.md/ru/103758864?location=subcategory&index=1210&cardCategoryId=270&cardSubcategoryId=1404,9,Kотельцовый,12,74 м²,2-х комнатная квартира,,Новострой,Exfactor-grup,,,139 990 €,,Продам,"2-х комнатная квартира,  Старая Почта,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Старая Почта, Calea Orheiului, 111/8"
1,Eвроремонт,1,Индивидуальная,,Агентство,103681673,https://999.md/ru/103681673?location=subcategory&index=1211&cardCategoryId=270&cardSubcategoryId=1404,8,Kомбинированный,10,64 м²,2-х комнатная квартира,Oткрытое,Новострой,Inamstro,,,146 900 €,,Продам,"2-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Чокана, Profesor Ion Dumeniuc, 6"
2,Белый вариант,2,Индивидуальная,,Агентство,103444625,https://999.md/ru/103444625?location=subcategory&index=1212&cardCategoryId=270&cardSubcategoryId=1404,5,Kомбинированный,10,65 м²,2-х комнатная квартира,Подземная,Новострой,Lagmar Impex,,,94 500 €,,Продам,"2-х комнатная квартира,  Старая Почта,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Старая Почта, Ceucari, 1"
1,Косметический pемонт,2,143,,Агентство,104094576,https://999.md/ru/104094576?location=subcategory&index=1213&cardCategoryId=270&cardSubcategoryId=1404,1,Ячеистый Бетон,9,75 м²,3-х комнатная квартира,Oткрытое,Вторичный,,,,99 900 €,,Продам,"3-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Чокана, Alecu Russo, 55"
1,Белый вариант,2,Индивидуальная,,Агентство,104270800,https://999.md/ru/104270800?location=subcategory&index=1214&cardCategoryId=270&cardSubcategoryId=1404,5,Kирпичный,5,93 м²,3-х комнатная квартира,Oткрытое,Новострой,,,,165 500 €,,Продам,"3-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Ботаника, europa, 6"
,Белый вариант,,,2600 см,Частное лицо,104478809,https://999.md/ru/104478809?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3ODE0NjYxOTksIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDQ0Nzg4MDkiLCJpIjoiODkuMTQ5LjkxLjE2MiIsInMiOiJkZXNrdG9wX3JlZGVzaWduIiwicCI6ImFkc19saXN0X2lubGluZSIsIngiOiIiLCJsIjoiM2RlOTZjNDgtYmViNi00OGNjLTljYTYtMzI0OTAzNGI1ZWU0IiwiZSI6Ijg5LjE0OS45MS4xNjIiLCJnIjoidHVyYm8iLCJ0IjoiMjAyNi0wNi0xNFQxODo0MzoxOS4yODIxNDI5MzFaIn19.6TwH7LJLzgzAIjgJ4x3hBKByMA81aDs5mPGK2bGmtQI&placement=ADS_LIST_INLINE_REDESIGN&adType=booster&location=subcategory&index=1215&cardCategoryId=270&cardSubcategoryId=1404,11,Kомбинированный,14,44 м²,1-комнатная квартира,,Новострой,Sky House,12 м²,12 м²,79 000 €,Квартира с ливингом,Продам,"1-комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Ботаника, str. Grădina Botanică, 18/1"
1,Eвроремонт,1,Индивидуальная,,Агентство,104310251,https://999.md/ru/104310251?location=subcategory&index=1216&cardCategoryId=270&cardSubcategoryId=1404,9,Kотельцовый,10,50 м²,1-комнатная квартира,Oткрытое,Новострой,,,,101 000 €,,Продам,"1-комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Телецентр, Ialoveni, 100/3"
1,Eвроремонт,1,Индивидуальная,,Агентство,103822644,https://999.md/ru/103822644?location=subcategory&index=1217&cardCategoryId=270&cardSubcategoryId=1404,2,Kомбинированный,11,46 м²,1-комнатная квартира,Oткрытое,Новострой,Rodaris Pro,,,146 000 €,,Продам,"1-комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Рышкановка, Bulevardul Renașterii Naționale, 4"
1,Белый вариант,1,Индивидуальная,,Агентство,87146551,https://999.md/ru/87146551?location=subcategory&index=1218&cardCategoryId=270&cardSubcategoryId=1404,3,Kомбинированный,16,54 м²,1-комнатная квартира,Oткрытое,Новострой,,,,77 900 €,,Продам,"1-комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Чокана, Ginta Latină, 19/5"
1,Белый вариант,2,,,Агентство,104066342,https://999.md/ru/104066342?location=subcategory&index=1219&cardCategoryId=270&cardSubcategoryId=1404,14,Kирпичный,14,69 м²,2-х комнатная квартира,Подземная,Новострой,Exfactor-grup,,,134 900 €,,Продам,"2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Буюканы, Vasile Lupu, 28"
Нет,Незавершенное cтроительство,1,Индивидуальная,,Агентство,104096767,https://999.md/ru/104096767?location=subcategory&index=1220&cardCategoryId=270&cardSubcategoryId=1404,8,Kомбинированный,10,53 м²,1-комнатная квартира,Oткрытое,Новострой,Estate Invest Company,,,59 250 €,,Продам,"1-комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Телецентр, Ialoveni, 134"
1,Белый вариант,2,Индивидуальная,,Агентство,101531743,https://999.md/ru/101531743?location=subcategory&index=1221&cardCategoryId=270&cardSubcategoryId=1404,5,Kотельцовый,8,64 м²,2-х комнатная квартира,Подземная,Новострой,Astercon,,,104 900 €,,Продам,"2-х комнатная квартира,  Окраина,  Думбрава,  Кишинёв мун.","Кишинёв мун., Думбрава, Окраина, str. Durlești, 10/B"
1,Косметический pемонт,1,Индивидуальная,,Агентство,104597271,https://999.md/ru/104597271?location=subcategory&index=1222&cardCategoryId=270&cardSubcategoryId=1404,3,Kотельцовый,9,55 м²,1-комнатная квартира,Oткрытое,Новострой,Reconscivil,,,118 000 €,,Продам,"1-комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Ботаника, str. Grenoble, 128/3"
1,Eвроремонт,2,Индивидуальная,,Агентство,104036811,https://999.md/ru/104036811?location=subcategory&index=1223&cardCategoryId=270&cardSubcategoryId=1404,9,Kомбинированный,10,102 м²,3-х комнатная квартира,Подземная,Новострой,Sky House,,,210 000 €,,Продам,"3-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Ботаника, Grenoble, 120/8"
2,Косметический pемонт,1,Индивидуальная,,Агентство,104485829,https://999.md/ru/104485829?location=subcategory&index=1224&cardCategoryId=270&cardSubcategoryId=1404,3,Kотельцовый,10,65 м²,2-х комнатная квартира,Oткрытое,Новострой,Nicons,,,110 000 €,,Продам,"2-х комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.","Кишинёв мун., Дурлешты, Центр, str. Cartușa, 99/3"
1,Незавершенное cтроительство,1,Индивидуальная,,Агентство,104310279,https://999.md/ru/104310279?location=subcategory&index=1225&cardCategoryId=270&cardSubcategoryId=1404,8,Mонолитный,11,46 м²,1-комнатная квартира,Oткрытое,Новострой,Poliprim Grup,,,52 000 €,,Продам,"1-комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.","Кишинёв мун., Дурлешты, Центр, Nicolae Dimo, 20B"
2,Eвроремонт,1,Индивидуальная,,Агентство,101420726,https://999.md/ru/101420726?location=subcategory&index=1226&cardCategoryId=270&cardSubcategoryId=1404,1,Kомбинированный,6,130 м²,3-х комнатная квартира,Гараж,Новострой,,,,319 900 €,,Продам,"3-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Чокана, Mihail Sadoveanu, 9"
Нет,Eвроремонт,2,Индивидуальная,,Застройщик,104453797,https://999.md/ru/104453797?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3ODE0NjYxOTksIkMiOnsiciI6MSwiYiI6MTQwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDQ0NTM3OTciLCJpIjoiODkuMTQ5LjkxLjE2MiIsInMiOiJkZXNrdG9wX3JlZGVzaWduIiwicCI6ImFkc19saXN0X2lubGluZSIsIngiOiIiLCJsIjoiMDk3M2U4ZjgtNTMxZS00NGMyLTg2ZWUtNzAyMDliNzVlMGI5IiwiZSI6Ijg5LjE0OS45MS4xNjIiLCJnIjoibGl0ZSIsInQiOiIyMDI2LTA2LTE0VDE4OjQzOjE5LjI4MjE5MzE3NFoifX0.j4C-0fLZfZ4DFlX27_b3um3ms2U_zP8sh5UBBHHMRlk&placement=ADS_LIST_INLINE_REDESIGN&adType=booster&location=subcategory&index=1227&cardCategoryId=270&cardSubcategoryId=1404,9,Kомбинированный,10,71 м²,2-х комнатная квартира,Oткрытое,Новострой,Carpeni,,,167 900 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Ботаника, str. Burebista, 25"
2,Косметический pемонт,2,135,,Агентство,103774308,https://999.md/ru/103774308?location=subcategory&index=1228&cardCategoryId=270&cardSubcategoryId=1404,4,Панельный,9,84 м²,4-x комнатная квартира,Oткрытое,Вторичный,,,,109 900 €,,Продам,"4-x комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Чокана, Petru Zadnipru, 16/2"
