Балкон / лоджия,Санузел,Состояние квартиры,Высота потолков,Планировка,Автор объявления,id,link,Тип здания,Этаж,Количество этажей,Общая площадь,Количество комнат,Парковочное место,Жилой фонд,Застройщик,Площадь кухни,Жилая площадь,price,Ливинг,Тип,title,Адрес
Нет,2,Белый вариант,,,Агентство,102120235,https://999.md/ru/102120235?location=subcategory&index=3287&cardCategoryId=270&cardSubcategoryId=1404,Kирпичный,9,9,86 м²,3-х комнатная квартира,Подземная,Новострой,Exfactor-grup,,,144 900 €,,Продам,"3-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Буюканы, str. Ion Buzdugan, 11"
,,,,,Частное лицо,104416975,https://999.md/ru/104416975?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3ODE0Njk3NzcsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDQ0MTY5NzUiLCJpIjoiODkuMTQ5LjkxLjE2MiIsInMiOiJkZXNrdG9wX3JlZGVzaWduIiwicCI6ImFkc19saXN0X2lubGluZSIsIngiOiIiLCJsIjoiNWFmNTJmOGItYjFkMS00Y2ZkLWI0ZmYtNjA2ZWFhNmExNTI2IiwiZSI6Ijg5LjE0OS45MS4xNjIiLCJnIjoicGx1cyIsInQiOiIyMDI2LTA2LTE0VDE5OjQyOjU3LjMxMDk1NjY5NVoifX0.ehI5ZLMUBJR7JVzMaSRj_q4m0TJEmE5-tGrkDSrl7nM&placement=ADS_LIST_INLINE_REDESIGN&adType=booster&location=subcategory&index=3288&cardCategoryId=270&cardSubcategoryId=1404,,3,6,84 м²,2-х комнатная квартира,,Новострой,,,,600 €,,Сдаю помесячно,"2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Буюканы, str. Constitutiei, 8"
2,2,Белый вариант,,,Застройщик,80691409,https://999.md/ru/80691409?location=subcategory&index=3289&cardCategoryId=270&cardSubcategoryId=1404,,3,6,67 м²,2-х комнатная квартира,Oткрытое,Новострой,,,,51 900 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Молодово,  Бельцы,  Бельцы мун.","Бельцы мун., Бельцы, Молодово, str. Ștefan cel Mare și Sfînt, 189"
1,2,Eвроремонт,,,Частное лицо,104254881,https://999.md/ru/104254881?location=subcategory&index=3290&cardCategoryId=270&cardSubcategoryId=1404,,4,17,67 м²,2-х комнатная квартира,,Новострой,,,,225 000 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Рышкановка, str. Bogdan Voievod, 1/A"
1,2,Eвроремонт,,,Агентство,104521875,https://999.md/ru/104521875?location=subcategory&index=3291&cardCategoryId=270&cardSubcategoryId=1404,,3,9,53 м²,2-х комнатная квартира,,Вторичный,,,,80 900 €,,Продам,"2-х комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Телецентр, str. Pietrarilor, 4/1"
,,Eвроремонт,,,Застройщик,104450141,https://999.md/ru/104450141?location=subcategory&index=3292&cardCategoryId=270&cardSubcategoryId=1404,,1,4,30 м²,1-комнатная квартира,,Вторичный,,,,64 900 €,Квартира с ливингом,Продам,"1-комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Ботаника, ул. Пандурилор, 68"
,,,,,Агентство,102948216,https://999.md/ru/102948216?location=subcategory&index=3293&cardCategoryId=270&cardSubcategoryId=1404,,6,9,48 м²,1-комнатная квартира,,Новострой,Varincom,,,65 050 €,,Продам,"1-комнатная квартира,  Старая Почта,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Старая Почта, str-la Studenților, 18"
1,1,Индивидуальный дизайн,,Индивидуальная,Агентство,104308976,https://999.md/ru/104308976?location=subcategory&index=3294&cardCategoryId=270&cardSubcategoryId=1404,Kотельцовый,3,4,36 м²,1-комнатная квартира,Oткрытое,Вторичный,,7 м²,18 м²,60 499 €,,Продам,"1-комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Буюканы, bd. Alba-Iulia, 2"
,1,Eвроремонт,,,Агентство,101293407,https://999.md/ru/101293407?location=subcategory&index=3295&cardCategoryId=270&cardSubcategoryId=1404,Kирпичный,8,10,65 м²,2-х комнатная квартира,Oткрытое,Новострой,Inamstro,,65 м²,154 900 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Буюканы, str. Ioana Radu, 27/2"
1,2,Eвроремонт,,135,Агентство,104233235,https://999.md/ru/104233235?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3ODE0Njk3NzcsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDQyMzMyMzUiLCJpIjoiODkuMTQ5LjkxLjE2MiIsInMiOiJkZXNrdG9wX3JlZGVzaWduIiwicCI6ImFkc19saXN0X2lubGluZSIsIngiOiIiLCJsIjoiOWRhNWY4NGYtOWIwNi00YWY1LTkzZWItMTViZWEyYjAzNGIyIiwiZSI6Ijg5LjE0OS45MS4xNjIiLCJnIjoidHVyYm8iLCJ0IjoiMjAyNi0wNi0xNFQxOTo0Mjo1Ny4zMTEwMzc3MjlaIn19.RcJAwYqos_hQw9l5ZqRyMzmIS31WcUxv3JZDzC05reI&placement=ADS_LIST_INLINE_REDESIGN&adType=booster&location=subcategory&index=3296&cardCategoryId=270&cardSubcategoryId=1404,Панельный,2,9,52 м²,2-х комнатная квартира,Oткрытое,Вторичный,,,,118 500 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Чокана, bd. Mircea cel Bătrân, 15/1"
1,1,Белый вариант,,,Агентство,100738607,https://999.md/ru/100738607?location=subcategory&index=3297&cardCategoryId=270&cardSubcategoryId=1404,,7,20,44 м²,1-комнатная квартира,Oткрытое,Новострой,,,,72 800 €,,Продам,"1-комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Рышкановка, str. Tudor Vladimirescu, 1/10"
,,Eвроремонт,,143,Агентство,104427621,https://999.md/ru/104427621?location=subcategory&index=3298&cardCategoryId=270&cardSubcategoryId=1404,Панельный,1,9,54 м²,2-х комнатная квартира,,Вторичный,,,,108 000 €,,Продам,"2-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Чокана, str. Igor Vieru, 15"
1,1,,,,Частное лицо,103834554,https://999.md/ru/103834554?location=subcategory&index=3299&cardCategoryId=270&cardSubcategoryId=1404,,9,14,55 м²,1-комнатная квартира,,Новострой,,,,94 500 €,,Продам,"1-комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Ботаника, bd. Traian, 22"
,1,Eвроремонт,,,Застройщик,104500314,https://999.md/ru/104500314?location=subcategory&index=3300&cardCategoryId=270&cardSubcategoryId=1404,,8,13,63 м²,2-х комнатная квартира,,Новострой,Inamstro,,,199 000 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Центр, str. Calea Ieșilor, 6"
1,1,Белый вариант,3000 см,,Частное лицо,104306568,https://999.md/ru/104306568?location=subcategory&index=3301&cardCategoryId=270&cardSubcategoryId=1404,Бетон,7,11,45 м²,1-комнатная квартира,Подземная,Новострой,Poliprim Grup,11 м²,30 м²,65 830 €,Квартира с ливингом,Продам,"1-комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.","Кишинёв мун., Дурлешты, Центр, str. Nicolae Dimo, 26"
1,1,Белый вариант,3000 см,,Частное лицо,104306757,https://999.md/ru/104306757?location=subcategory&index=3302&cardCategoryId=270&cardSubcategoryId=1404,Бетон,8,11,48 м²,1-комнатная квартира,Подземная,Новострой,Poliprim Grup,15 м²,30 м²,70 000 €,Квартира с ливингом,Продам,"1-комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.","Кишинёв мун., Дурлешты, Центр, str. Nicolae Dimo, 24a"
,,Белый вариант,,,Частное лицо,104484494,https://999.md/ru/104484494?location=subcategory&index=3303&cardCategoryId=270&cardSubcategoryId=1404,,12,13,51 м²,1-комнатная квартира,,Новострой,Exfactor-grup,,,110 000 €,Квартира с ливингом,Продам,"1-комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Буюканы, str. Vasile Lupu, 28"
Нет,1,Белый вариант,,,Агентство,104202243,https://999.md/ru/104202243?location=subcategory&index=3304&cardCategoryId=270&cardSubcategoryId=1404,,7,9,60 м²,1-комнатная квартира,,Новострой,Estate Invest Company,,,82 000 €,,Продам,"1-комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Чокана, str. Bucovinei, 5/63"
2,1,Белый вариант,3000 см,,Частное лицо,104306934,https://999.md/ru/104306934?location=subcategory&index=3305&cardCategoryId=270&cardSubcategoryId=1404,Бетон,2,11,62 м²,2-х комнатная квартира,Подземная,Новострой,Poliprim Grup,13 м²,40 м²,86 660 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.","Кишинёв мун., Дурлешты, Центр, str. Nicolae Dimo, 24a"
1,2,Eвроремонт,,,Агентство,103301578,https://999.md/ru/103301578?location=subcategory&index=3306&cardCategoryId=270&cardSubcategoryId=1404,,2,13,88 м²,3-х комнатная квартира,Подземная,Новострой,,,,219 000 €,,Продам,"3-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Буюканы, str.Vasilie Lupu, 28"
,1,Косметический pемонт,,,Частное лицо,104612092,https://999.md/ru/104612092?location=subcategory&index=3307&cardCategoryId=270&cardSubcategoryId=1404,,2,2,31 м²,1-комнатная квартира,Oткрытое,Вторичный,,,,38 900 €,,Продам,"1-комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Центр, str. Vasile Alecsandri, 70"
1,1,Eвроремонт,,,Агентство,104580591,https://999.md/ru/104580591?location=subcategory&index=3308&cardCategoryId=270&cardSubcategoryId=1404,,3,4,44 м²,2-х комнатная квартира,,Вторичный,,,,84 900 €,,Продам,"2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Центр, str. Alexandr Pușkin, --"
,,,,,Частное лицо,104612086,https://999.md/ru/104612086?location=subcategory&index=3309&cardCategoryId=270&cardSubcategoryId=1404,,4,5,52 м²,2-х комнатная квартира,,Вторичный,,,,56 000 €,,Продам,"2-х комнатная квартира,  Центр,  Новые Анены,  Новые Анены","Новые Анены, Новые Анены, Центр, str. Chișinăului, 50"
1,1,,2800 см,,Застройщик,104297911,https://999.md/ru/104297911?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3ODE0Njk3NzcsIkMiOnsiciI6MSwiYiI6MTQwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDQyOTc5MTEiLCJpIjoiODkuMTQ5LjkxLjE2MiIsInMiOiJkZXNrdG9wX3JlZGVzaWduIiwicCI6ImFkc19saXN0X2lubGluZSIsIngiOiIiLCJsIjoiMzI2N2RiMDctY2Y4OS00NjI1LTgxOTUtZTJmMTM4ZDYwMmU1IiwiZSI6Ijg5LjE0OS45MS4xNjIiLCJnIjoibGl0ZSIsInQiOiIyMDI2LTA2LTE0VDE5OjQyOjU3LjMxMTA2MTQ0MloifX0.FDoQS4BniAahhknbxOewiirRHdmLFKI1t0CPM2p2k6w&placement=ADS_LIST_INLINE_REDESIGN&adType=booster&location=subcategory&index=3310&cardCategoryId=270&cardSubcategoryId=1404,Kомбинированный,1,6,68 м²,2-х комнатная квартира,Гараж,Новострой,Premium-Cons Grup,27 м²,40 м²,102 554 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Буюканы, str. Durlești, 56"
Нет,1,Белый вариант,,Индивидуальная,Агентство,100305589,https://999.md/ru/100305589?location=subcategory&index=3311&cardCategoryId=270&cardSubcategoryId=1404,Kомбинированный,8,12,82 м²,2-х комнатная квартира,Oткрытое,Новострой,,,,188 900 €,,Продам,"2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Буюканы, Calea Iesilor, 6"
1,1,Eвроремонт,,,Агентство,104355289,https://999.md/ru/104355289?location=subcategory&index=3312&cardCategoryId=270&cardSubcategoryId=1404,Ячеистый Бетон,1,7,44 м²,1-комнатная квартира,Oткрытое,Новострой,,,,87 900 €,Квартира с ливингом,Продам,"1-комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.","Кишинёв мун., Дурлешты, Центр, str. Regele Carol, 5"
1,1,Eвроремонт,,,Агентство,104076755,https://999.md/ru/104076755?location=subcategory&index=3313&cardCategoryId=270&cardSubcategoryId=1404,,6,10,70 м²,2-х комнатная квартира,Oткрытое,Новострой,Inamstro,,,180 000 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Буюканы, str. Ioana Radu, 27/1"
,2,Eвроремонт,3000 см,,Застройщик,104545864,https://999.md/ru/104545864?location=subcategory&index=3314&cardCategoryId=270&cardSubcategoryId=1404,Kотельцовый,2,5,93 м²,3-х комнатная квартира,Oткрытое,Вторичный,,,93 м²,235 000 €,Квартира с ливингом,Продам,"3-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Центр, bd. Ştefan cel Mare şi Sfânt, 62"
2,2,Косметический pемонт,,Индивидуальная,Агентство,104355839,https://999.md/ru/104355839?location=subcategory&index=3315&cardCategoryId=270&cardSubcategoryId=1404,,8,13,67 м²,3-х комнатная квартира,Oткрытое,Вторичный,,,,87 900 €,,Продам,"3-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Ботаника, bd. Traian, 23/1"
1,1,Eвроремонт,,Индивидуальная,Агентство,103117608,https://999.md/ru/103117608?location=subcategory&index=3316&cardCategoryId=270&cardSubcategoryId=1404,Kомбинированный,8,12,46 м²,1-комнатная квартира,Oткрытое,Новострой,Delmar,,,106 900 €,,Продам,"1-комнатная квартира,  Старая Почта,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Старая Почта, Calea Orheiului, 28/1"
1,1,Eвроремонт,,Индивидуальная,Агентство,104405030,https://999.md/ru/104405030?location=subcategory&index=3317&cardCategoryId=270&cardSubcategoryId=1404,Kомбинированный,14,16,38 м²,1-комнатная квартира,Oткрытое,Вторичный,,,,73 000 €,,Продам,"1-комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Ботаника, bd. Traian, 23/1"
Нет,1,Без ремонта,,Хрущевка,Агентство,103934271,https://999.md/ru/103934271?location=subcategory&index=3318&cardCategoryId=270&cardSubcategoryId=1404,Kотельцовый,1,3,40 м²,2-х комнатная квартира,Oткрытое,Вторичный,,,,55 000 €,,Продам,"2-х комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Телецентр, M. Lomonosov, 43"
2,1,Индивидуальный дизайн,,143,Частное лицо,104603870,https://999.md/ru/104603870?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3ODE0Njk3NzcsIkMiOnsiciI6MSwiYiI6MTQwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDQ2MDM4NzAiLCJpIjoiODkuMTQ5LjkxLjE2MiIsInMiOiJkZXNrdG9wX3JlZGVzaWduIiwicCI6ImFkc19saXN0X2lubGluZSIsIngiOiIiLCJsIjoiZDdhY2E3MzEtZjU4Yy00ZWNlLWI2ODgtZGVmOTM3OTgwMmUwIiwiZSI6Ijg5LjE0OS45MS4xNjIiLCJnIjoibGl0ZSIsInQiOiIyMDI2LTA2LTE0VDE5OjQyOjU3LjMxMTA5ODA2MVoifX0.EVq8mqtkZfxBn5-7L5jRslVUDXr3tWlhKaYYLV_HAno&placement=ADS_LIST_INLINE_REDESIGN&adType=booster&location=subcategory&index=3319&cardCategoryId=270&cardSubcategoryId=1404,,6,9,72 м²,3-х комнатная квартира,Oткрытое,Вторичный,,,,117 000 €,,Продам,"3-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Чокана, str. Petru Zadnipru, 19/3"
1,1,Косметический pемонт,,Малосемейная,Агентство,101338429,https://999.md/ru/101338429?location=subcategory&index=3320&cardCategoryId=270&cardSubcategoryId=1404,Панельный,2,9,90 м²,4-x комнатная квартира,Oткрытое,Вторичный,,,,110 000 €,,Продам,"4-x комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Рышкановка, Florilor, 26/1"
Нет,1,Eвроремонт,,,Агентство,104181817,https://999.md/ru/104181817?location=subcategory&index=3321&cardCategoryId=270&cardSubcategoryId=1404,Kомбинированный,2,9,73 м²,2-х комнатная квартира,Oткрытое,Новострой,,,,135 900 €,,Продам,"2-х комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.","Кишинёв мун., Дурлешты, Центр, Cartușa, 95/4"
2,2,Косметический pемонт,,Индивидуальная,Агентство,103469230,https://999.md/ru/103469230?location=subcategory&index=3322&cardCategoryId=270&cardSubcategoryId=1404,Kомбинированный,7,13,70 м²,3-х комнатная квартира,Oткрытое,Вторичный,,,,87 000 €,,Продам,"3-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Центр, Albișoara, 68/2"
2,2,Eвроремонт,,102,Агентство,103794822,https://999.md/ru/103794822?location=subcategory&index=3323&cardCategoryId=270&cardSubcategoryId=1404,Kотельцовый,5,5,81 м²,4-x комнатная квартира,Oткрытое,Вторичный,,,,115 900 €,,Продам,"4-x комнатная квартира,  Старая Почта,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Старая Почта, Ceucari, 2"
Нет,1,Косметический pемонт,,135,Агентство,103875949,https://999.md/ru/103875949?location=subcategory&index=3324&cardCategoryId=270&cardSubcategoryId=1404,Панельный,15,16,40 м²,1-комнатная квартира,,Вторичный,,,,59 000 €,,Продам,"1-комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Чокана, str. Ginta Latină, 13/1"
1,2,Eвроремонт,,Индивидуальная,Агентство,104241682,https://999.md/ru/104241682?location=subcategory&index=3325&cardCategoryId=270&cardSubcategoryId=1404,Kомбинированный,2,10,74 м²,2-х комнатная квартира,Oткрытое,Новострой,Interactiv,,,180 000 €,,Продам,"2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Центр, Alexandru cel Bun, 108"
1,2,Косметический pемонт,,135,Агентство,101590584,https://999.md/ru/101590584?location=subcategory&index=3326&cardCategoryId=270&cardSubcategoryId=1404,Панельный,3,9,50 м²,2-х комнатная квартира,Oткрытое,Вторичный,,,,78 900 €,,Продам,"2-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Рышкановка, Mircești, 8/1"
2,1,Белый вариант,,Индивидуальная,Агентство,104568111,https://999.md/ru/104568111?location=subcategory&index=3327&cardCategoryId=270&cardSubcategoryId=1404,Kирпичный,5,9,50 м²,1-комнатная квартира,Oткрытое,Новострой,Exfactor-grup,,,82 900 €,,Продам,"1-комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Ботаника, str. Dacia, 62/E"
1,2,Незавершенное cтроительство,,Индивидуальная,Агентство,100619555,https://999.md/ru/100619555?location=subcategory&index=3328&cardCategoryId=270&cardSubcategoryId=1404,Kирпичный,5,6,67 м²,2-х комнатная квартира,Oткрытое,Новострой,Estate Invest Company,,,97 440 €,,Продам,"2-х комнатная квартира,  Окраина,  Думбрава,  Кишинёв мун.","Кишинёв мун., Думбрава, Окраина, Durlesti, 11"
1,1,Eвроремонт,,Индивидуальная,Агентство,103930302,https://999.md/ru/103930302?location=subcategory&index=3329&cardCategoryId=270&cardSubcategoryId=1404,Kотельцовый,8,16,68 м²,2-х комнатная квартира,Oткрытое,Новострой,Dansicons,,,119 900 €,,Продам,"2-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Чокана, bd. Mircea cel Bătrân, 22/5"
1,2,Eвроремонт,,Индивидуальная,Агентство,104457364,https://999.md/ru/104457364?location=subcategory&index=3330&cardCategoryId=270&cardSubcategoryId=1404,Mонолитный,2,19,70 м²,2-х комнатная квартира,Oткрытое,Новострой,Exfactor-grup,,,170 000 €,,Продам,"2-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Чокана, str. Mihail Sadoveanu, 15/1"
1,3,Eвроремонт,,,Агентство,103097621,https://999.md/ru/103097621?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3ODE0Njk3NzcsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDMwOTc2MjEiLCJpIjoiODkuMTQ5LjkxLjE2MiIsInMiOiJkZXNrdG9wX3JlZGVzaWduIiwicCI6ImFkc19saXN0X2lubGluZSIsIngiOiJwcmVtaXVtIiwibCI6ImFlMjAxMjEyLTFiNjYtNGE1NS1hZjUwLWI1YTQ2YzFhZjRmMCIsImUiOiI4OS4xNDkuOTEuMTYyIiwiZyI6InR1cmJvIiwidCI6IjIwMjYtMDYtMTRUMTk6NDI6NTcuMzExMTMyOTA2WiJ9fQ.d9evS4y4Zvrvs0x4mCh_esSAjZ8TodUCM18_f95zkgo&placement=ADS_LIST_INLINE_REDESIGN&adType=booster&location=subcategory&index=3331&cardCategoryId=270&cardSubcategoryId=1404,,Пентхаус,7,145 м²,3-х комнатная квартира,Oткрытое,Новострой,,,,525 000 €,Квартира с ливингом,Продам,"3-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Центр, str. Moara Rosie, 5/D"
1,1,Eвроремонт,,Индивидуальная,Агентство,103478382,https://999.md/ru/103478382?location=subcategory&index=3332&cardCategoryId=270&cardSubcategoryId=1404,Kирпичный,5,7,77 м²,2-х комнатная квартира,Oткрытое,Новострой,,,,134 900 €,,Продам,"2-х комнатная квартира,  Окраина,  Оргеев,  Оргеев","Оргеев, Оргеев, Окраина, Nistreana, 10/a"
1,1,Eвроремонт,,Индивидуальная,Агентство,101429039,https://999.md/ru/101429039?location=subcategory&index=3333&cardCategoryId=270&cardSubcategoryId=1404,Kомбинированный,6,7,54 м²,1-комнатная квартира,,Новострой,,,,73 500 €,,Продам,"1-комнатная квартира,  Центр,  Криково,  Кишинёв мун.","Кишинёв мун., Криково, Центр, Chisinaului, 80"
