Балкон / лоджия,Санузел,Состояние квартиры,Высота потолков,Планировка,Автор объявления,id,link,Этаж,Тип здания,Количество этажей,Общая площадь,Количество комнат,Парковочное место,Жилой фонд,Застройщик,Жилая площадь,price,Ливинг,Тип,Адрес,title,Площадь кухни
1,1,Белый вариант,,,Агентство,104132310,https://999.md/ru/104132310?location=subcategory&index=1805&cardCategoryId=270&cardSubcategoryId=1404,5,,9,75 м²,2-х комнатная квартира,Подземная,Новострой,,,100 000 €,,Продам,"Кишинёв мун., Дурлешты, Центр, str. Regina Elizabeta, **","2-х комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.",
1,1,Белый вариант,,,Застройщик,104028006,https://999.md/ru/104028006?location=subcategory&index=1806&cardCategoryId=270&cardSubcategoryId=1404,4,Kирпичный,12,36 м²,1-комнатная квартира,Подземная,Новострой,Sky House,,61 200 €,,Продам,"Кишинёв мун., Кишинёв, Ботаника, str. Dimineții, 20/1","1-комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",
1,1,Eвроремонт,,Индивидуальная,Агентство,104615057,https://999.md/ru/104615057?location=subcategory&index=1807&cardCategoryId=270&cardSubcategoryId=1404,6,Kирпичный,9,32 м²,1-комнатная квартира,Oткрытое,Новострой,Sky House,,75 000 €,,Продам,"Кишинёв мун., Кишинёв, Ботаника, str. Băcioii Noi, 2","1-комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",
2,2,Eвроремонт,,,Агентство,104587158,https://999.md/ru/104587158?location=subcategory&index=1808&cardCategoryId=270&cardSubcategoryId=1404,2,,9,78 м²,2-х комнатная квартира,Гараж,Вторичный,,,190 000 €,,Продам,"Кишинёв мун., Кишинёв, Буюканы, Grigore Alexandrescu, -","2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",
1,2,Eвроремонт,,,Агентство,102092497,https://999.md/ru/102092497?location=subcategory&index=1809&cardCategoryId=270&cardSubcategoryId=1404,12,,14,70 м²,2-х комнатная квартира,Oткрытое,Новострой,Exfactor-grup,,210 000 €,Квартира с ливингом,Продам,"Кишинёв мун., Кишинёв, Буюканы, ул. Василе Лупу, 28","2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",
,2,,,,Агентство,102158123,https://999.md/ru/102158123?location=subcategory&index=1810&cardCategoryId=270&cardSubcategoryId=1404,10,,13,82 м²,3-х комнатная квартира,,Новострой,,,219 000 €,Квартира с ливингом,Продам,Расположение,"3-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",
1,1,Eвроремонт,,,Агентство,102701453,https://999.md/ru/102701453?location=subcategory&index=1811&cardCategoryId=270&cardSubcategoryId=1404,5,,5,48 м²,2-х комнатная квартира,,Вторичный,,,95 000 €,Квартира с ливингом,Продам,"Кишинёв мун., Кишинёв, Рышкановка, str. Florilor, 0","2-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",
,1,Белый вариант,,,Агентство,89051659,https://999.md/ru/89051659?location=subcategory&index=1812&cardCategoryId=270&cardSubcategoryId=1404,7,,9,60 м²,1-комнатная квартира,Oткрытое,Новострой,,,60 000 €,Квартира без ливинга,Продам,"Страшены, Стежарены, Центр, str. Ştefan cel Mare și Sfînt, 0","1-комнатная квартира,  Центр,  Стежарены,  Страшены",
1,1,Eвроремонт,,,Агентство,103611676,https://999.md/ru/103611676?location=subcategory&index=1813&cardCategoryId=270&cardSubcategoryId=1404,5,,16,37 м²,2-х комнатная квартира,,Вторичный,,,81 950 €,,Продам,"Кишинёв мун., Кишинёв, Буюканы, Piața Unirii Principatelor, -","2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",
1,2,Eвроремонт,,,Агентство,103407819,https://999.md/ru/103407819?location=subcategory&index=1814&cardCategoryId=270&cardSubcategoryId=1404,2,,13,86 м²,3-х комнатная квартира,,Новострой,,,219 000 €,Квартира без ливинга,Продам,"Кишинёв мун., Кишинёв, Ботаника, str. Vasile Lupu, -","3-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",
1,1,Eвроремонт,,143,Агентство,102762923,https://999.md/ru/102762923?location=subcategory&index=1815&cardCategoryId=270&cardSubcategoryId=1404,1,,9,67 м²,3-х комнатная квартира,Oткрытое,Вторичный,,,132 000 €,Квартира без ливинга,Продам,"Кишинёв мун., Кишинёв, Центр, str. Albișoara, 24","3-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",
1,1,Eвроремонт,,143,,102551105,https://999.md/ru/102551105?location=subcategory&index=1816&cardCategoryId=270&cardSubcategoryId=1404,3,Ячеистый Бетон,9,70 м²,3-х комнатная квартира,,Вторичный,,50 м²,67 000 €,Квартира с ливингом,Продам,"Кишинёв мун., Страшены, Центр, str. Prieteniei, 6","3-х комнатная квартира,  Центр,  Страшены,  Кишинёв мун.",12 м²
1,2,Сдан в эксплуатацию,,,Частное лицо,104252549,https://999.md/ru/104252549?location=subcategory&index=1817&cardCategoryId=270&cardSubcategoryId=1404,5,Панельный,9,63 м²,3-х комнатная квартира,Oткрытое,Вторичный,,,76 000 €,,Продам,"Бельцы мун., Бельцы, 10 квартал, str. Suceava, 19","3-х комнатная квартира,  10 квартал,  Бельцы,  Бельцы мун.",
,,Незавершенное cтроительство,,,Застройщик,101016651,https://999.md/ru/101016651?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3ODE0NjcxODIsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDEwMTY2NTEiLCJpIjoiODkuMTQ5LjkxLjE2MiIsInMiOiJkZXNrdG9wX3JlZGVzaWduIiwicCI6ImFkc19saXN0X2lubGluZSIsIngiOiJwcmVtaXVtIiwibCI6ImNkMjVlNDlkLTBiNDgtNDEzZi05YWIwLWFjZTRhY2Q1ZmQ3OSIsImUiOiI4OS4xNDkuOTEuMTYyIiwiZyI6InR1cmJvIiwidCI6IjIwMjYtMDYtMTRUMTg6NTk6NDIuNzUyNDk3OTI3WiJ9fQ.qG-7dLV50s7p2yRz3ebhHagWz8hctJ02FrEux24sfW4&placement=ADS_LIST_INLINE_REDESIGN&adType=booster&location=subcategory&index=1818&cardCategoryId=270&cardSubcategoryId=1404,9,,10,87 м²,3-х комнатная квартира,,Новострой,Boiar House,,86 800 €,,Продам,"Кишинёв мун., Дурлешты, Центр, str. Nicolae Dimo, 24/B","3-х комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.",
1,2,Eвроремонт,,,Агентство,100725829,https://999.md/ru/100725829?location=subcategory&index=1819&cardCategoryId=270&cardSubcategoryId=1404,2,,12,120 м²,3-х комнатная квартира,,Новострой,,,295 000 €,,Продам,"Кишинёв мун., Кишинёв, Центр, str. Lev Tolstoi, 0","3-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",
,1,Белый вариант,,,Агентство,102305080,https://999.md/ru/102305080?location=subcategory&index=1820&cardCategoryId=270&cardSubcategoryId=1404,3,,13,41 м²,1-комнатная квартира,,Новострой,,,45 320 €,,Продам,"Кишинёв мун., Дурлешты, Центр, str. Ialoveni, 0","1-комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.",
1,1,Eвроремонт,,,Агентство,102387895,https://999.md/ru/102387895?location=subcategory&index=1821&cardCategoryId=270&cardSubcategoryId=1404,13,,14,71 м²,3-х комнатная квартира,,Новострой,,,128 300 €,Квартира с ливингом,Продам,"Кишинёв мун., Кишинёв, Старая Почта, str. Socoleni, 0","3-х комнатная квартира,  Старая Почта,  Кишинёв,  Кишинёв мун.",
,1,Косметический pемонт,270 см,Индивидуальная,Застройщик,104054221,https://999.md/ru/104054221?location=subcategory&index=1822&cardCategoryId=270&cardSubcategoryId=1404,1,Kотельцовый,5,16 м²,Комната,Oткрытое,Вторичный,,,33 500 €,,Продам,"Кишинёв мун., Кишинёв, Буюканы, str. Suceava, 118","Комната,  Буюканы,  Кишинёв,  Кишинёв мун.",
1,1,Нуждается в ремонте,,,Застройщик,104612944,https://999.md/ru/104612944?location=subcategory&index=1823&cardCategoryId=270&cardSubcategoryId=1404,4,Kотельцовый,4,42 м²,2-х комнатная квартира,,Вторичный,,,58 000 €,,Продам,"Кишинёв мун., Кишинёв, Ботаника, str. Pandurilor, 68","2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",
,1,Eвроремонт,,,Агентство,104267202,https://999.md/ru/104267202?location=subcategory&index=1824&cardCategoryId=270&cardSubcategoryId=1404,7,,10,62 м²,2-х комнатная квартира,,Новострой,,,154 900 €,Квартира с ливингом,Продам,"Кишинёв мун., Кишинёв, Ботаника, str. Sarmizegetusa, --","2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",
,1,Eвроремонт,,Индивидуальная,Агентство,101928543,https://999.md/ru/101928543?location=subcategory&index=1825&cardCategoryId=270&cardSubcategoryId=1404,2,Kотельцовый,6,69 м²,2-х комнатная квартира,,Новострой,,,145 000 €,,Продам,"Яловены, Яловены, Центр, str.  Alexandru cel Bun , 78","2-х комнатная квартира,  Центр,  Яловены,  Яловены",
1,1,Белый вариант,270 см,Индивидуальная,Застройщик,89342407,https://999.md/ru/89342407?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3ODE0NjcxODIsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiI4OTM0MjQwNyIsImkiOiI4OS4xNDkuOTEuMTYyIiwicyI6ImRlc2t0b3BfcmVkZXNpZ24iLCJwIjoiYWRzX2xpc3RfaW5saW5lIiwieCI6IiIsImwiOiI3YjgxMGYzOS0xMTNmLTRmMGUtOWIzMi02ZWNjMWQ1YjhjYTkiLCJlIjoiODkuMTQ5LjkxLjE2MiIsImciOiJ0dXJibyIsInQiOiIyMDI2LTA2LTE0VDE4OjU5OjQyLjc1MjYwOTA4NloifX0.C1OAVWzeFnqIAY_o0RPP8oRN2bKUs6pFvUENyWAXLsc&placement=ADS_LIST_INLINE_REDESIGN&adType=booster&location=subcategory&index=1826&cardCategoryId=270&cardSubcategoryId=1404,4,Kирпичный,18,41 м²,1-комнатная квартира,Подземная,Новострой,Sky House,24 м²,62 700 €,Квартира с ливингом,Продам,"Кишинёв мун., Кишинёв, Ботаника, str. Cetatea Albă, 11","1-комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",12 м²
,,Индивидуальный дизайн,,,Частное лицо,102016635,https://999.md/ru/102016635?location=subcategory&index=1827&cardCategoryId=270&cardSubcategoryId=1404,10,,10,45 м²,1-комнатная квартира,,Новострой,Basconslux,,114 900 €,Квартира с ливингом,Продам,"Кишинёв мун., Кишинёв, Чокана, bd. Mircea cel Bătrân, 45","1-комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",
1,1,Eвроремонт,,,Агентство,104251787,https://999.md/ru/104251787?location=subcategory&index=1828&cardCategoryId=270&cardSubcategoryId=1404,5,,15,70 м²,3-х комнатная квартира,,Новострой,,,194 900 €,Квартира с ливингом,Продам,"Кишинёв мун., Кишинёв, Центр, str. Lev Tolstoi, 74","3-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",
,1,Eвроремонт,,,Частное лицо,104532735,https://999.md/ru/104532735?location=subcategory&index=1829&cardCategoryId=270&cardSubcategoryId=1404,1,,8,43 м²,1-комнатная квартира,,Новострой,Golban Trade,,80 900 €,,Продам,"Кишинёв мун., Дурлешты, Окраина, str. Durleşti, 20/D","1-комнатная квартира,  Окраина,  Дурлешты,  Кишинёв мун.",
2,1,Белый вариант,,Индивидуальная,Агентство,100727441,https://999.md/ru/100727441?location=subcategory&index=1830&cardCategoryId=270&cardSubcategoryId=1404,5,Mонолитный,9,63 м²,2-х комнатная квартира,Подземная,Новострой,,,77 000 €,,Продам,"Кишинёв мун., Кишинёв, Ботаника, str. Sarmizegetusa, 53","2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",
,2,Белый вариант,,,Агентство,101821371,https://999.md/ru/101821371?location=subcategory&index=1831&cardCategoryId=270&cardSubcategoryId=1404,16,,16,100 м²,2-х комнатная квартира,,Новострой,,,140 000 €,Квартира с ливингом,Продам,"Кишинёв мун., Кишинёв, Рышкановка, bd. Renasterii Nationale, 0","2-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",
,1,Eвроремонт,,,Агентство,104179369,https://999.md/ru/104179369?location=subcategory&index=1832&cardCategoryId=270&cardSubcategoryId=1404,10,,10,75 м²,2-х комнатная квартира,,Новострой,,,170 000 €,Квартира с ливингом,Продам,"Кишинёв мун., Кишинёв, Центр, str. Nicolae Testemițanu, -","2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",
Нет,2,Eвроремонт,260 см,Индивидуальная,Агентство,101605152,https://999.md/ru/101605152?location=subcategory&index=1833&cardCategoryId=270&cardSubcategoryId=1404,18,Панельный,19,55 м²,2-х комнатная квартира,Oткрытое,Вторичный,,,93 300 €,,Продам,"Кишинёв мун., Кишинёв, Центр, str. Albișoara, 82/4","2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",
1,2,Eвроремонт,300 см,Индивидуальная,Агентство,103913512,https://999.md/ru/103913512?location=subcategory&index=1834&cardCategoryId=270&cardSubcategoryId=1404,10,Kотельцовый,11,130 м²,2-х комнатная квартира,Oткрытое,Новострой,,,210 000 €,Квартира с ливингом,Продам,"Кишинёв мун., Кишинёв, Ботаника, str. Grenoble, 128/1","2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",16 м²
1,2,Eвроремонт,,,Агентство,104007616,https://999.md/ru/104007616?location=subcategory&index=1835&cardCategoryId=270&cardSubcategoryId=1404,3,,9,71 м²,2-х комнатная квартира,Oткрытое,Новострой,,,99 000 €,Квартира без ливинга,Продам,"Кишинёв мун., Бубуечь, Центр, str. Grigore Vieru, 11","2-х комнатная квартира,  Центр,  Бубуечь,  Кишинёв мун.",
2,1,Нуждается в ремонте,,Рубашка,Агентство,104391229,https://999.md/ru/104391229?location=subcategory&index=1836&cardCategoryId=270&cardSubcategoryId=1404,3,Kотельцовый,5,60 м²,3-х комнатная квартира,,Вторичный,,45 м²,49 990 €,,Продам,"Бельцы мун., Бельцы, 6 квартал, str. Anton Cehov, 80","3-х комнатная квартира,  6 квартал,  Бельцы,  Бельцы мун.",7 м²
1,1,Eвроремонт,,,Агентство,89791641,https://999.md/ru/89791641?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3ODE0NjcxODIsIkMiOnsiciI6MSwiYiI6MTQwLCJjIjoyNzAsInoiOjE0MDQsImEiOiI4OTc5MTY0MSIsImkiOiI4OS4xNDkuOTEuMTYyIiwicyI6ImRlc2t0b3BfcmVkZXNpZ24iLCJwIjoiYWRzX2xpc3RfaW5saW5lIiwieCI6InByZW1pdW0iLCJsIjoiMWNiZjkwMzctODQ5Ny00ZGRlLWE0NDgtZjliY2MxOGRlOGZlIiwiZSI6Ijg5LjE0OS45MS4xNjIiLCJnIjoibGl0ZSIsInQiOiIyMDI2LTA2LTE0VDE4OjU5OjQyLjc1Mjc1MTg0NloifX0.xqaea2_14bq1FNSjVJne7efhU3c-ssX1ng3XD_H4yWA&placement=ADS_LIST_INLINE_REDESIGN&adType=booster&location=subcategory&index=1837&cardCategoryId=270&cardSubcategoryId=1404,3,,9,95 м²,2-х комнатная квартира,Подземная,Новострой,,66 м²,600 MDL,Квартира с ливингом,Сдаю посуточно,"Кишинёв мун., Кишинёв, Центр, str. Cojocarilor, 20","2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",
,,Eвроремонт,,,Агентство,104062705,https://999.md/ru/104062705?location=subcategory&index=1838&cardCategoryId=270&cardSubcategoryId=1404,2,,7,64 м²,2-х комнатная квартира,,Новострой,,,194 900 €,,Продам,"Кишинёв мун., Кишинёв, Центр, Avram Iancu , 32","2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",
,1,Eвроремонт,,,Агентство,101925180,https://999.md/ru/101925180?location=subcategory&index=1839&cardCategoryId=270&cardSubcategoryId=1404,1,Ячеистый Бетон,10,50 м²,2-х комнатная квартира,,Новострой,,,104 900 €,,Продам,Расположение,"2-х комнатная квартира,  Окраина,  Дурлешты,  Кишинёв мун.",
1,1,Косметический pемонт,,,Агентство,103861029,https://999.md/ru/103861029?location=subcategory&index=1840&cardCategoryId=270&cardSubcategoryId=1404,5,,5,33 м²,1-комнатная квартира,,Вторичный,,,65 900 €,,Продам,"Кишинёв мун., Кишинёв, Телецентр,  str. Gheorghe Asachi , 63","1-комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.",
,1,,,,Агентство,103817691,https://999.md/ru/103817691?location=subcategory&index=1841&cardCategoryId=270&cardSubcategoryId=1404,7,,10,45 м²,1-комнатная квартира,,Новострой,Pamir Construct,,96 500 €,Квартира с ливингом,Продам,"Кишинёв мун., Кишинёв, Телецентр, str. Ialoveni, 100/3","1-комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.",
,,Без ремонта,,,Агентство,103755529,https://999.md/ru/103755529?location=subcategory&index=1842&cardCategoryId=270&cardSubcategoryId=1404,4,,4,42 м²,2-х комнатная квартира,,Вторичный,,,26 500 €,,Продам,"Бельцы мун., Бельцы, 7 квартал, ул. Викторией, 90","2-х комнатная квартира,  7 квартал,  Бельцы,  Бельцы мун.",
,,,,,Частное лицо,103864935,https://999.md/ru/103864935?location=subcategory&index=1843&cardCategoryId=270&cardSubcategoryId=1404,5,,11,70 м²,2-х комнатная квартира,,Новострой,,,170 000 €,,Продам,"Кишинёв мун., Кишинёв, Центр, ул. Спрынченоая, 3/F","2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",
1,1,Белый вариант,260 см,Индивидуальная,Агентство,104314425,https://999.md/ru/104314425?location=subcategory&index=1844&cardCategoryId=270&cardSubcategoryId=1404,7,Kомбинированный,8,44 м²,2-х комнатная квартира,,Новострой,,44 м²,82 000 €,,Продам,"Кишинёв мун., Кишинёв, Рышкановка, str. Poștei, 22","2-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",
,1,Eвроремонт,,Индивидуальная,Застройщик,104523874,https://999.md/ru/104523874?location=subcategory&index=1845&cardCategoryId=270&cardSubcategoryId=1404,4,,9,40 м²,1-комнатная квартира,,Новострой,,,93 000 €,Квартира с ливингом,Продам,"Кишинёв мун., Кишинёв, Буюканы, str. Ioan Livescu, 9","1-комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",
,1,Eвроремонт,,,Агентство,102905224,https://999.md/ru/102905224?location=subcategory&index=1846&cardCategoryId=270&cardSubcategoryId=1404,9,,10,57 м²,1-комнатная квартира,,Новострой,,,175 000 €,,Продам,"Кишинёв мун., Кишинёв, Ботаника, ул. Индепенденцей, 0","1-комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",
,,Белый вариант,,,Агентство,103964383,https://999.md/ru/103964383?location=subcategory&index=1847&cardCategoryId=270&cardSubcategoryId=1404,7,,8,50 м²,2-х комнатная квартира,,Новострой,,,94 088 €,Квартира с ливингом,Продам,"Кишинёв мун., Кишинёв, Рышкановка, str. Postei, --","2-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",
1,1,Eвроремонт,,,Агентство,103226472,https://999.md/ru/103226472?location=subcategory&index=1848&cardCategoryId=270&cardSubcategoryId=1404,2,,7,51 м²,2-х комнатная квартира,,Новострой,,,120 000 €,,Продам,"Кишинёв мун., Кишинёв, Ботаника, str. Valea Apelor, 0","2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",
2,2,Белый вариант,,,Агентство,88286488,https://999.md/ru/88286488?location=subcategory&index=1849&cardCategoryId=270&cardSubcategoryId=1404,2,,15,80 м²,2-х комнатная квартира,,Новострой,,,116 580 €,,Продам,"Кишинёв мун., Кишинёв, Центр, bd. Renașterii Naționale, 0","2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",
1,2,Eвроремонт,,,Агентство,102698111,https://999.md/ru/102698111?location=subcategory&index=1850&cardCategoryId=270&cardSubcategoryId=1404,12,,14,75 м²,3-х комнатная квартира,,Новострой,,,258 000 €,Квартира с ливингом,Продам,"Кишинёв мун., Кишинёв, Центр, str. Nicolae Testemitanu, 0","3-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",
1,1,Eвроремонт,,,Агентство,104258672,https://999.md/ru/104258672?location=subcategory&index=1851&cardCategoryId=270&cardSubcategoryId=1404,13,,14,71 м²,2-х комнатная квартира,,Новострой,,,128 650 €,Квартира с ливингом,Продам,"Кишинёв мун., Кишинёв, Старая Почта, str. Socoleni, -","2-х комнатная квартира,  Старая Почта,  Кишинёв,  Кишинёв мун.",
1,2,Eвроремонт,,,Агентство,104532282,https://999.md/ru/104532282?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3ODE0NjcxODIsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDQ1MzIyODIiLCJpIjoiODkuMTQ5LjkxLjE2MiIsInMiOiJkZXNrdG9wX3JlZGVzaWduIiwicCI6ImFkc19saXN0X2lubGluZSIsIngiOiJwcm8iLCJsIjoiYzM4NTE1OGMtYTBjOS00YWE2LWIwMTYtMmE0NDczZWJlYWEzIiwiZSI6Ijg5LjE0OS45MS4xNjIiLCJnIjoicGx1cyIsInQiOiIyMDI2LTA2LTE0VDE4OjU5OjQyLjc1MzAwMDYyNVoifX0.VCkbUnOkK_yud4i0o1sDufcwVlhybPdy7dE5jIOvOrY&placement=ADS_LIST_INLINE_REDESIGN&adType=booster&location=subcategory&index=1852&cardCategoryId=270&cardSubcategoryId=1404,9,,9,70 м²,3-х комнатная квартира,,Вторичный,,,96 900 €,Квартира без ливинга,Продам,"Кишинёв мун., Кишинёв, Чокана, str. Mihail Sadoveanu, 22/3","3-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",
1,1,Eвроремонт,,Рубашка,,102644553,https://999.md/ru/102644553?location=subcategory&index=1853&cardCategoryId=270&cardSubcategoryId=1404,4,Kотельцовый,5,70 м²,3-х комнатная квартира,Oткрытое,Вторичный,,,78 000 €,,Продам,Расположение,"3-х комнатная квартира,  Центр,  Флорешть,  Флорешты",
1,2,Eвроремонт,,,Агентство,103687421,https://999.md/ru/103687421?location=subcategory&index=1854&cardCategoryId=270&cardSubcategoryId=1404,4,,9,89 м²,3-х комнатная квартира,,Новострой,,,189 900 €,,Продам,Расположение,"3-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",
