Тип участка,Площадь земли,Тип,Застройщик,Санузел,Состояние дома,id,Ливинг,Этаж,title,Количество комнат,Высота потолков,price,Состояние квартиры,Тип здания,link,Количество этажей,Адрес,Тип помещения,Площадь участка,Общая площадь,Парковочное место,Этажность,Балкон / лоджия,Балкон,Площадь кухни,Автор объявления,Водопровод,Жилой фонд,Состояние помещения,Газификация,Канализация,Планировка,Жилая площадь
,,Продам,,2,,104451306,,5,"3-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",3-х комнатная квартира,,130 000 €,Белый вариант,,https://999.md/ru/104451306?location=subcategory&index=16859&cardCategoryId=270&cardSubcategoryId=1404,6,"Кишинёв мун., Кишинёв, Ботаника, пр-т Дачия, .",,,83 м²,Oткрытое,,1,,,Агентство,,Новострой,,,,Индивидуальная,
,,Продам,Inamstro,1,,104536416,Квартира с ливингом,2,"2-х комнатная квартира,  Скулянка,  Кишинёв,  Кишинёв мун.",2-х комнатная квартира,,236 900 €,Индивидуальный дизайн,,https://999.md/ru/104536416?location=subcategory&index=16860&cardCategoryId=270&cardSubcategoryId=1404,13,"Кишинёв мун., Кишинёв, Скулянка, str. Calea Ieșilor, 6",,,75 м²,,,1,,,Застройщик,,Новострой,,,,,75 м²
,,Продам,,2,,103468437,Квартира с ливингом,9,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",2-х комнатная квартира,,225 000 €,Eвроремонт,,https://999.md/ru/103468437?location=subcategory&index=16861&cardCategoryId=270&cardSubcategoryId=1404,15,"Кишинёв мун., Кишинёв, Ботаника, bd. Decebal, .",,,82 м²,Oткрытое,,1,,,Агентство,,Новострой,,,,Индивидуальная,
,,Продам,,1,,103611399,,10,"2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",2-х комнатная квартира,,220 000 €,Eвроремонт,,https://999.md/ru/103611399?location=subcategory&index=16862&cardCategoryId=270&cardSubcategoryId=1404,10,"Кишинёв мун., Кишинёв, Центр, str. Alexandru cel Bun, .",,,80 м²,Oткрытое,,1,,,Агентство,,Новострой,,,,Индивидуальная,
,,Продам,,1,,103237539,,5,"2-х комнатная квартира,  Центр,  Думбрава,  Кишинёв мун.",2-х комнатная квартира,,87 000 €,Белый вариант,,https://999.md/ru/103237539?location=subcategory&index=16863&cardCategoryId=270&cardSubcategoryId=1404,6,"Кишинёв мун., Думбрава, Центр, str. Durlești, .",,,60 м²,,,,,,Агентство,,Новострой,,,,Индивидуальная,
,,Продам,,1,,103472651,,11,"2-х комнатная квартира,  Старая Почта,  Кишинёв,  Кишинёв мун.",2-х комнатная квартира,,133 000 €,Белый вариант,,https://999.md/ru/103472651?location=subcategory&index=16864&cardCategoryId=270&cardSubcategoryId=1404,13,"Кишинёв мун., Кишинёв, Старая Почта, str. Iazului, .",,,80 м²,Oткрытое,,1,,,Агентство,,Новострой,,,,Индивидуальная,
,,Продам,,,,104513504,,1,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",2-х комнатная квартира,,66 900 €,,,https://999.md/ru/104513504?location=subcategory&index=16865&cardCategoryId=270&cardSubcategoryId=1404,5,"Кишинёв мун., Кишинёв, Ботаника, bd. Cuza Vodă, 22",,,47 м²,,,,,,Агентство,,Вторичный,,,,,
,,Продам,,,,104536366,,1,"2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",2-х комнатная квартира,,99 500 €,,,https://999.md/ru/104536366?location=subcategory&index=16866&cardCategoryId=270&cardSubcategoryId=1404,5,"Кишинёв мун., Кишинёв, Буюканы, str. Sucevița, 36/3",,,47 м²,,,,,,Агентство,,Вторичный,,,,,
,,Продам,,1,,104024057,,6,"3-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",3-х комнатная квартира,,189 000 €,Белый вариант,,https://999.md/ru/104024057?location=subcategory&index=16867&cardCategoryId=270&cardSubcategoryId=1404,10,"Кишинёв мун., Кишинёв, Буюканы, str. Ioana Radu, 27/3",,,106 м²,,,,,,Застройщик,,Новострой,,,,,
,,Продам,,1,,103531236,Квартира с ливингом,5,"1-комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",1-комнатная квартира,,160 000 €,Eвроремонт,,https://999.md/ru/103531236?location=subcategory&index=16868&cardCategoryId=270&cardSubcategoryId=1404,16,"Кишинёв мун., Кишинёв, Рышкановка, str. Bogdan Voievod, .",,,55 м²,Oткрытое,,1,,,Агентство,,Новострой,,,,Индивидуальная,
,,Продам,,1,,104205000,,,"Дом,  40 м²,  Гратиешты",2,,45 500 €,,,https://999.md/ru/104205000?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3ODE2MDQ3NDAsIkMiOnsiciI6MSwiYiI6MTYwLCJjIjoyNzAsInoiOjE0MDYsImEiOiIxMDQyMDUwMDAiLCJpIjoiODkuMTQ5LjkxLjE2MiIsInMiOiJkZXNrdG9wX3JlZGVzaWduIiwicCI6ImFkc19saXN0X2lubGluZSIsIngiOiIiLCJsIjoiZDliNTE4NzAtNmMzMC00YTUzLTgzN2UtZTg2NDU2OTIwZmY2IiwiZSI6Ijg5LjE0OS45MS4xNjIiLCJnIjoidHVyYm8iLCJ0IjoiMjAyNi0wNi0xNlQwOToxMjoyMC4wNDQwNjgyOTVaIn19.HMGrcnGFdZLAukyG-f2pxS9-tvHk9l9e_LPOnFuaS68&placement=ADS_LIST_INLINE_REDESIGN&adType=booster&location=subcategory&index=16869&cardCategoryId=270&cardSubcategoryId=1406,,"Кишинёв мун., Гратиешты, Окраина, str. Mihai Eminescu, 89",,6 сотки,40 м²,,1 этажный,,,,Застройщик,Есть водопровод,,,Не газифицирован,Есть канализация,,40 м²
,,Продам,,1,,104278897,,8,"2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",2-х комнатная квартира,,179 000 €,Eвроремонт,,https://999.md/ru/104278897?location=subcategory&index=16870&cardCategoryId=270&cardSubcategoryId=1404,9,"Кишинёв мун., Кишинёв, Буюканы, ул. Ион Буздуган, .",,,68 м²,Oткрытое,,1,,,Агентство,,Новострой,,,,Индивидуальная,
,,Продам,,1,,104095177,,2,"1-комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",1-комнатная квартира,,35 900 €,Eвроремонт,,https://999.md/ru/104095177?location=subcategory&index=16871&cardCategoryId=270&cardSubcategoryId=1404,5,"Кишинёв мун., Кишинёв, Ботаника, str. Belgrad, .",,,17 м²,Oткрытое,,Нет,,,Агентство,,Вторичный,,,,Индивидуальная,
,,Продам,,2,,104456662,Квартира с ливингом,6,"3-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",3-х комнатная квартира,,179 000 €,Eвроремонт,,https://999.md/ru/104456662?location=subcategory&index=16872&cardCategoryId=270&cardSubcategoryId=1404,10,"Кишинёв мун., Кишинёв, Буюканы, bd. Alba-Iulia, 93",,,100 м²,Oткрытое,,3,,,Застройщик,,Новострой,,,,,
,,Продам,,1,,104028562,,5,"Комната,  Ботаника,  Кишинёв,  Кишинёв мун.",Комната,,35 000 €,Eвроремонт,,https://999.md/ru/104028562?location=subcategory&index=16873&cardCategoryId=270&cardSubcategoryId=1404,5,"Кишинёв мун., Кишинёв, Ботаника, str. Constantin Brâncuşi, 146a",,,23 м²,,,1,,,Застройщик,,Вторичный,,,,,
,,Продам,,2,,104536226,,4,"2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",2-х комнатная квартира,,89 000 €,,,https://999.md/ru/104536226?location=subcategory&index=16874&cardCategoryId=270&cardSubcategoryId=1404,9,"Кишинёв мун., Кишинёв, Буюканы, bd. Alba-Iulia, 204",,,56 м²,Oткрытое,,1,,,Застройщик,,Вторичный,,,,143,
,,Продам,,2,,103835574,Квартира с ливингом,6,"1-комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",1-комнатная квартира,,95 000 €,Белый вариант,,https://999.md/ru/103835574?location=subcategory&index=16875&cardCategoryId=270&cardSubcategoryId=1404,9,"Кишинёв мун., Кишинёв, Центр, ул. Пан Халиппа, .",,,50 м²,Oткрытое,,1,,,Агентство,,Новострой,,,,Индивидуальная,
,,Продам,,1,,103891405,Квартира с ливингом,2,"1-комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",1-комнатная квартира,,107 900 €,Eвроремонт,,https://999.md/ru/103891405?location=subcategory&index=16876&cardCategoryId=270&cardSubcategoryId=1404,10,"Кишинёв мун., Кишинёв, Центр, ул. Лев Толстой, .",,,46 м²,Oткрытое,,Нет,,,Агентство,,Новострой,,,,Индивидуальная,
,,Продам,Vasigur Grup,,,86324840,Квартира с ливингом,2,"1-комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",1-комнатная квартира,,117 500 €,Белый вариант,,https://999.md/ru/86324840?location=subcategory&index=16877&cardCategoryId=270&cardSubcategoryId=1404,5,"Кишинёв мун., Кишинёв, Центр, str. Ismail, 28",,,47 м²,Подземная,,,,,Застройщик,,Новострой,,,,,
,,Продам,,1,,102874715,Квартира с ливингом,7,"2-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",2-х комнатная квартира,,252 000 €,Eвроремонт,,https://999.md/ru/102874715?location=subcategory&index=16878&cardCategoryId=270&cardSubcategoryId=1404,17,"Кишинёв мун., Кишинёв, Рышкановка, str. Bogdan Voievod, .",,,80 м²,Oткрытое,,1,,,Агентство,,Новострой,,,,Индивидуальная,
,,Продам,,2,,102683274,,2,"2-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",2-х комнатная квартира,,207 500 €,Eвроремонт,,https://999.md/ru/102683274?location=subcategory&index=16879&cardCategoryId=270&cardSubcategoryId=1404,10,"Кишинёв мун., Кишинёв, Рышкановка, bd. Renasterii Nationale, .",,,124 м²,Oткрытое,,2,,,Агентство,,Новострой,,,,Индивидуальная,
,,Продам,,1,,103950549,,10,"2-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",2-х комнатная квартира,,199 900 €,Eвроремонт,,https://999.md/ru/103950549?location=subcategory&index=16880&cardCategoryId=270&cardSubcategoryId=1404,12,"Кишинёв мун., Кишинёв, Рышкановка, str. Alecu Russo, .",,,59 м²,Oткрытое,,Нет,,,Агентство,,Новострой,,,,Индивидуальная,
,,Сдаю помесячно,,,,52514199,,,"Салон красоты, 50 м², Кишинёв",,,500 €,,,https://999.md/ru/52514199?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3ODE2MDQ3NDAsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDUsImEiOiI1MjUxNDE5OSIsImkiOiI4OS4xNDkuOTEuMTYyIiwicyI6ImRlc2t0b3BfcmVkZXNpZ24iLCJwIjoiYWRzX2xpc3RfaW5saW5lIiwieCI6IiIsImwiOiJkZmU3YWE0Mi1kZTgzLTQ5ZjEtOTZhYi02MDExYTg4Y2VhZjMiLCJlIjoiODkuMTQ5LjkxLjE2MiIsImciOiJwbHVzIiwidCI6IjIwMjYtMDYtMTZUMDk6MTI6MjAuMDQ0MTQ4ODMyWiJ9fQ.R9iOpmlC00DkqjRo44JrCG4eIhBLf0wcZlkdZkM4x2c&placement=ADS_LIST_INLINE_REDESIGN&adType=booster&location=subcategory&index=16881&cardCategoryId=270&cardSubcategoryId=1405,,"Кишинёв мун., Кишинёв, bd. Ştefan cel Mare şi Sfânt, 69",Салон красоты,,50 м²,,,,,,,,,Eвроремонт,,,,
,,Продам,,2,,102421749,,13,"2-х комнатная квартира,  Старая Почта,  Кишинёв,  Кишинёв мун.",2-х комнатная квартира,,175 840 €,Белый вариант,,https://999.md/ru/102421749?location=subcategory&index=16882&cardCategoryId=270&cardSubcategoryId=1404,14,"Кишинёв мун., Кишинёв, Старая Почта, ул. Язулуй, .",,,126 м²,Oткрытое,,1,,,Агентство,,Новострой,,,,Индивидуальная,
,,Продам,,1,,103469785,,4,"1-комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",1-комнатная квартира,,59 500 €,Eвроремонт,,https://999.md/ru/103469785?location=subcategory&index=16883&cardCategoryId=270&cardSubcategoryId=1404,5,"Кишинёв мун., Кишинёв, Чокана, str. Maria Drăgan, .",,,28 м²,Oткрытое,,Нет,,,Агентство,,Вторичный,,,,Индивидуальная,
,,Продам,,1,,104536115,,2,"1-комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",1-комнатная квартира,,35 900 €,Eвроремонт,,https://999.md/ru/104536115?location=subcategory&index=16884&cardCategoryId=270&cardSubcategoryId=1404,5,"Кишинёв мун., Кишинёв, Ботаника, str. Sarmizegetusa, .",,,16 м²,Oткрытое,,1,,,Агентство,,Вторичный,,,,Индивидуальная,
,,Продам,,1,,104536090,,5,"1-комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",1-комнатная квартира,,51 999 €,Косметический pемонт,Панельный,https://999.md/ru/104536090?location=subcategory&index=16885&cardCategoryId=270&cardSubcategoryId=1404,9,Расположение,,,36 м²,Oткрытое,,1,,,Застройщик,,Вторичный,,,,143,
,,Продам,,2,,103974884,,3,"2-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",2-х комнатная квартира,,159 000 €,Eвроремонт,,https://999.md/ru/103974884?location=subcategory&index=16886&cardCategoryId=270&cardSubcategoryId=1404,17,"Кишинёв мун., Кишинёв, Чокана, bd. Mircea cel Bătrân, .",,,92 м²,Oткрытое,,2,,,Агентство,,Новострой,,,,Индивидуальная,
,,Продам,,,,103551083,,4,"2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",2-х комнатная квартира,,189 900 €,Eвроремонт,,https://999.md/ru/103551083?location=subcategory&index=16887&cardCategoryId=270&cardSubcategoryId=1404,11,"Кишинёв мун., Кишинёв, Буюканы, str. Vasile Lupu, 28",,,71 м²,,,,,,Агентство,,Новострой,,,,,
,,Продам,,,,104258588,Квартира с ливингом,2,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",2-х комнатная квартира,,114 900 €,,,https://999.md/ru/104258588?location=subcategory&index=16888&cardCategoryId=270&cardSubcategoryId=1404,4,"Кишинёв мун., Кишинёв, Ботаника, str. Pandurilor, 68",,,54 м²,,,,,,Застройщик,,Вторичный,,,,,
,,Продам,,1,,104527313,,13,"1-комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",1-комнатная квартира,,118 000 €,Eвроремонт,,https://999.md/ru/104527313?location=subcategory&index=16889&cardCategoryId=270&cardSubcategoryId=1404,16,"Кишинёв мун., Кишинёв, Чокана, str. Ginta Latină, .",,,55 м²,Oткрытое,,Нет,,,Агентство,,Новострой,,,,Индивидуальная,
,,Продам,,1,,104142559,,5,"2-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",2-х комнатная квартира,,79 900 €,Eвроремонт,,https://999.md/ru/104142559?location=subcategory&index=16890&cardCategoryId=270&cardSubcategoryId=1404,5,"Кишинёв мун., Кишинёв, Рышкановка, str. Nicolae Dimo, 12.",,,42 м²,,,,,,Агентство,,Новострой,,,,,
,,Продам,,1,,104263288,Квартира с ливингом,4,"2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",2-х комнатная квартира,,94 900 €,Eвроремонт,,https://999.md/ru/104263288?location=subcategory&index=16891&cardCategoryId=270&cardSubcategoryId=1404,5,"Кишинёв мун., Кишинёв, Буюканы, str. Paris, 38/2",,,47 м²,Oткрытое,,1,,,Агентство,,Вторичный,,,,,
,,Продам,Loid,2,,103393343,Квартира с ливингом,10,"3-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",3-х комнатная квартира,,215 000 €,Белый вариант,Kирпичный,https://999.md/ru/103393343?location=subcategory&index=16892&cardCategoryId=270&cardSubcategoryId=1404,13,"Кишинёв мун., Кишинёв, Ботаника, bd. Cuza Vodă, 5/1",,,86 м²,,,1,,,Частное лицо,,Новострой,,,,,
,,Сдаю посуточно,,,,101491395,,Цоколь,"1-комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",1-комнатная квартира,,600 MDL,,,https://999.md/ru/101491395?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3ODE2MDQ3NDAsIkMiOnsiciI6MSwiYiI6MTQwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDE0OTEzOTUiLCJpIjoiODkuMTQ5LjkxLjE2MiIsInMiOiJkZXNrdG9wX3JlZGVzaWduIiwicCI6ImFkc19saXN0X2lubGluZSIsIngiOiJwcmVtaXVtIiwibCI6ImFhNzRmNTFlLTNjZmItNDJmZC1hNGJlLWE3MmI4ODczYTA4ZSIsImUiOiI4OS4xNDkuOTEuMTYyIiwiZyI6ImxpdGUiLCJ0IjoiMjAyNi0wNi0xNlQwOToxMjoyMC4wNDQxOTQyMjVaIn19.o6763bLFEsRDVEXda7mlMzd10IQyutw4Sf2_iI7w5UQ&placement=ADS_LIST_INLINE_REDESIGN&adType=booster&location=subcategory&index=16893&cardCategoryId=270&cardSubcategoryId=1404,2,"Кишинёв мун., Кишинёв, Центр, str. București, 7/1",,,20 м²,,,,,,Агентство,,Новострой,,,,,
,,Продам,Exfactor-grup,2,,89000872,Квартира с ливингом,6,"3-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",3-х комнатная квартира,,160 000 €,Без ремонта,Kирпичный,https://999.md/ru/89000872?location=subcategory&index=16894&cardCategoryId=270&cardSubcategoryId=1404,9,"Кишинёв мун., Кишинёв, Буюканы, str. Ion Buzdugan, 13",,,93 м²,Подземная,,2,,,Частное лицо,,Новострой,,,,,93 м²
,,Продам,,1,,103531049,Квартира с ливингом,3,"2-х комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.",2-х комнатная квартира,,116 900 €,Eвроремонт,,https://999.md/ru/103531049?location=subcategory&index=16895&cardCategoryId=270&cardSubcategoryId=1404,7,"Кишинёв мун., Дурлешты, Центр,  Tudor Vladimirescu , 52.",,,65 м²,Oткрытое,,1,,,Агентство,,Новострой,,,,,
,,Продам,,,,103468722,Квартира с ливингом,4,"2-х комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.",2-х комнатная квартира,,155 000 €,,,https://999.md/ru/103468722?location=subcategory&index=16896&cardCategoryId=270&cardSubcategoryId=1404,12,"Кишинёв мун., Дурлешты, Центр, Ialoveni , 136",,,90 м²,,,,,,Агентство,,Новострой,,,,,
,,Продам,,,,104207286,,1,"3-х комнатная квартира,  Центр,  Криково,  Кишинёв мун.",3-х комнатная квартира,,92 000 €,Нуждается в ремонте,,https://999.md/ru/104207286?location=subcategory&index=16897&cardCategoryId=270&cardSubcategoryId=1404,5,Расположение,,,84 м²,,,,,,Агентство,,Вторичный,,,,,
,,Продам,,,,103336661,Квартира с ливингом,1,"3-х комнатная квартира,  Центр,  Криково,  Кишинёв мун.",3-х комнатная квартира,,160 000 €,Eвроремонт,Kотельцовый,https://999.md/ru/103336661?location=subcategory&index=16898&cardCategoryId=270&cardSubcategoryId=1404,5,"Кишинёв мун., Криково, Центр, str. Chişinău, 93",,,87 м²,,,,,,Агентство,,Вторичный,,,,,
,,Продам,,,,101214444,Квартира с ливингом,3,"1-комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.",1-комнатная квартира,,45 600 €,Белый вариант,,https://999.md/ru/101214444?location=subcategory&index=16899&cardCategoryId=270&cardSubcategoryId=1404,10,"Кишинёв мун., Дурлешты, Центр, str. Nicolae Dimo, 24a",,,38 м²,,,,,,Застройщик,,Новострой,,,,,
,,Продам,,1,,103632150,,1,"1-комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",1-комнатная квартира,,89 700 €,Eвроремонт,,https://999.md/ru/103632150?location=subcategory&index=16900&cardCategoryId=270&cardSubcategoryId=1404,10,"Кишинёв мун., Кишинёв, Ботаника, str. Burebista, .",,,52 м²,Oткрытое,,1,,,Агентство,,Новострой,,,,Индивидуальная,
,,Продам,,1,,104012127,,6,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",2-х комнатная квартира,,88 900 €,Eвроремонт,,https://999.md/ru/104012127?location=subcategory&index=16901&cardCategoryId=270&cardSubcategoryId=1404,6,"Кишинёв мун., Кишинёв, Ботаника, str. Prigoreni, .",,,56 м²,Oткрытое,,1,,,Агентство,,Новострой,,,,Индивидуальная,
,,Продам,,1,,104535680,Квартира без ливинга,9,"1-комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",1-комнатная квартира,,72 000 €,,,https://999.md/ru/104535680?location=subcategory&index=16902&cardCategoryId=270&cardSubcategoryId=1404,12,Расположение,,,40 м²,,,,,,Агентство,,Вторичный,,,,,
,,Продам,,,,86325608,,2,"3-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",3-х комнатная квартира,,177 500 €,Белый вариант,Kирпичный,https://999.md/ru/86325608?location=subcategory&index=16903&cardCategoryId=270&cardSubcategoryId=1404,5,"Кишинёв мун., Кишинёв, Центр, str. Ismail, 28",,,71 м²,,,,,,Застройщик,,Новострой,,,,,
,,Продам,,2,,103349948,Квартира с ливингом,10,"3-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",3-х комнатная квартира,,480 000 €,Eвроремонт,,https://999.md/ru/103349948?location=subcategory&index=16904&cardCategoryId=270&cardSubcategoryId=1404,10,"Кишинёв мун., Кишинёв, Буюканы, ул. Иоана Раду, .",,,150 м²,Oткрытое,,Нет,,,Агентство,,Новострой,,,,Индивидуальная,
,,Продам,,,,104535599,,4,"3-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",3-х комнатная квартира,,129 900 €,Eвроремонт,Kотельцовый,https://999.md/ru/104535599?location=subcategory&index=16905&cardCategoryId=270&cardSubcategoryId=1404,5,"Кишинёв мун., Кишинёв, Ботаника, bd. Traian, 10",,,70 м²,,,,,,Агентство,,Вторичный,,,,102,
,,Продам,Orizont Construct,1,,103662670,Квартира с ливингом,4,"1-комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",1-комнатная квартира,,93 000 €,Eвроремонт,,https://999.md/ru/103662670?location=subcategory&index=16906&cardCategoryId=270&cardSubcategoryId=1404,10,"Кишинёв мун., Кишинёв, Буюканы, str. Codrilor, 8/5",,,42 м²,,,1,,,Агентство,,Новострой,,,,,
