Жилая площадь,Высота потолков,id,Жилой фонд,Ливинг,title,Тип,link,Адрес,Парковочное место,Тип здания,Этаж,Застройщик,Общая площадь,Планировка,Санузел,Состояние квартиры,Автор объявления,Балкон / лоджия,Площадь кухни,price,Количество этажей,Количество комнат
,,101878901,Новострой,Квартира с ливингом,"2-х комнатная квартира,  Дурлешты,  Кишинёв,  Кишинёв мун.",Продам,https://999.md/ru/101878901,"Кишинёв мун., Дурлешты, Центр, str. Nicolae Dimo, 24a",,Бетон,6,Solomon Construct Imobil,64 м²,,,,Застройщик,,,70 400 €,10,2-х комнатная квартира
,,85456097,Новострой,,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",Продам,https://999.md/ru/85456097,"Кишинёв мун., Кишинёв, Ботаника, str. Grenoble, 134/4",,,5,Solomon Construct Imobil,75 м²,,,,Застройщик,,,112 500 €,12,2-х комнатная квартира
,,103986814,Новострой,,"1-комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.",Продам,https://999.md/ru/103986814,"Кишинёв мун., Дурлешты, Центр, str. Nicolae Dimo, 126/6",,,5,,42 м²,,1,Eвроремонт,Агентство,1,,95 900 €,8,1-комнатная квартира
,,85455780,Новострой,,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",Продам,https://999.md/ru/85455780,"Кишинёв мун., Кишинёв, Ботаника, str. Grenoble, 134/4",,,7,Solomon Construct Imobil,69 м²,,,,Застройщик,,,103 500 €,12,2-х комнатная квартира
,,101600761,Новострой,Квартира с ливингом,"1-комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.",Продам,https://999.md/ru/101600761,"Кишинёв мун., Дурлешты, Центр, str. Cartuşa, 99/6",Oткрытое,Kомбинированный,4,,40 м²,,1,Белый вариант,Застройщик,1,,48 240 €,10,1-комнатная квартира
170 м²,,103036067,Новострой,Квартира с ливингом,"3-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",Продам,https://999.md/ru/103036067?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzUzMzk5NDYsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDMwMzYwNjciLCJpIjoiODkuMTQ5LjkxLjE3MCIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2lubGluZSIsIngiOiJwcmVtaXVtIiwibCI6IjRhNmFlMGRhLWU2NmEtNDUyYy05NWI1LTlkZTUwZmMzNGU5ZCIsImUiOiI4OS4xNDkuOTEuMTcwIiwiZyI6InR1cmJvIiwidCI6IjIwMjYtMDQtMDRUMjA6NTk6MDYuMDc1MTE0NTc5WiJ9fQ.F_jKOcpzXayJld8j5fdb4VVHVVXnv8pv1dsKYDy0374&adType=booster,"Кишинёв мун., Кишинёв, Буюканы, bd. Alba-Iulia, 77/7",Гараж,Kотельцовый,Пентхаус,Gonvaro-Con,170 м²,,2,Индивидуальный дизайн,,4 и более,,365 000 €,10,3-х комнатная квартира
,,103986760,Новострой,,"1-комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",Продам,https://999.md/ru/103986760,"Кишинёв мун., Кишинёв, Ботаника, str. Burebista, 25",,,9,,43 м²,,,Eвроремонт,Агентство,,,109 000 €,10,1-комнатная квартира
60 м²,250 см,103434539,Вторичный,Квартира без ливинга,"3-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",Продам,https://999.md/ru/103434539,"Кишинёв мун., Кишинёв, Центр, str. 31 August 1989, 36",Гараж,Kотельцовый,2,,90 м²,Индивидуальная,2,Косметический pемонт,Агентство,1,9 м²,140 000 €,2,3-х комнатная квартира
28 м²,250 см,103494214,Вторичный,,"2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",Продам,https://999.md/ru/103494214,"Кишинёв мун., Кишинёв, Центр, str. 31 August 1989, 36",Гараж,Kотельцовый,2,,35 м²,Индивидуальная,1,Косметический pемонт,Агентство,1,6 м²,84 000 €,2,2-х комнатная квартира
680 м²,280 см,86610093,Новострой,,"3-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",Продам,https://999.md/ru/86610093,"Кишинёв мун., Кишинёв, Ботаника, str. Liuba Dumitriu, 5",Подземная,Mонолитный,2,,104 м²,,2,Белый вариант,Застройщик,1,24 м²,150 000 €,4,3-х комнатная квартира
16 м²,250 см,103494148,Вторичный,,"1-комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",Продам,https://999.md/ru/103494148,"Кишинёв мун., Кишинёв, Центр, str. 31 August 1989, 36",Oткрытое,Kотельцовый,1,,34 м²,Индивидуальная,1,Косметический pемонт,Агентство,,6 м²,64 000 €,2,1-комнатная квартира
88 м²,300 см,100890346,Новострой,Квартира с ливингом,"3-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",Продам,https://999.md/ru/100890346,"Кишинёв мун., Кишинёв, Буюканы, str. Cornului, 9/3",Oткрытое,Kотельцовый,6,,105 м²,Индивидуальная,2,Eвроремонт,Агентство,1,12 м²,150 000 €,6,3-х комнатная квартира
28 м²,250 см,103765331,Новострой,Квартира с ливингом,"1-комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",Продам,https://999.md/ru/103765331,"Кишинёв мун., Кишинёв, Рышкановка, str. Dumitru Rîșcanu, 33/4",Oткрытое,Mонолитный,7,,44 м²,Индивидуальная,1,Eвроремонт,Застройщик,Нет,9 м²,95 000 €,10,1-комнатная квартира
,,103226134,Вторичный,,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",Продам,https://999.md/ru/103226134,"Кишинёв мун., Кишинёв, Ботаника, str. Trandafirilor, 31/5",,,5,,43 м²,,1,Eвроремонт,Застройщик,1,,87 000 €,5,2-х комнатная квартира
,,101930116,Новострой,Квартира с ливингом,"1-комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.",Продам,https://999.md/ru/101930116,"Кишинёв мун., Кишинёв, Телецентр, str. Ialoveni, 100/2",,,5,Solomon Construct Imobil,35 м²,,,,Застройщик,,,42 000 €,12,1-комнатная квартира
50 м²,,103870458,Вторичный,,"3-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",Продам,https://999.md/ru/103870458,"Кишинёв мун., Кишинёв, Рышкановка, MOSCOVEI, '",Oткрытое,Kотельцовый,2,,74 м²,Чш (Чешка),1,Косметический pемонт,Застройщик,1,9 м²,130 000 €,5,3-х комнатная квартира
,270 см,101204894,Новострой,Квартира с ливингом,"1-комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.",Продам,https://999.md/ru/101204894,Расположение,,Kомбинированный,2,Dansicons,48 м²,,1,Eвроремонт,Частное лицо,1,,90 000 €,8,1-комнатная квартира
,,87039989,Новострой,,"2-х комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.",Продам,https://999.md/ru/87039989,"Кишинёв мун., Кишинёв, Телецентр, str. Ialoveni, 98/1",,,3,,68 м²,,,,Застройщик,,,102 000 €,8,2-х комнатная квартира
,,87039769,Новострой,,"1-комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.",Продам,https://999.md/ru/87039769,"Кишинёв мун., Кишинёв, Телецентр, str. Ialoveni, 98/1",,,8,,34 м²,,,,Застройщик,,,59 000 €,8,1-комнатная квартира
,,103986674,Новострой,,"1-комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",Продам,https://999.md/ru/103986674,"Кишинёв мун., Кишинёв, Ботаника, str. Burebista, 25",,,9,,43 м²,,,,Агентство,,,109 000 €,10,1-комнатная квартира
,,101930261,Новострой,Квартира с ливингом,"3-х комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.",Продам,https://999.md/ru/101930261,"Кишинёв мун., Кишинёв, Телецентр, str. Ialoveni, 100/2",,,7,Solomon Construct Imobil,82 м²,,,,Застройщик,,,94 300 €,12,3-х комнатная квартира
,,85455852,Новострой,,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",Продам,https://999.md/ru/85455852,"Кишинёв мун., Кишинёв, Ботаника, str. Grenoble, 134/4",,,5,Solomon Construct Imobil,69 м²,,,,Застройщик,,,103 500 €,12,2-х комнатная квартира
,,101878983,Новострой,Квартира с ливингом,"3-х комнатная квартира,  Дурлешты,  Кишинёв,  Кишинёв мун.",Продам,https://999.md/ru/101878983,"Кишинёв мун., Дурлешты, Центр, str. Nicolae Dimo, 24a",,,5,,76 м²,,,,Застройщик,,,83 600 €,10,3-х комнатная квартира
,,85457674,Новострой,,"3-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",Продам,https://999.md/ru/85457674,"Кишинёв мун., Кишинёв, Ботаника, str. Grenoble, 134/4",,,4,Solomon Construct Imobil,106 м²,,,,Застройщик,,,159 000 €,12,3-х комнатная квартира
,,103610782,Вторичный,,"2-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",Продам,https://999.md/ru/103610782,"Кишинёв мун., Кишинёв, Чокана, bd. Mircea cel Bătrân, 17",,,2,,60 м²,,,,Застройщик,,,95 000 €,9,2-х комнатная квартира
,,103909481,Вторичный,,"2-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",Продам,https://999.md/ru/103909481,"Кишинёв мун., Кишинёв, Чокана, bd. Mircea cel Bătrân, 17",,,8,,60 м²,,,,Застройщик,,,97 000 €,9,2-х комнатная квартира
,280 см,103641555,Новострой,,"1-комнатная квартира,  Центр,  Бубуечь,  Кишинёв мун.",Продам,https://999.md/ru/103641555,"Кишинёв мун., Бубуечь, Центр, str. Grigore Vieru, 11",,Kомбинированный,3,,42 м²,,,Eвроремонт,Частное лицо,,15 м²,66 000 €,10,1-комнатная квартира
,,89360574,Новострой,Квартира с ливингом,"2-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",Продам,https://999.md/ru/89360574,"Кишинёв мун., Кишинёв, Чокана, bd. Mircea cel Bătrân, 0",Oткрытое,,3,,80 м²,,2,Eвроремонт,Агентство,1,,205 000 €,11,2-х комнатная квартира
,,102295621,Новострой,Квартира с ливингом,"2-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",Продам,https://999.md/ru/102295621,"Кишинёв мун., Кишинёв, Чокана, str. Nicolae Milescu Spatarul, 63",Oткрытое,Kирпичный,4,Solomon Construct Imobil,71 м²,Индивидуальная,2,Eвроремонт,Агентство,1,,215 000 €,9,2-х комнатная квартира
,,100180882,Новострой,Квартира с ливингом,"3-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",Продам,https://999.md/ru/100180882,"Кишинёв мун., Кишинёв, Чокана, ул. Николае Милеску-Спэтарул, 43",Oткрытое,,2,Dansicons,90 м²,,2,Eвроремонт,Агентство,1,,185 000 €,10,3-х комнатная квартира
,,85457911,Новострой,,"3-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",Продам,https://999.md/ru/85457911,"Кишинёв мун., Кишинёв, Ботаника, str. Grenoble, 134/4",,,5,Solomon Construct Imobil,116 м²,,,,Застройщик,,,174 000 €,12,3-х комнатная квартира
,,101930220,Новострой,Квартира с ливингом,"2-х комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.",Продам,https://999.md/ru/101930220,"Кишинёв мун., Кишинёв, Телецентр, str. Ialoveni, 100/2",,,7,Solomon Construct Imobil,64 м²,,,,Застройщик,,,73 600 €,12,2-х комнатная квартира
16 м²,,103721464,Вторичный,Квартира без ливинга,"Комната,  Чокана,  Кишинёв,  Кишинёв мун.",Продам,https://999.md/ru/103721464,"Кишинёв мун., Кишинёв, Чокана, str. Ișnovăț, 11",Oткрытое,,4,,16 м²,Гостинка,1,Косметический pемонт,Частное лицо,,,29 900 €,5,Комната
,,103734157,Вторичный,,"1-комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",Продам,https://999.md/ru/103734157,"Кишинёв мун., Кишинёв, Ботаника, str. Nicolae Grădescu, 6",,,4,,32 м²,,,,Застройщик,,,76 000 €,5,1-комнатная квартира
,,103687730,Новострой,Квартира с ливингом,"2-х комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.",Продам,https://999.md/ru/103687730,"Кишинёв мун., Дурлешты, Центр, str. Regina Elisabeta, *",Подземная,,2,,68 м²,,1,Белый вариант,Застройщик,1,,72 760 €,7,2-х комнатная квартира
60 м²,260 см,103113304,Новострой,Квартира с ливингом,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",Продам,https://999.md/ru/103113304,"Кишинёв мун., Кишинёв, Ботаника, str. Iurie Babei, 2",Oткрытое,Kирпичный,5,Eurocons,60 м²,Индивидуальная,1,Индивидуальный дизайн,Частное лицо,,,149 999 €,5,2-х комнатная квартира
,,102748140,Новострой,,"2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",Продам,https://999.md/ru/102748140,"Кишинёв мун., Кишинёв, Центр, bd. Ştefan cel Mare şi Sfânt, 171/3",,,12,,50 м²,,,Eвроремонт,Агентство,,,199 000 €214 000 €,14,2-х комнатная квартира
,,103865127,Вторичный,,"3-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",Продам,https://999.md/ru/103865127,"Кишинёв мун., Кишинёв, Чокана, str. Nicolae Milescu Spătarul, 3",,,7,,71 м²,,2,Eвроремонт,Частное лицо,,,129 900 €,9,3-х комнатная квартира
,,103934742,Вторичный,,"2-х комнатная квартира,  Окраина,  Бричаны,  Бричаны",Продам,https://999.md/ru/103934742,Расположение,,,5,,53 м²,,1,,Частное лицо,2,,50 000 €,5,2-х комнатная квартира
,,103986545,Новострой,,"1-комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",Продам,https://999.md/ru/103986545,Расположение,Подземная,Ячеистый Бетон,3,Solomon Construct Imobil,31 м²,,1,Eвроремонт,Агентство,1,,79 500 €,8,1-комнатная квартира
,,85457338,Новострой,,"3-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",Продам,https://999.md/ru/85457338,"Кишинёв мун., Кишинёв, Ботаника, str. Grenoble, 134/4",,,7,Solomon Construct Imobil,100 м²,,,,Застройщик,,,150 000 €,12,3-х комнатная квартира
,,103168415,Новострой,Квартира с ливингом,"2-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",Продам,https://999.md/ru/103168415,"Кишинёв мун., Кишинёв, Чокана, bd. Mircea cel Batran, 41/A",Oткрытое,,10,Exfactor-grup,68 м²,,1,Eвроремонт,Агентство,1,,204 900 €,12,2-х комнатная квартира
,,103505452,Новострой,,"2-х комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.",Продам,https://999.md/ru/103505452,"Кишинёв мун., Кишинёв, Телецентр, str. Ialoveni, 100a",,,1,Solomon Construct Imobil,56 м²,,1,,Застройщик,1,,89 900 €,10,2-х комнатная квартира
47 м²,,103895270,Новострой,Квартира с ливингом,"1-комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",Продам,https://999.md/ru/103895270,"Кишинёв мун., Кишинёв, Центр, bd. Stefan cel Mare si Sfint, 171/3",Подземная,,13,Solomon Construct Imobil,47 м²,,1,Белый вариант,Частное лицо,1,,184 900 €,15,1-комнатная квартира
,,103412465,Вторичный,,"1-комнатная квартира,  Центр,  Страшены,  Страшены",Продам,https://999.md/ru/103412465,"Страшены, Страшены, Центр, str. Alexei Mateevici, 5",,,1,,33 м²,,1,Нуждается в ремонте,Частное лицо,,,29 999 €,5,1-комнатная квартира
,,103986497,Вторичный,Квартира с ливингом,"2-х комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.",Продам,https://999.md/ru/103986497,"Кишинёв мун., Кишинёв, Телецентр, str. Lech Kaczynski, 6/1",Oткрытое,Kотельцовый,5,,47 м²,,1,Косметический pемонт,Агентство,1,,67 500 €,5,2-х комнатная квартира
,,101599503,Вторичный,Квартира с ливингом,"3-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",Продам,https://999.md/ru/101599503,"Кишинёв мун., Кишинёв, Центр, ул. Измаил, 102",Oткрытое,,4,,84 м²,143,2,Eвроремонт,Частное лицо,1,15 м²,123 990 €,9,3-х комнатная квартира
,,103079854,Новострой,Квартира с ливингом,"3-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",Продам,https://999.md/ru/103079854,"Кишинёв мун., Кишинёв, Ботаника, bd. Decebal, 3",Подземная,Kирпичный,15,Sky House,108 м²,,2,Белый вариант,Застройщик,2,,150 000 €,18,3-х комнатная квартира
,,103974288,Вторичный,Квартира с ливингом,"3-х комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.",Продам,https://999.md/ru/103974288?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzUzMzk5NDYsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDM5NzQyODgiLCJpIjoiODkuMTQ5LjkxLjE3MCIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2lubGluZSIsIngiOiJwcmVtaXVtIiwibCI6IjZlMDFjOWM2LTU0YTUtNDUwYS1hZGI0LTJlNzNhNTRhMDFlYSIsImUiOiI4OS4xNDkuOTEuMTcwIiwiZyI6InR1cmJvIiwidCI6IjIwMjYtMDQtMDRUMjA6NTk6MDYuMDc1Mzg1MTQ2WiJ9fQ.02Yaq26sbwmMGbKo-0gok4lnbQPweyHQ3F0U8VNzlJ8&adType=booster,"Кишинёв мун., Кишинёв, Телецентр, str. Ialoveni, 98/1",Oткрытое,Панельный,9,,72 м²,143,1,Косметический pемонт,Агентство,2,,74 900 €,9,3-х комнатная квартира
,,103986477,Новострой,Квартира с ливингом,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",Продам,https://999.md/ru/103986477,Расположение,Oткрытое,,9,Solomon Construct Imobil,60 м²,,,Сдан в эксплуатацию,Застройщик,1,,97 000 €,11,2-х комнатная квартира
,,103983508,Новострой,Квартира с ливингом,"1-комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",Продам,https://999.md/ru/103983508,"Кишинёв мун., Кишинёв, Рышкановка, str. Alecu Russo, 9/7",,,7,,47 м²,,1,Eвроремонт,Агентство,,,124 900 €,12,1-комнатная квартира
,,103976280,Новострой,Квартира с ливингом,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",Продам,https://999.md/ru/103976280,"Кишинёв мун., Кишинёв, Ботаника, str. Nicolae Testemițanu, 3/3",,,10,,72 м²,,1,Eвроремонт,Агентство,1,,166 900 €,11,2-х комнатная квартира
,,103976267,Новострой,Квартира с ливингом,"2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",Продам,https://999.md/ru/103976267,"Кишинёв мун., Кишинёв, Центр, str. Nicolae Testemițanu, 3/3",,,10,,72 м²,,1,Eвроремонт,Агентство,1,,166 900 €,11,2-х комнатная квартира
,,103845868,Вторичный,,"1-комнатная квартира,  Скулянка,  Кишинёв,  Кишинёв мун.",Продам,https://999.md/ru/103845868,"Кишинёв мун., Кишинёв, Скулянка, str. Calea Ieșilor, 47/2",,,1,,34 м²,,,Eвроремонт,Агентство,,,72 000 €,9,1-комнатная квартира
