Автор объявления,Состояние квартиры,Этаж,Жилой фонд,Балкон / лоджия,id,link,Санузел,Планировка,Парковочное место,title,Ливинг,Тип,Жилая площадь,Тип здания,Количество этажей,Площадь кухни,Застройщик,price,Адрес,Высота потолков,Количество комнат,Общая площадь
Застройщик,Незавершенное cтроительство,9,Новострой,2,89832857,https://999.md/ru/89832857?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY2OTMyNTMsIkMiOnsiciI6MSwiYiI6MTQwLCJjIjoyNzAsInoiOjE0MDQsImEiOiI4OTgzMjg1NyIsImkiOiI4OS4xNDkuOTMuMTM5IiwicyI6ImRlc2t0b3AiLCJwIjoiYWRzX2xpc3RfaGVhZGVyIiwieCI6InByZW1pdW0iLCJsIjoiY2QyNWU0OWQtMGI0OC00MTNmLTlhYjAtYWNlNGFjZDVmZDc5IiwiZSI6Ijg5LjE0OS45My4xMzkiLCJnIjoibGl0ZSIsInQiOiIyMDI2LTA0LTIwVDEyOjU0OjEzLjA3MTgyNzg4MloifX0.wTjFatvfl8bD9iSEmOIv1Zedq9Pkh3ga5xjtahdTmMI&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=7,2,,,"3-х комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.",,Продам,,,10,,Boiar House,100 300 €,"Кишинёв мун., Дурлешты, Центр, str. Nicolae Dimo, 24/B",,3-х комнатная квартира,100 м²
Агентство,Eвроремонт,2,Новострой,1,102719873,https://999.md/ru/102719873?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY2OTMyNTMsIkMiOnsiciI6MSwiYiI6MTQwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDI3MTk4NzMiLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiIiLCJsIjoiMmI3MjU4OGYtMzBhZi00OWIzLWE2ZTUtZjcyNjExZGFiYzRjIiwiZSI6Ijg5LjE0OS45My4xMzkiLCJnIjoibGl0ZSIsInQiOiIyMDI2LTA0LTIwVDEyOjU0OjEzLjA3MTg1Mjc4M1oifX0.12U9tKDGsRXikU3jdU4gMgLpBSJ-SEqMXZRBYxnIf4k&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=8,1,,,"1-комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",,Сдаю посуточно,,Бетон,14,,,799 MDL,"Кишинёв мун., Кишинёв, Ботаника, str. Belgrad, 19",,1-комнатная квартира,55 м²
Агентство,,8,Новострой,,103886605,https://999.md/ru/103886605?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY2OTMyNTMsIkMiOnsiciI6MSwiYiI6MTAwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDM4ODY2MDUiLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiIiLCJsIjoiM2YyY2EzNzItMjY4ZS00YjFiLWFkMWQtODhhMjhlNmE0NzRkIiwiZSI6Ijg5LjE0OS45My4xMzkiLCJ0IjoiMjAyNi0wNC0yMFQxMjo1NDoxMy4wNzE4ODgyMDNaIn19.oqfSyBzNZudlhhExfpU5-hkadzcSOz8Li4WSN1VKoZI&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=9,,,,"3-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",,Сдаю помесячно,,,10,,,699 €,"Кишинёв мун., Кишинёв, Буюканы, str. Alexandru Donici, 1",,3-х комнатная квартира,75 м²
Агентство,Eвроремонт,4,Новострой,,103744748,https://999.md/ru/103744748?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY2OTMyNTMsIkMiOnsiciI6MSwiYiI6MTQwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDM3NDQ3NDgiLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiIiLCJsIjoiYTU2YjMzNTMtYWVmMy00YWM1LThjZjAtNWViNThjM2JhNTcyIiwiZSI6Ijg5LjE0OS45My4xMzkiLCJnIjoibGl0ZSIsInQiOiIyMDI2LTA0LTIwVDEyOjU0OjEzLjA3MTk0NTk5MloifX0.bUNer6C8ssd7MdzG4354_Y6Db2Udk1GdXIFA4UiFIhU&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=10,,,,"3-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",,Продам,,,10,,,183 500 €,"Кишинёв мун., Кишинёв, Чокана, bd. Mircea cel Bătrân, 39",,3-х комнатная квартира,85 м²
Агентство,Eвроремонт,5,Новострой,1,104011021,https://999.md/ru/104011021?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY2OTMyNTMsIkMiOnsiciI6MSwiYiI6MTAwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDQwMTEwMjEiLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiJwcmVtaXVtIiwibCI6IjAwNzEwZTk4LTNkZGEtNDYzYi05YzNiLTBlNzBhMjViNzAzYyIsImUiOiI4OS4xNDkuOTMuMTM5IiwidCI6IjIwMjYtMDQtMjBUMTI6NTQ6MTMuMDcxOTYwMTI0WiJ9fQ.JZ83KK5ChG3nJaGsmxkszf8XpncVsRU5zCs5i1JKYzA&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=11,1,,Подземная,"3-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",,Сдаю помесячно,,,6,,Inamstro,1 000 €,"Кишинёв мун., Кишинёв, Буюканы, str. Liviu Deleanu, 10",,3-х комнатная квартира,70 м²
Застройщик,Eвроремонт,2,Вторичный,1,103806249,https://999.md/ru/103806249?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY2OTMyNTMsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDM4MDYyNDkiLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiIiLCJsIjoiYjUyY2ZiMmUtNzJlMC00N2FlLTg3ZmQtYzE0Y2E5Mzk4OTljIiwiZSI6Ijg5LjE0OS45My4xMzkiLCJnIjoidHVyYm8iLCJ0IjoiMjAyNi0wNC0yMFQxMjo1NDoxMy4wNzE5NzMyMDFaIn19.jDNpi_UCoELdGtJB8_fFqxY62FDil-IAXbumJuRJecs&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=12,,,,"2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",,Продам,,,5,,,87 500 €,Расположение,,2-х комнатная квартира,45 м²
Застройщик,Белый вариант,13,Новострой,2,102625611,https://999.md/ru/102625611?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY2OTMyNTMsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDI2MjU2MTEiLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiIiLCJsIjoiODVmZTRiMzQtYjgxMS00ZGQ5LTllMTgtZmIyZjMyOGFmYWUzIiwiZSI6Ijg5LjE0OS45My4xMzkiLCJnIjoidHVyYm8iLCJ0IjoiMjAyNi0wNC0yMFQxMjo1NDoxMy4wNzE2MzQzMjFaIn19.g7yz5N_lFgZEp122PBhU5uKPsZjWXy2MArjVoindymQ&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=1,2,,Подземная,"2-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",Квартира с ливингом,,,,13,,Ecovzor,207 900 €,"Кишинёв мун., Кишинёв, Рышкановка, ул. Язулуй, 38",,2-х комнатная квартира,126 м²
Частное лицо,,15,Новострой,,104112978,https://999.md/ru/104112978?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY2OTMyNTMsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDQxMTI5NzgiLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiIiLCJsIjoiNDJhM2JmNzQtY2U2Ni00ZWQzLThiMGUtMjY4ODFlYjM0Y2ZiIiwiZSI6Ijg5LjE0OS45My4xMzkiLCJnIjoidHVyYm8iLCJ0IjoiMjAyNi0wNC0yMFQxMjo1NDoxMy4wNzE2ODUxOTNaIn19.ugMd3kpvQxme67Jejzlt1kxYdHbuyLs8UY9ESK_zfUE&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=2,,,,"2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",,Продам,,,15,,Eldorado Terra,140 000 €,"Кишинёв мун., Кишинёв, Центр, str. Nicolae Testemițanu, 3/18",,2-х комнатная квартира,73 м²
Частное лицо,Индивидуальный дизайн,1,Вторичный,2,104040367,https://999.md/ru/104040367?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY2OTMyNTMsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDQwNDAzNjciLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiIiLCJsIjoiNGNkOGRiMGMtOWYyYS00YzdkLTkxMjUtYjA2MGZiYTMwMTYyIiwiZSI6Ijg5LjE0OS45My4xMzkiLCJnIjoidHVyYm8iLCJ0IjoiMjAyNi0wNC0yMFQxMjo1NDoxMy4wNzE2OTk4MjJaIn19.ZvcT2E92TG8W8_XGuX-He2BO2OPtg1ewmLRS7VFqJw8&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=3,2,,Oткрытое,"3-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",Квартира с ливингом,Продам,,,5,,,158 000 €,"Кишинёв мун., Кишинёв, Буюканы, str. Buiucani, 4",,3-х комнатная квартира,113 м²
Агентство,,5,Новострой,,89776225,https://999.md/ru/89776225?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY2OTMyNTMsIkMiOnsiciI6MSwiYiI6MTQwLCJjIjoyNzAsInoiOjE0MDQsImEiOiI4OTc3NjIyNSIsImkiOiI4OS4xNDkuOTMuMTM5IiwicyI6ImRlc2t0b3AiLCJwIjoiYWRzX2xpc3RfaGVhZGVyIiwieCI6InByZW1pdW0iLCJsIjoiMWNiZjkwMzctODQ5Ny00ZGRlLWE0NDgtZjliY2MxOGRlOGZlIiwiZSI6Ijg5LjE0OS45My4xMzkiLCJnIjoibGl0ZSIsInQiOiIyMDI2LTA0LTIwVDEyOjU0OjEzLjA3MTcyNTA2M1oifX0.42ro4vNzdb4S3l-h2C-SvQo_YCJffzIo2yS2G4E5ArY&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=4,,,,"1-комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",,Сдаю посуточно,,,9,,,600 MDL,"Кишинёв мун., Кишинёв, Центр, bd. Ştefan cel Mare şi Sfânt, 83",,1-комнатная квартира,55 м²
Агентство,Eвроремонт,10,Новострой,,104084854,https://999.md/ru/104084854?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY2OTMyNTMsIkMiOnsiciI6MSwiYiI6MTQwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDQwODQ4NTQiLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiIiLCJsIjoiMTQ1YzJhNWUtNTYwMy00NTkxLTg4YjktYTJhNDA2MGEyNGMzIiwiZSI6Ijg5LjE0OS45My4xMzkiLCJnIjoibGl0ZSIsInQiOiIyMDI2LTA0LTIwVDEyOjU0OjEzLjA3MTc4MjEzNloifX0.NxsQF7P3aS8oO_ULrVCrop3hj5bah3AvDy4Kk27eMGo&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=5,1,,Oткрытое,"1-комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",Квартира с ливингом,Сдаю посуточно,,,12,,,600 MDL,"Кишинёв мун., Кишинёв, Центр, Constatin Varnav , 20",,1-комнатная квартира,70 м²
Частное лицо,,3,Вторичный,,87651512,https://999.md/ru/87651512?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY2OTMyNTMsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiI4NzY1MTUxMiIsImkiOiI4OS4xNDkuOTMuMTM5IiwicyI6ImRlc2t0b3AiLCJwIjoiYWRzX2xpc3RfaGVhZGVyIiwieCI6IiIsImwiOiI2M2I5MjM3YS1jZjE0LTQ4NDItYmJhZC05NGUyYjc5Y2Q0OGIiLCJlIjoiODkuMTQ5LjkzLjEzOSIsImciOiJ0dXJibyIsInQiOiIyMDI2LTA0LTIwVDEyOjU0OjEzLjA3MTgwNDc5N1oifX0.HDjU8jxvDijc1390HkdRC5Csicyjl7auWmThgT4HMac&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=6,,,,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",,Сдаю помесячно,,,9,,,500 €,"Кишинёв мун., Кишинёв, Ботаника, bd. Cuza Vodă, 34/1",,2-х комнатная квартира,55 м²
Застройщик,Незавершенное cтроительство,9,Новострой,2,89832857,https://999.md/ru/89832857?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY2OTMyNTMsIkMiOnsiciI6MSwiYiI6MTQwLCJjIjoyNzAsInoiOjE0MDQsImEiOiI4OTgzMjg1NyIsImkiOiI4OS4xNDkuOTMuMTM5IiwicyI6ImRlc2t0b3AiLCJwIjoiYWRzX2xpc3RfaGVhZGVyIiwieCI6InByZW1pdW0iLCJsIjoiY2QyNWU0OWQtMGI0OC00MTNmLTlhYjAtYWNlNGFjZDVmZDc5IiwiZSI6Ijg5LjE0OS45My4xMzkiLCJnIjoibGl0ZSIsInQiOiIyMDI2LTA0LTIwVDEyOjU0OjEzLjA3MTgyNzg4MloifX0.wTjFatvfl8bD9iSEmOIv1Zedq9Pkh3ga5xjtahdTmMI&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=7,2,,,"3-х комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.",,Продам,,,10,,Boiar House,100 300 €,"Кишинёв мун., Дурлешты, Центр, str. Nicolae Dimo, 24/B",,3-х комнатная квартира,100 м²
