Балкон / лоджия,Планировка,Ливинг,link,Застройщик,Площадь кухни,Парковочное место,Этаж,Санузел,Высота потолков,price,Количество этажей,Общая площадь,Адрес,id,Жилой фонд,Тип здания,Жилая площадь,title,Тип,Автор объявления,Количество комнат,Состояние квартиры
,,,https://999.md/ru/104077716?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY3MTI1MjIsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDQwNzc3MTYiLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiIiLCJsIjoiYmUzNWQzOGQtMDFiOS00MzRiLWIzZWUtNWExMGQ4MTEyYmYyIiwiZSI6Ijg5LjE0OS45My4xMzkiLCJnIjoidHVyYm8iLCJ0IjoiMjAyNi0wNC0yMFQxODoxNToyMi45MDc0NTUxMDJaIn19.fiPA4hrnhbwv50SIms213IX_dXerbdiU7nkshCKPlDU&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=7,,,Oткрытое,3,1,,296 400 €,12,78 м²,"Кишинёв мун., Кишинёв, Центр, str. Ciuflea, 1",104077716,Новострой,,,"3-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",,Частное лицо,3-х комнатная квартира,Белый вариант
,,Квартира с ливингом,https://999.md/ru/104093126?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY3MTI1MjIsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDQwOTMxMjYiLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiIiLCJsIjoiMjk1OTYwYmMtZmM0My00YTI3LThhYTAtYjllYTE5Y2JmMDQ2IiwiZSI6Ijg5LjE0OS45My4xMzkiLCJnIjoidHVyYm8iLCJ0IjoiMjAyNi0wNC0yMFQxODoxNToyMi45MDc1MjgyMjRaIn19.PsBYZdct9Q2r7ypAy0K9oPgeGl73xpmYRu-FCkXpRhI&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=8,,,,1,,,59 900 €,9,37 м²,Расположение,104093126,Новострой,,,"1-комнатная квартира,  Центр,  Кодру,  Кишинёв мун.",Продам,Частное лицо,1-комнатная квартира,
,,Квартира с ливингом,https://999.md/ru/103454687?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY3MTI1MjIsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDM0NTQ2ODciLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiIiLCJsIjoiM2ZkMzhiNmQtZTRjYy00NDAwLThmMWItMjBmY2YwOGU4NmE0IiwiZSI6Ijg5LjE0OS45My4xMzkiLCJnIjoidHVyYm8iLCJ0IjoiMjAyNi0wNC0yMFQxODoxNToyMi45MDc1OTQxNTlaIn19.1hIf5GdCnDn7a7C-9kTE7LrhadSFe78j7JOaIX6hgk4&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=9,Exfactor-grup,,,2,1,,205 000 €,14,70 м²,"Кишинёв мун., Кишинёв, Буюканы, str. Vasile Lupu, 28",103454687,Новострой,Kирпичный,,"2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",Продам,Агентство,2-х комнатная квартира,Eвроремонт
1,Индивидуальная,Квартира без ливинга,https://999.md/ru/102734606?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY3MTI1MjIsIkMiOnsiciI6MSwiYiI6MTAwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDI3MzQ2MDYiLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiIiLCJsIjoiMTRjYjUzMDktOGU0Zi00ZjM5LTlkNGMtMDIxNDc5YWY5OTZlIiwiZSI6Ijg5LjE0OS45My4xMzkiLCJ0IjoiMjAyNi0wNC0yMFQxODoxNToyMi45MDc2MTcwODVaIn19.-63OzOK567Z4yLvQOoj4e9om37jjbqVW6xPNJO-aQWc&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=10,A-casa,,Oткрытое,Подвал,1,,350 €,9,45 м²,"Кишинёв мун., Кишинёв, Старая Почта, str. Poștei, 53/1",102734606,Новострой,Бетон,,"1-комнатная квартира,  Старая Почта,  Кишинёв,  Кишинёв мун.",Сдаю помесячно,Частное лицо,1-комнатная квартира,Eвроремонт
1,,Квартира без ливинга,https://999.md/ru/102691920?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY3MTI1MjIsIkMiOnsiciI6MSwiYiI6MTQwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDI2OTE5MjAiLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiIiLCJsIjoiMmI3MjU4OGYtMzBhZi00OWIzLWE2ZTUtZjcyNjExZGFiYzRjIiwiZSI6Ijg5LjE0OS45My4xMzkiLCJnIjoibGl0ZSIsInQiOiIyMDI2LTA0LTIwVDE4OjE1OjIyLjkwNzY5NjY4MloifX0.OZ0Sd1g9e73yGIj1_VFlFh_4nCIrfE-_0KHh1g1KPOc&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=11,,,,4,1,350 см,799 MDL,14,55 м²,"Кишинёв мун., Кишинёв, Ботаника, str. Nicolae Testimiteanu, 3\15",102691920,Новострой,Бетон,,"1-комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",Сдаю посуточно,Агентство,1-комнатная квартира,Eвроремонт
Нет,,Квартира без ливинга,https://999.md/ru/102831391?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY3MTI1MjIsIkMiOnsiciI6MSwiYiI6MTAwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDI4MzEzOTEiLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiJwcmVtaXVtIiwibCI6ImFlOTQxZTRiLTE4MGUtNGVjYS1hOTE2LTNhZWVhMmNiMzBmMSIsImUiOiI4OS4xNDkuOTMuMTM5IiwidCI6IjIwMjYtMDQtMjBUMTg6MTU6MjIuOTA3NzI1MDMzWiJ9fQ.X-E06Zk2Ee1WfufzrAb7EUA0PKPDjV3-SP2j6gPuoGE&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=12,Astercon,13 м²,Гараж,1,1,286 см,58 986 €,6,41 м²,"Кишинёв мун., Дурлешты, Центр, str. Durlești, 8",102831391,Новострой,Ячеистый Бетон,,"1-комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.",Продам,Застройщик,1-комнатная квартира,Белый вариант
,Индивидуальная,,https://999.md/ru/37586381?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY3MTI1MjIsIkMiOnsiciI6MSwiYiI6MTAwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIzNzU4NjM4MSIsImkiOiI4OS4xNDkuOTMuMTM5IiwicyI6ImRlc2t0b3AiLCJwIjoiYWRzX2xpc3RfaGVhZGVyIiwieCI6IiIsImwiOiJjYjE3ZDNmMi00NGJhLTQ0YTUtYjk5NS03NmViYTc0Y2IzMTYiLCJlIjoiODkuMTQ5LjkzLjEzOSIsInQiOiIyMDI2LTA0LTIwVDE4OjE1OjIyLjkwNzAyMjEwOFoifX0.Qd49zLLt_Vlfmv3fbkwfhxOJ0aufiYZJyOy9NOBIYQY&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=1,,15 м²,Oткрытое,7,,3 см,25 €,10,45 м²,"Кишинёв мун., Кишинёв, Центр, str. Ismail, 88",37586381,Новострой,Mонолитный,30 м²,"1-комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",Сдаю посуточно,Застройщик,1-комнатная квартира,Eвроремонт
Нет,,,https://999.md/ru/102832078?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY3MTI1MjIsIkMiOnsiciI6MSwiYiI6MTAwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDI4MzIwNzgiLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiJwcmVtaXVtIiwibCI6ImFlOTQxZTRiLTE4MGUtNGVjYS1hOTE2LTNhZWVhMmNiMzBmMSIsImUiOiI4OS4xNDkuOTMuMTM5IiwidCI6IjIwMjYtMDQtMjBUMTg6MTU6MjIuOTA3MDcyMDQ0WiJ9fQ.z7nxDrfsGpRjCcDQ2KR-yFQXFCUyRPosjEr0yUlgAnM&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=2,Astercon,15 м²,Гараж,1,2,286 см,135 646 €,6,96 м²,"Кишинёв мун., Дурлешты, Центр, str. Durlești, 8",102832078,Новострой,Ячеистый Бетон,,"3-х комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.",Продам,Застройщик,3-х комнатная квартира,Белый вариант
2,Хрущевка,,https://999.md/ru/104060503?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY3MTI1MjIsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDQwNjA1MDMiLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiIiLCJsIjoiZmZjNjY1N2ItNTIzZC00MzNmLTg4MTYtMzRjNDAxN2EzZWUzIiwiZSI6Ijg5LjE0OS45My4xMzkiLCJnIjoicGx1cyIsInQiOiIyMDI2LTA0LTIwVDE4OjE1OjIyLjkwNzE1Nzg1M1oifX0.PhOxvFr6brbb3Y2GOaJUyUK4Zl6gEBpTh2ejLDr6PUs&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=3,,,Oткрытое,4,,,550 €,5,34 м²,"Кишинёв мун., Кишинёв, Рышкановка, str. Kiev, 10/1",104060503,Вторичный,Kотельцовый,,"1-комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",Сдаю помесячно,Частное лицо,1-комнатная квартира,Индивидуальный дизайн
Нет,На земле,Квартира без ливинга,https://999.md/ru/103965928?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY3MTI1MjIsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDM5NjU5MjgiLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiIiLCJsIjoiZGNhOWMwNWYtMjU1MS00MjU3LWI4NmItYmZmNDNiMzFkNjliIiwiZSI6Ijg5LjE0OS45My4xMzkiLCJnIjoicGx1cyIsInQiOiIyMDI2LTA0LTIwVDE4OjE1OjIyLjkwNzIzNjc2M1oifX0.0gbWlvrhU67L6ZOQaqyz_ztIOcbxCCIE8WzOK1-R0x4&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=4,Inamstro,,Oткрытое,12,1,,700 €,12,45 м²,"Кишинёв мун., Кишинёв, Рышкановка, str. Alecu Russo, 16",103965928,Новострой,Kомбинированный,,"1-комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",Сдаю посуточно,Частное лицо,1-комнатная квартира,Eвроремонт
,,,https://999.md/ru/59160921?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY3MTI1MjIsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiI1OTE2MDkyMSIsImkiOiI4OS4xNDkuOTMuMTM5IiwicyI6ImRlc2t0b3AiLCJwIjoiYWRzX2xpc3RfaGVhZGVyIiwieCI6InBybyIsImwiOiJiNDEwMzQwNS00MjZiLTRlMGMtOWViOC03ZjRkY2RmNzMyYTQiLCJlIjoiODkuMTQ5LjkzLjEzOSIsImciOiJ0dXJibyIsInQiOiIyMDI2LTA0LTIwVDE4OjE1OjIyLjkwNzM2NjU2NVoifX0.3Kkk97aAdt4bCTKG-KATPB3uwInIm5MVdx2TiV23bVA&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=5,,,,2,,,699 MDL,11,32 м²,"Кишинёв мун., Кишинёв, Центр, str. Nicolae Testemițanu, 3/a",59160921,Новострой,,,"1-комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",Сдаю посуточно,Агентство,1-комнатная квартира,
1,Индивидуальная,Квартира с ливингом,https://999.md/ru/57264969?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY3MTI1MjIsIkMiOnsiciI6MSwiYiI6MTQwLCJjIjoyNzAsInoiOjE0MDQsImEiOiI1NzI2NDk2OSIsImkiOiI4OS4xNDkuOTMuMTM5IiwicyI6ImRlc2t0b3AiLCJwIjoiYWRzX2xpc3RfaGVhZGVyIiwieCI6InByZW1pdW0iLCJsIjoiNmE0NmJkODctMTQzMi00MzUzLWJjZGUtMmJkYWZjNjYyMjFmIiwiZSI6Ijg5LjE0OS45My4xMzkiLCJnIjoibGl0ZSIsInQiOiIyMDI2LTA0LTIwVDE4OjE1OjIyLjkwNzQwOTc2OFoifX0.OeDqKgszBglOBFkDxaxUgSmXDettqBduUnzDZc_7YH8&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=6,Stroy Invest,,Oткрытое,2,1,,100 €,4,75 м²,"Кишинёв мун., Кишинёв, Буюканы, str. Primăverii, 11",57264969,Новострой,Kотельцовый,,"3-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",Сдаю посуточно,Застройщик,3-х комнатная квартира,Eвроремонт
