Площадь кухни,Общая площадь,Автор объявления,Жилой фонд,Жилая площадь,Высота потолков,link,Этаж,Количество комнат,id,Санузел,Балкон / лоджия,Тип,Ливинг,Количество этажей,title,Застройщик,Планировка,Состояние квартиры,Адрес,Парковочное место,price,Тип здания
,70 м²,Частное лицо,Вторичный,,,https://999.md/ru/104534484?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3ODE0NTcwOTgsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDQ1MzQ0ODQiLCJpIjoiODkuMTQ5LjkxLjE2MiIsInMiOiJkZXNrdG9wX3JlZGVzaWduIiwicCI6ImFkc19saXN0X2lubGluZSIsIngiOiJwcm8iLCJsIjoiMTFiNTI3MjctNmIzMi00MWYzLTg0ZWItODZhYjIyODk5OGZiIiwiZSI6Ijg5LjE0OS45MS4xNjIiLCJnIjoidHVyYm8iLCJ0IjoiMjAyNi0wNi0xNFQxNjoxMTozOC43OTY0MTMzNjVaIn19.NAnn6AsNbsDok3M3M32BdUJMSE6pa2tCWf-irdFzBbo&placement=ADS_LIST_INLINE_REDESIGN&adType=booster&location=subcategory&index=89&cardCategoryId=270&cardSubcategoryId=1404,3,2-х комнатная квартира,104534484,1,,,Квартира с ливингом,5,"2-х комнатная квартира,  Старая Почта,  Кишинёв,  Кишинёв мун.",,,Eвроремонт,"Кишинёв мун., Кишинёв, Старая Почта, str-la Studenților, 11/3",,159 000 €,Kотельцовый
,122 м²,Агентство,Новострой,,,https://999.md/ru/104536493?location=subcategory&index=90&cardCategoryId=270&cardSubcategoryId=1404,8,3-х комнатная квартира,104536493,1,1,,Квартира с ливингом,9,"3-х комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.",,,Белый вариант,"Кишинёв мун., Дурлешты, Центр, str. Cartuşa, -",,135 000 €,Kомбинированный
,27 м²,Агентство,Вторичный,,,https://999.md/ru/103891461?location=subcategory&index=91&cardCategoryId=270&cardSubcategoryId=1404,3,1-комнатная квартира,103891461,1,,,,5,"1-комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",,,Eвроремонт,"Кишинёв мун., Кишинёв, Рышкановка, str. Gheorghe Madan, --",,57 000 €,
,45 м²,Агентство,Вторичный,,,https://999.md/ru/104331653?location=subcategory&index=92&cardCategoryId=270&cardSubcategoryId=1404,7,2-х комнатная квартира,104331653,1,,,Квартира с ливингом,7,"2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",,,Eвроремонт,"Кишинёв мун., Кишинёв, Буюканы, str. Sucevița, 41",,49 900 €,
,45 м²,Агентство,Новострой,,,https://999.md/ru/104535813?location=subcategory&index=93&cardCategoryId=270&cardSubcategoryId=1404,6,1-комнатная квартира,104535813,1,1,Продам,,9,"1-комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.",,,Белый вариант,"Кишинёв мун., Дурлешты, Центр, str. Cartuşa, *",,59 000 €,Kомбинированный
,68 м²,Застройщик,Новострой,68 м²,,https://999.md/ru/104536077?location=subcategory&index=94&cardCategoryId=270&cardSubcategoryId=1404,2,2-х комнатная квартира,104536077,1,1,,Квартира с ливингом,7,"2-х комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.",,,Белый вариант,"Кишинёв мун., Дурлешты, Центр, str. Regina Elisabeta, *",Подземная,66 640 €,
,73 м²,Агентство,Новострой,73 м²,,https://999.md/ru/104616294?location=subcategory&index=95&cardCategoryId=270&cardSubcategoryId=1404,2,2-х комнатная квартира,104616294,,,,Квартира с ливингом,10,"2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",Inamstro,,Eвроремонт,Расположение,,237 000 €,Kирпичный
,180 м²,Агентство,Новострой,,,https://999.md/ru/101821604?location=subcategory&index=96&cardCategoryId=270&cardSubcategoryId=1404,16,4-x комнатная квартира,101821604,3,,Продам,Квартира с ливингом,16,"4-x комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",,,Белый вариант,"Кишинёв мун., Кишинёв, Рышкановка, bd. Renasterii Nationale, 0",,252 000 €,
,87 м²,Агентство,Новострой,87 м²,,https://999.md/ru/100769446?location=subcategory&index=97&cardCategoryId=270&cardSubcategoryId=1404,1,3-х комнатная квартира,100769446,2,1,,Квартира с ливингом,15,"3-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",,,Белый вариант,"Кишинёв мун., Кишинёв, Рышкановка, str. Matei Basarab, 1/1",Подземная,134 500 €,
,48 м²,Агентство,Новострой,,,https://999.md/ru/104551493?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3ODE0NTcwOTgsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDQ1NTE0OTMiLCJpIjoiODkuMTQ5LjkxLjE2MiIsInMiOiJkZXNrdG9wX3JlZGVzaWduIiwicCI6ImFkc19saXN0X2lubGluZSIsIngiOiJwcmVtaXVtIiwibCI6ImFlMjAxMjEyLTFiNjYtNGE1NS1hZjUwLWI1YTQ2YzFhZjRmMCIsImUiOiI4OS4xNDkuOTEuMTYyIiwiZyI6InR1cmJvIiwidCI6IjIwMjYtMDYtMTRUMTY6MTE6MzguNzk2NDg4MDk5WiJ9fQ.Ev3-mR6xUabllFc2TvIqqdX-fxY9_y1WzyJNb8_TOfc&placement=ADS_LIST_INLINE_REDESIGN&adType=booster&location=subcategory&index=98&cardCategoryId=270&cardSubcategoryId=1404,4,2-х комнатная квартира,104551493,1,Нет,Продам,Квартира с ливингом,9,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",Pamir Construct,Индивидуальная,Eвроремонт,"Кишинёв мун., Кишинёв, Ботаника, ул. Гика Водэ, 5",Подземная,139 000 €,Kомбинированный
,50 м²,Агентство,Новострой,,,https://999.md/ru/100931955?location=subcategory&index=99&cardCategoryId=270&cardSubcategoryId=1404,5,1-комнатная квартира,100931955,1,,Продам,,12,"1-комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",,,Белый вариант,"Кишинёв мун., Кишинёв, Буюканы, str. Vasile Lupu, -",,109 000 €,
,43 м²,Агентство,Новострой,,,https://999.md/ru/103571170?location=subcategory&index=100&cardCategoryId=270&cardSubcategoryId=1404,1,1-комнатная квартира,103571170,1,Нет,Продам,Квартира без ливинга,12,"1-комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.",Estate Invest Company,,Eвроремонт,"Кишинёв мун., Дурлешты, Центр, str. Ialoveni, 102",Подземная,79 500 €,
,37 м²,Агентство,Новострой,,,https://999.md/ru/101361743?location=subcategory&index=101&cardCategoryId=270&cardSubcategoryId=1404,8,1-комнатная квартира,101361743,1,Нет,Продам,Квартира без ливинга,10,"1-комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",,,Eвроремонт,"Кишинёв мун., Кишинёв, Чокана, str. Nicolae Milescu Spătarul, -",Oткрытое,93 000 €,
,45 м²,Агентство,Вторичный,,,https://999.md/ru/104253132?location=subcategory&index=102&cardCategoryId=270&cardSubcategoryId=1404,3,2-х комнатная квартира,104253132,1,1,,Квартира с ливингом,5,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",,,Eвроремонт,"Кишинёв мун., Кишинёв, Ботаника, str. Nikolai Zelinski, 35",Oткрытое,91 900 €,Kотельцовый
15 м²,70 м²,Частное лицо,Новострой,68 м²,,https://999.md/ru/101796915?location=subcategory&index=103&cardCategoryId=270&cardSubcategoryId=1404,3,3-х комнатная квартира,101796915,1,1,,Квартира с ливингом,12,"3-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",Lagmar Impex,,Eвроремонт,"Кишинёв мун., Кишинёв, Рышкановка, str. Florării, 4",,150 000 €,Mонолитный
,76 м²,Агентство,Вторичный,,,https://999.md/ru/104277811?location=subcategory&index=104&cardCategoryId=270&cardSubcategoryId=1404,16,3-х комнатная квартира,104277811,1,1,Продам,,20,"3-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",,,Косметический pемонт,"Кишинёв мун., Кишинёв, Центр, str. Romană, *",,95 000 €,Mонолитный
,46 м²,Агентство,Вторичный,,,https://999.md/ru/104309060?location=subcategory&index=105&cardCategoryId=270&cardSubcategoryId=1404,7,2-х комнатная квартира,104309060,,1,Продам,,9,"2-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",,,,"Кишинёв мун., Кишинёв, Рышкановка, str. Albișoara, *",,85 000 €,Панельный
,51 м²,Агентство,Новострой,,,https://999.md/ru/104551671?location=subcategory&index=106&cardCategoryId=270&cardSubcategoryId=1404,9,1-комнатная квартира,104551671,,,Продам,Квартира с ливингом,11,"1-комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",Exfactor-grup,,,"Кишинёв мун., Кишинёв, Чокана, bd. Mircea cel Bătrân, 41/C",,109 000 €,
,87 м²,Застройщик,Новострой,,,https://999.md/ru/85456731?location=subcategory&index=107&cardCategoryId=270&cardSubcategoryId=1404,5,3-х комнатная квартира,85456731,,,Продам,,12,"3-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",Solomon Construct Imobil,,,"Кишинёв мун., Кишинёв, Ботаника, str. Grenoble, 134/2",,130 500 €,
,72 м²,,Новострой,,,https://999.md/ru/102968194?location=subcategory&index=108&cardCategoryId=270&cardSubcategoryId=1404,6,2-х комнатная квартира,102968194,2,1,Продам,Квартира с ливингом,12,"2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",Dansicons,Индивидуальная,Eвроремонт,"Кишинёв мун., Кишинёв, Буюканы, str. Nicolae Costin, 62",Oткрытое,165 000 €,Kомбинированный
,54 м²,Частное лицо,Вторичный,,,https://999.md/ru/102962414?location=subcategory&index=109&cardCategoryId=270&cardSubcategoryId=1404,1,2-х комнатная квартира,102962414,1,1,Продам,,5,"2-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",,,Eвроремонт,"Кишинёв мун., Кишинёв, Рышкановка, str. Andrei Doga, 45/1",,97 700 €,
,,,,,,https://999.md/ru/101760490?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3ODE0NTcwOTgsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDE3NjA0OTAiLCJpIjoiODkuMTQ5LjkxLjE2MiIsInMiOiJkZXNrdG9wX3JlZGVzaWduIiwicCI6ImFkc19saXN0X2lubGluZSIsIngiOiJwcm8iLCJsIjoiY2I3MmExN2UtY2I0Mi00NTEzLWFhYTQtODQ2YjQwNmQ4ZTRlIiwiZSI6Ijg5LjE0OS45MS4xNjIiLCJnIjoidHVyYm8iLCJ0IjoiMjAyNi0wNi0xNFQxNjoxMTozOC43OTY1NjUyMDlaIn19.5w5MLKuhgRc981wu8PdVT-NXQ8XYPWW_5AhEBs_QAVA&placement=ADS_LIST_INLINE_REDESIGN&adType=booster&location=subcategory&index=110&cardCategoryId=270&cardSubcategoryId=1404,,,101760490,,,,,,"3-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",,,,,,210 000 €,
,61 м²,Частное лицо,Новострой,58 м²,,https://999.md/ru/104388637?location=subcategory&index=111&cardCategoryId=270&cardSubcategoryId=1404,10,2-х комнатная квартира,104388637,1,Нет,,Квартира с ливингом,10,"2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",Kirsan,Индивидуальная,Eвроремонт,"Кишинёв мун., Кишинёв, Центр, str. Arheolog Ion Casian Suruceanu, 1/D",Oткрытое,125 000 €,
,63 м²,Агентство,Новострой,,,https://999.md/ru/104457524?location=subcategory&index=112&cardCategoryId=270&cardSubcategoryId=1404,3,2-х комнатная квартира,104457524,1,1,Продам,Квартира с ливингом,9,"2-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",,,Eвроремонт,"Кишинёв мун., Кишинёв, Чокана, str. Vadul lui Vodă, 30",,149 000 €,
,68 м²,Агентство,Вторичный,,,https://999.md/ru/104067542?location=subcategory&index=113&cardCategoryId=270&cardSubcategoryId=1404,2,2-х комнатная квартира,104067542,,,,Квартира с ливингом,2,"2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",,,Eвроремонт,"Кишинёв мун., Кишинёв, Центр, str. Pașcani, *",Гараж,85 000 €,Kомбинированный
,74 м²,Частное лицо,Новострой,,,https://999.md/ru/104578243?location=subcategory&index=114&cardCategoryId=270&cardSubcategoryId=1404,1,3-х комнатная квартира,104578243,,,,Квартира с ливингом,11,"3-х комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.",Basconslux,,,"Кишинёв мун., Кишинёв, Телецентр, str. Sprîncenoaia, 3/G",,149 000 €,
,71 м²,Застройщик,Новострой,,,https://999.md/ru/84847682?location=subcategory&index=115&cardCategoryId=270&cardSubcategoryId=1404,5,2-х комнатная квартира,84847682,,1,,Квартира с ливингом,9,"2-х комнатная квартира,  Старая Почта,  Кишинёв,  Кишинёв мун.",Lagmar Impex,Индивидуальная,Белый вариант,Расположение,,106 500 €,
,87 м²,Частное лицо,Новострой,87 м²,300 см,https://999.md/ru/102000864?location=subcategory&index=116&cardCategoryId=270&cardSubcategoryId=1404,3,3-х комнатная квартира,102000864,2,,,,11,"3-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",Dansicons,Малосемейная,Индивидуальный дизайн,"Кишинёв мун., Кишинёв, Центр, str. Petru Rares, 36",,185 000 €,
,58 м²,Частное лицо,Новострой,,,https://999.md/ru/104159949?location=subcategory&index=117&cardCategoryId=270&cardSubcategoryId=1404,2,2-х комнатная квартира,104159949,,,,Квартира с ливингом,14,"2-х комнатная квартира,  Старая Почта,  Кишинёв,  Кишинёв мун.",Ecovzor,,Eвроремонт,"Кишинёв мун., Кишинёв, Старая Почта, str. Iazului, 38",Подземная,137 999 €,
,56 м²,Застройщик,Новострой,56 м²,285 см,https://999.md/ru/104574941?location=subcategory&index=118&cardCategoryId=270&cardSubcategoryId=1404,2,1-комнатная квартира,104574941,1,1,Продам,,12,"1-комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",Inamstro,Индивидуальная,Белый вариант,"Кишинёв мун., Кишинёв, Буюканы, str. Calea Ieșilor, 6",,140 000 €,Mонолитный
,70 м²,Агентство,Вторичный,,,https://999.md/ru/104532282?location=subcategory&index=119&cardCategoryId=270&cardSubcategoryId=1404,9,3-х комнатная квартира,104532282,2,1,Продам,Квартира без ливинга,9,"3-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",,,Eвроремонт,"Кишинёв мун., Кишинёв, Чокана, str. Mihail Sadoveanu, 22/3",,96 900 €,
,48 м²,Частное лицо,Новострой,,,https://999.md/ru/104566502?location=subcategory&index=120&cardCategoryId=270&cardSubcategoryId=1404,7,1-комнатная квартира,104566502,2,,,Квартира с ливингом,9,"1-комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",Exfactor-grup,,Eвроремонт,"Кишинёв мун., Кишинёв, Буюканы, str. Ion Buzdugan, 1",,113 000 €,Kирпичный
,70 м²,Частное лицо,Вторичный,,,https://999.md/ru/104578979?location=subcategory&index=121&cardCategoryId=270&cardSubcategoryId=1404,3,3-х комнатная квартира,104578979,,,Продам,,9,"3-х комнатная квартира,  Скулянка,  Кишинёв,  Кишинёв мун.",,,,"Кишинёв мун., Кишинёв, Скулянка, str. Calea Ieșilor, 51",,136 000 €,
25 м²,55 м²,Застройщик,Новострой,30 м²,2800 см,https://999.md/ru/104297885?location=subcategory&index=122&cardCategoryId=270&cardSubcategoryId=1404,1,1-комнатная квартира,104297885,1,1,Продам,Квартира с ливингом,6,"1-комнатная квартира,  Центр,  Думбрава,  Кишинёв мун.",Premium-Cons Grup,Индивидуальная,Незавершенное cтроительство,"Кишинёв мун., Думбрава, Центр, str. Durleşti, 56",Гараж,73 777 €,Kомбинированный
,98 м²,Частное лицо,Новострой,,,https://999.md/ru/104084259?location=subcategory&index=123&cardCategoryId=270&cardSubcategoryId=1404,5,3-х комнатная квартира,104084259,2,,Продам,Квартира с ливингом,11,"3-х комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.",,,,"Кишинёв мун., Кишинёв, Телецентр, str. Constantin Vârnav, 20",Подземная,230 000 €,
,45 м²,Агентство,Новострой,,,https://999.md/ru/70397808?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3ODE0NTcwOTgsIkMiOnsiciI6MSwiYiI6MTAwLCJjIjoyNzAsInoiOjE0MDQsImEiOiI3MDM5NzgwOCIsImkiOiI4OS4xNDkuOTEuMTYyIiwicyI6ImRlc2t0b3BfcmVkZXNpZ24iLCJwIjoiYWRzX2xpc3RfaW5saW5lIiwieCI6IiIsImwiOiJmNmE2YzliNS02ZjRhLTQ3Y2UtYjIyYi1hYTlhYjk5OGVhNDkiLCJlIjoiODkuMTQ5LjkxLjE2MiIsInQiOiIyMDI2LTA2LTE0VDE2OjExOjM4Ljc5NjY1NjEyNFoifX0.j2kL4ijC5rLTeQdTiblNMTkN2FeMokgWckLKo4vj5XI&placement=ADS_LIST_INLINE_REDESIGN&adType=booster&location=subcategory&index=124&cardCategoryId=270&cardSubcategoryId=1404,6,1-комнатная квартира,70397808,,,Сдаю посуточно,,10,"на 3 часа - 250 лей, на ночь - 500 лей в центре Кишинева - ул.Ismail 88, сдаем 24/24.",,,,"Кишинёв мун., Кишинёв, Центр, str. Ismail, 88",,250 MDL,
,50 м²,Частное лицо,Новострой,,,https://999.md/ru/104574581?location=subcategory&index=125&cardCategoryId=270&cardSubcategoryId=1404,3,1-комнатная квартира,104574581,,,Продам,,11,"1-комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",Carpeni,,Сдан в эксплуатацию,"Кишинёв мун., Кишинёв, Ботаника, str. Burebista, 25",,93 000 €,Kотельцовый
27 м²,68 м²,Застройщик,Новострой,40 м²,2800 см,https://999.md/ru/104297911?location=subcategory&index=126&cardCategoryId=270&cardSubcategoryId=1404,1,2-х комнатная квартира,104297911,1,1,,Квартира с ливингом,6,"2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",Premium-Cons Grup,,,"Кишинёв мун., Кишинёв, Буюканы, str. Durlești, 56",Гараж,102 554 €,Kомбинированный
25 м²,123 м²,Частное лицо,Новострой,80 м²,,https://999.md/ru/104571961?location=subcategory&index=127&cardCategoryId=270&cardSubcategoryId=1404,3,2-х комнатная квартира,104571961,,,Продам,,4,"2-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",,,,"Кишинёв мун., Кишинёв, Чокана, str. Ginta Latină, 8",,196 800 €,
,128 м²,Застройщик,Новострой,,,https://999.md/ru/104575563?location=subcategory&index=128&cardCategoryId=270&cardSubcategoryId=1404,7,1-комнатная квартира,104575563,,1,,Квартира с ливингом,9,"1-комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",,,,"Кишинёв мун., Кишинёв, Буюканы, str. Ghioceilor, 1",,589 000 €,
,37 м²,Агентство,Вторичный,,,https://999.md/ru/104577441?location=subcategory&index=129&cardCategoryId=270&cardSubcategoryId=1404,5,1-комнатная квартира,104577441,,,,Квартира без ливинга,5,"1-комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",,,Косметический pемонт,"Кишинёв мун., Кишинёв, Буюканы, str. Alexandru Marinescu, 11/1",Oткрытое,57 500 €,Kотельцовый
,34 м²,Агентство,Вторичный,,,https://999.md/ru/104573209?location=subcategory&index=130&cardCategoryId=270&cardSubcategoryId=1404,5,1-комнатная квартира,104573209,,,,,5,"1-комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",,,,"Кишинёв мун., Кишинёв, Рышкановка, str. Nicolae Dimo, 31/1",,54 900 €,
10 м²,11111 м²,Частное лицо,Вторичный,70 м²,,https://999.md/ru/104616228?location=subcategory&index=131&cardCategoryId=270&cardSubcategoryId=1404,8,3-х комнатная квартира,104616228,,,,Квартира с ливингом,10,"3-х комнатная квартира,  Кишиневский мост,  Бельцы,  Бельцы мун.",,143,Косметический pемонт,"Бельцы мун., Бельцы, Кишиневский мост, str. Nicolae Iorga, 38",,80 000 €,Бетон
,43 м²,Агентство,Новострой,,,https://999.md/ru/103964585?location=subcategory&index=132&cardCategoryId=270&cardSubcategoryId=1404,5,1-комнатная квартира,103964585,,,Продам,Квартира с ливингом,8,"1-комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",,,,"Кишинёв мун., Кишинёв, Рышкановка, str. Postei, ---",,81 694 €,
,45 м²,Агентство,Вторичный,,,https://999.md/ru/104413055?location=subcategory&index=133&cardCategoryId=270&cardSubcategoryId=1404,5,2-х комнатная квартира,104413055,1,1,Продам,Квартира с ливингом,6,"2-х комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.",,,Eвроремонт,"Кишинёв мун., Кишинёв, Телецентр, str. Ialoveni, 96",,89 900 €,
,67 м²,Застройщик,Новострой,67 м²,,https://999.md/ru/104566566?location=subcategory&index=134&cardCategoryId=270&cardSubcategoryId=1404,8,2-х комнатная квартира,104566566,1,2,Продам,Квартира с ливингом,16,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",Inamstro,Индивидуальная,Незавершенное cтроительство,"Кишинёв мун., Кишинёв, Ботаника, str. Nikolai Zelinski, 11",,113 900 €,Mонолитный
,172 м²,Банк,Новострой,,,https://999.md/ru/89282336?location=subcategory&index=135&cardCategoryId=270&cardSubcategoryId=1404,1,3-х комнатная квартира,89282336,1,1,,Квартира с ливингом,10,"3-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",,,Eвроремонт,"Кишинёв мун., Кишинёв, Центр, str. Ion Inculeț, 105/2",,138 000 €,Бетон
,71 м²,Частное лицо,Вторичный,,,https://999.md/ru/104291286?location=subcategory&index=136&cardCategoryId=270&cardSubcategoryId=1404,4,3-х комнатная квартира,104291286,,1,,,9,"3-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",,Мс (Молд. Серия),Eвроремонт,"Кишинёв мун., Кишинёв, Рышкановка, str. Andrei Doga, 32",,125 000 €,Панельный
,46 м²,Застройщик,Новострой,,,https://999.md/ru/104566256?location=subcategory&index=137&cardCategoryId=270&cardSubcategoryId=1404,5,1-комнатная квартира,104566256,1,1,Продам,,16,"1-комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",Inamstro,Индивидуальная,Незавершенное cтроительство,"Кишинёв мун., Кишинёв, Ботаника, str. Nikolai Zelinski, 11",,78 200 €,Mонолитный
