Площадь кухни,Общая площадь,Автор объявления,Жилой фонд,Жилая площадь,Высота потолков,link,Этаж,Количество комнат,id,Санузел,Балкон / лоджия,Тип,Количество этажей,Ливинг,title,Застройщик,Планировка,Состояние квартиры,Адрес,Парковочное место,price,Тип здания
,125 м²,Агентство,Новострой,,,https://999.md/ru/103549486?location=subcategory&index=11&cardCategoryId=270&cardSubcategoryId=1404,13,2-х комнатная квартира,103549486,2,1,,13,,"2-х комнатная квартира,  Старая Почта,  Кишинёв,  Кишинёв мун.",,Индивидуальная,Белый вариант,"Кишинёв мун., Кишинёв, Старая Почта, Iazului, 38",Подземная,175 000 €,Kомбинированный
,56 м²,Застройщик,Новострой,,250 см,https://999.md/ru/74206687?location=subcategory&index=12&cardCategoryId=270&cardSubcategoryId=1404,1,2-х комнатная квартира,74206687,1,1,Продам,6,,"2-х комнатная квартира,  Центр,  Бричаны,  Бричаны",,,Белый вариант,"Бричаны, Бричаны, Центр, Alexandr Karpișin, 13",Oткрытое,44 800 €,Бетон
,130 м²,Агентство,Новострой,,,https://999.md/ru/102131958?location=subcategory&index=13&cardCategoryId=270&cardSubcategoryId=1404,4,3-х комнатная квартира,102131958,2,3,Продам,5,,"3-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",,,Eвроремонт,"Кишинёв мун., Кишинёв, Центр, str. Tighina, 25",Подземная,480 000 €,
,54 м²,Застройщик,Новострой,,,https://999.md/ru/87749896?location=subcategory&index=14&cardCategoryId=270&cardSubcategoryId=1404,4,1-комнатная квартира,87749896,1,Нет,Продам,5,Квартира с ливингом,"1-комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",A-casa,,Белый вариант,"Кишинёв мун., Кишинёв, Буюканы, str. Gheorghe Codreanu, 77",Подземная,81 000 €,Mонолитный
,44 м²,Агентство,Новострой,,,https://999.md/ru/103900881?location=subcategory&index=15&cardCategoryId=270&cardSubcategoryId=1404,8,1-комнатная квартира,103900881,,,Продам,9,Квартира с ливингом,"1-комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.",,,Белый вариант,"Кишинёв мун., Дурлешты, Центр, ул. Николае Димо, 24",Подземная,51 660 €,Kирпичный
,41 м²,Агентство,Вторичный,,,https://999.md/ru/104376906?location=subcategory&index=16&cardCategoryId=270&cardSubcategoryId=1404,3,2-х комнатная квартира,104376906,1,1,,4,,"2-х комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.",,Хрущевка,Eвроремонт,"Кишинёв мун., Кишинёв, Телецентр, str. Mihail Lomonosov, 40.",,89 900 €,
,56 м²,Агентство,Вторичный,,,https://999.md/ru/104259555?location=subcategory&index=17&cardCategoryId=270&cardSubcategoryId=1404,4,2-х комнатная квартира,104259555,1,1,Продам,5,Квартира с ливингом,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",,,Eвроремонт,"Кишинёв мун., Кишинёв, Ботаника, şos. Munceşti, 326",,114 900 €,
,62 м²,Агентство,Новострой,,,https://999.md/ru/104355657?location=subcategory&index=18&cardCategoryId=270&cardSubcategoryId=1404,7,2-х комнатная квартира,104355657,1,,,10,Квартира с ливингом,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",,,Eвроремонт,"Кишинёв мун., Кишинёв, Ботаника, str. Sarmizegetusa, 94/5.",,154 900 €,
27 м²,110 м²,Застройщик,Новострой,,290 см,https://999.md/ru/101794926?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3ODE0NTY5MTcsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDE3OTQ5MjYiLCJpIjoiODkuMTQ5LjkxLjE2MiIsInMiOiJkZXNrdG9wX3JlZGVzaWduIiwicCI6ImFkc19saXN0X2lubGluZSIsIngiOiJwcmVtaXVtIiwibCI6ImNkMjVlNDlkLTBiNDgtNDEzZi05YWIwLWFjZTRhY2Q1ZmQ3OSIsImUiOiI4OS4xNDkuOTEuMTYyIiwiZyI6InR1cmJvIiwidCI6IjIwMjYtMDYtMTRUMTY6MDg6MzcuNTEyODgzODM5WiJ9fQ.ZcVsgNE1MiJxand0eiSgJXBjQr8KXnpXv7sUHc0v274&placement=ADS_LIST_INLINE_REDESIGN&adType=booster&location=subcategory&index=19&cardCategoryId=270&cardSubcategoryId=1404,4,3-х комнатная квартира,101794926,,1,Продам,9,Квартира с ливингом,"3-х комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.",Solomon Construct Imobil,,Незавершенное cтроительство,"Кишинёв мун., Дурлешты, Центр, str. Nicolae Dimo, 24a",,114 732 €,
,58 м²,Агентство,Новострой,,,https://999.md/ru/103933214?location=subcategory&index=20&cardCategoryId=270&cardSubcategoryId=1404,3,2-х комнатная квартира,103933214,1,1,Продам,9,Квартира с ливингом,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",,,Eвроремонт,Расположение,Oткрытое,120 000 €,
,108 м²,Агентство,Новострой,,,https://999.md/ru/104216475?location=subcategory&index=21&cardCategoryId=270&cardSubcategoryId=1404,3,1-комнатная квартира,104216475,,,Продам,11,Квартира с ливингом,"1-комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",,,Eвроремонт,"Кишинёв мун., Кишинёв, Центр, str. Nicolae Testemițanu, 23/1.",,126 500 €,
,20 м²,Агентство,Вторичный,,,https://999.md/ru/104390162?location=subcategory&index=22&cardCategoryId=270&cardSubcategoryId=1404,9,Комната,104390162,1,,Продам,10,,"Комната,  Ботаника,  Кишинёв,  Кишинёв мун.",,,Eвроремонт,"Кишинёв мун., Кишинёв, Ботаника, str. Burebista, 36/2.",,40 900 €,
,20 м²,Агентство,Вторичный,,,https://999.md/ru/104390013?location=subcategory&index=23&cardCategoryId=270&cardSubcategoryId=1404,4,Комната,104390013,1,,Продам,10,,"Комната,  Ботаника,  Кишинёв,  Кишинёв мун.",,,Eвроремонт,"Кишинёв мун., Кишинёв, Ботаника, str. Sarmizegetusa, 18/3.",,44 900 €,
,69 м²,Частное лицо,Новострой,69 м²,280 см,https://999.md/ru/104569154?location=subcategory&index=24&cardCategoryId=270&cardSubcategoryId=1404,8,2-х комнатная квартира,104569154,1,1,Продам,10,,"2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",Lagmar Impex,,Индивидуальный дизайн,"Кишинёв мун., Кишинёв, Буюканы, str. Liviu Deleanu, 14/C",Oткрытое,159 000 €,
,61 м²,Частное лицо,Вторичный,,,https://999.md/ru/102659993?location=subcategory&index=25&cardCategoryId=270&cardSubcategoryId=1404,3,3-х комнатная квартира,102659993,,1,Продам,5,,"3-х комнатная квартира,  Окраина,  Сороки,  Сороки",,,,"Сороки, Сороки, Окраина, str. Iurie Levandovschi, 20",,37 000 €,Kотельцовый
,69 м²,Агентство,Новострой,,,https://999.md/ru/104494765?location=subcategory&index=26&cardCategoryId=270&cardSubcategoryId=1404,7,2-х комнатная квартира,104494765,1,,Продам,9,Квартира с ливингом,"2-х комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.",Solomon Construct Imobil,,Eвроремонт,"Кишинёв мун., Кишинёв, Телецентр, str. Ialoveni, 98.",Подземная,155 000 €,
,60 м²,Агентство,Новострой,,,https://999.md/ru/104191660?location=subcategory&index=27&cardCategoryId=270&cardSubcategoryId=1404,4,2-х комнатная квартира,104191660,1,1,,12,,"2-х комнатная квартира,  Центр,  Ставчены,  Кишинёв мун.",,,Eвроремонт,"Кишинёв мун., Ставчены, Центр, str-la Vierilor, 23",,119 900 €,
,68 м²,Застройщик,Новострой,,,https://999.md/ru/87039989?location=subcategory&index=28&cardCategoryId=270&cardSubcategoryId=1404,3,2-х комнатная квартира,87039989,,,Продам,8,,"2-х комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.",,,,"Кишинёв мун., Кишинёв, Телецентр, str. Ialoveni, 98/1",,102 000 €,
,31 м²,Агентство,Вторичный,,,https://999.md/ru/104489957?location=subcategory&index=29&cardCategoryId=270&cardSubcategoryId=1404,5,1-комнатная квартира,104489957,,,Продам,5,,"1-комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",,,,"Кишинёв мун., Кишинёв, Ботаника, ш. Мунчешть, 794",,57 000 €,
,69 м²,Агентство,Новострой,,,https://999.md/ru/104616488?location=subcategory&index=30&cardCategoryId=270&cardSubcategoryId=1404,5,2-х комнатная квартира,104616488,,,Продам,9,Квартира с ливингом,"2-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",,,,"Кишинёв мун., Кишинёв, Чокана, str. Nicolae Milescu Spătarul, 1",,120 750 €,
,70 м²,Агентство,Вторичный,,,https://999.md/ru/103833476?location=subcategory&index=31&cardCategoryId=270&cardSubcategoryId=1404,9,3-х комнатная квартира,103833476,2,1,Продам,9,,"3-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",,Индивидуальная,Eвроремонт,"Кишинёв мун., Кишинёв, Ботаника, Bulevardul Dacia, 30/1",Oткрытое,101 500 €,Kомбинированный
,44 м²,Агентство,Вторичный,,,https://999.md/ru/104564044?location=subcategory&index=32&cardCategoryId=270&cardSubcategoryId=1404,4,2-х комнатная квартира,104564044,1,1,Продам,5,,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",,102,Косметический pемонт,"Кишинёв мун., Кишинёв, Ботаника, str. Burebista, 66/3",Oткрытое,75 900 €,Kотельцовый
,65 м²,Агентство,Вторичный,,,https://999.md/ru/104154890?location=subcategory&index=33&cardCategoryId=270&cardSubcategoryId=1404,4,3-х комнатная квартира,104154890,2,1,,5,,"3-х комнатная квартира,  Окраина,  Оргеев,  Оргеев",,Индивидуальная,Косметический pемонт,"Оргеев, Оргеев, Окраина, Ioana Iakir, 19",Oткрытое,68 000 €,Kотельцовый
,40 м²,Частное лицо,Новострой,,,https://999.md/ru/80783257?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3ODE0NTY5MTcsIkMiOnsiciI6MSwiYiI6MTAwLCJjIjoyNzAsInoiOjE0MDQsImEiOiI4MDc4MzI1NyIsImkiOiI4OS4xNDkuOTEuMTYyIiwicyI6ImRlc2t0b3BfcmVkZXNpZ24iLCJwIjoiYWRzX2xpc3RfaW5saW5lIiwieCI6IiIsImwiOiJlNDhjZmZiOC0zMjg4LTQyNWQtYTRiOC05NTZhZGY0YmI1MzkiLCJlIjoiODkuMTQ5LjkxLjE2MiIsInQiOiIyMDI2LTA2LTE0VDE2OjA4OjM3LjUxMjk3NDEwOFoifX0.NoTYKohODlcrs9mqIPk4FbpbiJ5l1fx5h-ubxV5ww6A&placement=ADS_LIST_INLINE_REDESIGN&adType=booster&location=subcategory&index=34&cardCategoryId=270&cardSubcategoryId=1404,8,1-комнатная квартира,80783257,1,Нет,Сдаю посуточно,15,,"1-комнатная квартира, 40 м², Центр, Кишинёв",,,Eвроремонт,"Кишинёв мун., Кишинёв, Центр, str. Nicolae Testemițanu, 3/6",Oткрытое,40 €,Kотельцовый
,44 м²,Агентство,Вторичный,,,https://999.md/ru/103892508?location=subcategory&index=35&cardCategoryId=270&cardSubcategoryId=1404,5,2-х комнатная квартира,103892508,1,1,Продам,5,,"2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",,Хрущевка,Без ремонта,"Кишинёв мун., Кишинёв, Центр, bd. Grigore Vieru, 20",Oткрытое,70 000 €,Kотельцовый
,35 м²,Агентство,Новострой,,,https://999.md/ru/104200241?location=subcategory&index=36&cardCategoryId=270&cardSubcategoryId=1404,3,1-комнатная квартира,104200241,1,Нет,Продам,7,,"1-комнатная квартира,  Окраина,  Бубуечь,  Кишинёв мун.",,Индивидуальная,Eвроремонт,"Кишинёв мун., Бубуечь, Окраина, Pietrarilor, 27",Oткрытое,41 000 €,Бетон
15 м²,84 м²,Частное лицо,Вторичный,,,https://999.md/ru/101599503?location=subcategory&index=37&cardCategoryId=270&cardSubcategoryId=1404,4,3-х комнатная квартира,101599503,2,1,Продам,9,Квартира с ливингом,"3-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",,143,Eвроремонт,"Кишинёв мун., Кишинёв, Центр, ул. Измаил, 102",Oткрытое,119 950 €,
,64 м²,Частное лицо,Вторичный,,,https://999.md/ru/103968635?location=subcategory&index=38&cardCategoryId=270&cardSubcategoryId=1404,2,3-х комнатная квартира,103968635,1,1,Продам,5,,"3-х комнатная квартира,  Центр,  Бельцы,  Бельцы мун.",,,Косметический pемонт,"Бельцы мун., Бельцы, Центр, ул. Штефан чел Маре ши Сфынт, 30",Oткрытое,82 000 €,
,41 м²,Частное лицо,Новострой,41 м²,260 см,https://999.md/ru/104289694?location=subcategory&index=39&cardCategoryId=270&cardSubcategoryId=1404,4,1-комнатная квартира,104289694,1,1,Продам,7,Квартира с ливингом,"1-комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.",Boiar House,,Eвроремонт,Расположение,Oткрытое,102 000 €,Бетон
,57 м²,Частное лицо,Вторичный,,,https://999.md/ru/101945978?location=subcategory&index=40&cardCategoryId=270&cardSubcategoryId=1404,3,2-х комнатная квартира,101945978,1,1,,9,,"2-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",,143,Eвроремонт,"Кишинёв мун., Кишинёв, Чокана, bd. Mircea cel Bătrân, 29/2",,122 000 €,Бетон
14 м²,98 м²,Застройщик,Новострой,75 м²,280 см,https://999.md/ru/101306560?location=subcategory&index=41&cardCategoryId=270&cardSubcategoryId=1404,2,3-х комнатная квартира,101306560,2,1,Продам,5,Квартира с ливингом,"3-х комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.",Pamir Construct,Индивидуальная,Незавершенное cтроительство,"Кишинёв мун., Кишинёв, Телецентр, șos. Hâncești, 182",Oткрытое,152 300 €,Kотельцовый
13 м²,73 м²,Застройщик,Новострой,50 м²,280 см,https://999.md/ru/101306481?location=subcategory&index=42&cardCategoryId=270&cardSubcategoryId=1404,2,2-х комнатная квартира,101306481,1,1,Продам,5,Квартира с ливингом,"2-х комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.",Pamir Construct,Индивидуальная,Незавершенное cтроительство,"Кишинёв мун., Кишинёв, Телецентр, șos. Hâncești, 182",Oткрытое,125 600 €,Kотельцовый
13 м²,53 м²,Застройщик,Новострой,30 м²,280 см,https://999.md/ru/101306354?location=subcategory&index=43&cardCategoryId=270&cardSubcategoryId=1404,2,1-комнатная квартира,101306354,,1,Продам,5,Квартира с ливингом,"1-комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.",Pamir Construct,Индивидуальная,Незавершенное cтроительство,"Кишинёв мун., Кишинёв, Телецентр, șos. Hâncești, 182",Oткрытое,90 500 €,Kотельцовый
,75 м²,Агентство,Новострой,,,https://999.md/ru/103245879?location=subcategory&index=44&cardCategoryId=270&cardSubcategoryId=1404,2,3-х комнатная квартира,103245879,1,,Продам,8,Квартира с ливингом,"3-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",Pamir Construct,,Eвроремонт,"Кишинёв мун., Кишинёв, Ботаника, str. Ghica Vodă, 3/A",,199 000 €,
,46 м²,Агентство,Новострой,,,https://999.md/ru/87957964?location=subcategory&index=45&cardCategoryId=270&cardSubcategoryId=1404,3,1-комнатная квартира,87957964,1,1,Продам,5,,"1-комнатная квартира,  Окраина,  Кожушна,  Страшены",,,Белый вариант,"Страшены, Кожушна, Окраина, -, -",Oткрытое,46 000 €,
,75 м²,Застройщик,Новострой,,280 см,https://999.md/ru/80068279?location=subcategory&index=46&cardCategoryId=270&cardSubcategoryId=1404,2,2-х комнатная квартира,80068279,,,Продам,7,,"2-х комнатная квартира,  Центр,  Криково,  Кишинёв мун.",Boiar House,,Белый вариант,"Кишинёв мун., Криково, Центр, str. Calea Basarabiei, 2A",,74 382 €,Mонолитный
,23 м²,Частное лицо,Вторичный,19 м²,,https://999.md/ru/103030510?location=subcategory&index=47&cardCategoryId=270&cardSubcategoryId=1404,3,Комната,103030510,1,,Продам,5,,"Комната,  Буюканы,  Кишинёв,  Кишинёв мун.",,Малосемейная,Eвроремонт,"Кишинёв мун., Кишинёв, Буюканы, str. Buiucani, 6",,43 000 €,Kотельцовый
12 м²,50 м²,Застройщик,Новострой,,286 см,https://999.md/ru/102196003?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3ODE0NTY5MTcsIkMiOnsiciI6MSwiYiI6MTYwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDIxOTYwMDMiLCJpIjoiODkuMTQ5LjkxLjE2MiIsInMiOiJkZXNrdG9wX3JlZGVzaWduIiwicCI6ImFkc19saXN0X2lubGluZSIsIngiOiJwcmVtaXVtIiwibCI6ImFlOTQxZTRiLTE4MGUtNGVjYS1hOTE2LTNhZWVhMmNiMzBmMSIsImUiOiI4OS4xNDkuOTEuMTYyIiwidCI6IjIwMjYtMDYtMTRUMTY6MDg6MzcuNTEzMDYzNDg4WiJ9fQ.zW1cYUEvGdgbVDk3Ci6gZwTams3ecVp5ofV4fgZPnC4&placement=ADS_LIST_INLINE_REDESIGN&adType=booster&location=subcategory&index=48&cardCategoryId=270&cardSubcategoryId=1404,2,Комната,102196003,1,1,Продам,6,Квартира с ливингом,"Комната,  Центр,  Дурлешты,  Кишинёв мун.",Astercon,Индивидуальная,Белый вариант,"Кишинёв мун., Дурлешты, Центр, str. Durlești, 8",Гараж,72 384 €,Ячеистый Бетон
12 м²,84 м²,Застройщик,Новострой,58 м²,280 см,https://999.md/ru/102927645?location=subcategory&index=49&cardCategoryId=270&cardSubcategoryId=1404,7,3-х комнатная квартира,102927645,2,2,,18,Квартира с ливингом,"3-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",Pamir Construct,Индивидуальная,Незавершенное cтроительство,"Кишинёв мун., Кишинёв, Ботаника, bd. Decebal, 139/a",Подземная,158 950 €,Kомбинированный
15 м²,43 м²,Застройщик,Новострой,17 м²,280 см,https://999.md/ru/102910112?location=subcategory&index=50&cardCategoryId=270&cardSubcategoryId=1404,5,1-комнатная квартира,102910112,1,1,Продам,18,,"1-комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",Pamir Construct,Индивидуальная,Белый вариант,"Кишинёв мун., Кишинёв, Ботаника, bd. Decebal, 139/a",Подземная,90 300 €,Блочный
11 м²,60 м²,Застройщик,Новострой,39 м²,280 см,https://999.md/ru/102910132?location=subcategory&index=51&cardCategoryId=270&cardSubcategoryId=1404,7,2-х комнатная квартира,102910132,1,1,Продам,18,Квартира с ливингом,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",Pamir Construct,Индивидуальная,Незавершенное cтроительство,"Кишинёв мун., Кишинёв, Ботаника, bd. Decebal, 139/a",Подземная,114 600 €,Блочный
,98 м²,Частное лицо,Новострой,,265 см,https://999.md/ru/103286466?location=subcategory&index=52&cardCategoryId=270&cardSubcategoryId=1404,3,3-х комнатная квартира,103286466,2,1,Продам,6,Квартира с ливингом,"3-х комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.",Element Stil,,Индивидуальный дизайн,"Кишинёв мун., Дурлешты, Центр, str. Nicolae Dimo, 88/1",,229 900 €,
,140 м²,Частное лицо,Новострой,,,https://999.md/ru/103938755?location=subcategory&index=53&cardCategoryId=270&cardSubcategoryId=1404,Пентхаус,2-х комнатная квартира,103938755,2,4 и более,Продам,10,Квартира с ливингом,"2-х комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.",Pamir Construct,Индивидуальная,Eвроремонт,"Кишинёв мун., Кишинёв, Телецентр, str. Ialoveni, 100/3",Гараж,204 900 €,Kотельцовый
,70 м²,Частное лицо,Новострой,,,https://999.md/ru/103256263?location=subcategory&index=54&cardCategoryId=270&cardSubcategoryId=1404,8,2-х комнатная квартира,103256263,,,Продам,9,Квартира с ливингом,"2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",Exfactor-grup,,Eвроремонт,"Кишинёв мун., Кишинёв, Буюканы, str. Ion Buzdugan, 9",,179 000 €,Kирпичный
,83 м²,Застройщик,Новострой,,,https://999.md/ru/104536136?location=subcategory&index=55&cardCategoryId=270&cardSubcategoryId=1404,3,3-х комнатная квартира,104536136,,1,Продам,6,Квартира с ливингом,"3-х комнатная квартира,  Центр,  Ставчены,  Кишинёв мун.",,,Белый вариант,"Кишинёв мун., Ставчены, Центр, str. Pacii, *",Подземная,107 070 €,Kирпичный
,65 м²,Агентство,Новострой,,,https://999.md/ru/102865055?location=subcategory&index=56&cardCategoryId=270&cardSubcategoryId=1404,3,2-х комнатная квартира,102865055,1,,Продам,10,Квартира с ливингом,"2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",Flormin-Com,,Eвроремонт,"Кишинёв мун., Кишинёв, Буюканы, str. Onisifor Ghibu, 10",Oткрытое,219 900 €,
,56 м²,Частное лицо,Вторичный,,,https://999.md/ru/102844357?location=subcategory&index=57&cardCategoryId=270&cardSubcategoryId=1404,17,2-х комнатная квартира,102844357,2,,Продам,19,,"2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",,Индивидуальная,Косметический pемонт,"Кишинёв мун., Кишинёв, Центр, str. Albișoara, 82/2",Oткрытое,81 000 €,Mонолитный
,57 м²,Агентство,Новострой,,,https://999.md/ru/103382390?location=subcategory&index=58&cardCategoryId=270&cardSubcategoryId=1404,2,2-х комнатная квартира,103382390,,,Продам,5,,"2-х комнатная квартира,  Центр,  Криково,  Кишинёв мун.",,,Косметический pемонт,"Кишинёв мун., Криково, Центр, str. 31 August 1989, 2A",,81 000 €,
,30 м²,Агентство,Вторичный,,,https://999.md/ru/103900875?location=subcategory&index=59&cardCategoryId=270&cardSubcategoryId=1404,1,1-комнатная квартира,103900875,,,Продам,5,,"1-комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",,,Eвроремонт,"Кишинёв мун., Кишинёв, Буюканы, str. Doina și Ion Aldea-Teodorovici, 8",,68 000 €,
