Балкон / лоджия,Состояние квартиры,Санузел,Высота потолков,Планировка,Автор объявления,id,link,Тип здания,Этаж,Количество этажей,Общая площадь,Количество комнат,Парковочное место,Жилой фонд,Застройщик,Жилая площадь,price,Ливинг,Адрес,Тип,title,Площадь кухни
1,Белый вариант,2,275 см,,Застройщик,80966801,https://999.md/ru/80966801?location=subcategory&index=721&cardCategoryId=270&cardSubcategoryId=1404,Kомбинированный,5,12,88 м²,3-х комнатная квартира,Подземная,Новострой,,80 м²,106 480 €,,"Кишинёв мун., Кишинёв, Старая Почта, str. Ceucari, 14",Продам,"3-х комнатная квартира,  Старая Почта,  Кишинёв,  Кишинёв мун.",
1,Eвроремонт,1,,,Агентство,100467508,https://999.md/ru/100467508?location=subcategory&index=722&cardCategoryId=270&cardSubcategoryId=1404,,9,15,76 м²,2-х комнатная квартира,Oткрытое,Новострой,Lagmar Impex,,245 000 €,Квартира с ливингом,"Кишинёв мун., Кишинёв, Центр, ул. Николае Тестемицану, 19",Продам,"2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",
1,Eвроремонт,2,,,Агентство,102413342,https://999.md/ru/102413342?location=subcategory&index=723&cardCategoryId=270&cardSubcategoryId=1404,Kомбинированный,8,9,60 м²,2-х комнатная квартира,,Новострой,Boiar House,,115 000 €,Квартира с ливингом,"Кишинёв мун., Дурлешты, Центр, str. Nicolae Dimo, 24",Продам,"2-х комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.",
1,Косметический pемонт,1,,,Агентство,102540823,https://999.md/ru/102540823?location=subcategory&index=724&cardCategoryId=270&cardSubcategoryId=1404,,1,6,48 м²,Комната,Oткрытое,Новострой,,48 м²,79 900 €,,"Кишинёв мун., Ставчены, Центр, str. Livezilor, 3",Продам,"Комната,  Центр,  Ставчены,  Кишинёв мун.",
2,Белый вариант,2,,Индивидуальная,Застройщик,100234180,https://999.md/ru/100234180?location=subcategory&index=725&cardCategoryId=270&cardSubcategoryId=1404,Kомбинированный,5,10,72 м²,3-х комнатная квартира,,Новострой,Poliprim Grup,,79 200 €,Квартира с ливингом,"Кишинёв мун., Дурлешты, Центр, str. Nicolae Dimo, 26",Продам,"3-х комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.",
,,,,,Агентство,104594608,https://999.md/ru/104594608?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3ODE0NjU0NzksIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDQ1OTQ2MDgiLCJpIjoiODkuMTQ5LjkxLjE2MiIsInMiOiJkZXNrdG9wX3JlZGVzaWduIiwicCI6ImFkc19saXN0X2lubGluZSIsIngiOiJwcm8iLCJsIjoiMGJmY2Q3ZjAtYzE2Mi00NmMyLWFlYzMtYzI0MzUwZTc1MGIwIiwiZSI6Ijg5LjE0OS45MS4xNjIiLCJnIjoidHVyYm8iLCJ0IjoiMjAyNi0wNi0xNFQxODozMToxOS4zOTg5NzMwMjdaIn19.0S9A9c-02yH0vsld2OduP_EHyd_RYGZUnpm-iQ8mN9w&placement=ADS_LIST_INLINE_REDESIGN&adType=booster&location=subcategory&index=726&cardCategoryId=270&cardSubcategoryId=1404,,9,11,62 м²,2-х комнатная квартира,,Новострой,Eldorado Terra,,159 500 €,Квартира с ливингом,"Кишинёв мун., Кишинёв, Центр, str. Nicolae Testemițanu, 3/3",Продам,"2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",
1,Белый вариант,1,,Индивидуальная,Застройщик,100233915,https://999.md/ru/100233915?location=subcategory&index=727&cardCategoryId=270&cardSubcategoryId=1404,Kомбинированный,3,10,41 м²,1-комнатная квартира,,Новострой,Poliprim Grup,,47 150 €,Квартира с ливингом,"Кишинёв мун., Дурлешты, Центр, str. Nicolae Dimo, 26",Продам,"1-комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.",
1,Белый вариант,2,,Индивидуальная,Агентство,101567123,https://999.md/ru/101567123?location=subcategory&index=728&cardCategoryId=270&cardSubcategoryId=1404,Kирпичный,4,8,69 м²,2-х комнатная квартира,Подземная,Новострой,,,104 000 €,Квартира без ливинга,"Кишинёв мун., Кишинёв, Буюканы, ул. Вовинцень, 1b",Продам,"2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",
,Белый вариант,,,,Застройщик,86999937,https://999.md/ru/86999937?location=subcategory&index=729&cardCategoryId=270&cardSubcategoryId=1404,,13,13,85 м²,3-х комнатная квартира,,Новострой,Inamstro,,209 000 €,,"Кишинёв мун., Кишинёв, Скулянка, str. Calea Ieșilor, 6",Продам,"3-х комнатная квартира,  Скулянка,  Кишинёв,  Кишинёв мун.",
,,,,,Застройщик,85456482,https://999.md/ru/85456482?location=subcategory&index=730&cardCategoryId=270&cardSubcategoryId=1404,,5,12,87 м²,3-х комнатная квартира,,Новострой,Solomon Construct Imobil,,130 500 €,,"Кишинёв мун., Кишинёв, Ботаника, str. Grenoble, 134/2",Продам,"3-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",
1,Индивидуальный дизайн,1,240 см,,Частное лицо,104364236,https://999.md/ru/104364236?location=subcategory&index=731&cardCategoryId=270&cardSubcategoryId=1404,Kотельцовый,3,5,41 м²,2-х комнатная квартира,Oткрытое,Вторичный,,,48 500 €,,"Сороки, Сороки, Центр, str. Viilor, 6",Продам,"2-х комнатная квартира,  Центр,  Сороки,  Сороки",
1,Eвроремонт,1,250 см,Индивидуальная,Агентство,104570982,https://999.md/ru/104570982?location=subcategory&index=732&cardCategoryId=270&cardSubcategoryId=1404,Mонолитный,8,10,46 м²,1-комнатная квартира,Oткрытое,Новострой,,30 м²,88 000 €,Квартира с ливингом,"Кишинёв мун., Кишинёв, Рышкановка, str. Dumitru Rîșcanu, 33/4",Продам,"1-комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",8 м²
1,,2,,,Частное лицо,104616905,https://999.md/ru/104616905?location=subcategory&index=733&cardCategoryId=270&cardSubcategoryId=1404,,7,9,72 м²,2-х комнатная квартира,Подземная,Новострой,Exfactor-grup,,129 000 €,Квартира с ливингом,"Кишинёв мун., Кишинёв, Буюканы, str. Ion Buzdugan, 13",Продам,"2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",
1,Eвроремонт,1,,,Частное лицо,104616896,https://999.md/ru/104616896?location=subcategory&index=734&cardCategoryId=270&cardSubcategoryId=1404,,11,11,52 м²,1-комнатная квартира,Oткрытое,Новострой,Kirsan,,96 000 €,Квартира без ливинга,"Кишинёв мун., Кишинёв, Ботаника, str. Burebista, 40/2",Продам,"1-комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",
1,Белый вариант,2,,Индивидуальная,Частное лицо,104575675,https://999.md/ru/104575675?location=subcategory&index=735&cardCategoryId=270&cardSubcategoryId=1404,Kомбинированный,4,9,67 м²,2-х комнатная квартира,,Новострой,Poliprim Grup,,85 000 €,Квартира с ливингом,"Кишинёв мун., Дурлешты, Центр, str. Nicolae Dimo, 24",Продам,"2-х комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.",
,,,,,Агентство,104316770,https://999.md/ru/104316770?location=subcategory&index=736&cardCategoryId=270&cardSubcategoryId=1404,,3,12,43 м²,1-комнатная квартира,,Новострой,,,79 900 €,Квартира с ливингом,"Кишинёв мун., Кишинёв, Ботаника, str. Grenoble, 134/4",Продам,"1-комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",
1,Eвроремонт,2,310 см,,Агентство,104615914,https://999.md/ru/104615914?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3ODE0NjU0NzksIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDQ2MTU5MTQiLCJpIjoiODkuMTQ5LjkxLjE2MiIsInMiOiJkZXNrdG9wX3JlZGVzaWduIiwicCI6ImFkc19saXN0X2lubGluZSIsIngiOiJwcm8iLCJsIjoiNmFjNjk3MzgtMzNiMS00MTFlLTg0MTgtODYwNGVmNGJlNjIxIiwiZSI6Ijg5LjE0OS45MS4xNjIiLCJnIjoidHVyYm8iLCJ0IjoiMjAyNi0wNi0xNFQxODozMToxOS4zOTkwOTQxMDhaIn19.yaNJmhpr-Qi0f8xuWiK8wK5pdsc11fvW8kuHcHGpD-Y&placement=ADS_LIST_INLINE_REDESIGN&adType=booster&location=subcategory&index=737&cardCategoryId=270&cardSubcategoryId=1404,,Пентхаус,13,130 м²,2-х комнатная квартира,Подземная,Новострой,Estate Invest Company,,590 000 €,Квартира с ливингом,"Кишинёв мун., Кишинёв, Рышкановка, bd. Moscova, 9/5",Продам,"2-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",
1,Eвроремонт,2,,,Агентство,103604329,https://999.md/ru/103604329?location=subcategory&index=738&cardCategoryId=270&cardSubcategoryId=1404,,2,6,51 м²,2-х комнатная квартира,Oткрытое,Новострой,,,119 000 €,,Расположение,Продам,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",
,,,,,Агентство,103566799,https://999.md/ru/103566799?location=subcategory&index=739&cardCategoryId=270&cardSubcategoryId=1404,,5,7,63 м²,2-х комнатная квартира,,Новострой,,,140 000 €,,"Кишинёв мун., Думбрава, Окраина, -, -",Продам,"2-х комнатная квартира,  Окраина,  Думбрава,  Кишинёв мун.",
1,Индивидуальный дизайн,1,,,Агентство,103567736,https://999.md/ru/103567736?location=subcategory&index=740&cardCategoryId=270&cardSubcategoryId=1404,,4,14,71 м²,2-х комнатная квартира,,Новострой,,,189 900 €,,"Кишинёв мун., Кишинёв, Буюканы, str. Vasile Lupu, 28",Продам,"2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",
1,Косметический pемонт,1,,,Частное лицо,104616870,https://999.md/ru/104616870?location=subcategory&index=741&cardCategoryId=270&cardSubcategoryId=1404,Kотельцовый,3,5,67 м²,3-х комнатная квартира,Oткрытое,Вторичный,,,24 000 $,Квартира без ливинга,"Бендеры мун., Бендеры, Бам, ул. 40 лет Победы, 12",Продам,"3-х комнатная квартира,  Бам,  Бендеры,  Бендеры мун.",
,Косметический pемонт,,,,Агентство,104616866,https://999.md/ru/104616866?location=subcategory&index=742&cardCategoryId=270&cardSubcategoryId=1404,Mонолитный,13,16,40 м²,1-комнатная квартира,,Вторичный,,,52 900 €,,"Кишинёв мун., Кишинёв, Рышкановка, str. Florilor, 32",Продам,"1-комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",
2,Eвроремонт,2,,,Агентство,102906194,https://999.md/ru/102906194?location=subcategory&index=743&cardCategoryId=270&cardSubcategoryId=1404,,9,12,91 м²,3-х комнатная квартира,Oткрытое,Новострой,Exfactor-grup,,182 000 €,Квартира с ливингом,"Кишинёв мун., Кишинёв, Буюканы, bd. Alba-Iulia, 77/5",Продам,"3-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",
,Белый вариант,,,,Застройщик,103684856,https://999.md/ru/103684856?location=subcategory&index=744&cardCategoryId=270&cardSubcategoryId=1404,,4,6,65 м²,2-х комнатная квартира,,Новострой,Varincom,,78 000 €,,"Кишинёв мун., Криково, Центр, str. Chişinău, 68",Продам,"2-х комнатная квартира,  Центр,  Криково,  Кишинёв мун.",
1,Eвроремонт,1,,,Агентство,101996409,https://999.md/ru/101996409?location=subcategory&index=745&cardCategoryId=270&cardSubcategoryId=1404,,2,10,110 м²,2-х комнатная квартира,Oткрытое,Новострой,,,249 000 €,Квартира с ливингом,"Кишинёв мун., Кишинёв, Ботаника, str. Grenoble, 120/5",Продам,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",
1,Eвроремонт,1,,,Агентство,102558811,https://999.md/ru/102558811?location=subcategory&index=746&cardCategoryId=270&cardSubcategoryId=1404,,7,18,65 м²,2-х комнатная квартира,Oткрытое,Новострой,,,160 000 €,,"Кишинёв мун., Кишинёв, Центр, Str. Tudor Strișcă , 19/5",Продам,"2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",
,Eвроремонт,1,,Индивидуальная,Агентство,104567141,https://999.md/ru/104567141?location=subcategory&index=747&cardCategoryId=270&cardSubcategoryId=1404,Бетон,13,16,55 м²,1-комнатная квартира,,Новострой,,,118 000 €,,Расположение,Продам,"1-комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",
1,Белый вариант,1,,Индивидуальная,Частное лицо,88521078,https://999.md/ru/88521078?location=subcategory&index=748&cardCategoryId=270&cardSubcategoryId=1404,Kирпичный,6,7,73 м²,2-х комнатная квартира,Oткрытое,Новострой,,,64 500 €,,"Бельцы мун., Бельцы, БАМ, str. Mihail Lesecico, 28",Продам,"2-х комнатная квартира,  БАМ,  Бельцы,  Бельцы мун.",
1,Eвроремонт,1,,,Застройщик,101980654,https://999.md/ru/101980654?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3ODE0NjU0NzksIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDE5ODA2NTQiLCJpIjoiODkuMTQ5LjkxLjE2MiIsInMiOiJkZXNrdG9wX3JlZGVzaWduIiwicCI6ImFkc19saXN0X2lubGluZSIsIngiOiJwcmVtaXVtIiwibCI6IjFjYmY5MDM3LTg0OTctNGRkZS1hNDQ4LWY5YmNjMThkZThmZSIsImUiOiI4OS4xNDkuOTEuMTYyIiwiZyI6InR1cmJvIiwidCI6IjIwMjYtMDYtMTRUMTg6MzE6MTkuMzk5MTc3MjY4WiJ9fQ.yxTsmg2bV1vvww3L8DMcMze-0ROCvlAMy_8HPWT9EPU&placement=ADS_LIST_INLINE_REDESIGN&adType=booster&location=subcategory&index=749&cardCategoryId=270&cardSubcategoryId=1404,Kотельцовый,2,6,60 м²,2-х комнатная квартира,,Новострой,,50 м²,100 MDL,Квартира с ливингом,"Кишинёв мун., Кишинёв, Центр, str. Alexandru Hâjdeu, 98",Сдаю посуточно,"2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",
,Косметический pемонт,1,,,Застройщик,104616825,https://999.md/ru/104616825?location=subcategory&index=750&cardCategoryId=270&cardSubcategoryId=1404,,13,16,39 м²,1-комнатная квартира,,Вторичный,,39 м²,55 900 €,,"Кишинёв мун., Кишинёв, Буюканы, str. Nicolae Costin, 61/2",Продам,"1-комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",
1,Eвроремонт,2,,,Агентство,104616820,https://999.md/ru/104616820?location=subcategory&index=751&cardCategoryId=270&cardSubcategoryId=1404,Kотельцовый,1,4,73 м²,3-х комнатная квартира,,Вторичный,,,63 900 €,,Расположение,Продам,"3-х комнатная квартира,  Центр,  Максимовка,  Новые Анены",
,Eвроремонт,1,,,Агентство,104242825,https://999.md/ru/104242825?location=subcategory&index=752&cardCategoryId=270&cardSubcategoryId=1404,,3,9,43 м²,1-комнатная квартира,,Новострой,,,99 000 €,,"Кишинёв мун., Думбрава, Центр,  str. Durlești, 10",Продам,"1-комнатная квартира,  Центр,  Думбрава,  Кишинёв мун.",
,Косметический pемонт,1,,Индивидуальная,Агентство,104179397,https://999.md/ru/104179397?location=subcategory&index=753&cardCategoryId=270&cardSubcategoryId=1404,,8,10,54 м²,1-комнатная квартира,,Новострой,,,69 900 €,,"Кишинёв мун., Кишинёв, Чокана,  str. Ginta Latină, 8",Продам,"1-комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",
1,Белый вариант,2,,Индивидуальная,Агентство,102433372,https://999.md/ru/102433372?location=subcategory&index=754&cardCategoryId=270&cardSubcategoryId=1404,Kомбинированный,2,9,62 м²,1-комнатная квартира,Oткрытое,Новострой,,,85 000 €,,Расположение,Продам,"1-комнатная квартира,  Окраина,  Дурлешты,  Кишинёв мун.",
1,Eвроремонт,1,,Индивидуальная,Агентство,103875026,https://999.md/ru/103875026?location=subcategory&index=755&cardCategoryId=270&cardSubcategoryId=1404,Kомбинированный,Цоколь,9,37 м²,1-комнатная квартира,Подземная,Новострой,,,72 000 €,,"Кишинёв мун., Кишинёв, Ботаника, Băcioii Noi, 14D",Продам,"1-комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",
2,Белый вариант,,275 см,,Застройщик,89185099,https://999.md/ru/89185099?location=subcategory&index=756&cardCategoryId=270&cardSubcategoryId=1404,Kирпичный,3,9,50 м²,1-комнатная квартира,,Новострой,Exfactor-grup,,122 900 €,Квартира с ливингом,"Кишинёв мун., Кишинёв, Ботаника, bd. Dacia, 62",Продам,"1-комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",
,Eвроремонт,,,143,Агентство,104372996,https://999.md/ru/104372996?location=subcategory&index=757&cardCategoryId=270&cardSubcategoryId=1404,,9,9,38 м²,1-комнатная квартира,,Вторичный,,,76 900 €,,"Кишинёв мун., Кишинёв, Буюканы,  Alba-Iulia , 196",Продам,"1-комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",
1,Белый вариант,2,,,Застройщик,100829243,https://999.md/ru/100829243?location=subcategory&index=758&cardCategoryId=270&cardSubcategoryId=1404,Бетон,3,8,83 м²,2-х комнатная квартира,Подземная,Новострой,,,73 590 €,Квартира с ливингом,"Комрат, Комрат, Центр, str. Fedico, 29",Продам,"2-х комнатная квартира,  Центр,  Комрат,  Комрат",
1,Белый вариант,1,270 см,Индивидуальная,Застройщик,89342407,https://999.md/ru/89342407?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3ODE0NjU0NzksIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiI4OTM0MjQwNyIsImkiOiI4OS4xNDkuOTEuMTYyIiwicyI6ImRlc2t0b3BfcmVkZXNpZ24iLCJwIjoiYWRzX2xpc3RfaW5saW5lIiwieCI6IiIsImwiOiI3YjgxMGYzOS0xMTNmLTRmMGUtOWIzMi02ZWNjMWQ1YjhjYTkiLCJlIjoiODkuMTQ5LjkxLjE2MiIsImciOiJ0dXJibyIsInQiOiIyMDI2LTA2LTE0VDE4OjMxOjE5LjM5OTI0NDIzMloifX0.k4x9TE9Q_WKXJu0rGRntQv6KBN0eNEroZ9tY1zCXkWM&placement=ADS_LIST_INLINE_REDESIGN&adType=booster&location=subcategory&index=759&cardCategoryId=270&cardSubcategoryId=1404,Kирпичный,4,18,41 м²,1-комнатная квартира,Подземная,Новострой,Sky House,24 м²,62 700 €,Квартира с ливингом,"Кишинёв мун., Кишинёв, Ботаника, str. Cetatea Albă, 11",Продам,"1-комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",12 м²
,Белый вариант,,,,Агентство,102682796,https://999.md/ru/102682796?location=subcategory&index=760&cardCategoryId=270&cardSubcategoryId=1404,,8,11,90 м²,3-х комнатная квартира,,Новострой,Estate Invest Company,,120 420 €,Квартира с ливингом,"Кишинёв мун., Кишинёв, Чокана, str. Bucovinei, 5/63",Продам,"3-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",
