Балкон / лоджия,Состояние квартиры,Санузел,Планировка,Высота потолков,Автор объявления,id,link,Тип здания,Этаж,Количество этажей,Общая площадь,Количество комнат,Парковочное место,Жилой фонд,Застройщик,Жилая площадь,price,Ливинг,Адрес,Тип,title,Площадь кухни
,,,,,Агентство,104059448,https://999.md/ru/104059448?location=subcategory&index=947&cardCategoryId=270&cardSubcategoryId=1404,,7,11,85 м²,2-х комнатная квартира,,Новострой,,,169 500 €,Квартира с ливингом,"Кишинёв мун., Кишинёв, Ботаника, str. Grenoble, 257",Продам,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",
1,,2,,,Застройщик,104584786,https://999.md/ru/104584786?location=subcategory&index=948&cardCategoryId=270&cardSubcategoryId=1404,,4,9,52 м²,2-х комнатная квартира,,Вторичный,,,97 800 €,,"Кишинёв мун., Кишинёв, Центр, str. Ismail, 106/2",Продам,"2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",
2,Белый вариант,,,275 см,Застройщик,101726117,https://999.md/ru/101726117?location=subcategory&index=949&cardCategoryId=270&cardSubcategoryId=1404,Kирпичный,3,9,78 м²,2-х комнатная квартира,Подземная,Новострой,,,105 300 €,Квартира с ливингом,"Кишинёв мун., Кишинёв, Ботаника, bd. Dacia, 60/5",Продам,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",
2,Белый вариант,1,,,Агентство,104500820,https://999.md/ru/104500820?location=subcategory&index=950&cardCategoryId=270&cardSubcategoryId=1404,,3,5,43 м²,1-комнатная квартира,Подземная,Новострой,,,98 000 €,,"Кишинёв мун., Кишинёв, Ботаника, str. Independenței, Botanica, Chișinău, 5a",Продам,"1-комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",
1,Eвроремонт,1,Индивидуальная,260 см,Частное лицо,104551536,https://999.md/ru/104551536?location=subcategory&index=951&cardCategoryId=270&cardSubcategoryId=1404,Kирпичный,2,11,62 м²,2-х комнатная квартира,Oткрытое,Новострой,Nicons,,119 000 €,Квартира без ливинга,Расположение,Продам,"2-х комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.",16 м²
,Eвроремонт,1,,,Застройщик,104581038,https://999.md/ru/104581038?location=subcategory&index=952&cardCategoryId=270&cardSubcategoryId=1404,,4,7,70 м²,2-х комнатная квартира,,Новострой,,70 м²,134 900 €,,"Яловены, Яловены, Окраина, str. Moldova, 2/1",Продам,"2-х комнатная квартира,  Окраина,  Яловены,  Яловены",
1,Белый вариант,2,,280 см,Агентство,104441252,https://999.md/ru/104441252?location=subcategory&index=953&cardCategoryId=270&cardSubcategoryId=1404,Kомбинированный,4,9,73 м²,2-х комнатная квартира,,Новострой,Golban Trade,,109 500 €,Квартира с ливингом,"Кишинёв мун., Дурлешты, Центр, str. Nicolae Dimo, 98/F",Продам,"2-х комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.",14 м²
1,Eвроремонт,1,,,Агентство,104581244,https://999.md/ru/104581244?location=subcategory&index=954&cardCategoryId=270&cardSubcategoryId=1404,,2,10,51 м²,1-комнатная квартира,,Новострой,,,105 900 €,Квартира с ливингом,Расположение,Продам,"1-комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.",
1,Eвроремонт,1,Малосемейная,250 см,Частное лицо,104584668,https://999.md/ru/104584668?location=subcategory&index=955&cardCategoryId=270&cardSubcategoryId=1404,Kотельцовый,5,5,23 м²,Комната,Oткрытое,Вторичный,A-casa,18 м²,33 000 €,Квартира без ливинга,"Кишинёв мун., Кишинёв, Чокана, str. Maria Drăgan, 18/2",Продам,"Комната,  Чокана,  Кишинёв,  Кишинёв мун.",5 м²
1,Индивидуальный дизайн,2,143,250 см,Частное лицо,104578105,https://999.md/ru/104578105?location=subcategory&index=956&cardCategoryId=270&cardSubcategoryId=1404,Панельный,9,9,47 м²,2-х комнатная квартира,Oткрытое,Вторичный,,,82 000 €,Квартира без ливинга,"Кишинёв мун., Кишинёв, Ботаника, пр-т Дачия, 1",Продам,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",9 м²
,,,,,Частное лицо,104608903,https://999.md/ru/104608903?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3ODE0NjU4NDksIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDQ2MDg5MDMiLCJpIjoiODkuMTQ5LjkxLjE2MiIsInMiOiJkZXNrdG9wX3JlZGVzaWduIiwicCI6ImFkc19saXN0X2lubGluZSIsIngiOiIiLCJsIjoiYjFlZWZkNjAtMDQ0Yi00YjNmLWJlODAtODFkNTgxY2VmNGVjIiwiZSI6Ijg5LjE0OS45MS4xNjIiLCJnIjoicGx1cyIsInQiOiIyMDI2LTA2LTE0VDE4OjM3OjI5LjE3MjIwMDQ4M1oifX0.UZrCntADiOmjSVcjG7s0PI7bbg0wnP6rJSvw3veAsWg&placement=ADS_LIST_INLINE_REDESIGN&adType=booster&location=subcategory&index=957&cardCategoryId=270&cardSubcategoryId=1404,,11,13,73 м²,2-х комнатная квартира,,Новострой,,,134 900 €,,"Кишинёв мун., Кишинёв, Буюканы, str. Vasile Lupu, 28a",Продам,"2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",
2,Индивидуальный дизайн,2,,,Частное лицо,101500097,https://999.md/ru/101500097?location=subcategory&index=958&cardCategoryId=270&cardSubcategoryId=1404,Kирпичный,9,11,92 м²,3-х комнатная квартира,Подземная,Новострой,Exfactor-grup,,182 000 €,Квартира с ливингом,"Кишинёв мун., Кишинёв, Буюканы, пр-т Алба Юлия, 77/5",Продам,"3-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",
1,Нуждается в ремонте,2,,,Агентство,104315547,https://999.md/ru/104315547?location=subcategory&index=959&cardCategoryId=270&cardSubcategoryId=1404,Kотельцовый,5,5,71 м²,3-х комнатная квартира,Oткрытое,Вторичный,,,108 000 €,Квартира с ливингом,"Кишинёв мун., Кишинёв, Центр, str. Mitropolit Dosoftei, 97/3",Продам,"3-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",
1,Косметический pемонт,1,143,,Застройщик,104616656,https://999.md/ru/104616656?location=subcategory&index=960&cardCategoryId=270&cardSubcategoryId=1404,Панельный,5,9,36 м²,1-комнатная квартира,Oткрытое,Вторичный,,,50 999 €,,Расположение,Продам,"1-комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",
,,1,,,Частное лицо,104576278,https://999.md/ru/104576278?location=subcategory&index=961&cardCategoryId=270&cardSubcategoryId=1404,,7,10,50 м²,1-комнатная квартира,,Вторичный,,,92 000 €,,"Кишинёв мун., Кишинёв, Буюканы, str. Alba-Iulia, 113",Продам,"1-комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",
,Белый вариант,1,,,Агентство,104180161,https://999.md/ru/104180161?location=subcategory&index=962&cardCategoryId=270&cardSubcategoryId=1404,,11,13,39 м²,1-комнатная квартира,,Новострой,,,48 608 €,,"Кишинёв мун., Кишинёв, Телецентр, str. Ialoveni, 136",Продам,"1-комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.",
2,Eвроремонт,2,Индивидуальная,275 см,Частное лицо,104532535,https://999.md/ru/104532535?location=subcategory&index=963&cardCategoryId=270&cardSubcategoryId=1404,Mонолитный,1,11,109 м²,3-х комнатная квартира,Oткрытое,Новострой,Ecosem Grup,,206 555 €,Квартира без ливинга,"Кишинёв мун., Кишинёв, Чокана, Nicolai Sulac , 8A",Продам,"3-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",15 м²
,Eвроремонт,,,,Агентство,104193060,https://999.md/ru/104193060?location=subcategory&index=964&cardCategoryId=270&cardSubcategoryId=1404,,3,6,42 м²,1-комнатная квартира,,Новострой,,,77 700 €,Квартира с ливингом,"Оргеев, Оргеев, Центр, str. Constantin Negruzzi, 91",Продам,"1-комнатная квартира,  Центр,  Оргеев,  Оргеев",
2,Белый вариант,2,,,Агентство,104328870,https://999.md/ru/104328870?location=subcategory&index=965&cardCategoryId=270&cardSubcategoryId=1404,,3,12,93 м²,2-х комнатная квартира,,Новострой,,,138 000 €,Квартира с ливингом,"Кишинёв мун., Кишинёв, Ботаника, str. Grenoble, --",Продам,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",
,Eвроремонт,,,,Агентство,104577914,https://999.md/ru/104577914?location=subcategory&index=966&cardCategoryId=270&cardSubcategoryId=1404,,15,16,38 м²,2-х комнатная квартира,,Вторичный,,,79 900 €,,"Кишинёв мун., Кишинёв, Буюканы, str. Nicolae Costin, 61/3",Продам,"2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",
,,,Варц (Варницкая),,Агентство,104599472,https://999.md/ru/104599472?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3ODE0NjU4NDksIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDQ1OTk0NzIiLCJpIjoiODkuMTQ5LjkxLjE2MiIsInMiOiJkZXNrdG9wX3JlZGVzaWduIiwicCI6ImFkc19saXN0X2lubGluZSIsIngiOiIiLCJsIjoiYWViZTFjOGYtNDM2Zi00YzdiLTliZmMtMjY0YjVhM2UyYWFiIiwiZSI6Ijg5LjE0OS45MS4xNjIiLCJnIjoidHVyYm8iLCJ0IjoiMjAyNi0wNi0xNFQxODozNzoyOS4xNzIzMTQ0MDNaIn19.ThKmrAejZ1tzZjQlvPXvyvTLF_Qy36oFriE3vL3anF4&placement=ADS_LIST_INLINE_REDESIGN&adType=booster&location=subcategory&index=967&cardCategoryId=270&cardSubcategoryId=1404,,9,9,50 м²,2-х комнатная квартира,,Вторичный,,,115 000 €,,"Кишинёв мун., Кишинёв, Чокана, str. Igor Vieru, 5",Продам,"2-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",
,Белый вариант,1,Хрущевка,,Застройщик,104616640,https://999.md/ru/104616640?location=subcategory&index=968&cardCategoryId=270&cardSubcategoryId=1404,Kотельцовый,4,4,30 м²,1-комнатная квартира,Oткрытое,Вторичный,,30 м²,49 000 €,,"Кишинёв мун., Кишинёв, Рышкановка, str. Dumitru Rîșcanu, 9",Продам,"1-комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",
,,,,,Агентство,104571749,https://999.md/ru/104571749?location=subcategory&index=969&cardCategoryId=270&cardSubcategoryId=1404,,8,10,75 м²,2-х комнатная квартира,,Новострой,,,175 000 €,Квартира с ливингом,"Кишинёв мун., Кишинёв, Ботаника, str. Burebista, 25",Продам,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",
1,Белый вариант,2,,,Агентство,103122427,https://999.md/ru/103122427?location=subcategory&index=970&cardCategoryId=270&cardSubcategoryId=1404,,2,5,118 м²,3-х комнатная квартира,Подземная,Новострой,,,270 000 €,,"Кишинёв мун., Кишинёв, Телецентр, Str. Pietrarilor, **",Продам,"3-х комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.",
2,,2,,,Застройщик,103243100,https://999.md/ru/103243100?location=subcategory&index=971&cardCategoryId=270&cardSubcategoryId=1404,,6,9,75 м²,2-х комнатная квартира,Подземная,Новострой,,,77 774 €,Квартира с ливингом,"Кишинёв мун., Дурлешты, Центр, str. Cartuşa, ..",Продам,"2-х комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.",
,Индивидуальный дизайн,1,,,Застройщик,103259999,https://999.md/ru/103259999?location=subcategory&index=972&cardCategoryId=270&cardSubcategoryId=1404,,4,14,64 м²,2-х комнатная квартира,Подземная,Новострой,,,179 900 €,Квартира с ливингом,"Кишинёв мун., Кишинёв, Центр, str. Nicolae Testemitanu, 19",Продам,"2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",
,Eвроремонт,,,,Частное лицо,104356759,https://999.md/ru/104356759?location=subcategory&index=973&cardCategoryId=270&cardSubcategoryId=1404,,6,6,64 м²,2-х комнатная квартира,,Новострой,,64 м²,85 000 €,,"Хынчешты, Хынчешты, Центр, str. Toma Ciorbă, 7",Продам,"2-х комнатная квартира,  Центр,  Хынчешты,  Хынчешты",
1,Eвроремонт,1,Индивидуальная,,Агентство,102932231,https://999.md/ru/102932231?location=subcategory&index=974&cardCategoryId=270&cardSubcategoryId=1404,Kомбинированный,4,12,43 м²,1-комнатная квартира,Oткрытое,Новострой,,,95 000 €,,"Кишинёв мун., Кишинёв, Рышкановка, str. Florării, 4",Продам,"1-комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",
1,Косметический pемонт,1,,,Агентство,102527784,https://999.md/ru/102527784?location=subcategory&index=975&cardCategoryId=270&cardSubcategoryId=1404,,7,10,48 м²,1-комнатная квартира,,Новострой,,,94 900 €,,"Кишинёв мун., Кишинёв, Чокана, str. Petru Zadnipru, 14/6",Продам,"1-комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",
,Косметический pемонт,,,,Агентство,104195976,https://999.md/ru/104195976?location=subcategory&index=976&cardCategoryId=270&cardSubcategoryId=1404,,11,14,33 м²,1-комнатная квартира,,Вторичный,,,59 900 €,,"Кишинёв мун., Кишинёв, Чокана, bd. Mircea cel Bătrân, 5/3",Продам,"1-комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",
1,Белый вариант,1,,,Застройщик,104536006,https://999.md/ru/104536006?location=subcategory&index=977&cardCategoryId=270&cardSubcategoryId=1404,,2,11,43 м²,1-комнатная квартира,Подземная,Новострой,,,43 000 €,Квартира с ливингом,"Кишинёв мун., Дурлешты, Центр, str. Regina Elisabeta, *",Продам,"1-комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.",
1,Косметический pемонт,,,,Агентство,104468610,https://999.md/ru/104468610?location=subcategory&index=978&cardCategoryId=270&cardSubcategoryId=1404,,4,5,47 м²,2-х комнатная квартира,,Вторичный,,,95 000 €,,"Кишинёв мун., Кишинёв, Чокана, str. Vasile Vărzaru, 3",Продам,"2-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",
,,1,,,Частное лицо,103867169,https://999.md/ru/103867169?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3ODE0NjU4NDksIkMiOnsiciI6MSwiYiI6MTQwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDM4NjcxNjkiLCJpIjoiODkuMTQ5LjkxLjE2MiIsInMiOiJkZXNrdG9wX3JlZGVzaWduIiwicCI6ImFkc19saXN0X2lubGluZSIsIngiOiIiLCJsIjoiNjNmMDg1NDAtOGMxYy00ZWI4LWI5NTEtYmFmNjJmNDExMmUwIiwiZSI6Ijg5LjE0OS45MS4xNjIiLCJnIjoibGl0ZSIsInQiOiIyMDI2LTA2LTE0VDE4OjM3OjI5LjE3MjM4MDg3WiJ9fQ.L7IvHJvOjZW9bW_MQxBMv4sP1xRNl1VVIysKQtTeO5c&placement=ADS_LIST_INLINE_REDESIGN&adType=booster&location=subcategory&index=979&cardCategoryId=270&cardSubcategoryId=1404,,9,11,45 м²,1-комнатная квартира,Oткрытое,Новострой,,,40 €,Квартира с ливингом,"Кишинёв мун., Кишинёв, Чокана, bd. Mircea cel Batran, 43/E",Сдаю посуточно,"1-комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",
,,,,,Агентство,104267859,https://999.md/ru/104267859?location=subcategory&index=980&cardCategoryId=270&cardSubcategoryId=1404,,2,19,43 м²,1-комнатная квартира,,Новострой,Horus,,77 365 €,,"Кишинёв мун., Кишинёв, Рышкановка, Tudor Vladimirescu, 1/8",Продам,"1-комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",
,Белый вариант,1,,3 см,Застройщик,100766184,https://999.md/ru/100766184?location=subcategory&index=981&cardCategoryId=270&cardSubcategoryId=1404,Бетон,1,8,54 м²,1-комнатная квартира,Подземная,Новострой,,,51 585 €,Квартира с ливингом,"Комрат, Комрат, Центр, str. Fedico, 29",Продам,"1-комнатная квартира,  Центр,  Комрат,  Комрат",
,Eвроремонт,,,,Агентство,104567110,https://999.md/ru/104567110?location=subcategory&index=982&cardCategoryId=270&cardSubcategoryId=1404,,3,9,60 м²,2-х комнатная квартира,,Новострой,,,154 000 €,,Расположение,Продам,"2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",
,,,Мс (Молд. Серия),,Частное лицо,103783190,https://999.md/ru/103783190?location=subcategory&index=983&cardCategoryId=270&cardSubcategoryId=1404,,8,10,49 м²,2-х комнатная квартира,,Вторичный,,,84 000 €,,"Кишинёв мун., Кишинёв, Чокана, str. Nicolae Milescu Spătarul, 1",Продам,"2-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",
1,Белый вариант,1,,,Застройщик,102103199,https://999.md/ru/102103199?location=subcategory&index=984&cardCategoryId=270&cardSubcategoryId=1404,Бетон,4,7,84 м²,3-х комнатная квартира,Подземная,Новострой,A-casa,,120 120 €,Квартира с ливингом,"Кишинёв мун., Кишинёв, Буюканы, str. Bisericii, 1",Продам,"3-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",
1,Белый вариант,1,,,Агентство,83537352,https://999.md/ru/83537352?location=subcategory&index=985&cardCategoryId=270&cardSubcategoryId=1404,,2,2,72 м²,3-х комнатная квартира,Oткрытое,Новострой,,,30 500 €,,"Оргеев, Чишмя, Центр, Cismea, 1",Продам,"3-х комнатная квартира,  Центр,  Чишмя,  Оргеев",
,Eвроремонт,1,,,Агентство,104268016,https://999.md/ru/104268016?location=subcategory&index=986&cardCategoryId=270&cardSubcategoryId=1404,,7,7,32 м²,1-комнатная квартира,,Вторичный,,,57 500 €,,"Кишинёв мун., Кишинёв, Ботаника, str. Independenței, 14",Продам,"1-комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",
1,Нуждается в ремонте,1,,,Агентство,104515613,https://999.md/ru/104515613?location=subcategory&index=987&cardCategoryId=270&cardSubcategoryId=1404,,7,9,32 м²,1-комнатная квартира,,Вторичный,,,59 500 €,,"Кишинёв мун., Кишинёв, Рышкановка, bd. Moscova, --",Продам,"1-комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",
1,Белый вариант,2,Индивидуальная,280 см,Агентство,83918215,https://999.md/ru/83918215?location=subcategory&index=988&cardCategoryId=270&cardSubcategoryId=1404,Kомбинированный,7,10,73 м²,3-х комнатная квартира,Гараж,Новострой,,50 м²,87 900 €,,"Страшены, Кишинёв, str. Cartuşa, 93/2",Продам,"3-х комнатная квартира,  Дурлешты,  Кишинёв,  Страшены",15 м²
,Eвроремонт,,,,Агентство,104133082,https://999.md/ru/104133082?location=subcategory&index=989&cardCategoryId=270&cardSubcategoryId=1404,,3,10,54 м²,2-х комнатная квартира,,Новострой,,,107 000 €,Квартира без ливинга,"Кишинёв мун., Кишинёв, Рышкановка, str. Ceucari, --",Продам,"2-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",
,,,,,Агентство,103884010,https://999.md/ru/103884010?location=subcategory&index=990&cardCategoryId=270&cardSubcategoryId=1404,,3,5,52 м²,2-х комнатная квартира,,Вторичный,,,103 900 €,Квартира с ливингом,"Кишинёв мун., Кишинёв, Ботаника, bd. Cuza Vodă, 16/2",Продам,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",
2,Eвроремонт,2,Индивидуальная,3 см,Частное лицо,88934174,https://999.md/ru/88934174?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3ODE0NjU4NDksIkMiOnsiciI6MSwiYiI6MTAwLCJjIjoyNzAsInoiOjE0MDQsImEiOiI4ODkzNDE3NCIsImkiOiI4OS4xNDkuOTEuMTYyIiwicyI6ImRlc2t0b3BfcmVkZXNpZ24iLCJwIjoiYWRzX2xpc3RfaW5saW5lIiwieCI6IiIsImwiOiJlOTlhZTZmOS01MjEzLTRlMGMtYjk4Mi0zZDc4YzRmMGM5YWYiLCJlIjoiODkuMTQ5LjkxLjE2MiIsInQiOiIyMDI2LTA2LTE0VDE4OjM3OjI5LjE3MjQ1MDMyNFoifX0.ZQegalsVIFtiQmKTrv-3-bWBQEBli8VPn1U1pBl1Zbg&placement=ADS_LIST_INLINE_REDESIGN&adType=booster&location=subcategory&index=991&cardCategoryId=270&cardSubcategoryId=1404,Kотельцовый,1,4,129 м²,3-х комнатная квартира,Oткрытое,Новострой,Braus Imobiliare,89 м²,320 000 €,Квартира с ливингом,"Кишинёв мун., Кишинёв, Чокана, str. Mihail Sadoveanu, 9",Продам,"3-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",40 м²
2,Eвроремонт,2,,,Агентство,104329090,https://999.md/ru/104329090?location=subcategory&index=992&cardCategoryId=270&cardSubcategoryId=1404,,12,12,189 м²,4-x комнатная квартира,Подземная,Новострой,,,369 000 €,,"Кишинёв мун., Кишинёв, Буюканы, Nicolae Costin, --",Продам,"4-x комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",
,,,,,Агентство,103150342,https://999.md/ru/103150342?location=subcategory&index=993&cardCategoryId=270&cardSubcategoryId=1404,,6,7,144 м²,3-х комнатная квартира,,Новострой,,,525 000 €,Квартира с ливингом,"Кишинёв мун., Кишинёв, Центр, str. Moara Roșie, 5/D",Продам,"3-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",
,,,,,Агентство,104554340,https://999.md/ru/104554340?location=subcategory&index=994&cardCategoryId=270&cardSubcategoryId=1404,,4,9,48 м²,2-х комнатная квартира,,Новострой,Pamir Construct,,139 000 €,Квартира с ливингом,"Кишинёв мун., Кишинёв, Ботаника, str. Ghica Vodă, 5",Продам,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",
,,,,,Агентство,104521525,https://999.md/ru/104521525?location=subcategory&index=995&cardCategoryId=270&cardSubcategoryId=1404,,9,10,74 м²,2-х комнатная квартира,,Новострой,Exfactor-grup,,204 900 €,Квартира с ливингом,"Кишинёв мун., Кишинёв, Буюканы, str. Ion Buzdugan, 11",Продам,"2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",
