Балкон / лоджия,Состояние квартиры,Санузел,Высота потолков,Планировка,Автор объявления,id,link,Тип здания,Этаж,Количество этажей,Общая площадь,Парковочное место,Количество комнат,Жилой фонд,Застройщик,Площадь кухни,Жилая площадь,price,Ливинг,Тип,title,Адрес
,,,,,Застройщик,101878983,https://999.md/ru/101878983?location=subcategory&index=268&cardCategoryId=270&cardSubcategoryId=1404,,5,10,76 м²,,3-х комнатная квартира,Новострой,,,,83 600 €,Квартира с ливингом,Продам,"3-х комнатная квартира,  Дурлешты,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Дурлешты, Центр, str. Nicolae Dimo, 24a"
,,,,,Застройщик,101930220,https://999.md/ru/101930220?location=subcategory&index=269&cardCategoryId=270&cardSubcategoryId=1404,,7,12,64 м²,,2-х комнатная квартира,Новострой,Solomon Construct Imobil,,,73 600 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Телецентр, str. Ialoveni, 100/2"
1,,1,,Чш (Чешка),Застройщик,104535964,https://999.md/ru/104535964?location=subcategory&index=270&cardCategoryId=270&cardSubcategoryId=1404,Kотельцовый,2,5,74 м²,Oткрытое,3-х комнатная квартира,Вторичный,,9 м²,45 м²,115 000 €,,Продам,"3-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Рышкановка, str. Bogdan Voievod, 1"
,Белый вариант,,,,Застройщик,103378580,https://999.md/ru/103378580?location=subcategory&index=271&cardCategoryId=270&cardSubcategoryId=1404,,4,9,43 м²,,1-комнатная квартира,Новострой,Varincom,,,57 190 €,,Продам,"1-комнатная квартира,  Старая Почта,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Старая Почта, str-la Studenților, 18"
,Белый вариант,,,,Агентство,103943225,https://999.md/ru/103943225?location=subcategory&index=272&cardCategoryId=270&cardSubcategoryId=1404,,6,6,48 м²,,1-комнатная квартира,Новострой,,,,81 500 €,Квартира с ливингом,Продам,"1-комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Ботаника, bd. Dacia, 58/27"
1,Eвроремонт,2,,Индивидуальная,Агентство,104560685,https://999.md/ru/104560685?location=subcategory&index=273&cardCategoryId=270&cardSubcategoryId=1404,Kомбинированный,Пентхаус,13,123 м²,,3-х комнатная квартира,Новострой,Inamstro,,,447 000 €,Квартира с ливингом,Продам,"3-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Буюканы, ул. Каля Ешилор, 6"
1,Eвроремонт,2,,,Агентство,104574796,https://999.md/ru/104574796?location=subcategory&index=274&cardCategoryId=270&cardSubcategoryId=1404,Kирпичный,1,14,106 м²,Подземная,3-х комнатная квартира,Новострой,Exfactor-grup,,,285 000 €,Квартира с ливингом,Продам,"3-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Буюканы, str. Vasile Lupu, 28"
2,Eвроремонт,1,,,Агентство,104594397,https://999.md/ru/104594397?location=subcategory&index=275&cardCategoryId=270&cardSubcategoryId=1404,,2,9,51 м²,,1-комнатная квартира,Новострой,Exfactor-grup,,,127 500 €,Квартира с ливингом,Продам,"1-комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Ботаника, bd. Dacia, 62"
,Белый вариант,1,,,Застройщик,104002207,https://999.md/ru/104002207?location=subcategory&index=276&cardCategoryId=270&cardSubcategoryId=1404,Kирпичный,4,12,70 м²,,2-х комнатная квартира,Новострой,David's Capital,,,129 500 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Чокана, bd. Mircea cel Bătrân, 47"
,,,,Варц (Варницкая),Агентство,104599472,https://999.md/ru/104599472?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3ODE0NjQ2NzQsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDQ1OTk0NzIiLCJpIjoiODkuMTQ5LjkxLjE2MiIsInMiOiJkZXNrdG9wX3JlZGVzaWduIiwicCI6ImFkc19saXN0X2lubGluZSIsIngiOiIiLCJsIjoiYWViZTFjOGYtNDM2Zi00YzdiLTliZmMtMjY0YjVhM2UyYWFiIiwiZSI6Ijg5LjE0OS45MS4xNjIiLCJnIjoidHVyYm8iLCJ0IjoiMjAyNi0wNi0xNFQxODoxNzo1NC44MzczMDY4MjRaIn19.zqjZ5Zgx_WFXlodgxKJh7XDvfV3iyIOIDwZZoHe-wLk&placement=ADS_LIST_INLINE_REDESIGN&adType=booster&location=subcategory&index=277&cardCategoryId=270&cardSubcategoryId=1404,,9,9,50 м²,,2-х комнатная квартира,Вторичный,,,,115 000 €,,Продам,"2-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Чокана, str. Igor Vieru, 5"
1,Белый вариант,,,Индивидуальная,Застройщик,103757511,https://999.md/ru/103757511?location=subcategory&index=278&cardCategoryId=270&cardSubcategoryId=1404,Kирпичный,10,12,42 м²,,1-комнатная квартира,Новострой,David's Capital,,,77 900 €,Квартира без ливинга,Продам,"1-комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Чокана, bd. Mircea cel Bătrân, 47"
,,,,,Агентство,103566602,https://999.md/ru/103566602?location=subcategory&index=279&cardCategoryId=270&cardSubcategoryId=1404,,6,10,74 м²,,2-х комнатная квартира,Новострой,,,,149 900 €,,Продам,"2-х комнатная квартира,  Окраина,  Дурлешты,  Кишинёв мун.","Кишинёв мун., Дурлешты, Окраина, ул. Картуша, 95/5"
,Eвроремонт,1,,,Агентство,104583345,https://999.md/ru/104583345?location=subcategory&index=280&cardCategoryId=270&cardSubcategoryId=1404,,5,9,40 м²,Oткрытое,1-комнатная квартира,Новострой,Volare Tur,,,97 000 €,,Продам,"1-комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Ботаника, str. Grenoble, 120/6"
,,,,,Агентство,104146092,https://999.md/ru/104146092?location=subcategory&index=281&cardCategoryId=270&cardSubcategoryId=1404,,9,13,52 м²,,1-комнатная квартира,Новострой,,,,59 850 €,,Продам,"1-комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Телецентр, str. Ialoveni, ---"
1,Eвроремонт,3,,,Агентство,103278502,https://999.md/ru/103278502?location=subcategory&index=282&cardCategoryId=270&cardSubcategoryId=1404,,Пентхаус,7,144 м²,,3-х комнатная квартира,Новострой,,,,525 000 €,Квартира с ливингом,Продам,"3-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Центр, str. Moara Roșie, 5"
1,Eвроремонт,2,,,Агентство,104587956,https://999.md/ru/104587956?location=subcategory&index=283&cardCategoryId=270&cardSubcategoryId=1404,,Пентхаус,13,123 м²,Подземная,3-х комнатная квартира,Новострой,Inamstro,,,447 000 €,Квартира с ливингом,Продам,"3-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Буюканы, str. Calea Ieșilor, 6"
,Индивидуальный дизайн,1,,Индивидуальная,Застройщик,101847062,https://999.md/ru/101847062?location=subcategory&index=284&cardCategoryId=270&cardSubcategoryId=1404,Kомбинированный,6,10,45 м²,Oткрытое,1-комнатная квартира,Новострой,Varincom,12 м²,,114 900 €,Квартира с ливингом,Продам,"1-комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Рышкановка, str. Nicolae Dimo, 13"
1,Eвроремонт,1,,,Агентство,103865903,https://999.md/ru/103865903?location=subcategory&index=285&cardCategoryId=270&cardSubcategoryId=1404,,2,4,45 м²,,2-х комнатная квартира,Вторичный,,,,87 000 €,,Продам,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Ботаника, Str. Pandurilor, 55\1"
Нет,,,,,Агентство,102317233,https://999.md/ru/102317233?location=subcategory&index=286&cardCategoryId=270&cardSubcategoryId=1404,,1,9,34 м²,,1-комнатная квартира,Вторичный,,,,59 900 €,,Продам,"1-комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Ботаника, str. Valea Crucii, 6"
,Белый вариант,1,,,Агентство,104124891,https://999.md/ru/104124891?location=subcategory&index=287&cardCategoryId=270&cardSubcategoryId=1404,,16,18,38 м²,,1-комнатная квартира,Новострой,,,,68 515 €,,Продам,"1-комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Ботаника, str. Dimineții, 96"
1,Белый вариант,1,280 см,,Застройщик,100908300,https://999.md/ru/100908300?location=subcategory&index=288&cardCategoryId=270&cardSubcategoryId=1404,Kирпичный,7,10,48 м²,Подземная,1-комнатная квартира,Новострой,Braus Imobiliare,,,67 550 €,Квартира с ливингом,Продам,"1-комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Телецентр, sos. Hincesti, 140/1"
,Белый вариант,,,,Застройщик,102546021,https://999.md/ru/102546021?location=subcategory&index=289&cardCategoryId=270&cardSubcategoryId=1404,,12,12,171 м²,,4-x комнатная квартира,Новострой,,,,307 800 €,Квартира с ливингом,Продам,"4-x комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Ботаника, str. Grenoble, 134"
1,,2,,,Частное лицо,104536387,https://999.md/ru/104536387?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3ODE0NjQ2NzQsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDQ1MzYzODciLCJpIjoiODkuMTQ5LjkxLjE2MiIsInMiOiJkZXNrdG9wX3JlZGVzaWduIiwicCI6ImFkc19saXN0X2lubGluZSIsIngiOiIiLCJsIjoiODY4ZmU5ODYtY2ZlNC00NzA4LThiZTAtZWEwNTUyZjhiOWZkIiwiZSI6Ijg5LjE0OS45MS4xNjIiLCJnIjoidHVyYm8iLCJ0IjoiMjAyNi0wNi0xNFQxODoxNzo1NC44MzczOTY2MTJaIn19.WXcRH3SroS-ViWdnXY2_ciSVeU_dfzAsx2zI_j_icds&placement=ADS_LIST_INLINE_REDESIGN&adType=booster&location=subcategory&index=290&cardCategoryId=270&cardSubcategoryId=1404,,7,9,60 м²,Oткрытое,3-х комнатная квартира,Вторичный,,,,650 €,Квартира с ливингом,Сдаю помесячно,"3-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Буюканы, Str. Nicolae Costin , 65/3"
,Eвроремонт,1,,,Агентство,104072949,https://999.md/ru/104072949?location=subcategory&index=291&cardCategoryId=270&cardSubcategoryId=1404,,3,9,41 м²,Подземная,2-х комнатная квартира,Новострой,,,,125 000 €,,Продам,"2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Буюканы,  bd. Alba Iulia , 23"
,Сдан в эксплуатацию,,,,Частное лицо,104432818,https://999.md/ru/104432818?location=subcategory&index=292&cardCategoryId=270&cardSubcategoryId=1404,,8,11,60 м²,,1-комнатная квартира,Новострой,Dansicons,,,130 000 €,,Продам,"1-комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Центр, str. Nicolae Testemițanu, 21"
,Eвроремонт,1,,,Агентство,104494765,https://999.md/ru/104494765?location=subcategory&index=293&cardCategoryId=270&cardSubcategoryId=1404,,7,9,69 м²,Подземная,2-х комнатная квартира,Новострой,Solomon Construct Imobil,,,155 000 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Телецентр, str. Ialoveni, 98."
