Балкон / лоджия,Состояние квартиры,Санузел,Высота потолков,Планировка,Автор объявления,id,link,Этаж,Тип здания,Количество этажей,Общая площадь,Количество комнат,Парковочное место,Жилой фонд,Застройщик,Жилая площадь,price,Ливинг,Тип,Адрес,title,Площадь кухни
1,Eвроремонт,1,,,Агентство,104259555,https://999.md/ru/104259555?location=subcategory&index=1026&cardCategoryId=270&cardSubcategoryId=1404,4,,5,56 м²,2-х комнатная квартира,,Вторичный,,,114 900 €,Квартира с ливингом,Продам,"Кишинёв мун., Кишинёв, Ботаника, şos. Munceşti, 326","2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",
,Eвроремонт,1,,,Агентство,104355657,https://999.md/ru/104355657?location=subcategory&index=1027&cardCategoryId=270&cardSubcategoryId=1404,7,,10,62 м²,2-х комнатная квартира,,Новострой,,,154 900 €,Квартира с ливингом,Продам,"Кишинёв мун., Кишинёв, Ботаника, str. Sarmizegetusa, 94/5.","2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",
1,Eвроремонт,1,,,Агентство,103933214,https://999.md/ru/103933214?location=subcategory&index=1028&cardCategoryId=270&cardSubcategoryId=1404,3,,9,58 м²,2-х комнатная квартира,Oткрытое,Новострой,,,120 000 €,Квартира с ливингом,Продам,Расположение,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",
,Eвроремонт,,,,Агентство,104216475,https://999.md/ru/104216475?location=subcategory&index=1029&cardCategoryId=270&cardSubcategoryId=1404,3,,11,108 м²,1-комнатная квартира,,Новострой,,,126 500 €,Квартира с ливингом,Продам,"Кишинёв мун., Кишинёв, Центр, str. Nicolae Testemițanu, 23/1.","1-комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",
,Eвроремонт,1,,,Агентство,104390162,https://999.md/ru/104390162?location=subcategory&index=1030&cardCategoryId=270&cardSubcategoryId=1404,9,,10,20 м²,Комната,,Вторичный,,,40 900 €,,Продам,"Кишинёв мун., Кишинёв, Ботаника, str. Burebista, 36/2.","Комната,  Ботаника,  Кишинёв,  Кишинёв мун.",
,Eвроремонт,1,,,Агентство,104390013,https://999.md/ru/104390013?location=subcategory&index=1031&cardCategoryId=270&cardSubcategoryId=1404,4,,10,20 м²,Комната,,Вторичный,,,44 900 €,,Продам,"Кишинёв мун., Кишинёв, Ботаника, str. Sarmizegetusa, 18/3.","Комната,  Ботаника,  Кишинёв,  Кишинёв мун.",
1,Индивидуальный дизайн,1,280 см,,Частное лицо,104569154,https://999.md/ru/104569154?location=subcategory&index=1032&cardCategoryId=270&cardSubcategoryId=1404,8,,10,69 м²,2-х комнатная квартира,Oткрытое,Новострой,Lagmar Impex,69 м²,159 000 €,,Продам,"Кишинёв мун., Кишинёв, Буюканы, str. Liviu Deleanu, 14/C","2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",
1,,,,,Частное лицо,102659993,https://999.md/ru/102659993?location=subcategory&index=1033&cardCategoryId=270&cardSubcategoryId=1404,3,Kотельцовый,5,61 м²,3-х комнатная квартира,,Вторичный,,,37 000 €,,Продам,"Сороки, Сороки, Окраина, str. Iurie Levandovschi, 20","3-х комнатная квартира,  Окраина,  Сороки,  Сороки",
1,Eвроремонт,1,,,Агентство,104191660,https://999.md/ru/104191660?location=subcategory&index=1034&cardCategoryId=270&cardSubcategoryId=1404,4,,12,60 м²,2-х комнатная квартира,,Новострой,,,119 900 €,,Продам,"Кишинёв мун., Ставчены, Центр, str-la Vierilor, 23","2-х комнатная квартира,  Центр,  Ставчены,  Кишинёв мун.",
1,Eвроремонт,2,310 см,,Агентство,104615914,https://999.md/ru/104615914?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3ODE0NjU5NjgsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDQ2MTU5MTQiLCJpIjoiODkuMTQ5LjkxLjE2MiIsInMiOiJkZXNrdG9wX3JlZGVzaWduIiwicCI6ImFkc19saXN0X2lubGluZSIsIngiOiJwcm8iLCJsIjoiNmFjNjk3MzgtMzNiMS00MTFlLTg0MTgtODYwNGVmNGJlNjIxIiwiZSI6Ijg5LjE0OS45MS4xNjIiLCJnIjoidHVyYm8iLCJ0IjoiMjAyNi0wNi0xNFQxODozOToyOC41NDY3NTc2MzRaIn19.l7FB3f_efj2Ew5ps2dnmk41r99Yy1ra7Xb9nSbdEr7g&placement=ADS_LIST_INLINE_REDESIGN&adType=booster&location=subcategory&index=1035&cardCategoryId=270&cardSubcategoryId=1404,Пентхаус,,13,130 м²,2-х комнатная квартира,Подземная,Новострой,Estate Invest Company,,590 000 €,Квартира с ливингом,Продам,"Кишинёв мун., Кишинёв, Рышкановка, bd. Moscova, 9/5","2-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",
,,,,,Агентство,104489957,https://999.md/ru/104489957?location=subcategory&index=1036&cardCategoryId=270&cardSubcategoryId=1404,5,,5,31 м²,1-комнатная квартира,,Вторичный,,,57 000 €,,Продам,"Кишинёв мун., Кишинёв, Ботаника, ш. Мунчешть, 794","1-комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",
,,,,,Агентство,104616488,https://999.md/ru/104616488?location=subcategory&index=1037&cardCategoryId=270&cardSubcategoryId=1404,5,,9,69 м²,2-х комнатная квартира,,Новострой,,,120 750 €,Квартира с ливингом,Продам,"Кишинёв мун., Кишинёв, Чокана, str. Nicolae Milescu Spătarul, 1","2-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",
1,Eвроремонт,2,,Индивидуальная,Агентство,103833476,https://999.md/ru/103833476?location=subcategory&index=1038&cardCategoryId=270&cardSubcategoryId=1404,9,Kомбинированный,9,70 м²,3-х комнатная квартира,Oткрытое,Вторичный,,,101 500 €,,Продам,"Кишинёв мун., Кишинёв, Ботаника, Bulevardul Dacia, 30/1","3-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",
1,Косметический pемонт,1,,102,Агентство,104564044,https://999.md/ru/104564044?location=subcategory&index=1039&cardCategoryId=270&cardSubcategoryId=1404,4,Kотельцовый,5,44 м²,2-х комнатная квартира,Oткрытое,Вторичный,,,75 900 €,,Продам,"Кишинёв мун., Кишинёв, Ботаника, str. Burebista, 66/3","2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",
1,Косметический pемонт,2,,Индивидуальная,Агентство,104154890,https://999.md/ru/104154890?location=subcategory&index=1040&cardCategoryId=270&cardSubcategoryId=1404,4,Kотельцовый,5,65 м²,3-х комнатная квартира,Oткрытое,Вторичный,,,68 000 €,,Продам,"Оргеев, Оргеев, Окраина, Ioana Iakir, 19","3-х комнатная квартира,  Окраина,  Оргеев,  Оргеев",
1,Без ремонта,1,,Хрущевка,Агентство,103892508,https://999.md/ru/103892508?location=subcategory&index=1041&cardCategoryId=270&cardSubcategoryId=1404,5,Kотельцовый,5,44 м²,2-х комнатная квартира,Oткрытое,Вторичный,,,70 000 €,,Продам,"Кишинёв мун., Кишинёв, Центр, bd. Grigore Vieru, 20","2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",
Нет,Eвроремонт,1,,Индивидуальная,Агентство,104200241,https://999.md/ru/104200241?location=subcategory&index=1042&cardCategoryId=270&cardSubcategoryId=1404,3,Бетон,7,35 м²,1-комнатная квартира,Oткрытое,Новострой,,,41 000 €,,Продам,"Кишинёв мун., Бубуечь, Окраина, Pietrarilor, 27","1-комнатная квартира,  Окраина,  Бубуечь,  Кишинёв мун.",
1,Eвроремонт,2,,143,Частное лицо,101599503,https://999.md/ru/101599503?location=subcategory&index=1043&cardCategoryId=270&cardSubcategoryId=1404,4,,9,84 м²,3-х комнатная квартира,Oткрытое,Вторичный,,,119 950 €,Квартира с ливингом,Продам,"Кишинёв мун., Кишинёв, Центр, ул. Измаил, 102","3-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",15 м²
1,Косметический pемонт,1,,,Частное лицо,103968635,https://999.md/ru/103968635?location=subcategory&index=1044&cardCategoryId=270&cardSubcategoryId=1404,2,,5,64 м²,3-х комнатная квартира,Oткрытое,Вторичный,,,82 000 €,,Продам,"Бельцы мун., Бельцы, Центр, ул. Штефан чел Маре ши Сфынт, 30","3-х комнатная квартира,  Центр,  Бельцы,  Бельцы мун.",
1,Eвроремонт,1,260 см,,Частное лицо,104289694,https://999.md/ru/104289694?location=subcategory&index=1045&cardCategoryId=270&cardSubcategoryId=1404,4,Бетон,7,41 м²,1-комнатная квартира,Oткрытое,Новострой,Boiar House,41 м²,102 000 €,Квартира с ливингом,Продам,Расположение,"1-комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.",
1,Eвроремонт,1,,143,Частное лицо,101945978,https://999.md/ru/101945978?location=subcategory&index=1046&cardCategoryId=270&cardSubcategoryId=1404,3,Бетон,9,57 м²,2-х комнатная квартира,,Вторичный,,,122 000 €,,Продам,"Кишинёв мун., Кишинёв, Чокана, bd. Mircea cel Bătrân, 29/2","2-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",
1,Белый вариант,1,,,Агентство,87957964,https://999.md/ru/87957964?location=subcategory&index=1047&cardCategoryId=270&cardSubcategoryId=1404,3,,5,46 м²,1-комнатная квартира,Oткрытое,Новострой,,,46 000 €,,Продам,"Страшены, Кожушна, Окраина, -, -","1-комнатная квартира,  Окраина,  Кожушна,  Страшены",
,,,,,Частное лицо,104578243,https://999.md/ru/104578243?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3ODE0NjU5NjgsIkMiOnsiciI6MSwiYiI6MTQwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDQ1NzgyNDMiLCJpIjoiODkuMTQ5LjkxLjE2MiIsInMiOiJkZXNrdG9wX3JlZGVzaWduIiwicCI6ImFkc19saXN0X2lubGluZSIsIngiOiIiLCJsIjoiYzU2NjAyNTEtYjE0Zi00Nzc4LWJlNDgtNTQyYmYxNDMxMzE0IiwiZSI6Ijg5LjE0OS45MS4xNjIiLCJnIjoibGl0ZSIsInQiOiIyMDI2LTA2LTE0VDE4OjM5OjI4LjU0NjgzOTY1M1oifX0.l_m3bq_dZs1R0yEOAeSI_MOuJdNfKUBBNQ4-GTB3fMs&placement=ADS_LIST_INLINE_REDESIGN&adType=booster&location=subcategory&index=1048&cardCategoryId=270&cardSubcategoryId=1404,1,,11,74 м²,3-х комнатная квартира,,Новострой,Basconslux,,149 000 €,Квартира с ливингом,Продам,"Кишинёв мун., Кишинёв, Телецентр, str. Sprîncenoaia, 3/G","3-х комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.",
,Eвроремонт,1,,Малосемейная,Частное лицо,103030510,https://999.md/ru/103030510?location=subcategory&index=1049&cardCategoryId=270&cardSubcategoryId=1404,3,Kотельцовый,5,23 м²,Комната,,Вторичный,,19 м²,43 000 €,,Продам,"Кишинёв мун., Кишинёв, Буюканы, str. Buiucani, 6","Комната,  Буюканы,  Кишинёв,  Кишинёв мун.",
4 и более,Eвроремонт,2,,Индивидуальная,Частное лицо,103938755,https://999.md/ru/103938755?location=subcategory&index=1050&cardCategoryId=270&cardSubcategoryId=1404,Пентхаус,Kотельцовый,10,140 м²,2-х комнатная квартира,Гараж,Новострой,Pamir Construct,,204 900 €,Квартира с ливингом,Продам,"Кишинёв мун., Кишинёв, Телецентр, str. Ialoveni, 100/3","2-х комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.",
,Eвроремонт,,,,Частное лицо,103256263,https://999.md/ru/103256263?location=subcategory&index=1051&cardCategoryId=270&cardSubcategoryId=1404,8,Kирпичный,9,70 м²,2-х комнатная квартира,,Новострой,Exfactor-grup,,179 000 €,Квартира с ливингом,Продам,"Кишинёв мун., Кишинёв, Буюканы, str. Ion Buzdugan, 9","2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",
1,Белый вариант,,,,Застройщик,104536136,https://999.md/ru/104536136?location=subcategory&index=1052&cardCategoryId=270&cardSubcategoryId=1404,3,Kирпичный,6,83 м²,3-х комнатная квартира,Подземная,Новострой,,,107 070 €,Квартира с ливингом,Продам,"Кишинёв мун., Ставчены, Центр, str. Pacii, *","3-х комнатная квартира,  Центр,  Ставчены,  Кишинёв мун.",
,Косметический pемонт,2,,Индивидуальная,Частное лицо,102844357,https://999.md/ru/102844357?location=subcategory&index=1053&cardCategoryId=270&cardSubcategoryId=1404,17,Mонолитный,19,56 м²,2-х комнатная квартира,Oткрытое,Вторичный,,,81 000 €,,Продам,"Кишинёв мун., Кишинёв, Центр, str. Albișoara, 82/2","2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",
,Косметический pемонт,,,,Агентство,103382390,https://999.md/ru/103382390?location=subcategory&index=1054&cardCategoryId=270&cardSubcategoryId=1404,2,,5,57 м²,2-х комнатная квартира,,Новострой,,,81 000 €,,Продам,"Кишинёв мун., Криково, Центр, str. 31 August 1989, 2A","2-х комнатная квартира,  Центр,  Криково,  Кишинёв мун.",
,Eвроремонт,,,,Агентство,103900875,https://999.md/ru/103900875?location=subcategory&index=1055&cardCategoryId=270&cardSubcategoryId=1404,1,,5,30 м²,1-комнатная квартира,,Вторичный,,,68 000 €,,Продам,"Кишинёв мун., Кишинёв, Буюканы, str. Doina și Ion Aldea-Teodorovici, 8","1-комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",
1,Косметический pемонт,2,,143,Агентство,103679077,https://999.md/ru/103679077?location=subcategory&index=1056&cardCategoryId=270&cardSubcategoryId=1404,1,,9,53 м²,2-х комнатная квартира,Oткрытое,Вторичный,,,89 500 €,Квартира без ливинга,Продам,"Кишинёв мун., Кишинёв, Чокана, bd. Mircea cel Batran, 22/1","2-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",
2,Eвроремонт,2,,,Агентство,104594490,https://999.md/ru/104594490?location=subcategory&index=1057&cardCategoryId=270&cardSubcategoryId=1404,10,,12,100 м²,2-х комнатная квартира,,Новострой,,,360 000 €,Квартира с ливингом,Продам,"Кишинёв мун., Кишинёв, Центр, bd. Ştefan cel Mare şi Sfânt, 141","2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",
1,Белый вариант,1,290 см,Индивидуальная,Застройщик,87676914,https://999.md/ru/87676914?location=subcategory&index=1058&cardCategoryId=270&cardSubcategoryId=1404,1,Kомбинированный,9,51 м²,1-комнатная квартира,Подземная,Новострой,Lagmar Impex,,77 900 €,Квартира с ливингом,Продам,"Кишинёв мун., Кишинёв, Рышкановка, str. Calea Moșilor, 4","1-комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",
,,,,,Частное лицо,104571961,https://999.md/ru/104571961?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3ODE0NjU5NjgsIkMiOnsiciI6MSwiYiI6MTQwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDQ1NzE5NjEiLCJpIjoiODkuMTQ5LjkxLjE2MiIsInMiOiJkZXNrdG9wX3JlZGVzaWduIiwicCI6ImFkc19saXN0X2lubGluZSIsIngiOiIiLCJsIjoiMDNkOWM1NzctODE1NC00YTcyLTlmMTAtYzViNTRmMjU2Nzk2IiwiZSI6Ijg5LjE0OS45MS4xNjIiLCJnIjoibGl0ZSIsInQiOiIyMDI2LTA2LTE0VDE4OjM5OjI4LjU0NjkxNzAwNloifX0.-Vl7BE_Ed2EW41H1nNJ7Jccx18KeVwOC5Nhby0gRlMw&placement=ADS_LIST_INLINE_REDESIGN&adType=booster&location=subcategory&index=1059&cardCategoryId=270&cardSubcategoryId=1404,3,,4,123 м²,2-х комнатная квартира,,Новострой,,80 м²,196 800 €,,Продам,"Кишинёв мун., Кишинёв, Чокана, str. Ginta Latină, 8","2-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",25 м²
,Косметический pемонт,1,,,Частное лицо,103889848,https://999.md/ru/103889848?location=subcategory&index=1060&cardCategoryId=270&cardSubcategoryId=1404,1,,1,28 м²,1-комнатная квартира,,Вторичный,,,44 500 €,,Продам,"Кишинёв мун., Кишинёв, Центр, str. Bogdan Petriceicu Hașdeu, 26","1-комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",
,,,,,Частное лицо,104616166,https://999.md/ru/104616166?location=subcategory&index=1061&cardCategoryId=270&cardSubcategoryId=1404,2,,5,28 м²,2-х комнатная квартира,,Вторичный,,,46 900 €,,Продам,"Кишинёв мун., Кишинёв, Чокана, str. Maria Drăgan, 18/1","2-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",
,Eвроремонт,,,,Агентство,103366549,https://999.md/ru/103366549?location=subcategory&index=1062&cardCategoryId=270&cardSubcategoryId=1404,5,,6,77 м²,2-х комнатная квартира,,Новострой,,,135 000 €,Квартира с ливингом,Продам,"Оргеев, Оргеев, Окраина, str. Nistreană, 2","2-х комнатная квартира,  Окраина,  Оргеев,  Оргеев",
1,Eвроремонт,1,,,Агентство,102962314,https://999.md/ru/102962314?location=subcategory&index=1063&cardCategoryId=270&cardSubcategoryId=1404,2,,9,65 м²,3-х комнатная квартира,,Новострой,,,117 000 €,,Продам,"Кишинёв мун., Кишинёв, Ботаника, Str. Băcioii Noi, 14","3-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",
1,Eвроремонт,1,,,Агентство,104092863,https://999.md/ru/104092863?location=subcategory&index=1064&cardCategoryId=270&cardSubcategoryId=1404,2,,7,58 м²,2-х комнатная квартира,,Новострой,,,122 000 €,Квартира с ливингом,Продам,"Яловены, Яловены, Окраина, str. Moldova, 2/1","2-х комнатная квартира,  Окраина,  Яловены,  Яловены",
1,Eвроремонт,1,,,Агентство,104300592,https://999.md/ru/104300592?location=subcategory&index=1065&cardCategoryId=270&cardSubcategoryId=1404,5,,10,65 м²,2-х комнатная квартира,Oткрытое,Новострой,Pamir Construct,,123 000 €,Квартира с ливингом,Продам,"Кишинёв мун., Кишинёв, Телецентр, str. Ialoveni, 100/3","2-х комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.",
,Eвроремонт,1,,,Агентство,103958640,https://999.md/ru/103958640?location=subcategory&index=1066&cardCategoryId=270&cardSubcategoryId=1404,3,,9,31 м²,1-комнатная квартира,Подземная,Новострой,,,79 500 €,,Продам,"Кишинёв мун., Кишинёв, Центр, str. Ialoveni, 98/1","1-комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",
1,,,,,Агентство,103221669,https://999.md/ru/103221669?location=subcategory&index=1067&cardCategoryId=270&cardSubcategoryId=1404,10,,10,47 м²,1-комнатная квартира,Подземная,Новострой,,,118 900 €,Квартира с ливингом,Продам,"Кишинёв мун., Кишинёв, Чокана, bd. Mircea cel Bătrân, 43/B","1-комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",
,,,,,Агентство,104201180,https://999.md/ru/104201180?location=subcategory&index=1068&cardCategoryId=270&cardSubcategoryId=1404,4,,8,46 м²,1-комнатная квартира,,Новострой,,,73 000 €,,Продам,"Кишинёв мун., Дурлешты, Центр, Regina Elisabeta, 1","1-комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.",
1,,1,,,Частное лицо,104321664,https://999.md/ru/104321664?location=subcategory&index=1069&cardCategoryId=270&cardSubcategoryId=1404,4,,5,38 м²,1-комнатная квартира,,Вторичный,,28 м²,59 900 €,,Продам,"Кишинёв мун., Кишинёв, Рышкановка, str. Miron Costin, 11/2","1-комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",
1,Eвроремонт,1,,Индивидуальная,Агентство,104417593,https://999.md/ru/104417593?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3ODE0NjU5NjgsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDQ0MTc1OTMiLCJpIjoiODkuMTQ5LjkxLjE2MiIsInMiOiJkZXNrdG9wX3JlZGVzaWduIiwicCI6ImFkc19saXN0X2lubGluZSIsIngiOiJwcmVtaXVtIiwibCI6ImUwZjAyYjViLWEyNTgtNDY5YS04OGEzLWRjZWM5YTIxNzEyNSIsImUiOiI4OS4xNDkuOTEuMTYyIiwiZyI6InR1cmJvIiwidCI6IjIwMjYtMDYtMTRUMTg6Mzk6MjguNTQ3MDEwNjYyWiJ9fQ.D_vhSAJLUvgUjJza_bxO1l5UFUTszPPpYgSh5p8NiYk&placement=ADS_LIST_INLINE_REDESIGN&adType=booster&location=subcategory&index=1070&cardCategoryId=270&cardSubcategoryId=1404,1,,4,78 м²,2-х комнатная квартира,Oткрытое,Новострой,,,214 900 €,,Продам,"Кишинёв мун., Кишинёв, Центр, str.Tighina, **","2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",
1,Белый вариант,2,,,Застройщик,103242695,https://999.md/ru/103242695?location=subcategory&index=1071&cardCategoryId=270&cardSubcategoryId=1404,8,,9,70 м²,3-х комнатная квартира,Подземная,Новострой,,,103 005 €,Квартира с ливингом,Продам,"Кишинёв мун., Дурлешты, Центр, str. Cartuşa, ..","3-х комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.",
1,Белый вариант,1,,,Застройщик,103242930,https://999.md/ru/103242930?location=subcategory&index=1072&cardCategoryId=270&cardSubcategoryId=1404,1,,9,57 м²,2-х комнатная квартира,Подземная,Новострой,,,62 315 €,,Продам,"Кишинёв мун., Дурлешты, Центр, str. Cartuşa, ..","2-х комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.",
,,,,,Агентство,104147495,https://999.md/ru/104147495?location=subcategory&index=1073&cardCategoryId=270&cardSubcategoryId=1404,3,,9,36 м²,1-комнатная квартира,,Вторичный,,,65 900 €,,Продам,"Кишинёв мун., Кишинёв, Чокана, bd. Mircea cel Bătrân, ---","1-комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",
