rooms,parcing_space,layout,price,balcony,bathroom,living,apartment_condition,author,building_type,housing_stock,developer,total_floors,floor,region,city,sector,street,area
1-комнатная квартира,,,52000.0,1,1,,Нуждается в ремонте,Застройщик,Kотельцовый,Вторичный,,4,2.0,Кишинёв мун.,Кишинёв,Ботаника,str. Nikolai Zelinski 4,31
3-х комнатная квартира,Oткрытое,Чш (Чешка),225000.0,2,,Квартира с ливингом,Eвроремонт,Застройщик,Kотельцовый,Вторичный,,5,4.0,Кишинёв мун.,Кишинёв,Телецентр,str. Academiei 6/2,148
1-комнатная квартира,Подземная,,144450.0,1,1,Квартира с ливингом,Белый вариант,Застройщик,Kирпичный,Новострой,Braus Imobiliare,4,1.0,Кишинёв мун.,Кишинёв,Рышкановка,ул. Чиркулуй 61,54
1-комнатная квартира,,,109990.0,,1,,Eвроремонт,Агентство,,Новострой,,10,7.0,Кишинёв мун.,Кишинёв,Буюканы,ул. Иоана Раду -,45
2-х комнатная квартира,,,146900.0,,,,,Агентство,,Новострой,,5,3.0,Кишинёв мун.,Кишинёв,Буюканы,пр-т Алба-Юлия 17/A,68
2-х комнатная квартира,Подземная,Индивидуальная,105700.0,1,1,,Белый вариант,Частное лицо,Kирпичный,Новострой,Inamstro,16,15.0,Кишинёв мун.,Кишинёв,Ботаника,str. Grădina Botanică 18/1,64
2-х комнатная квартира,Подземная,,98900.0,1,2,Квартира с ливингом,Белый вариант,Застройщик,Mонолитный,Новострой,,6,3.0,Кишинёв мун.,Криково,Центр,str. Chişinău 81,86
2-х комнатная квартира,Подземная,,207900.0,2,2,Квартира с ливингом,Белый вариант,Застройщик,,Новострой,Ecovzor,13,13.0,Кишинёв мун.,Кишинёв,Рышкановка,ул. Язулуй 38,126
1-комнатная квартира,,,86500.0,1,,,Белый вариант,,,Новострой,,12,3.0,Кишинёв мун.,Кишинёв,Ботаника,str. Grădina Botanică 14/1,51
2-х комнатная квартира,,,108900.0,,,,,Агентство,,Новострой,,9,5.0,Кишинёв мун.,Кишинёв,Чокана,str. Nicolae Milescu Spatarul 57,66
2-х комнатная квартира,,Индивидуальная,89900.0,1,1,Квартира с ливингом,Eвроремонт,Застройщик,Kотельцовый,Вторичный,,5,1.0,Кишинёв мун.,Кишинёв,Ботаника,ул. Николае Титулеску 53/2,46
1-комнатная квартира,,,61000.0,,,Квартира с ливингом,,Частное лицо,,Новострой,Lagmar Impex,10,1.0,Кишинёв мун.,Кишинёв,Старая Почта,str. Ceucari 1/1,43
1-комнатная квартира,Подземная,,67200.0,2,,Квартира с ливингом,Белый вариант,Застройщик,Kирпичный,Новострой,,9,3.0,Кишинёв мун.,Кишинёв,Ботаника,bd. Dacia 60/5,47
1-комнатная квартира,Подземная,Индивидуальная,85400.0,1,1,,Белый вариант,Застройщик,Блочный,Новострой,Pamir Construct,18,5.0,Кишинёв мун.,Кишинёв,Ботаника,bd. Decebal 139/a,43
2-х комнатная квартира,Подземная,Индивидуальная,114600.0,1,1,Квартира с ливингом,Незавершенное cтроительство,Застройщик,Блочный,Новострой,Pamir Construct,18,7.0,Кишинёв мун.,Кишинёв,Ботаника,bd. Decebal 139/a,60
3-х комнатная квартира,Подземная,,209900.0,1,2,Квартира с ливингом,Белый вариант,Агентство,,Новострой,Exfactor-grup,14,12.0,Кишинёв мун.,Кишинёв,Буюканы,str. Vasile Lupu 28,112
3-х комнатная квартира,Oткрытое,Индивидуальная,147300.0,1,2,Квартира с ливингом,Незавершенное cтроительство,Застройщик,Kотельцовый,Новострой,Pamir Construct,5,2.0,Кишинёв мун.,Кишинёв,Телецентр,șos. Hâncești 182,98
1-комнатная квартира,Oткрытое,Индивидуальная,85200.0,1,,Квартира с ливингом,Незавершенное cтроительство,Застройщик,Kотельцовый,Новострой,Pamir Construct,5,2.0,Кишинёв мун.,Кишинёв,Телецентр,șos. Hâncești 182,53
1-комнатная квартира,,,109000.0,,,,Eвроремонт,Агентство,,Новострой,,10,9.0,Кишинёв мун.,Кишинёв,Ботаника,str. Burebista 25,43
2-х комнатная квартира,,,78000.0,,,,Белый вариант,Застройщик,,Новострой,Varicom,6,4.0,Кишинёв мун.,Криково,Центр,str. Chişinău 68,65
3-х комнатная квартира,,Мс (Молд. Серия),139000.0,,2,,Eвроремонт,Частное лицо,,Вторичный,,9,8.0,Кишинёв мун.,Кишинёв,Буюканы,str. Onisifor Ghibu 2,78
3-х комнатная квартира,Подземная,,177000.0,1,2,Квартира с ливингом,Eвроремонт,Частное лицо,,Новострой,,11,7.0,Кишинёв мун.,Кишинёв,Ботаника,str. Grenoble 257,85
2-х комнатная квартира,,,82900.0,,,Квартира с ливингом,Белый вариант,Застройщик,,Новострой,,10,3.0,Кишинёв мун.,Дурлешты,Центр,str. Atelierilor 23,59
1-комнатная квартира,,,73000.0,,,,Eвроремонт,Застройщик,,Вторичный,,5,5.0,Кишинёв мун.,Кишинёв,Рышкановка,str. Nicolae Dimo 17/1,42
2-х комнатная квартира,,,98000.0,,1,,Eвроремонт,Агентство,,Вторичный,,5,3.0,Кишинёв мун.,Кишинёв,Телецентр,str.Drumul Viilor 43 43,47
2-х комнатная квартира,,,109900.0,,,Квартира с ливингом,Белый вариант,,,Новострой,,10,7.0,Кишинёв мун.,Кишинёв,Буюканы,str. Calea Ieșilor 63/6,84
2-х комнатная квартира,,,84500.0,,,Квартира с ливингом,Белый вариант,Застройщик,,Новострой,,10,4.0,Кишинёв мун.,Дурлешты,Центр,str. Cartuşa 93/2,79
2-х комнатная квартира,,,76900.0,1,1,Квартира с ливингом,Незавершенное cтроительство,Застройщик,,Новострой,Solomon Construct Imobil,10,1.0,Кишинёв мун.,Дурлешты,Центр,str. Nicolae Dimo 24a,72
2-х комнатная квартира,,,159900.0,2,1,Квартира с ливингом,Eвроремонт,Частное лицо,,Новострой,Gonvaro-Con,9,8.0,Кишинёв мун.,Кишинёв,Центр,str. Vasile Alecsandri 11,72
1-комнатная квартира,Подземная,,46150.0,1,1,Квартира с ливингом,Белый вариант,Застройщик,,Новострой,Golban Trade,9,5.0,Кишинёв мун.,Дурлешты,Окраина,ул. Николае Димо 101,40
2-х комнатная квартира,,,77030.0,1,2,Квартира с ливингом,Незавершенное cтроительство,Застройщик,,Новострой,Solomon Construct Imobil,10,1.0,Кишинёв мун.,Дурлешты,Центр,str. Nicolae Dimo 24a,72
2-х комнатная квартира,,,74382.0,,,Квартира с ливингом,,Застройщик,,Новострой,,10,7.0,Кишинёв мун.,Криково,Центр,str. Calea Basarabiei 2,75
1-комнатная квартира,Oткрытое,Индивидуальная,65000.0,1,1,,Eвроремонт,Агентство,,Вторичный,,22,9.0,Кишинёв мун.,Кишинёв,Ботаника,Dacia .,41
1-комнатная квартира,,,59500.0,,,Квартира с ливингом,Белый вариант,Застройщик,,Новострой,,10,2.0,Кишинёв мун.,Кишинёв,Рышкановка,str. Ceucari 11/1,42
1-комнатная квартира,,,78900.0,,,,,Застройщик,,Новострой,,18,12.0,Кишинёв мун.,Кишинёв,Центр,str. Tudor Vladimirescu 1a,45
1-комнатная квартира,Oткрытое,,55999.0,Нет,1,Квартира без ливинга,Eвроремонт,Застройщик,Kирпичный,Новострой,Dansicons,5,1.0,Кишинёв мун.,Кишинёв,Телецентр,str. Costiujeni 74,30
1-комнатная квартира,,,106900.0,,1,Квартира с ливингом,Eвроремонт,Застройщик,Mонолитный,Новострой,Golban Trade,6,5.0,Кишинёв мун.,Дурлешты,Окраина,str. Nicolae Dimo 36,42
1-комнатная квартира,Oткрытое,,106900.0,Нет,1,Квартира с ливингом,Eвроремонт,Застройщик,Mонолитный,Новострой,Golban Trade,6,5.0,Кишинёв мун.,Дурлешты,Центр,str. Mihail Odatiuc 57,42
2-х комнатная квартира,,,127900.0,2,1,Квартира с ливингом,Eвроремонт,Агентство,,Новострой,,10,1.0,Кишинёв мун.,Кишинёв,Ботаника,str. Dimineții 22,72
1-комнатная квартира,Oткрытое,Индивидуальная,44900.0,Нет,1,,Eвроремонт,Агентство,,Вторичный,,5,1.0,Кишинёв мун.,Кишинёв,Рышкановка,str. Nicolae Dimo .,21
3-х комнатная квартира,,,86800.0,,,,Незавершенное cтроительство,Застройщик,,Новострой,Boiar House,10,9.0,Кишинёв мун.,Дурлешты,Центр,str. Nicolae Dimo 24/B,87
2-х комнатная квартира,Подземная,,92250.0,2,2,,Белый вариант,Застройщик,Mонолитный,Новострой,,9,4.0,Кишинёв мун.,Кишинёв,Старая Почта,str. Ceucari 11/1,75
1-комнатная квартира,Oткрытое,,149900.0,,,Квартира с ливингом,Eвроремонт,Застройщик,,Новострой,Inamstro,9,8.0,Кишинёв мун.,Кишинёв,Чокана,str. Ion Dumeniuc 6,64
1-комнатная квартира,Oткрытое,,55000.0,Нет,1,Квартира без ливинга,Косметический pемонт,Агентство,Mонолитный,Вторичный,,9,6.0,Кишинёв мун.,Кишинёв,Чокана,str. Voluntarilor 10,34
2-х комнатная квартира,Oткрытое,,219900.0,,1,Квартира с ливингом,Eвроремонт,Агентство,,Новострой,Inamstro,14,10.0,Кишинёв мун.,Кишинёв,Буюканы,ул. Каля Ешилор 6,68
2-х комнатная квартира,,,60368.0,,1,Квартира с ливингом,,Застройщик,,Новострой,,10,8.0,Кишинёв мун.,Криково,Центр,str. Ştefan cel Mare și Sfînt 10,62
2-х комнатная квартира,,,89990.0,1,2,Квартира с ливингом,Белый вариант,Частное лицо,,Новострой,Lagmar Impex,9,8.0,Кишинёв мун.,Кишинёв,Телецентр,sos. Hincesti 142,69
3-х комнатная квартира,Oткрытое,,176500.0,Нет,2,Квартира с ливингом,Eвроремонт,Агентство,,Новострой,,9,4.0,Кишинёв мун.,Кишинёв,Чокана,bd. Mircea cel Bătrân 39,85
2-х комнатная квартира,Подземная,,140400.0,,2,Квартира с ливингом,Белый вариант,Застройщик,Kирпичный,Новострой,NG Invest,25,14.0,Кишинёв мун.,Кишинёв,Рышкановка,str. Spartacus 36,72
2-х комнатная квартира,Подземная,,87750.0,1,2,Квартира с ливингом,Белый вариант,Застройщик,Kирпичный,Новострой,NG Invest,9,,Кишинёв мун.,Дурлешты,Центр,str. Nicolae Dimo 24a,75
1-комнатная квартира,Подземная,,68250.0,Нет,,,Белый вариант,Застройщик,Kирпичный,Новострой,NG Invest,25,13.0,Кишинёв мун.,Кишинёв,Рышкановка,str. Spartacus 36,35
2-х комнатная квартира,,,139900.0,1,1,Квартира с ливингом,Индивидуальный дизайн,Застройщик,,Новострой,Poliprim Grup,5,2.0,Кишинёв мун.,Кишинёв,Старая Почта,str. Gheorghe Madan 50/4,65
Комната,,,34000.0,,,,,Агентство,,Вторичный,,5,3.0,Кишинёв мун.,Кишинёв,Ботаника,str. Burebista 66/2,14
2-х комнатная квартира,,,82000.0,,,,,Агентство,,Вторичный,,5,5.0,Кишинёв мун.,Кишинёв,Рышкановка,str. Nicolae Dimo 13/4,42
1-комнатная квартира,Гараж,,57600.0,,1,Квартира с ливингом,Белый вариант,Застройщик,Mонолитный,Новострой,,6,6.0,Кишинёв мун.,Криково,Центр,str. Vasile Alescandri 5,48
1-комнатная квартира,Oткрытое,Индивидуальная,23900.0,Нет,1,,Eвроремонт,Агентство,,Вторичный,,5,1.0,Кишинёв мун.,Кишинёв,Ботаника,şos. Munceşti .,16
2-х комнатная квартира,Oткрытое,Индивидуальная,155000.0,1,1,Квартира с ливингом,Eвроремонт,Агентство,,Новострой,,10,1.0,Кишинёв мун.,Кишинёв,Чокана,bd. Mircea cel Bătrân .,65
3-х комнатная квартира,,,119900.0,1,1,Квартира с ливингом,Eвроремонт,Частное лицо,,Вторичный,,5,2.0,Кишинёв мун.,Кишинёв,Ботаника,str. Nikolai Zelinski 12,60
2-х комнатная квартира,,,73600.0,,,Квартира с ливингом,,Застройщик,,Новострой,Solomon Construct Imobil,12,7.0,Кишинёв мун.,Кишинёв,Телецентр,str. Ialoveni 100/2,64
3-х комнатная квартира,,,73000.0,,,,Косметический pемонт,Агентство,,Вторичный,,2,1.0,Кишинёв мун.,Кишинёв,Телецентр,str. Alexandru Cosmescu *,58
2-х комнатная квартира,,,136900.0,1,2,Квартира с ливингом,Eвроремонт,Агентство,,Новострой,Exfactor-grup,10,9.0,Кишинёв мун.,Кишинёв,Ботаника,Dacia -,85
1-комнатная квартира,,,65050.0,,,,,Агентство,,Новострой,Varicom,9,6.0,Кишинёв мун.,Кишинёв,Старая Почта,str-la Studenților 18,48
1-комнатная квартира,,,58500.0,,,,,Агентство,,Вторичный,,4,4.0,Кишинёв мун.,Кишинёв,Ботаника,str. Nicolae Titulescu 20,35
2-х комнатная квартира,,,235950.0,2,2,Квартира с ливингом,Белый вариант,Застройщик,,Новострой,Ecovzor,13,13.0,Кишинёв мун.,Кишинёв,Старая Почта,Iazului  38,143
2-х комнатная квартира,Гараж,Индивидуальная,81432.0,Нет,1,Квартира без ливинга,Белый вариант,Застройщик,Ячеистый Бетон,Новострой,Astercon,6,6.0,Кишинёв мун.,Дурлешты,Центр,str. Durlești 8,56
1-комнатная квартира,Oткрытое,Индивидуальная,86500.0,1,1,,Eвроремонт,Агентство,Ячеистый Бетон,Новострой,Basconslux,10,8.0,Кишинёв мун.,Кишинёв,Старая Почта,str. Ceucari 2/4,42
5-ти комн. кварт. и более,,,975000.0,2,4 и более,,Eвроремонт,Частное лицо,,Новострой,,6,,Кишинёв мун.,Кишинёв,Центр,str. Mihai Eminescu 41/1,324
1-комнатная квартира,,,36005.0,1,1,,,Застройщик,,Новострой,Boiar House,10,4.0,Кишинёв мун.,Дурлешты,Центр,str. Nicolae Dimo 24a,38
1-комнатная квартира,,,64960.0,1,1,Квартира без ливинга,,Агентство,,Новострой,,15,13.0,Кишинёв мун.,Кишинёв,Старая Почта,str. Cucorilor 82,47
2-х комнатная квартира,Подземная,,139900.0,,1,Квартира с ливингом,Eвроремонт,Застройщик,,Новострой,,10,7.0,Кишинёв мун.,Дурлешты,Центр,str. Cartuşa 95,72
1-комнатная квартира,,,79900.0,1,1,Квартира с ливингом,,Агентство,Kирпичный,Новострой,Estate Invest Company,11,3.0,Кишинёв мун.,Дурлешты,Окраина,str. Ialoveni 136,53
1-комнатная квартира,,,74900.0,1,1,Квартира с ливингом,,Агентство,Kирпичный,Новострой,Lagmar Impex,16,9.0,Кишинёв мун.,Кишинёв,Рышкановка,str. Tudor Vladimirescu 1,48
2-х комнатная квартира,Подземная,,108600.0,1,2,Квартира с ливингом,Белый вариант,Агентство,Kомбинированный,Новострой,,10,3.0,Кишинёв мун.,Дурлешты,Центр,Cartusa 95,73
1-комнатная квартира,Подземная,,81900.0,2,2,Квартира с ливингом,Белый вариант,Застройщик,Kирпичный,Новострой,Braus Imobiliare,10,4.0,Кишинёв мун.,Кишинёв,Телецентр,sos. Hincesti 140/1,58
2-х комнатная квартира,,,97700.0,1,1,,Eвроремонт,Частное лицо,,Вторичный,,5,1.0,Кишинёв мун.,Кишинёв,Рышкановка,str. Andrei Doga 45/1,54
2-х комнатная квартира,Oткрытое,,149500.0,2,1,,,Частное лицо,,Новострой,Varicom,16,12.0,Кишинёв мун.,Кишинёв,Ботаника,str. Grădina Botanică 20/1,71
2-х комнатная квартира,,,87010.0,,2,,Незавершенное cтроительство,Застройщик,,Новострой,,9,9.0,Кишинёв мун.,Дурлешты,Центр,str. Nicolae Dimo 24/a,79
1-комнатная квартира,,,71000.0,,,,Eвроремонт,Агентство,,Вторичный,,5,1.0,Кишинёв мун.,Кишинёв,Буюканы,str. Doina și Ion Aldea-Teodorovici 8,30
1-комнатная квартира,Подземная,,79900.0,2,2,Квартира с ливингом,Белый вариант,Застройщик,Kирпичный,Новострой,Exfactor-grup,9,8.0,Кишинёв мун.,Кишинёв,Ботаника,bd. Dacia 62,51
1-комнатная квартира,,Индивидуальная,48000.0,1,1,Квартира с ливингом,Белый вариант,Частное лицо,,Новострой,Estate Invest Company,12,1.0,Кишинёв мун.,Кишинёв,Телецентр,str. Alexandru Lăpușneanu 5,48
2-х комнатная квартира,,,125000.0,1,1,,Eвроремонт,Агентство,,Новострой,,16,15.0,Кишинёв мун.,Кишинёв,Ботаника,str. Burebista 114/2,68
2-х комнатная квартира,,,79123.0,,,Квартира с ливингом,Незавершенное cтроительство,Застройщик,,Новострой,Solomon Construct Imobil,9,5.0,Кишинёв мун.,Дурлешты,Центр,str. Nicolae Dimo 24a,72
1-комнатная квартира,,,69000.0,,,,,Застройщик,,Новострой,,18,9.0,Кишинёв мун.,Кишинёв,Ботаника,şos. Munceşti 90,42
1-комнатная квартира,,,69000.0,,,,,Застройщик,,Новострой,Sky House,18,9.0,Кишинёв мун.,Кишинёв,Ботаника,şos. Munceşti 90,42
1-комнатная квартира,,,55420.0,,,Квартира с ливингом,Белый вариант,Агентство,Kирпичный,Новострой,Lagmar Impex,12,8.0,Кишинёв мун.,Кишинёв,Старая Почта,str. Ceucari 11/1,37
3-х комнатная квартира,Подземная,,103700.0,2,2,Квартира с ливингом,Белый вариант,Застройщик,Kирпичный,Новострой,Braus Imobiliare,10,4.0,Кишинёв мун.,Кишинёв,Телецентр,sos. Hincesti 140/1,74
2-х комнатная квартира,,,136000.0,1,1,,Белый вариант,Застройщик,,Новострой,Exfactor-grup,13,12.0,Кишинёв мун.,Кишинёв,Буюканы,str. Vasile Lupu 28,68
2-х комнатная квартира,,,101900.0,1,1,,Eвроремонт,Агентство,Kотельцовый,Вторичный,,5,2.0,Кишинёв мун.,Кишинёв,Ботаника,str. Căușeni 3,75
1-комнатная квартира,,,62000.0,,,Квартира с ливингом,Белый вариант,Агентство,Kирпичный,Новострой,Lagmar Impex,14,7.0,Кишинёв мун.,Кишинёв,Рышкановка,str. Tudor Vladimirescu 18,46
2-х комнатная квартира,,,108900.0,1,1,,Белый вариант,Агентство,,Новострой,,16,9.0,Кишинёв мун.,Кишинёв,Ботаника,str. Burebista 114/2,68
3-х комнатная квартира,,,130500.0,,,,,Застройщик,,Новострой,Solomon Construct Imobil,12,5.0,Кишинёв мун.,Кишинёв,Ботаника,str. Grenoble 134/4,87
2-х комнатная квартира,Подземная,,208170.0,1,2,Квартира с ливингом,Белый вариант,Застройщик,Kирпичный,Новострой,Braus Imobiliare,4,1.0,Кишинёв мун.,Кишинёв,Рышкановка,ул. Чиркулуй 61,77
2-х комнатная квартира,,,137000.0,1,2,,Eвроремонт,Частное лицо,,Новострой,Solomon Construct Imobil,11,2.0,Кишинёв мун.,Кишинёв,Чокана,bd. Mircea cel Bătrân 35/E,55
2-х комнатная квартира,Подземная,,179900.0,,1,Квартира с ливингом,,Агентство,,Новострой,,14,4.0,Кишинёв мун.,Кишинёв,Центр,Nicolae Testimiteanu  19,64
1-комнатная квартира,,,77999.0,,,,Сдан в эксплуатацию,Частное лицо,,Новострой,,16,9.0,Кишинёв мун.,Кишинёв,Чокана,str. Ginta Latina 8,53
3-х комнатная квартира,,,100300.0,2,2,,Незавершенное cтроительство,Застройщик,,Новострой,Boiar House,10,9.0,Кишинёв мун.,Дурлешты,Центр,str. Nicolae Dimo 24/B,100
2-х комнатная квартира,Подземная,,99800.0,Нет,1,Квартира с ливингом,Белый вариант,Частное лицо,Kирпичный,Новострой,Peak Development,9,4.0,Кишинёв мун.,Кишинёв,Чокана,str. Vadul lui Vodă 30,62
1-комнатная квартира,,,59000.0,1,1,,Незавершенное cтроительство,Частное лицо,Kирпичный,Новострой,Lagmar Impex,9,7.0,Кишинёв мун.,Кишинёв,Телецентр,șos. Hâncești 142,42
1-комнатная квартира,,,109000.0,,,,Eвроремонт,Агентство,,Новострой,,9,9.0,Кишинёв мун.,Кишинёв,Ботаника,str. Burebista 25,43
2-х комнатная квартира,Подземная,,105000.0,2,,Квартира с ливингом,Белый вариант,Застройщик,Kомбинированный,Новострой,,9,3.0,Кишинёв мун.,Кишинёв,Ботаника,bd. Dacia 60/5,75
2-х комнатная квартира,Подземная,,102200.0,2,,Квартира с ливингом,Белый вариант,Застройщик,Kирпичный,Новострой,,9,3.0,Кишинёв мун.,Кишинёв,Ботаника,bd. Dacia 60/5,73
3-х комнатная квартира,Подземная,,143150.0,2,,Квартира с ливингом,Белый вариант,Застройщик,Kирпичный,Новострой,,9,9.0,Кишинёв мун.,Кишинёв,Ботаника,bd. Dacia 60/5,103
2-х комнатная квартира,Подземная,,105300.0,2,,Квартира с ливингом,Белый вариант,Застройщик,Kирпичный,Новострой,,9,3.0,Кишинёв мун.,Кишинёв,Ботаника,bd. Dacia 60/5,78
3-х комнатная квартира,Подземная,,134000.0,2,,Квартира с ливингом,Белый вариант,Застройщик,Kирпичный,Новострой,,9,3.0,Кишинёв мун.,Кишинёв,Ботаника,bd. Dacia 60/5,100
3-х комнатная квартира,Подземная,,116100.0,2,,Квартира с ливингом,Белый вариант,Застройщик,Kирпичный,Новострой,,9,3.0,Кишинёв мун.,Кишинёв,Аэропорт,bd. Dacia 60/5,90
3-х комнатная квартира,Подземная,,119950.0,2,,Квартира с ливингом,Белый вариант,Застройщик,Kирпичный,Новострой,,9,3.0,Кишинёв мун.,Кишинёв,Ботаника,bd. Dacia 60/5,93
2-х комнатная квартира,Подземная,,93800.0,2,,Квартира с ливингом,Белый вариант,Застройщик,Kирпичный,Новострой,,9,3.0,Кишинёв мун.,Кишинёв,Ботаника,bd. Dacia 60/5,67
3-х комнатная квартира,Подземная,,152900.0,2,,Квартира с ливингом,Белый вариант,Застройщик,Kирпичный,Новострой,,9,9.0,Кишинёв мун.,Кишинёв,Ботаника,bd. Dacia 60/5,110
2-х комнатная квартира,Подземная,,91800.0,2,,Квартира с ливингом,Белый вариант,Застройщик,Kирпичный,Новострой,,9,2.0,Кишинёв мун.,Кишинёв,Ботаника,bd. Dacia 60/5,68
2-х комнатная квартира,,,64940.0,1,,,,Частное лицо,,Вторичный,,5,5.0,Кишинёв мун.,Кишинёв,Ботаника,şos. Munceşti 806/2,45
1-комнатная квартира,,,72000.0,,1,Квартира с ливингом,Незавершенное cтроительство,Частное лицо,Kирпичный,Новострой,Sky House,18,7.0,Кишинёв мун.,Кишинёв,Ботаника,str. Dimineții 20,40
2-х комнатная квартира,,Индивидуальная,148000.0,2,2,,Белый вариант,Застройщик,Kирпичный,Новострой,Exfactor-grup,14,10.0,Кишинёв мун.,Кишинёв,Буюканы,str. Vasile Lupu 28,73
2-х комнатная квартира,,102,66000.0,1,2,,Нуждается в ремонте,Агентство,,Вторичный,,5,3.0,Кишинёв мун.,Кишинёв,Старая Почта,str. Gheorghe Madan 87/2,56
1-комнатная квартира,Oткрытое,,79900.0,,1,Квартира с ливингом,Eвроремонт,Застройщик,,Новострой,Sky House,10,7.0,Кишинёв мун.,Кишинёв,Ботаника,str. Băcioii Noi 14/5,34
3-х комнатная квартира,Гараж,Индивидуальная,390000.0,1,2,Квартира с ливингом,Индивидуальный дизайн,Частное лицо,Mонолитный,Новострой,,11,10.0,Кишинёв мун.,Кишинёв,Ботаника,str. Tudor Strișcă 8/7,163
1-комнатная квартира,Подземная,,101000.0,2,1,,Eвроремонт,Частное лицо,,Новострой,Pamir Construct,9,2.0,Кишинёв мун.,Кишинёв,Центр,str. Ialoveni 100/3,46
2-х комнатная квартира,Oткрытое,135,109800.0,1,1,Квартира без ливинга,Eвроремонт,Застройщик,,Вторичный,,9,8.0,Кишинёв мун.,Кишинёв,Буюканы,str. Nicolai Costin 65/3,54
2-х комнатная квартира,,,85900.0,1,,,Индивидуальный дизайн,Агентство,,Вторичный,,5,4.0,Кишинёв мун.,Кишинёв,Рышкановка,bd. Moscova 7/1,42
2-х комнатная квартира,Oткрытое,Индивидуальная,98500.0,1,1,,Индивидуальный дизайн,Частное лицо,,Вторичный,,5,5.0,Кишинёв мун.,Кишинёв,Буюканы,str. Paris 47,50
1-комнатная квартира,Oткрытое,,36900.0,Нет,,Квартира без ливинга,Без ремонта,Агентство,Kомбинированный,Вторичный,,1,1.0,Кишинёв мун.,Кишинёв,Центр,str. Cojocarilor 25,23
1-комнатная квартира,Подземная,,56500.0,,1,,Белый вариант,Частное лицо,Kомбинированный,Новострой,,9,8.0,Кишинёв мун.,Дурлешты,Центр,str. Cartuşa 95/3,46
1-комнатная квартира,Oткрытое,Индивидуальная,128000.0,Нет,1,,Белый вариант,Частное лицо,Бетон,Новострой,Sky House,16,11.0,Кишинёв мун.,Кишинёв,Центр,str. Lev Tolstoi 63,46
2-х комнатная квартира,,,169000.0,,,Квартира с ливингом,Белый вариант,Агентство,,Новострой,Inamstro,10,2.0,Кишинёв мун.,Кишинёв,Центр,str. Constantin Stere 16,65
1-комнатная квартира,,,65464.0,,,Квартира без ливинга,,Агентство,,Вторичный,,1,,Кишинёв мун.,Кишинёв,Аэропорт,bd. Dacia 75,129
2-х комнатная квартира,,143,116900.0,,,,,Агентство,,Вторичный,,9,7.0,Кишинёв мун.,Кишинёв,Чокана,str. Nicolae Milescu Spătarul 9,53
