address,latitude,longitude,status
"Cartusa 95/5, Дурлешты, Moldova",47.0153322,28.7456173,found
"Cartusa 95/6, Дурлешты, Moldova",47.0145108,28.7476178,found
"Cartusa 99/10, Дурлешты, Moldova",47.013558,28.7488824,found
"Cartusa 99/7, Дурлешты, Moldova",47.0140792,28.7486956,found
"Cartușa **, Дурлешты, Moldova",47.0161032,28.7476819,found
"Cartușa ., Дурлешты, Moldova",47.0161032,28.7476819,found
"Cartușa 44, Дурлешты, Moldova",47.0164013,28.7468943,found
"Cartușa 95/2, Дурлешты, Moldova",47.0150957,28.7472968,found
"Cartușa 95/5, Дурлешты, Moldova",47.0153322,28.7456173,found
"Cartușa 95/7, Дурлешты, Moldova",47.0141514,28.7474431,found
"Cartușa 99/3, Дурлешты, Moldova",47.0142993,28.7498013,found
"Cartușa 99/7, Дурлешты, Moldova",47.0140792,28.7486956,found
"Cetatea Albă 141, Кишинёв, Moldova",46.9887463,28.8820184,found
"Cetatea Chilia 43, Кишинёв, Moldova",46.9917066,28.872284,found
"Ceucari 1, Кишинёв, Moldova",47.061541,28.8539482,found
"Ceucari 1/1, Кишинёв, Moldova",47.0574931,28.8477125,found
"Ceucari 1\1, Кишинёв, Moldova",47.0574931,28.8477125,found
"Ceucari 2, Кишинёв, Moldova",47.0623932,28.8461502,found
"Chimiștilor 13, Дурлешты, Moldova",47.0253307,28.7736444,found
"Chisinaului 62, Криково, Moldova",47.1208658,28.8668183,found
"Codrilor 22/1, Дурлешты, Moldova",47.0228491,28.7471723,found
"Constantin Stamati 2/1, Ставчены, Moldova",47.0950111,28.8696074,found
"Constantin Stere 16, Кишинёв, Moldova",47.025289,28.8165111,found
"Constantin Vârnav 20, Кишинёв, Moldova",46.9921568,28.8359726,found
"Cornești 7, Кишинёв, Moldova",47.0355402,28.8523618,found
"Costiujeni 15/2, Кишинёв, Moldova",46.9757074,28.8336393,found
"Costiujeni 6, Кишинёв, Moldova",46.975047,28.8343577,found
"Costiujeni 8/3, Кишинёв, Moldova",46.9792438,28.8362832,found
"Dacia -, Кишинёв, Moldova",46.9844613,28.8601544,found
"Dacia ., Кишинёв, Moldova",47.0047605,28.8419936,found
"Dacia 1/3, Кишинёв, Moldova",46.9927387,28.8490905,found
"Dacia 25, Кишинёв, Moldova",46.9867087,28.8583341,found
"Dacia 58, Кишинёв, Moldova",46.9576797,28.8947004,found
"Dacia 59, Кишинёв, Moldova",46.9679423,28.888174,found
"Dacia 62, Кишинёв, Moldova",46.9422182,28.9250266,found
"Dacia 62F \, Кишинёв, Moldova",46.9435959,28.9212473,found
"Dacia 71/6, Кишинёв, Moldova",46.9447436,28.92588,found
"Dacia 73, Кишинёв, Moldova",46.9436343,28.9250868,found
"Dacia 73/2, Кишинёв, Moldova",46.9439753,28.925648,found
"Dacia 77, Кишинёв, Moldova",46.9421339,28.9273079,found
"Dacilor 24, Кишинёв, Moldova",47.045782,28.9022084,found
"Decebal *, Кишинёв, Moldova",46.993973,28.8592268,found
"Diminetii  ., Кишинёв, Moldova",47.0024789,28.8647052,found
"Diminetii ., Кишинёв, Moldova",47.0024789,28.8647052,found
"Diminetii 18, Кишинёв, Moldova",47.0036965,28.866249,found
"Dimineții 22, Кишинёв, Moldova",47.00349,28.8656429,found
"Dimo 4/1, Кишинёв, Moldova",47.03786,28.8607639,found
"Doctor Tudor Strișcă 19/2, Кишинёв, Moldova",46.9867518,28.835695,found
"Drumul Viilor 26/1, Кишинёв, Moldova",47.0095799,28.818252,found
"Drumul Viilor 38/1, Кишинёв, Moldova",47.0030144,28.8060332,found
"Dumitru Râșcanu 33/4, Кишинёв, Moldova",47.0372624,28.8671684,found
"Durlesti -, Кишинёв, Moldova",47.0171414,28.8090759,found
"Durlesti Nicolae Dimo, Кишинёв, Moldova",47.0071404,28.7641587,found
"Durlești 10, Дурлешты, Moldova",47.0437712,28.748475,found
"Durlești 8, Дурлешты, Moldova",47.0320749,28.776068,found
"Europa 29 D, Кишинёв, Moldova",46.9545825,28.9025022,found
"Florarii 4, Кишинёв, Moldova",47.0288782,28.8687685,found
"Florilor  ., Кишинёв, Moldova",47.0580102,28.8609941,found
"Florilor 16/1, Кишинёв, Moldova",47.0548505,28.8586568,found
"Florilor 2, Кишинёв, Moldova",47.0481016,28.8582079,found
"Florilor 26/1, Кишинёв, Moldova",47.0571111,28.8599624,found
"Florilor 28/2, Кишинёв, Moldova",47.0581416,28.8607649,found
"Frumușica 1, Кишинёв, Moldova",47.0071703,28.8642133,found
"GRENOBLE 106B, Кишинёв, Moldova",46.9901739,28.8228081,found
"Gheorghe Asachi 61, Кишинёв, Moldova",46.999207,28.8209918,found
"Gheorghe Cașu 30/2, Кишинёв, Moldova",47.0048049,28.8331935,found
"Gheorghe Madan ., Кишинёв, Moldova",47.0533205,28.8463046,found
"Gheorghe Madan 46/6, Кишинёв, Moldova",47.0567779,28.8478603,found
"Gheorghe Madan 50/4, Кишинёв, Moldova",47.058896,28.8451686,found
"Gheorghe Madan 87/4, Кишинёв, Moldova",47.0598899,28.8417017,found
"Ghica Voda 5, Кишинёв, Moldova",46.9757031,28.8581079,found
"Ghica Voda 5/2, Кишинёв, Moldova",46.9752902,28.8573532,found
"Ghioceilor  ., Кишинёв, Moldova",47.0184655,28.796846,found
"Ghioceilor 2, Кишинёв, Moldova",47.0156253,28.8075966,found
"Ginta Latina 8, Кишинёв, Moldova",47.0327257,28.8816362,found
"Ginta Latină 15/1, Кишинёв, Moldova",47.036532,28.8851877,found
"Ginta Latină 19, Кишинёв, Moldova",47.0380305,28.8935864,found
"Ginta Latină 19/1, Кишинёв, Moldova",47.0386108,28.8930032,found
"Ginta Latină 19/4, Кишинёв, Moldova",47.0383885,28.8945379,found
"Ginta Latină 7, Кишинёв, Moldova",47.0376038,28.8963013,found
"Gradina Botanica 18 H, Кишинёв, Moldova",46.9786863,28.8783965,found
"Gradina Botanica 18, Кишинёв, Moldova",46.9774506,28.8777776,found
"Gradina Botanica 18G, Кишинёв, Moldova",46.9786411,28.8771816,found
"Gradinilor ., Кишинёв, Moldova",47.0244143,28.8530538,found
"Grenoble  ., Кишинёв, Moldova",46.9911881,28.8208687,found
"Grenoble  128/2, Кишинёв, Moldova",46.9798626,28.8373785,found
"Grenoble 120/8, Кишинёв, Moldova",46.9841849,28.833136,found
"Grenoble 128/1, Кишинёв, Moldova",46.9798737,28.8382651,found
"Grenoble 130/1, Кишинёв, Moldova",46.9796542,28.8391904,found
"Grenoble 130/3, Кишинёв, Moldova",46.9790091,28.8373875,found
"Grenoble 134, Кишинёв, Moldova",46.9725661,28.8495402,found
"Grenoble 134/2, Кишинёв, Moldova",46.9736647,28.8484399,found
"Grenoble 134/4, Кишинёв, Moldova",46.968168,28.8509597,found
"Grenoble 163/1, Кишинёв, Moldova",46.9837005,28.8361388,found
"Grenoble 209, Кишинёв, Moldova",46.9751222,28.8479365,found
"Grenoble 257, Кишинёв, Moldova",46.9732217,28.8500713,found
"Grenoble 259/10, Кишинёв, Moldova",46.9738401,28.8515111,found
"Grigore Vieru 20, Кишинёв, Moldova",47.0317159,28.8436298,found
"Grigore Vieru 21\2, Кишинёв, Moldova",47.0332949,28.8436869,found
"Grătiești  10, Ставчены, Moldova",47.0890881,28.8687505,found
"Hancesti 142 B, Кишинёв, Moldova",46.9925004,28.7852815,found
"Hora 1, Кишинёв, Moldova",46.9826502,28.84041,found
"Hristo Botev 19/2, Кишинёв, Moldova",46.9874514,28.8482733,found
"Hristo Botev 21, Кишинёв, Moldova",46.9864345,28.8474245,found
"Ialoveni  134, Кишинёв, Moldova",47.0035211,28.7734542,found
"Ialoveni ., Дурлешты, Moldova",46.9726159,28.7649051,found
"Ialoveni ., Кишинёв, Moldova",46.9965442,28.7892454,found
"Ialoveni 100/3, Кишинёв, Moldova",47.0035382,28.7782952,found
"Ialoveni 102/1, Кишинёв, Moldova",47.0028478,28.7758449,found
"Ialoveni 136 B, Кишинёв, Moldova",47.0035857,28.7724806,found
"Ialoveni 136, Дурлешты, Moldova",47.0038563,28.7718893,found
"Ialoveni 136, Кишинёв, Moldova",47.0038563,28.7718893,found
"Ialoveni 136/B, Кишинёв, Moldova",47.0035857,28.7724806,found
"Ialoveni 96, Кишинёв, Moldova",47.0007312,28.7799263,found
"Iazului  38, Кишинёв, Moldova",47.0624684,28.844226,found
"Iazului 12/1, Кишинёв, Moldova",47.0650262,28.8423513,found
"Igor Vieru 14/1, Кишинёв, Moldova",47.0506077,28.8940191,found
"Independentei  28, Кишинёв, Moldova",46.976427,28.8575049,found
"Independenței 10/4, Кишинёв, Moldova",46.9831185,28.8448386,found
"Independenței 12/1, Кишинёв, Moldova",46.9827203,28.8465925,found
"Independenței 36, Кишинёв, Moldova",46.9772779,28.8612132,found
"Io 13, Кишинёв, Moldova",47.0292175,28.8381301,found
"Ioana Radu ., Кишинёв, Moldova",47.0285208,28.8051718,found
"Ioana Radu 27/2, Кишинёв, Moldova",47.0267873,28.7984491,found
"Ioana Radu 27/8, Кишинёв, Moldova",47.0247282,28.7992891,found
"Ion Buzdugan 1, Кишинёв, Moldova",47.0377787,28.7632446,found
"Ion Buzdugan 11, Кишинёв, Moldova",47.0393567,28.7594802,found
"Ion Buzdugan 13, Кишинёв, Moldova",47.0386476,28.7597872,found
"Ion Buzdugan 9, Кишинёв, Moldova",47.0395504,28.7599753,found
"Ion Creanga 43, Кишинёв, Moldova",47.0284653,28.7999114,found
"Ion Creangă 43, Кишинёв, Moldova",47.0284653,28.7999114,found
"Ion Dumeniuc 4, Кишинёв, Moldova",47.0566525,28.8868562,found
"Ion Inculet 97, Кишинёв, Moldova",47.0057983,28.83803,found
"Ion Nistor 2, Кишинёв, Moldova",47.0081435,28.8333203,found
"Ion Pelivan 15, Кишинёв, Moldova",47.0298628,28.7898465,found
"Ion Pelivan 18, Кишинёв, Moldova",47.0329136,28.7919964,found
"Ion Pelivan 34/1, Кишинёв, Moldova",47.0259521,28.7842559,found
"Ismail 84, Кишинёв, Moldova",47.0164357,28.8479266,found
"Ismail 96, Кишинёв, Moldova",47.0185523,28.8513798,found
"Jubiliara 39, Кишинёв, Moldova",46.9766446,28.833403,found
"Jubiliara 39/1, Кишинёв, Moldova",46.9762588,28.8334566,found
"Jubiliară  39/1, Кишинёв, Moldova",46.9762588,28.8334566,found
"Kiev 16/1, Кишинёв, Moldova",47.0433243,28.8613655,found
"Lipcani 1, Кишинёв, Moldova",47.0321342,28.7806901,found
"Liviu Deleanu  10, Кишинёв, Moldova",47.046981,28.7697278,found
"Liviu Deleanu 10/7, Кишинёв, Moldova",47.0476509,28.7699031,found
"Liviu Deleanu 5/6, Кишинёв, Moldova",47.0433159,28.7686984,found
"Liviu Deleanu 5V, Кишинёв, Moldova",47.043793,28.7696687,found
"Liviu Rebreanu 129/A, Кишинёв, Moldova",47.0007303,28.8960177,found
"Magda Isanos 14/2, Кишинёв, Moldova",47.0531333,28.8481746,found
"Malina Mica 20, Кишинёв, Moldova",46.9914266,28.8193312,found
"Maria Dragan  ., Кишинёв, Moldova",47.0143255,28.8826928,found
"Maria Drăgan  26, Кишинёв, Moldova",46.9670403,28.9401757,found
"Maria Drăgan 2/1, Кишинёв, Moldova",47.0303669,28.8834081,found
"Maria Drăgan 38, Кишинёв, Moldova",46.9659264,28.9404527,found
"Matei Basarab  ., Кишинёв, Moldova",47.0545576,28.8691599,found
"Matei Basarab 1/3, Кишинёв, Moldova",47.0566082,28.860377,found
"Melestiu -, Кишинёв, Moldova",47.0077542,28.8460625,found
"Melestiu 1/1, Кишинёв, Moldova",47.0067706,28.8540997,found
"Melestiu 26/6, Кишинёв, Moldova",47.0030412,28.8448972,found
"Mihai Eminescu 41/1, Кишинёв, Moldova",47.0206885,28.8343823,found
"Mihail Sadoveanu ., Кишинёв, Moldova",47.0702785,28.8870381,found
"Mihail Sadoveanu 17, Кишинёв, Moldova",47.0464973,28.8826563,found
"Mihail Sadoveanu 22/3, Кишинёв, Moldova",47.0464666,28.8863496,found
"Mihail Sadoveanu 4/2, Кишинёв, Moldova",47.0352661,28.8797957,found
"Milescu Spataru 57A, Кишинёв, Moldova",47.0376001,28.8978534,found
"Milescu Spataru 57\c, Кишинёв, Moldova",47.0376001,28.8978534,found
"Minsk 45, Кишинёв, Moldova",46.9978996,28.8627944,found
"Mircea Cel Batran 14, Кишинёв, Moldova",47.0451808,28.8914616,found
"Mircea cel Batran 15b, Кишинёв, Moldova",47.0474383,28.8892742,found
"Mircea cel Bătrân 13/2, Кишинёв, Moldova",47.0480165,28.8888234,found
"Mircea cel Bătrân 15, Кишинёв, Moldova",47.0468052,28.8878226,found
"Mircea cel Bătrân 26/6, Кишинёв, Moldova",47.0490957,28.8939778,found
"Mircea cel batran 15, Кишинёв, Moldova",47.0468052,28.8878226,found
"Miron Costin 13/1, Кишинёв, Moldova",47.0503714,28.8664248,found
"Miron Costin 15/1, Кишинёв, Moldova",47.0513595,28.8680445,found
"Miron Costin 2, Кишинёв, Moldova",47.0502055,28.8581367,found
"Miron Costin 22, Кишинёв, Moldova",47.0481724,28.8676663,found
"Mitropolit Petru Movilă 23/5, Кишинёв, Moldova",47.0309812,28.8208064,found
"Moara Roșie 5B, Кишинёв, Moldova",47.0348997,28.8366712,found
"Moscova  --, Кишинёв, Moldova",47.0541357,28.8651138,found
"Moscova ., Кишинёв, Moldova",47.0541357,28.8651138,found
"Moscova 1/1, Кишинёв, Moldova",47.0451768,28.8611353,found
"Muncesti 94, Кишинёв, Moldova",47.0054424,28.8668156,found
"Muncești 812, Кишинёв, Moldova",46.9356311,28.9519629,found
"Muncești 94, Кишинёв, Moldova",47.0054424,28.8668156,found
"NICOLAE TITULESCU  ., Кишинёв, Moldova",46.9922121,28.869601,found
"Nicolae Costin 44/1, Кишинёв, Moldova",47.0358434,28.7881853,found
"Nicolae Costin 44/6, Кишинёв, Moldova",47.036102,28.7893259,found
"Nicolae Costin 48 1, Кишинёв, Moldova",47.0418634,28.7738866,found
"Nicolae Costin 54, Кишинёв, Moldova",47.0432469,28.7710003,found
"Nicolae Costin 57, Кишинёв, Moldova",47.0381829,28.7813458,found
"Nicolae Costin 61/3, Кишинёв, Moldova",47.0406529,28.7743558,found
"Nicolae Costin 63/2, Кишинёв, Moldova",47.0400422,28.7730821,found
"Nicolae Dimo -24, Дурлешты, Moldova",47.0138525,28.7521502,found
"Nicolae Dimo 11/2, Кишинёв, Moldova",47.0405855,28.8664798,found
"Nicolae Dimo 13/3, Кишинёв, Moldova",47.0416495,28.8663984,found
"Nicolae Dimo 24, Дурлешты, Moldova",47.0138525,28.7521502,found
"Nicolae Dimo 24/a, Дурлешты, Moldova",47.0132668,28.7511952,found
"Nicolae Dimo 80/7, Дурлешты, Moldova",47.007538,28.7634814,found
"Nicolae Dimo 99, Дурлешты, Moldova",47.0063087,28.7656257,found
"Nicolae Milescu Spataru 27, Кишинёв, Moldova",47.0376001,28.8978534,found
"Nicolae Milescu Spătarul 1, Кишинёв, Moldova",47.050133,28.8965813,found
"Nicolae Milescu Spătarul 25, Кишинёв, Moldova",47.0561759,28.8962187,found
"Nicolae Milescu Spătarul 57/A, Кишинёв, Moldova",47.0627149,28.8970156,found
"Nicolae Milescu Spătarul 7, Кишинёв, Moldova",47.0440644,28.8974942,found
"Nicolae Milescu Spătarul 7/1, Кишинёв, Moldova",47.0446025,28.8970362,found
"Nicolae Sulac  ., Кишинёв, Moldova",47.022597,28.8312144,found
"Nicolae Sulac 8A, Кишинёв, Moldova",47.0619044,28.8938945,found
"Nicolae Testemițanu 19/A, Кишинёв, Moldova",46.9973267,28.8372139,found
"Nicolae Testemițanu 19/B, Кишинёв, Moldova",46.9969768,28.8373602,found
"Nicolae Testemițanu 21/2, Кишинёв, Moldova",46.9961469,28.8351043,found
"Nicolae Testemițanu 3/10, Кишинёв, Moldova",46.9993744,28.839567,found
"Nicolae Testemițanu 3/17, Кишинёв, Moldova",47.0005654,28.8379155,found
"Nicolae Testemițanu 37, Кишинёв, Moldova",46.9904884,28.8283048,found
"Nicolae Testimiteanu  19, Кишинёв, Moldova",46.9969768,28.8373602,found
"Nicolae Testimiteanu 37, Кишинёв, Moldova",46.9904884,28.8283048,found
"Nicolae Titulescu  ., Кишинёв, Moldova",46.9922121,28.869601,found
"Nicolae Titulescu 28, Кишинёв, Moldova",46.9919551,28.869042,found
"Nicolae Titulescu 36A, Кишинёв, Moldova",46.9906041,28.8715529,found
"Nicolae Titulescu 6, Кишинёв, Moldova",46.9988392,28.8626197,found
"Onisifor Ghibu --, Кишинёв, Moldova",47.0240007,28.8255205,found
"Pandurilor -, Кишинёв, Moldova",46.9981052,28.8688281,found
"Paris  -, Кишинёв, Moldova",47.0295875,28.7779636,found
"Petru Rareș 36, Кишинёв, Moldova",47.033994,28.841032,found
"Petru Zadnipru 16/2, Кишинёв, Moldova",47.0423447,28.895478,found
"Petru Zadnipru 4/2, Кишинёв, Moldova",47.0436363,28.8862409,found
"Petru Zadnipru 7/4, Кишинёв, Moldova",47.0460274,28.8878382,found
"Piața Gării 2, Кишинёв, Moldova",47.011759,28.8594296,found
"Piața Unirea Principatelor 3, Кишинёв, Moldova",47.0267595,28.7954083,found
"Pictor Mihai Grecu 7, Кишинёв, Moldova",46.9899094,28.8309937,found
"Pietrariei 19A, Кишинёв, Moldova",47.0365246,28.8509841,found
"Pietrarilor 10, Кишинёв, Moldova",47.0032074,28.8029591,found
"Pietrarilor 10/5, Кишинёв, Moldova",47.003733,28.8041086,found
