apartment_condition,rooms,bathroom,total_floors,floor,region,city,sector,street,area,price_per_sqm,floor_ratio,has_balcony,has_living,building_type_Kомбинированный,building_type_Kотельцовый,building_type_Mонолитный,building_type_Бетон,building_type_Блочный,building_type_Панельный,building_type_Ячеистый Бетон,housing_stock_Новострой,author_Банк,author_Застройщик,author_Частное лицо,parcing_space_Гараж,parcing_space_Под навесом,parcing_space_Подземная,latitude,longitude,distance_to_sector_center
0.0,2.0,2,13,13.0,Кишинёв мун.,Кишинёв,Старая Почта,Iazului  38,143,1650.0,1.0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,47.0624684,28.844226,2900.10828889157
,1.0,,18,9.0,Кишинёв мун.,Кишинёв,Ботаника,şos. Munceşti 94,42,1071.4285714285713,0.5,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,47.0054424,28.8668156,2169.407332980258
3.0,3.0,,8,2.0,Кишинёв мун.,Кишинёв,Ботаника,str. Pandurilor 42,105,1903.8095238095239,0.25,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,46.988,28.854,0.0
0.0,3.0,2,6,1.0,Кишинёв мун.,Дурлешты,Центр,str. Durlești 8,96,1412.9791666666667,0.16666666666666666,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,47.0446369,28.7457465,3136.297581269001
4.0,2.0,,15,5.0,Кишинёв мун.,Кишинёв,Рышкановка,str. Matei Basarab 1/1,86,2302.3255813953488,0.3333333333333333,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,47.0571713,28.8606928,925.2670562976307
1.0,1.0,,9,6.0,Кишинёв мун.,Кишинёв,Аэропорт,bd. Dacia 60/5,42,1357.142857142857,0.6666666666666666,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,,,
0.0,3.0,1,12,3.0,Кишинёв мун.,Кишинёв,Центр,str. Ciuflea 1,78,3800.0,0.25,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,47.024,28.832,0.0
4.0,2.0,1,9,8.0,Кишинёв мун.,Кишинёв,Центр,str. Vasile Alecsandri 11,72,2180.5555555555557,0.8888888888888888,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,47.0084759,28.8271332,1765.1918401777496
2.0,3.0,2,9,6.0,Кишинёв мун.,Кишинёв,Ботаника,bd. Cuza Vodă /,72,1340.2777777777778,0.6666666666666666,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,46.988,28.854,0.0
0.0,2.0,2,10,2.0,Кишинёв мун.,Кишинёв,Чокана,ул. Вадул луй Водэ 30,64,1578.125,0.2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,47.036,28.889,0.0
4.0,2.0,,11,3.0,Кишинёв мун.,Кишинёв,Ботаника,ул. Гренобле 257,60,1966.6666666666667,0.2727272727272727,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,46.988,28.854,0.0
0.0,2.0,1,7,3.0,Кишинёв мун.,Кишинёв,Центр,str. Moara Roșie 5/D,101,2326.732673267327,0.42857142857142855,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,47.024,28.832,0.0
4.0,3.0,2,9,8.0,Кишинёв мун.,Кишинёв,Старая Почта,str. Ceucari 1/2,70,1770.0,0.8888888888888888,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.061,28.806,0.0
2.0,1.0,1,14,10.0,Кишинёв мун.,Ставчены,Центр,str. Unirii 20,42,1352.3809523809523,0.7142857142857143,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,47.0953681,28.8686253,141.683591719073
4.0,2.0,1,7,3.0,Кишинёв мун.,Кишинёв,Буюканы,ул. Виссарион Белинский 71,64,2617.1875,0.42857142857142855,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,47.039,28.803,0.0
4.0,3.0,1,9,7.0,Кишинёв мун.,Кишинёв,Буюканы,ул. Василе Лупу 28,90,2611.1111111111113,0.7777777777777778,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,47.0221197,28.8008688,1883.9410283209686
0.0,2.0,2,16,12.0,Кишинёв мун.,Кишинёв,Чокана,bd. Mircea cel Bătrân 41/A,71,2236.6197183098593,0.75,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,47.057588,28.890629,2403.6471277178857
4.0,2.0,2,12,2.0,Кишинёв мун.,Кишинёв,Буюканы,bd. Alba-Iulia 113,68,2485.294117647059,0.16666666666666666,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,47.039,28.803,0.0
4.0,2.0,,10,8.0,Кишинёв мун.,Кишинёв,Ботаника,str. Grenoble 159/A,57,2192.9824561403507,0.8,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,46.988,28.854,0.0
3.0,2.0,,9,2.0,Кишинёв мун.,Кишинёв,Ботаника,str. Burebista 40/2,69,1884.0579710144928,0.2222222222222222,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,46.9861531,28.8820566,2138.0658118880124
,1.0,1,9,8.0,Кишинёв мун.,Кишинёв,Чокана,str. Ginta Latină .,33,1878.7878787878788,0.8888888888888888,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.0345965,28.8850245,339.30240761949193
4.0,3.0,,9,1.0,Кишинёв мун.,Кишинёв,Центр,str. Albisoara 30/1,75,1850.6666666666667,0.1111111111111111,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,47.024,28.832,0.0
0.0,2.0,,10,2.0,Кишинёв мун.,Дурлешты,Центр,str. Cartuşa 97/3,69,1250.0,0.2,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,47.019,28.763,0.0
,3.0,,1,1.0,Кишинёв мун.,Кишинёв,Центр,str. București 15,89,1348.314606741573,1.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,47.024,28.832,0.0
,1.0,,10,3.0,Кишинёв мун.,Кишинёв,Рышкановка,str. Nicolae Dimo 13a,41,2000.0,0.3,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,47.049,28.863,0.0
,1.0,,18,12.0,Кишинёв мун.,Кишинёв,Центр,str. Tudor Vladimirescu 1a,45,1753.3333333333333,0.6666666666666666,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,47.026051,28.8651524,2523.2540009396675
3.0,3.0,2,10,8.0,Кишинёв мун.,Кишинёв,Центр,str. Lev Tolstoi 63,110,3000.0,0.8,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,47.024,28.832,0.0
